,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,3:15 AM VA9571,,Melbourne (MEL),Virgin Australia 14Y,Unknown,2021-06-11
1,1,3:50 AM QF7458,,Melbourne (MEL),Qantas 14Z,Unknown,2021-06-11
2,2,4:05 AM QF7438,,Brisbane (BNE),Qantas 14Z,Unknown,2021-06-11
3,3,5:00 AM QF7448,,Sydney (SYD),Qantas 14Z,Unknown,2021-06-11
4,4,7:05 AM JQ772,,Melbourne (MEL),Jetstar Airways 320,Canceled,2021-06-11
5,5,7:35 AM,VA209,Melbourne (MEL),Virgin Australia B738 (VH-VUW),Canceled,2021-06-11
6,6,7:50 AM,QF2266,Port Lincoln (PLO),QantasLink DH8C (VH-TQK),Landed 7:30 AM,2021-06-11
7,7,7:50 AM ZL4351,,Port Lincoln (PLO),REX Regional Express SF34 (VH-TRX),Landed 7:51 AM,2021-06-11
8,8,8:05 AM,QF2072,Whyalla (WYA),Qantas DH3,Unknown,2021-06-11
9,9,8:05 AM ZL4612,,Mount Gambier (MGB),REX Regional Express SF34 (VH-OLL),Landed 7:53 AM,2021-06-11
10,10,8:25 AM,QF673,Melbourne (MEL),Qantas B738 (VH-VXT),Landed 8:04 AM,2021-06-11
11,11,8:30 AM,VA1384,Brisbane (BNE),Virgin Australia B738 (VH-YWE),Landed 8:08 AM,2021-06-11
12,12,8:35 AM JQ762,,Sydney (SYD),Jetstar Airways A321 (VH-VWT),Landed 8:30 AM,2021-06-11
13,13,8:40 AM,QF661,Brisbane (BNE),Qantas B738 (VH-XZG),Landed 8:37 AM,2021-06-11
14,14,8:50 AM ZL4513,,Whyalla (WYA),REX Regional Express SF34 (VH-RXS),Landed 8:33 AM,2021-06-11
15,15,8:55 AM,VA404,Sydney (SYD),Virgin Australia B738 (VH-YVC),Landed 8:43 AM,2021-06-11
16,16,9:00 AM ZL4353,,Port Lincoln (PLO),REX Regional Express SF34 (VH-ZXF),Landed 8:57 AM,2021-06-11
17,17,9:05 AM,VA213,Melbourne (MEL),Virgin Australia B738 (VH-YVD),Canceled,2021-06-11
18,18,9:55 AM,QF733,Sydney (SYD),Qantas B738 (VH-XZN),Landed 9:55 AM,2021-06-11
19,19,10:05 AM,QF725,Canberra (CBR),Qantas B738 (VH-VXL),Landed 10:05 AM,2021-06-11
20,20,10:20 AM,QF2143,Kingscote (KGC),QantasLink DH8C (VH-SBW),Landed 10:18 AM,2021-06-11
21,21,10:20 AM ZL4357,,Port Lincoln (PLO),REX Regional Express SF34 (VH-TRX),Landed 10:27 AM,2021-06-11
22,22,10:25 AM,QF679,Melbourne (MEL),Qantas 73H,Unknown,2021-06-11
23,23,10:25 AM ZL4127,,Ceduna (CED),REX Regional Express SF34 (VH-ZXQ),Landed 10:15 AM,2021-06-11
24,24,10:30 AM,QF2268,Port Lincoln (PLO),QantasLink DH8C (VH-TQK),Landed 11:09 AM,2021-06-11
25,25,10:35 AM VA9909,,Melbourne (MEL),Virgin Australia B738 (VH-YIO),Landed 9:30 AM,2021-06-11
26,26,10:45 AM,NZ191,Auckland (AKL),Air New Zealand A320 (ZK-OJM),Landed 10:01 AM,2021-06-11
27,27,10:50 AM,QF1955,Alice Springs (ASP),Alliance Airlines E190 (VH-UYW),Landed 10:46 AM,2021-06-11
28,28,10:55 AM,VA412,Sydney (SYD),Virgin Australia B738 (VH-YIA),Landed 10:49 AM,2021-06-11
29,29,10:55 AM ZL4867,,Mildura (MQL),REX Regional Express SF34 (VH-KDV),Landed 11:47 AM,2021-06-11
30,30,11:05 AM,VA219,Melbourne (MEL),Virgin Australia B738 (VH-YIB),Canceled,2021-06-11
31,31,11:10 AM QQ3109,,Olympic Dam (OLP),Alliance Airlines F100 (VH-XWQ),Landed 10:58 AM,2021-06-11
32,32,11:10 AM,VA1388,Brisbane (BNE),Virgin Australia B738 (VH-VUP),Landed 10:55 AM,2021-06-11
33,33,11:10 AM JQ764,,Sydney (SYD),Jetstar Airways A320 (VH-VQC),Landed 11:04 AM,2021-06-11
34,34,11:15 AM JQ774,,Melbourne (MEL),Jetstar Airways 320,Canceled,2021-06-11
35,35,11:20 AM,VA712,Perth (PER),Virgin Australia B738 (VH-YFS),Landed 11:14 AM,2021-06-11
36,36,11:25 AM ZL4618,,Mount Gambier (MGB),REX Regional Express SF34 (VH-OLL),Landed 11:17 AM,2021-06-11
37,37,11:30 AM JQ632,,Melbourne (AVV),Jetstar Airways 320,Canceled,2021-06-11
38,38,12:10 PM,QF735,Sydney (SYD),Qantas B738 (VH-XZC),Landed 12:17 PM,2021-06-11
39,39,12:20 PM,QF663,Brisbane (BNE),Qantas B738 (VH-XZE),Landed 12:09 PM,2021-06-11
40,40,12:40 PM ZL437,,Melbourne (MEL),Regional Express 738,Canceled,2021-06-11
41,41,1:05 PM,VA223,Melbourne (MEL),Virgin Australia B738 (VH-YVA),Canceled,2021-06-11
42,42,1:25 PM QF683,,Melbourne (MEL),Qantas B738 (VH-VYG),Landed 12:58 PM,2021-06-11
43,43,1:25 PM JQ455,,Gold Coast (OOL),Jetstar Airways A320 (VH-VGN),Landed 1:26 PM,2021-06-11
44,44,1:35 PM ZL4367,,Port Lincoln (PLO),REX Regional Express SF34 (VH-ZXQ),Landed 1:29 PM,2021-06-11
45,45,2:05 PM ZL4483,,Coober Pedy (CPD),REX Regional Express SF34 (VH-ZXF),Landed 1:56 PM,2021-06-11
46,46,2:10 PM QF739,,Sydney (SYD),Qantas B738 (VH-VZL),Landed 2:05 PM,2021-06-11
47,47,2:15 PM JQ963,,Cairns (CNS),Jetstar Airways A320 (VH-VGH),Landed 2:08 PM,2021-06-11
48,48,2:25 PM QF685,,Melbourne (MEL),Qantas 73H,Unknown,2021-06-11
49,49,2:35 PM JQ691,,Darwin (DRW),Jetstar Airways A320 (VH-VFQ),Landed 2:36 PM,2021-06-11
50,50,2:40 PM VA1448,,Gold Coast (OOL),Virgin Australia B738 (VH-YIU),Landed 2:27 PM,2021-06-11
51,51,2:45 PM QF884,,Perth (PER),Qantas B738 (VH-VZR),Landed 2:56 PM,2021-06-11
52,52,2:55 PM QF2270,,Port Lincoln (PLO),QantasLink DH8C (VH-SBW),Landed 2:48 PM,2021-06-11
53,53,3:05 PM VA229,,Melbourne (MEL),Virgin Australia B738 (VH-YQM),Canceled,2021-06-11
54,54,3:20 PM QF2253,,Mount Gambier (MGB),QantasLink DH8C (VH-TQK),Landed 3:46 PM,2021-06-11
55,55,3:25 PM QF687,,Melbourne (MEL),Qantas 73H,Unknown,2021-06-11
56,56,3:30 PM QF1951,,Darwin (DRW),Alliance Airlines E190 (VH-UYZ),Landed 4:51 PM,2021-06-11
57,57,3:55 PM VA424,,Sydney (SYD),Virgin Australia B738 (VH-YQO),Landed 3:59 PM,2021-06-11
58,58,4:10 PM VA1396,,Brisbane (BNE),Virgin Australia B738 (VH-VOK),Landed 4:06 PM,2021-06-11
59,59,4:20 PM ZL4628,,Mount Gambier (MGB),REX Regional Express SF34 (VH-KDV),Landed 4:09 PM,2021-06-11
60,60,4:20 PM QF731,,Sydney (SYD),Qantas B738 (VH-VYA),Landed 4:14 PM,2021-06-11
61,61,4:25 PM ZL457,,Melbourne (MEL),Regional Express B738 (VH-RQG),Landed 4:25 PM,2021-06-11
62,62,4:45 PM JQ768,,Sydney (SYD),Jetstar Airways A320 (VH-VQC),Landed 4:32 PM,2021-06-11
63,63,4:55 PM VA1742,,Alice Springs (ASP),Virgin Australia B738 (VH-YFS),Landed 4:59 PM,2021-06-11
64,64,5:05 PM VA233,,Melbourne (MEL),Virgin Australia B738 (VH-YFF),Landed 4:56 PM,2021-06-11
65,65,5:05 PM ZL4383,,Port Lincoln (PLO),REX Regional Express SF34 (VH-TRX),Landed 5:06 PM,2021-06-11
66,66,5:10 PM,QF741,Sydney (SYD),Qantas B738 (VH-VZM),Landed 5:02 PM,2021-06-11
67,67,5:35 PM,QF691,Melbourne (MEL),Qantas 73H,Unknown,2021-06-11
68,68,5:45 PM JQ778,,Melbourne (MEL),Jetstar Airways A320 (VH-VGN),Landed 5:15 PM,2021-06-11
69,69,5:55 PM,VA428,Sydney (SYD),Virgin Australia B738 (VH-VUE),Landed 6:22 PM,2021-06-11
70,70,6:00 PM ZL4537,,Whyalla (WYA),REX Regional Express SF34 (VH-ZRN),Landed 5:43 PM,2021-06-11
71,71,6:10 PM QQ3137,,Olympic Dam (OLP),Alliance Airlines F100 (VH-XWS),Landed 5:49 PM,2021-06-11
72,72,6:10 PM ZL4389,,Port Lincoln (PLO),REX Regional Express SF34 (VH-RXS),Landed 6:01 PM,2021-06-11
73,73,6:20 PM,QF2274,Port Lincoln (PLO),QantasLink DH8C (VH-TQK),Landed 7:05 PM,2021-06-11
74,74,6:20 PM ZL4632,,Mount Gambier (MGB),REX Regional Express SF34 (VH-ZXF),Landed 6:06 PM,2021-06-11
75,75,6:25 PM,QF693,Melbourne (MEL),Qantas 73H,Canceled,2021-06-11
76,76,6:25 PM,QF665,Brisbane (BNE),Qantas B738 (VH-VYD),Landed 6:19 PM,2021-06-11
77,77,6:25 PM,QF886,Perth (PER),Qantas B738 (VH-VXK),Landed 6:25 PM,2021-06-11
78,78,6:30 PM,QF2070,Whyalla (WYA),QantasLink DH8C (VH-SBW),Unknown,2021-06-11
79,79,6:40 PM,QF743,Sydney (SYD),Qantas B738 (VH-VXD),Landed 6:33 PM,2021-06-11
80,80,6:40 PM,VA1400,Brisbane (BNE),Virgin Australia B738 (VH-YWA),Landed 6:37 PM,2021-06-11
81,81,7:00 PM JQ770,,Sydney (SYD),Jetstar Airways A320 (VH-VGU),Landed 6:50 PM,2021-06-11
82,82,7:05 PM,VA241,Melbourne (MEL),Virgin Australia B738 (VH-YQM),Canceled,2021-06-11
83,83,7:05 PM ZL4843,,Broken Hill (BHQ),REX Regional Express SF34 (VH-OLL),Landed 7:16 PM,2021-06-11
84,84,7:35 PM,QF697,Melbourne (MEL),Qantas B738 (VH-VXC),Landed 7:23 PM,2021-06-11
