,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,5:15 AM AR1823,,Comodoro Rivadavia (CRD),Aerolineas Argentinas 738,Canceled,2020-10-04
1,1,5:45 AM AR1883,,Rio Gallegos (RGL),Aerolineas Argentinas 738,Canceled,2020-10-04
2,2,7:00 AM AR2845,,Rio Grande (RGA),Aerolineas Argentinas E90,Canceled,2020-10-04
3,3,7:30 AM AR2793,,Resistencia (RES),Aerolineas Argentinas E90,Canceled,2020-10-04
4,4,7:45 AM AR1471,,Tucuman (TUC),Aerolineas Argentinas 738,Canceled,2020-10-04
5,5,8:05 AM,AR1453,Salta (SLA),Aerolineas Argentinas 738,Canceled,2020-10-04
6,6,8:15 AM AR2649,,Bahia Blanca (BHI),Aerolineas Argentinas E90,Canceled,2020-10-04
7,7,8:40 AM AR2723,,Rosario (ROS),Aerolineas Argentinas E90,Canceled,2020-10-04
8,8,8:45 AM AR1403,,Mendoza (MDZ),Aerolineas Argentinas 738,Canceled,2020-10-04
9,9,8:55 AM AR2611,,Mar del Plata (MDQ),Aerolineas Argentinas E90,Canceled,2020-10-04
10,10,9:20 AM AR2521,,Cordoba (COR),Aerolineas Argentinas E90,Canceled,2020-10-04
11,11,10:10 AM AR1675,,Neuquen (NQN),Aerolineas Argentinas 738,Canceled,2020-10-04
12,12,10:20 AM AR2603,,Mar del Plata (MDQ),Aerolineas Argentinas E90,Canceled,2020-10-04
13,13,10:25 AM AR2511,,Cordoba (COR),Aerolineas Argentinas E90,Canceled,2020-10-04
14,14,11:10 AM AR2607,,Mar del Plata (MDQ),Aerolineas Argentinas E90,Canceled,2020-10-04
15,15,11:35 AM AR1653,,Neuquen (NQN),Aerolineas Argentinas 738,Canceled,2020-10-04
16,16,11:45 AM,AR2849,Rio Grande (RGA),Aerolineas Argentinas E90,Canceled,2020-10-04
17,17,11:50 AM AR2851,,Rio Gallegos (RGL),Aerolineas Argentinas E90,Canceled,2020-10-04
18,18,12:45 PM,AR1853,Trelew (REL),Aerolineas Argentinas 738,Canceled,2020-10-04
19,19,12:50 PM AR1681,,San Carlos de Bariloche (BRC),Aerolineas Argentinas 738,Canceled,2020-10-04
20,20,1:20 PM AR1879,,Ushuaia (USH),Aerolineas Argentinas 738,Canceled,2020-10-04
21,21,1:20 PM AR2841,,Comodoro Rivadavia (CRD),Aerolineas Argentinas E90,Canceled,2020-10-04
22,22,1:25 PM AR1857,,San Carlos de Bariloche (BRC),Aerolineas Argentinas 738,Canceled,2020-10-04
23,23,1:30 PM AR1451,,Salta (SLA),Aerolineas Argentinas 738,Canceled,2020-10-04
24,24,2:10 PM AR1897,,Ushuaia (USH),Aerolineas Argentinas 738,Canceled,2020-10-04
25,25,2:10 PM AR1865,,Trelew (REL),Aerolineas Argentinas 738,Canceled,2020-10-04
26,26,2:15 PM,AR2497,Jujuy (JUJ),Aerolineas Argentinas E90,Canceled,2020-10-04
27,27,2:15 PM AR1721,,Puerto Iguazu (IGR),Aerolineas Argentinas 738,Canceled,2020-10-04
28,28,2:45 PM AR1537,,Mendoza (MDZ),Aerolineas Argentinas 738,Canceled,2020-10-04
29,29,2:55 PM AR1695,,San Carlos de Bariloche (BRC),Aerolineas Argentinas 738,Canceled,2020-10-04
30,30,2:55 PM,AR2663,Esquel (EQS),Aerolineas Argentinas E90,Canceled,2020-10-04
