,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:25 FR2446,,Leeds (LBA),Ryanair B738 (EI-ENF),Landed 00:02,2021-06-08
1,1,07:25 3O383,,Tangier (TNG),Air Arabia Maroc 320,Canceled,2021-06-08
2,2,08:35 HTY203,,Ceuta (JCU),HELITY Copter Airlines AWH,Unknown,2021-06-08
3,3,08:35,VY2609,Bilbao (BIO),Vueling A320 (EC-LVT),Landed 08:39,2021-06-08
4,4,08:40 FR5156,,Karlsruhe/Baden-Baden (FKB),Ryanair B738 (9H-QBN),Landed 08:42,2021-06-08
5,5,08:40 IB490,,Madrid (MAD),Iberia A320 (EC-IZR),Landed 08:28,2021-06-08
6,6,08:45,UX5035,Madrid (MAD),Air Europa Express AT75 (EC-MZJ),Landed 08:34,2021-06-08
7,7,08:50 IB8261,,Melilla (MLN),Iberia Regional AT76 (EC-LRH),Landed 08:50,2021-06-08
8,8,08:50,VY3149,Palma de Mallorca (PMI),Vueling A320 (EC-KLB),Landed 08:37,2021-06-08
9,9,09:15 TB1011,,Brussels (BRU),TUI B38M (OO-TMA),Landed 09:04,2021-06-08
10,10,09:20 FR6138,,Rome (CIA),Ryanair B738 (9H-QEA),Landed 09:19,2021-06-08
11,11,09:20 W62861,,Vienna (VIE),Wizz Air A320 (HA-LWX),Landed 09:17,2021-06-08
12,12,09:40 FR4673,,Milan (BGY),Ryanair B738 (9H-QBJ),Landed 09:23,2021-06-08
13,13,09:50,HV6115,Amsterdam (AMS),Transavia B738 (PH-HSJ),Landed 09:44,2021-06-08
14,14,09:50 SK583,,Copenhagen (CPH),SAS A20N (SE-ROX),Landed 09:48,2021-06-08
15,15,09:50 SN3735,,Brussels (BRU),Brussels Airlines A320 (OO-SNI),Landed 09:35,2021-06-08
16,16,09:50,TP1134,Lisbon (LIS),TAP Express AT76 (CS-DJA),Landed 09:32,2021-06-08
17,17,09:50 W95723,,London (LGW),Wizz Air UK 32Q,Unknown,2021-06-08
18,18,10:10 0B125,,Bucharest (OTP),Blue Air B38M (YR-MXB),Landed 10:26,2021-06-08
19,19,10:15 FR7044,,Dublin (DUB),Ryanair B738 (EI-DPJ),Landed 10:02,2021-06-08
20,20,10:25 HV6651,,Eindhoven (EIN),Transavia B738 (PH-HXJ),Landed 10:23,2021-06-08
