,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,02:40 BZ481,,Delhi (DEL),Blue Dart Aviation B752 (VT-BDO),Landed 02:47,2021-06-08
1,1,03:05 EK538,,Dubai (DXB),Emirates B77W (A6-EGS),Landed 02:43,2021-06-08
2,2,03:35 BZ154,,Mumbai (BOM),Blue Dart Aviation B752 (VT-BDM),Landed 03:32,2021-06-08
3,3,04:35 G9489,,Sharjah (SHJ),Air Arabia -,Canceled,2021-06-08
4,4,06:35 6E995,,Hyderabad (HYD),IndiGo A21N (VT-ILO),Landed 06:19,2021-06-08
5,5,07:25 6E6244,,Chennai (MAA),IndiGo A20N (VT-ITO),Landed 06:48,2021-06-08
6,6,07:50 G8801,,Bengaluru (BLR),GoAir A20N (VT-WJC),Landed 07:39,2021-06-08
7,7,08:15 6E586,,Bengaluru (BLR),IndiGo A21N (VT-IUP),Landed 07:55,2021-06-08
8,8,08:40 G8365,,Mumbai (BOM),Go Air 32A,Canceled,2021-06-08
9,9,08:45 G8911,,Chennai (MAA),Go Air 32A,Canceled,2021-06-08
10,10,08:55 G8719,,Delhi (DEL),Go Air 32A,Canceled,2021-06-08
11,11,09:50 2T706,,Porbandar (PBD),TruJet AT76 (VT-TMT),Landed 09:36,2021-06-08
12,12,09:55 SG3760,,Amritsar (ATQ),SpiceJet DH8D (VT-SUJ),Unknown,2021-06-08
13,13,10:00 2T174,,Indore (IDR),Trujet AT7,Unknown,2021-06-08
14,14,10:10 SG3015,,Kishangarh (KQH),SpiceJet DH8,Unknown,2021-06-08
15,15,10:15 SG2948,,Jaipur (JAI),SpiceJet DH8D (VT-SQA),Unknown,2021-06-08
16,16,10:20,UK979,Delhi (DEL),Vistara A21N (VT-TVA),Landed 09:56,2021-06-08
17,17,10:55 S9102,,Indore (IDR),FlyBig AT7,Unknown,2021-06-08
18,18,11:10 6E2043,,Delhi (DEL),IndiGo A20N (VT-IVQ),Landed 10:48,2021-06-08
19,19,11:30,9I871,Nashik (ISK),Alliance Air ATR,Unknown,2021-06-08
20,20,11:55 G88007,,Varanasi (VNS),Go Air 32A,Canceled,2021-06-08
21,21,12:30 G8915,,Jaipur (JAI),GoAir A20N (VT-WGY),Landed 11:58,2021-06-08
22,22,12:35 6E6494,,Varanasi (VNS),IndiGo A20N (VT-IJC),Landed 11:51,2021-06-08
23,23,13:05 2T720,,Keshod (IXK),Trujet AT7,Unknown,2021-06-08
24,24,13:40 2T704,,Jaisalmer (JSA),TruJet AT76 (VT-TMT),Landed 13:17,2021-06-08
25,25,13:45 SG392,,Darbhanga (DBR),SpiceJet B738 (VT-SYA),Landed 13:30,2021-06-08
26,26,14:20 6E6719,,Hyderabad (HYD),IndiGo A20N (VT-ITU),Landed 14:09,2021-06-08
27,27,14:30 6E287,,Bengaluru (BLR),IndiGo A20N (VT-IZD),Landed 13:55,2021-06-08
28,28,14:40,9I874,Kandla (IXY),Alliance Air ATR,Unknown,2021-06-08
29,29,14:55 6E277,,Chandigarh (IXC),IndiGo A20N (VT-IVE),Landed 14:42,2021-06-08
30,30,15:40 SG3762,,Dehradun (DED),SpiceJet DH8,Unknown,2021-06-08
31,31,16:35 SG2972,,Varanasi (VNS),SpiceJet DH8D (VT-SQH),Landed 16:15,2021-06-08
32,32,16:35 S9122,,Bhopal (BHO),FlyBig AT7,Unknown,2021-06-08
33,33,16:35 2T712,,Kandla (IXY),TruJet AT76 (VT-TMT),Landed 18:11,2021-06-08
34,34,16:50 AI1982,,Kuwait City (KWI),Air India 32B,Unknown,2021-06-08
35,35,16:50 G88034,,Patna (PAT),Go Air 32A,Canceled,2021-06-08
36,36,17:00 G8914,,Goa (GOI),Go Air 32A,Canceled,2021-06-08
37,37,17:40 G8913,,Chandigarh (IXC),Go Air 32A,Canceled,2021-06-08
38,38,17:40 6E5392,,Mumbai (BOM),IndiGo A20N (VT-IVU),Landed 17:13,2021-06-08
39,39,18:10 AI637,,Mumbai (BOM),Air India A321 (VT-PPM),Landed 17:35,2021-06-08
40,40,18:10 6E6968,,Lucknow (LKO),IndiGo A20N (VT-IVB),Landed 17:45,2021-06-08
41,41,18:10 G8717,,Delhi (DEL),GoAir A20N (VT-WJN),Landed 18:07,2021-06-08
42,42,18:20 6E5376,,Mumbai (BOM),IndiGo A20N (VT-IZL),Landed 17:54,2021-06-08
43,43,18:35 2T184,,Aurangabad (IXU),Trujet AT7,Unknown,2021-06-08
44,44,19:00 G8803,,Bengaluru (BLR),Go Air 32A,Canceled,2021-06-08
45,45,19:20 SG955,,Patna (PAT),SpiceJet B738 (VT-SYA),Landed 18:59,2021-06-08
46,46,19:25 G8537,,Kolkata (CCU),Go Air 32A,Canceled,2021-06-08
47,47,19:25 S9132,,Indore (IDR),FlyBig AT7,Unknown,2021-06-08
48,48,19:30 SG938,,Bengaluru (BLR),SpiceJet 737,Unknown,2021-06-08
49,49,19:35 6E239,,Bengaluru (BLR),IndiGo A20N (VT-IZU),Landed 19:08,2021-06-08
50,50,19:50 G8363,,Mumbai (BOM),GoAir A20N (VT-WGG),Landed 19:44,2021-06-08
51,51,20:05 SG2974,,Goa (GOI),SpiceJet DH8,Unknown,2021-06-08
52,52,20:05 2T708,,Nashik (ISK),TruJet AT76 (VT-TMT),Landed 21:10,2021-06-08
53,53,20:15 6E2136,,Delhi (DEL),IndiGo A320 (VT-IDX),Landed 19:56,2021-06-08
54,54,20:25 SG956,,Chennai (MAA),SpiceJet 737,Unknown,2021-06-08
55,55,20:30 SG6631,,Pune (PNQ),SpiceJet DH8D (VT-SQH),Landed 20:02,2021-06-08
56,56,20:45 AI1102,,Delhi (DEL),Air India A321 (VT-PPQ),Canceled,2021-06-08
57,57,20:45 AI1102,,Mumbai (BOM),Air India 321,Unknown,2021-06-08
58,58,21:10 AI531,,Delhi (DEL),Air India A321 (VT-PPQ),Landed 20:55,2021-06-08
59,59,21:50 SG8193,,Delhi (DEL),SpiceJet B738 (VT-SYJ),Landed 21:22,2021-06-08
60,60,22:00 G8954,,Varanasi (VNS),Go Air 32A,Canceled,2021-06-08
61,61,22:20 G8138,,Lucknow (LKO),Go Air 32A,Canceled,2021-06-08
62,62,22:20 G88030,,Hyderabad (HYD),Go Air 32A,Canceled,2021-06-08
63,63,23:20 2T176,,Indore (IDR),Trujet AT7,Unknown,2021-06-08
0,0,00:00 6E8648,,Mumbai (BOM),IndiGo A21N (VT-IUO),Landed 23:41,2021-06-09
1,1,02:10 AI1976,,Muscat (MCT),Air India A20N (VT-EXM),Landed 01:22,2021-06-09
2,2,02:35,EY288,Abu Dhabi (AUH),Etihad (ADNOC - Choose China Livery) B789 (A6-BLF),Landed 02:15,2021-06-09
3,3,02:40 BZ481,,Delhi (DEL),Blue Dart Aviation B752 (VT-BDM),Landed 02:24,2021-06-09
4,4,03:05 EK538,,Dubai (DXB),Emirates 77W,Canceled,2021-06-09
5,5,03:30 QR8612,,Doha (DOH),Qatar Cargo B77L (A7-BFF),Landed 03:18,2021-06-09
6,6,03:35 BZ154,,Mumbai (BOM),Blue Dart Aviation B752 (VT-BDB),Landed 03:27,2021-06-09
7,7,04:35 G9489,,Sharjah (SHJ),Air Arabia -,Canceled,2021-06-09
8,8,06:35 6E995,,Hyderabad (HYD),IndiGo A20N (VT-IZW),Landed 06:22,2021-06-09
9,9,07:25 6E6244,,Chennai (MAA),IndiGo A20N (VT-ITR),Landed 06:45,2021-06-09
10,10,07:50 G8801,,Bengaluru (BLR),GoAir A20N (VT-WGR),Landed 07:31,2021-06-09
11,11,08:15 6E586,,Bengaluru (BLR),IndiGo A21N (VT-IUY),Landed 07:49,2021-06-09
12,12,08:20 6E754,,Kolkata (CCU),IndiGo A20N (VT-IJY),Landed 07:44,2021-06-09
13,13,08:40 G8365,,Mumbai (BOM),GoAir A20N (VT-WGS),Landed 08:32,2021-06-09
14,14,08:45 G8911,,Chennai (MAA),Go Air 32A,Canceled,2021-06-09
15,15,08:55 G8719,,Delhi (DEL),Go Air 32A,Canceled,2021-06-09
16,16,09:50 2T706,,Porbandar (PBD),TruJet AT76 (VT-TMT),Landed 09:29,2021-06-09
17,17,09:55 SG3760,,Amritsar (ATQ),SpiceJet DH8,Unknown,2021-06-09
18,18,10:00 2T174,,Indore (IDR),Trujet AT7,Unknown,2021-06-09
19,19,10:10 SG3015,,Kishangarh (KQH),SpiceJet DH8D (VT-SQH),Landed 09:19,2021-06-09
20,20,10:15 SG2948,,Jaipur (JAI),SpiceJet DH8D (VT-SQA),Landed 10:07,2021-06-09
21,21,10:20,UK979,Delhi (DEL),Vistara A21N (VT-TVA),Landed 09:58,2021-06-09
22,22,10:55 S9102,,Indore (IDR),FlyBig AT7,Unknown,2021-06-09
23,23,11:10 6E2043,,Delhi (DEL),IndiGo A20N (VT-IJC),Landed 10:40,2021-06-09
24,24,11:30,9I871,Nashik (ISK),Alliance Air ATR,Unknown,2021-06-09
25,25,11:55 G88007,,Varanasi (VNS),Go Air 32A,Canceled,2021-06-09
26,26,12:30 G8915,,Jaipur (JAI),Go Air 32A,Canceled,2021-06-09
27,27,12:35 6E6494,,Varanasi (VNS),IndiGo A20N (VT-IVO),Landed 12:00,2021-06-09
28,28,13:05 2T720,,Keshod (IXK),Trujet AT7,Unknown,2021-06-09
29,29,13:40 2T704,,Jaisalmer (JSA),TruJet AT76 (VT-TMT),Landed 13:01,2021-06-09
30,30,13:45 SG392,,Darbhanga (DBR),SpiceJet B738 (VT-SYA),Landed 13:40,2021-06-09
31,31,13:50 OG126,,Kishangarh (KQH),Star Air ERJ,Unknown,2021-06-09
32,32,14:20 6E6719,,Hyderabad (HYD),IndiGo A20N (VT-IJM),Landed 14:00,2021-06-09
33,33,14:30 6E287,,Bengaluru (BLR),IndiGo A20N (VT-IVL),Landed 14:19,2021-06-09
34,34,14:40,9I874,Kandla (IXY),Alliance Air ATR,Unknown,2021-06-09
35,35,15:40 SG3762,,Dehradun (DED),SpiceJet DH8,Unknown,2021-06-09
36,36,15:50 OG107,,Belgaum (IXG),Star Air ERJ,Unknown,2021-06-09
37,37,16:35 SG2972,,Varanasi (VNS),SpiceJet DH8D (VT-SQH),Landed 16:26,2021-06-09
38,38,16:35 S9122,,Bhopal (BHO),FlyBig AT7,Unknown,2021-06-09
39,39,16:35 2T712,,Kandla (IXY),Trujet AT7,Unknown,2021-06-09
40,40,16:50 G88034,,Patna (PAT),Go Air 32A,Unknown,2021-06-09
41,41,16:50 SG3242,,Gorakhpur (GOP),SpiceJet DH8,Unknown,2021-06-09
42,42,17:00 G8914,,Goa (GOI),Go Air 32A,Canceled,2021-06-09
43,43,17:40 G8913,,Chandigarh (IXC),GoAir A20N (VT-WGS),Landed 17:55,2021-06-09
44,44,17:40 6E5392,,Mumbai (BOM),IndiGo A20N (VT-ITJ),Landed 17:19,2021-06-09
45,45,18:10 AI637,,Mumbai (BOM),Air india (Star Alliance Livery) A20N (VT-EXO),Landed 18:21,2021-06-09
46,46,18:10 G8717,,Delhi (DEL),GoAir A20N (VT-WGC),Landed 18:12,2021-06-09
47,47,18:10 6E6968,,Lucknow (LKO),IndiGo A20N (VT-IJP),Landed 17:37,2021-06-09
48,48,18:20 6E5376,,Mumbai (BOM),IndiGo A20N (VT-IVE),Landed 18:09,2021-06-09
49,49,18:35 2T184,,Aurangabad (IXU),Trujet AT7,Unknown,2021-06-09
50,50,19:00 G8803,,Bengaluru (BLR),Go Air 32A,Canceled,2021-06-09
51,51,19:20 SG955,,Patna (PAT),SpiceJet 737,Unknown,2021-06-09
52,52,19:25 G8537,,Kolkata (CCU),Go Air 32A,Canceled,2021-06-09
53,53,19:25 S9132,,Indore (IDR),FlyBig AT7,Unknown,2021-06-09
54,54,19:30 SG938,,Bengaluru (BLR),SpiceJet 737,Unknown,2021-06-09
55,55,19:35 6E239,,Bengaluru (BLR),IndiGo A21N (VT-IUY),Landed 19:25,2021-06-09
56,56,19:50 G8363,,Mumbai (BOM),Go Air 32A,Canceled,2021-06-09
57,57,20:05 2T708,,Nashik (ISK),Trujet AT7,Unknown,2021-06-09
58,58,20:05 SG2974,,Goa (GOI),SpiceJet DH8,Unknown,2021-06-09
59,59,20:15 6E2136,,Delhi (DEL),IndiGo A20N (VT-IZT),Landed 19:58,2021-06-09
60,60,20:30 SG6631,,Pune (PNQ),SpiceJet DH8D (VT-SQA),Landed 20:30,2021-06-09
61,61,20:45 AI1102,,Delhi (DEL),Air India 321,Unknown,2021-06-09
62,62,20:45 AI1102,,Mumbai (BOM),Air India 321,Unknown,2021-06-09
63,63,21:10 AI531,,Delhi (DEL),Air India A321 (VT-PPQ),Landed 20:53,2021-06-09
64,64,21:25 6E256,,Patna (PAT),IndiGo A20N (VT-IJC),Landed 21:03,2021-06-09
65,65,21:50 SG8193,,Delhi (DEL),SpiceJet B738 (VT-SYJ),Canceled,2021-06-09
66,66,21:50 SG9111,,Lucknow (LKO),SpiceJet (With All Our Heart Livery) B738 (VT-SZK),Landed 21:56,2021-06-09
67,67,22:00 G8954,,Varanasi (VNS),Go Air 32A,Canceled,2021-06-09
68,68,22:20 G8138,,Lucknow (LKO),Go Air 32A,Canceled,2021-06-09
69,69,22:20 G88030,,Hyderabad (HYD),Go Air 32A,Canceled,2021-06-09
70,70,22:35 G88003,,Kolkata (CCU),Go Air 32A,Canceled,2021-06-09
71,71,23:20 2T176,,Indore (IDR),Trujet AT7,Unknown,2021-06-09
72,72,23:30 6E674,,Kolkata (CCU),IndiGo A20N (VT-IVO),Landed 23:12,2021-06-09
0,0,02:40 BZ481,,Delhi (DEL),Blue Dart Aviation B752 (VT-BDB),Landed 02:39,2021-06-10
1,1,03:35 BZ154,,Mumbai (BOM),Blue Dart Aviation B752 (VT-BDN),Landed 03:43,2021-06-10
2,2,03:40 EK9816,,Dubai (DXB),Emirates SkyCargo B77L (A6-EFK),Landed 03:51,2021-06-10
3,3,04:35 G9489,,Sharjah (SHJ),Air Arabia A320 (A6-ANQ),Landed 04:24,2021-06-10
4,4,06:35 6E995,,Hyderabad (HYD),IndiGo A20N (VT-ITU),Landed 06:30,2021-06-10
5,5,07:25 6E6244,,Chennai (MAA),IndiGo A20N (VT-ITR),Landed 06:39,2021-06-10
6,6,07:50 G8801,,Bengaluru (BLR),Go Air A20N (VT-WJT),Canceled,2021-06-10
7,7,08:15 6E586,,Bengaluru (BLR),IndiGo A20N (VT-ITB),Landed 08:00,2021-06-10
8,8,08:30 ET3432,,Addis Ababa (ADD),Ethiopian Airlines 73F,Unknown,2021-06-10
9,9,08:40 G8365,,Mumbai (BOM),GoAir A20N (VT-WGR),Landed 08:27,2021-06-10
10,10,08:45 G8911,,Chennai (MAA),Go Air 32A,Canceled,2021-06-10
11,11,08:55 G8719,,Delhi (DEL),Go Air 32A,Canceled,2021-06-10
12,12,09:50 2T706,,Porbandar (PBD),Trujet AT7,Unknown,2021-06-10
13,13,09:55 SG3760,,Amritsar (ATQ),SpiceJet DH8D (VT-SUJ),Unknown,2021-06-10
14,14,10:00 2T174,,Indore (IDR),Trujet AT7,Unknown,2021-06-10
15,15,10:10 SG3015,,Kishangarh (KQH),SpiceJet DH8,Unknown,2021-06-10
16,16,10:15 SG2948,,Jaipur (JAI),SpiceJet DH8D (VT-SQA),Landed 09:50,2021-06-10
17,17,10:20,UK979,Delhi (DEL),Vistara A21N (VT-TVA),Landed 09:52,2021-06-10
18,18,10:55 S9102,,Indore (IDR),FlyBig AT7,Unknown,2021-06-10
19,19,11:10 6E2043,,Delhi (DEL),IndiGo A20N (VT-ITE),Landed 10:39,2021-06-10
20,20,11:30,9I871,Nashik (ISK),Alliance Air ATR,Unknown,2021-06-10
21,21,11:55 G88007,,Varanasi (VNS),Go Air 32A,Canceled,2021-06-10
22,22,12:30 G8915,,Jaipur (JAI),Go Air 32A,Canceled,2021-06-10
23,23,12:35 6E6494,,Varanasi (VNS),IndiGo A20N (VT-IVE),Landed 12:00,2021-06-10
24,24,13:05 2T720,,Keshod (IXK),Trujet AT7,Unknown,2021-06-10
25,25,13:40 2T704,,Jaisalmer (JSA),Trujet AT7,Unknown,2021-06-10
26,26,13:45 SG392,,Darbhanga (DBR),SpiceJet B738 (VT-SYJ),Landed 13:40,2021-06-10
27,27,14:20 6E6719,,Hyderabad (HYD),IndiGo A20N (VT-IJI),Landed 13:55,2021-06-10
28,28,14:30 6E287,,Bengaluru (BLR),IndiGo A20N (VT-ITF),Landed 14:12,2021-06-10
29,29,14:40,9I874,Kandla (IXY),Alliance Air ATR,Unknown,2021-06-10
30,30,14:55 6E277,,Chandigarh (IXC),IndiGo A20N (VT-IVQ),Landed 14:16,2021-06-10
31,31,15:40 SG3762,,Dehradun (DED),SpiceJet DH8,Unknown,2021-06-10
32,32,16:35 SG2972,,Varanasi (VNS),SpiceJet DH8D (VT-SQA),Landed 17:03,2021-06-10
33,33,16:35 S9122,,Bhopal (BHO),FlyBig AT7,Unknown,2021-06-10
34,34,16:35 2T712,,Kandla (IXY),Trujet AT7,Unknown,2021-06-10
