,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,01:15 SK6004,,Malaga (AGP),SAS A20N (SE-ROH),Landed 00:56,2021-06-08
1,1,07:15,QR169,Doha (DOH),Qatar Airways A359 (A7-ALA),Landed 06:55,2021-06-08
2,2,07:15 SK27,,Umea (UME),SAS A20N (LN-RGO),Landed 06:54,2021-06-08
3,3,07:20 SK1783,,Tallinn (TLL),SAS CRJ9 (ES-ACM),Landed 07:08,2021-06-08
4,4,07:25 SK130,,Malmo (MMX),SAS A20N (SE-DYD),Landed 07:18,2021-06-08
5,5,07:30,SK1,Lulea (LLA),SAS A20N (SE-ROF),Landed 07:10,2021-06-08
6,6,07:30 SK75,,Ostersund (OSD),SAS CRJ9 (ES-ACG),Landed 07:15,2021-06-08
7,7,07:30 SK140,,Gothenburg (GOT),SAS A20N (SE-ROI),Landed 07:13,2021-06-08
8,8,07:30 W27651,,Hagfors (HFS),Flexflight J32,Unknown,2021-06-08
9,9,07:35 SK1011,,Skelleftea (SFT),SAS A20N (SE-ROC),Landed 07:18,2021-06-08
10,10,07:35 SK2178,,Angelholm (AGH),SAS AT76 (ES-ATC),Landed 07:29,2021-06-08
11,11,07:45 AY801,,Helsinki (HEL),Finnair AT75 (OH-ATJ),Landed 07:37,2021-06-08
12,12,07:50 W2231,,Sveg (EVG),Jonair BE20 (SE-MJU),Landed 07:39,2021-06-08
13,13,08:10 W27659,,Lycksele (LYC),Flexflight F50,Unknown,2021-06-08
14,14,08:10 HP659,,Lycksele (LYC),Amapola Flyg F50 (SE-MFR),Landed 07:41,2021-06-08
15,15,08:40 W27302,,Sundsvall (SDL),Flexflight F50,Unknown,2021-06-08
16,16,08:40 HP302,,Sundsvall (SDL),Amapola Flyg F50 (SE-LIO),Landed 08:19,2021-06-08
17,17,09:10,SK1416,Copenhagen (CPH),SAS A20N (SE-DYC),Landed 09:19,2021-06-08
18,18,09:40 LO453,,Warsaw (WAW),LOT E190 (SP-LMA),Landed 09:32,2021-06-08
19,19,10:50,SK2023,Umea (UME),SAS A20N (SE-DYD),Landed 10:47,2021-06-08
20,20,11:05 SK1013,,Skelleftea (SFT),SAS CRJ9 (ES-ACG),Landed 10:55,2021-06-08
21,21,11:20,SK5,Lulea (LLA),SAS A20N (SE-ROI),Landed 11:11,2021-06-08
22,22,11:20 SK106,,Malmo (MMX),SAS CRJ9 (ES-ACM),Landed 11:13,2021-06-08
23,23,11:20,SK142,Gothenburg (GOT),SAS AT76 (ES-ATC),Landed 11:34,2021-06-08
24,24,12:00,AF1262,Paris (CDG),Air France A320 (F-GKXV),Landed 11:45,2021-06-08
25,25,12:00 PC1279,,Istanbul (SAW),Pegasus A20N (TC-NCI),Landed 11:39,2021-06-08
26,26,12:10,SK590,Brussels (BRU),SAS A20N (SE-ROE),Landed 11:58,2021-06-08
27,27,12:20,AY807,Helsinki (HEL),Finnair AT75 (OH-ATI),Landed 12:16,2021-06-08
28,28,13:00,SK1420,Copenhagen (CPH),SAS A20N (SE-DYC),Landed 13:00,2021-06-08
29,29,13:15 QR8822,,Doha (DOH),Qatar Airways B789 (A7-BHB),Landed 12:51,2021-06-08
30,30,13:30,SK1045,Kiruna (KRN),SAS A20N (SE-ROC),Diverted to LLA,2021-06-08
31,31,14:00 DY4116,,Oslo (OSL),Norwegian B738 (SE-RPT),Landed 13:41,2021-06-08
32,32,14:05,IB3314,Madrid (MAD),Iberia A20N (EC-NJU),Landed 13:53,2021-06-08
33,33,14:30 SK488,,Oslo (OSL),SAS A20N (SE-ROL),Landed 14:17,2021-06-08
34,34,14:45 SK9048,,Gothenburg (GOT),SAS A20N (SE-ROP),Landed 14:53,2021-06-08
35,35,15:10 DY4202,,Alicante (ALC),Norwegian B738 (LN-NHA),Landed 14:55,2021-06-08
36,36,15:20,LH806,Frankfurt (FRA),Lufthansa A20N (D-AINA),Landed 15:18,2021-06-08
37,37,15:45 6B508,,Samos (SMI),TUI B738 (SE-RFM),Landed 15:36,2021-06-08
38,38,16:10 SK1806,,Palma de Mallorca (PMI),SAS A20N (LN-RGO),Landed 16:12,2021-06-08
39,39,16:30,AY813,Helsinki (HEL),Finnair AT75 (OH-ATM),Landed 16:39,2021-06-08
40,40,16:30 SK1745,,Tallinn (TLL),SAS CRJ9 (ES-ACG),Landed 16:17,2021-06-08
41,41,16:40,KL1115,Amsterdam (AMS),KLM (SkyTeam Livery) B739 (PH-BXO),Landed 16:40,2021-06-08
42,42,16:50,TK1795,Istanbul (IST),Turkish Airlines A21N (TC-LSR),Landed 16:42,2021-06-08
43,43,16:55 SK1017,,Skelleftea (SFT),SAS AT76 (ES-ATH),Landed 16:45,2021-06-08
44,44,17:05 SK11,,Lulea (LLA),SAS A20N (SE-DYM),Landed 17:06,2021-06-08
45,45,17:05 SK35,,Umea (UME),SAS A20N (SE-ROF),Landed 16:57,2021-06-08
46,46,17:05 SK2112,,Malmo (MMX),Xfly CRJ9 (ES-ACP),Landed 17:13,2021-06-08
47,47,17:10 SK162,,Gothenburg (GOT),SAS AT76 (ES-ATC),Landed 16:59,2021-06-08
48,48,17:15 DY4016,,Umea (UME),Norwegian B738 (SE-RPT),Landed 17:02,2021-06-08
49,49,17:15 SK408,,Copenhagen (CPH),SAS A20N (SE-DYC),Landed 17:32,2021-06-08
50,50,18:10 W2233,,Sveg (EVG),Jonair BE20 (SE-MJU),Landed 17:52,2021-06-08
51,51,20:35 SK1854,,Alicante (ALC),SAS A20N (SE-DYD),Landed 20:18,2021-06-08
52,52,20:50 DY4046,,Lulea (LLA),Norwegian B738 (SE-RPT),Landed 20:32,2021-06-08
53,53,20:55 0B147,,Bucharest (OTP),Blue Air 738,Unknown,2021-06-08
54,54,21:35,SK528,London (LHR),SAS A20N (SE-ROU),Landed 21:18,2021-06-08
55,55,22:55,KL1121,Amsterdam (AMS),KLM B738 (PH-BXV),Landed 22:33,2021-06-08
56,56,23:00,LH808,Frankfurt (FRA),Lufthansa A319 (D-AILL),Landed 22:56,2021-06-08
57,57,23:25,AF1462,Paris (CDG),Air France A319 (F-GRHK),Landed 23:26,2021-06-08
0,0,00:45 DY4224,,Malaga (AGP),Norwegian B738 (LN-NHA),Landed 00:50,2021-06-10
1,1,02:25 N9358,,Rhodes (RHO),Novair 32Q,Unknown,2021-06-10
2,2,07:15 SK27,,Umea (UME),SAS A20N (SE-ROA),Landed 06:54,2021-06-10
3,3,07:20 SK400,,Copenhagen (CPH),SAS A20N (SE-ROS),Landed 07:17,2021-06-10
4,4,07:20 SK140,,Gothenburg (GOT),SAS A20N (SE-ROC),Landed 07:09,2021-06-10
5,5,07:20 SK1783,,Tallinn (TLL),Xfly CRJ9 (ES-ACP),Landed 07:04,2021-06-10
6,6,07:25,SK130,Malmo (MMX),SAS A20N (SE-ROO),Landed 07:12,2021-06-10
7,7,07:30,SK1,Lulea (LLA),SAS A20N (SE-ROI),Landed 07:15,2021-06-10
8,8,07:30,SK75,Ostersund (OSD),SAS CRJ9 (ES-ACG),Landed 07:06,2021-06-10
9,9,07:30,SK2198,Kalmar (KLR),SAS AT76 (ES-ATC),Landed 07:22,2021-06-10
10,10,07:35 SK2178,,Angelholm (AGH),SAS AT76 (ES-ATH),Landed 07:28,2021-06-10
11,11,07:45,AY801,Helsinki (HEL),Finnair AT75 (OH-ATF),Landed 07:41,2021-06-10
12,12,07:50 W2231,,Sveg (EVG),Jonair BE20 (SE-MJU),Landed 07:48,2021-06-10
13,13,08:10,BT101,Riga (RIX),Air Baltic BCS3 (YL-AAV),Landed 08:00,2021-06-10
14,14,08:10 W27659,,Lycksele (LYC),Flexflight F50,Unknown,2021-06-10
15,15,08:10 HP659,,Lycksele (LYC),Amapola Flyg F50 (SE-MFZ),Landed 07:53,2021-06-10
16,16,08:15,LO8811,Arvidsjaur (AJR),Nordica CRJ9 (ES-ACB),Landed 08:12,2021-06-10
17,17,08:40 W27302,,Sundsvall (SDL),Flexflight F50,Unknown,2021-06-10
18,18,08:40 HP302,,Sundsvall (SDL),Amapola Flyg F50 (SE-LIO),Landed 08:32,2021-06-10
19,19,09:10 SK1416,,Copenhagen (CPH),SAS A20N (SE-ROB),Landed 09:09,2021-06-10
20,20,09:40 LO453,,Warsaw (WAW),LOT (Warmia Mazury Livery) E195 (SP-LNF),Landed 09:34,2021-06-10
21,21,10:10,TK1793,Istanbul (IST),Turkish Airlines A21N (TC-LSG),Landed 09:46,2021-06-10
22,22,10:40,OK490,Prague (PRG),Czech Airlines A319 (OK-REQ),Landed 10:21,2021-06-10
23,23,10:45,SK142,Gothenburg (GOT),SAS A20N (SE-DYD),Landed 10:58,2021-06-10
24,24,10:50 SK1013,,Skelleftea (SFT),SAS CRJ9 (ES-ACG),Landed 10:35,2021-06-10
25,25,10:50,SK2023,Umea (UME),SAS A20N (SE-ROI),Landed 10:46,2021-06-10
26,26,11:20,SK5,Lulea (LLA),SAS A20N (SE-ROO),Landed 11:21,2021-06-10
27,27,11:20 SK106,,Malmo (MMX),Xfly CRJ9 (ES-ACP),Landed 11:24,2021-06-10
28,28,11:40,SK73,Ostersund (OSD),SAS AT76 (ES-ATC),Landed 11:26,2021-06-10
29,29,11:40,SU2210,Moscow (SVO),Aeroflot SU95 (RA-89023),Landed 11:30,2021-06-10
30,30,11:55,LH2414,Munich (MUC),Lufthansa A320 (D-AIZD),Landed 12:07,2021-06-10
31,31,12:00,AF1262,Paris (CDG),Air France A319 (F-GRHV),Landed 12:09,2021-06-10
