,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,8:38 AM M38443,,Miami (MIA),LATAM Cargo Brasil 76V,Unknown,2020-10-04
1,1,9:50 PM QT4089,,Bogota (BOG),Avianca Cargo 33X,Unknown,2020-10-04
2,2,10:00 PM QCL110,,Buenos Aires (EZE),- 72Y,Unknown,2020-10-04
0,0,6:15 AM,UX23,Madrid (MAD),Air Europa 788,Unknown,2020-10-04
1,1,6:15 AM UX323,,Madrid (MAD),Air Europa B788 (EC-MMX),Landed 5:23 AM,2020-10-04
2,2,6:50 AM 2D162,,Miami (MIA),Eastern Airlines B762 (N603KW),Landed 7:44 AM,2020-10-04
0,0,8:55 AM,AR1340,Buenos Aires (EZE),Aerolineas Argentinas B738 (LV-FUB),Landed 8:31 AM,2020-10-05
1,1,9:50 AM Z7740,,Montevideo (MVD),Amas Uruguay E190 (CX-IVO),Landed 10:00 AM,2020-10-05
2,2,5:00 PM Z7951,,Sao Paulo (GRU),Cristalux E90,Unknown,2020-10-05
3,3,6:31 PM L72897,,Miami (MIA),LATAM Cargo B763 (N418LA),Landed 6:32 PM,2020-10-05
0,0,8:55 AM,AR1340,Buenos Aires (EZE),Aerolineas Argentinas 738,Canceled,2020-10-07
1,1,12:40 PM QT4089,,Bogota (BOG),Avianca Cargo 33X,Unknown,2020-10-07
2,2,9:02 PM LA2851,,Lima (LIM),LATAM Airlines A319 (CC-CPO),Landed 9:26 PM,2020-10-07
0,0,5:10 PM QT4087,,Bogota (BOG),Avianca Cargo A332 (N336QT),Landed 8:57 PM,2020-10-08
1,1,6:10 PM,ZP848,Montevideo (MVD),Paranair CR2,Unknown,2020-10-08
2,2,6:48 PM M38440,,Campinas (VCP),LATAM Cargo Brasil 76V,Unknown,2020-10-08
0,0,2:42 AM L72841,,Miami (MIA),LATAM Cargo B763 (N534LA),Landed 7:29 AM,2020-10-09
1,1,6:10 AM QT831,,Bogota (BOG),Avianca Cargo 33F,Unknown,2020-10-09
2,2,8:55 AM AR1340,,Buenos Aires (EZE),Aerolineas Argentinas 738,Canceled,2020-10-09
0,0,8:38 AM M38443,,Miami (MIA),LATAM Cargo Brasil 76V,Unknown,2020-10-11
1,1,11:04 AM LA1244,,Santiago (SCL),LATAM Airlines A320 (CC-BAA),Landed 11:14 AM,2020-10-11
2,2,9:50 PM QT4089,,Bogota (BOG),Avianca Cargo 33X,Unknown,2020-10-11
3,3,10:00 PM QCL110,,Buenos Aires (EZE),- 72Y,Unknown,2020-10-11
0,0,8:55 AM AR1340,,Buenos Aires (EZE),Aerolineas Argentinas 738,Canceled,2020-10-12
