,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:05 GQ605,,Larnaca (LCA),Sky Express A20N (SX-WEB),Landed 00:47,2021-06-08
1,1,00:55,AF1032,Paris (CDG),Air France A319 (F-GRXJ),Landed 01:22,2021-06-08
2,2,01:10,KL1581,Amsterdam (AMS),KLM B738 (PH-BGB),Landed 00:41,2021-06-08
3,3,04:00,ET760,Addis Ababa (ADD),Ethiopian Airlines B738 (ET-AQQ),Landed 03:39,2021-06-08
4,4,06:10,A3931,Cairo (CAI),Aegean Airlines A21N (SX-NAB),Landed 05:55,2021-06-08
5,5,07:00,OA77,Skiathos (JSI),Olympic Air DH8D (SX-OBF),Landed 06:49,2021-06-08
6,6,07:00,OA901,Larnaca (LCA),Aegean Airlines A20N (SX-NEC),Landed 06:49,2021-06-08
7,7,07:05,OA351,Santorini (JTR),Aegean Airlines A320 (SX-DVI),Unknown,2021-06-08
8,8,07:10,OA331,Chania (CHQ),Aegean Airlines A320 (SX-DGC),Unknown,2021-06-08
9,9,07:15,OA221,Kos (KGS),Olympic Air DH8D (SX-OBA),Unknown,2021-06-08
10,10,07:20,OA301,Heraklion (HER),Aegean Airlines A320 (SX-DVT),Landed 07:11,2021-06-08
11,11,07:20,OA101,Thessaloniki (SKG),Aegean Airlines A320 (SX-DVY),Landed 07:09,2021-06-08
12,12,07:30,OA201,Rhodes (RHO),Aegean Airlines A320 (SX-DVJ),Landed 07:25,2021-06-08
13,13,07:50,AA160,Chicago (ORD),American Airlines B788 (N801AC),Landed 07:38,2021-06-08
14,14,08:00 W64561,,Larnaca (LCA),Wizz Air A21N (HA-LVG),Landed 08:00,2021-06-08
15,15,08:25,OA49,Skyros (SKU),Olympic Air AT46 (SX-OAW),Landed 08:14,2021-06-08
16,16,08:40,OA253,Mytilene (MJT),Aegean Airlines A321 (SX-DGP),Landed 08:26,2021-06-08
17,17,08:50,TK1845,Istanbul (IST),Turkish Airlines B738 (TC-JHM),Landed 08:52,2021-06-08
18,18,08:55 GQ31,,Kalymnos (JKL),Sky Express AT45 (SX-TWO),Landed 08:40,2021-06-08
19,19,08:55 3V4365,,Liege (LGG),ASL Airlines Belgium B738 (OE-IMC),Landed 08:58,2021-06-08
20,20,09:05 GQ251,,Chania (CHQ),Sky Express A20N (SX-WEB),Landed 08:52,2021-06-08
21,21,09:05 FR1198,,Rome (CIA),Ryanair B738 (9H-QDL),Unknown,2021-06-08
22,22,09:10,OA151,Kavala (KVA),Olympic Air DH8D (SX-OBG),Landed 09:04,2021-06-08
23,23,09:10,TR712,Singapore (SIN),Scoot B788 (9V-OFJ),Landed 08:58,2021-06-08
24,24,09:15,OA105,Thessaloniki (SKG),Aegean Airlines A20N (SX-NEO),Landed 09:11,2021-06-08
25,25,09:25 GQ301,,Mytilene (MJT),Sky Express AT45 (SX-EIT),Landed 09:02,2021-06-08
26,26,09:25 GQ381,,Thessaloniki (SKG),Sky Express A20N (SX-IOG),Landed 09:20,2021-06-08
27,27,09:25 5X6118,,Munich (MUC),UPS Airlines 76F,Unknown,2021-06-08
28,28,09:35 GQ221,,Kos (KGS),Sky Express ATR,Unknown,2021-06-08
29,29,09:40 GQ211,,Heraklion (HER),Sky Express A20N (SX-GNA),Landed 09:42,2021-06-08
30,30,10:00,DL202,New York (JFK),Delta Air Lines A333 (N803NW),Landed 10:03,2021-06-08
31,31,10:00 GQ271,,Corfu (CFU),Sky Express AT75 (SX-ONE),Landed 09:47,2021-06-08
32,32,10:00 GQ461,,Karpathos (AOK),Sky Express AT75 (SX-NIV),Landed 09:52,2021-06-08
33,33,10:10,OA283,Corfu (CFU),Aegean Airlines A320 (SX-DGY),Landed 09:43,2021-06-08
34,34,10:10 W64687,,Dortmund (DTM),Wizz Air 320,Unknown,2021-06-08
35,35,10:15 ME251,,Beirut (BEY),MEA A21N (T7-ME6),Landed 10:00,2021-06-08
36,36,10:20,OA21,Milos (MLO),Olympic Air AT46 (SX-OAX),Landed 10:12,2021-06-08
37,37,10:25 GQ281,,Rhodes (RHO),Sky Express A20N (SX-TEC),Landed 10:10,2021-06-08
38,38,10:25,OA373,Mykonos (JMK),Olympic Air DH8D (SX-OBC),Unknown,2021-06-08
