,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:10 WN1055,,San Diego (SAN),Southwest Airlines B737 (N238WN),Landed 00:29,2021-06-08
1,1,00:10 WN1944,,Phoenix (PHX),Southwest Airlines B738 (N8560Z),Landed 01:31,2021-06-08
2,2,00:15 WN1866,,Los Angeles (LAX),Southwest Airlines B38M (N8750Q),Landed 03:21,2021-06-08
3,3,00:21 DL1771,,Atlanta (ATL),Delta Air Lines A321 (N107DN),Landed 00:09,2021-06-08
4,4,00:47 DL2107,,Salt Lake City (SLC),Delta Air Lines BCS1 (N123DQ),Landed 00:24,2021-06-08
5,5,01:15 WN1685,,Las Vegas (LAS),Southwest Airlines B38M (N8735L),Landed 01:33,2021-06-08
6,6,02:29 9S3642,,Baltimore (BWI),Amazon Air B738 (N5153A),Unknown,2021-06-08
7,7,04:23 BVN8279,,Fort Worth (AFW),FedEx C208 (N934FE),Landed 03:11,2021-06-08
8,8,04:58 BVN8280,,Fort Worth (AFW),FedEx C208 (N828FE),Landed 04:41,2021-06-08
9,9,05:08 BVN8281,,Fort Worth (AFW),FedEx C208 (N889FE),Landed 05:09,2021-06-08
10,10,05:22 FX1432,,Memphis (MEM),FedEx MD11 (N572FE),Landed 06:13,2021-06-08
11,11,05:32 5X788,,Louisville (SDF),UPS A306 (N159UP),Landed 05:59,2021-06-08
12,12,07:10 WN3642,,Dallas (DAL),Southwest Airlines B737 (N264LV),Landed 06:44,2021-06-08
13,13,07:27 NK464,,Atlanta (ATL),Spirit Airlines A320 (N629NK),Landed 07:11,2021-06-08
14,14,07:33,,Dallas (ADS),- COL3 (N117FP),Landed 07:38,2021-06-08
15,15,08:12 AA1857,,Dallas (DFW),American Airlines B738 (N890NN),Canceled,2021-06-08
16,16,08:40 WN4456,,Denver (DEN),Southwest Airlines B737 (N562WN),Landed 08:35,2021-06-08
17,17,08:45 GB2040,,Cincinnati (CVG),ABX Air B762 (N312AA),Landed 08:41,2021-06-08
18,18,09:25 WN2285,,Tampa (TPA),Southwest Airlines B738 (N8518R),Landed 08:59,2021-06-08
19,19,09:30 WN2697,,Dallas (DAL),Southwest Airlines B737 (N220WN),Landed 09:24,2021-06-08
20,20,09:33 DL1098,,Atlanta (ATL),Delta Air Lines A321 (N101DQ),Landed 09:12,2021-06-08
21,21,09:35,AA1629,Chicago (ORD),American Airlines B738 (N922AN),Landed 09:23,2021-06-08
22,22,09:35 WN1374,,Orlando (MCO),Southwest Airlines B38M (N8746Q),Landed 09:19,2021-06-08
23,23,09:38,,Tuscaloosa (TCL),- BE20 (N187MR),Landed 10:06,2021-06-08
24,24,09:45 WN622,,Houston (HOU),Southwest Airlines B737 (N725SW),Landed 10:00,2021-06-08
25,25,09:55 DL344,,Boston (BOS),Delta Air Lines BCS1 (N127DU),Landed 09:38,2021-06-08
26,26,10:00 AA1059,,Dallas (DFW),American Airlines B738 (N852NN),Landed 10:00,2021-06-08
27,27,10:00 WN1535,,Atlanta (ATL),Southwest Airlines B737 (N7730A),Landed 09:41,2021-06-08
28,28,10:03 1I228,,Las Vegas (LAS),NetJets CL60 (N228QS),Diverted to MMU,2021-06-08
29,29,10:05 WN3424,,Nashville (BNA),Southwest Airlines B737 (N423WN),Landed 09:52,2021-06-08
30,30,10:11,,Wichita Falls (SPS),- C210,Canceled,2021-06-08
31,31,10:15 WN3312,,Phoenix (PHX),Southwest Airlines B738 (N8673F),Landed 09:49,2021-06-08
32,32,10:27,UA2310,Houston (IAH),United Airlines A319 (N851UA),Landed 10:22,2021-06-08
33,33,10:27 1I696,,San Angelo (SJT),NetJets C68A,Unknown,2021-06-08
34,34,10:27 1I235,,Waukesha (UES),NetJets CL60 (N235QS),Landed 10:05,2021-06-08
35,35,10:37,AA4180,Miami (MIA),American Eagle E75L (N265NN),Landed 10:36,2021-06-08
36,36,10:51,,San Angelo (SJT),- C208 (N828FE),Landed 10:50,2021-06-08
37,37,10:52,DL2509,Detroit (DTW),Delta Air Lines BCS1 (N141DU),Landed 11:03,2021-06-08
38,38,11:00,DL368,New York (JFK),Delta Air Lines BCS3 (N305DU),Landed 11:01,2021-06-08
39,39,11:00 WN2981,,Chicago (MDW),Southwest Airlines B738 (N8511K),Landed 10:55,2021-06-08
40,40,11:05 WN4050,,Denver (DEN),Southwest Airlines B737 (N262WN),Landed 10:58,2021-06-08
41,41,11:05 WN5559,,Baltimore (BWI),Southwest Airlines B738 (N8620H),Landed 11:22,2021-06-08
42,42,11:12 UA2316,,New York (EWR),United Airlines B738 (N33262),Landed 10:42,2021-06-08
43,43,11:14,B61039,Boston (BOS),JetBlue Airways A320 (N509JB),Landed 10:26,2021-06-08
44,44,11:15 AA2818,,Charlotte (CLT),American Airlines B738 (N943AN),Landed 11:52,2021-06-08
45,45,11:15 WN2798,,New Orleans (MSY),Southwest Airlines B737 (N7713A),Landed 11:06,2021-06-08
46,46,11:15,,Fort Worth (FTW),- BE20 (N28VR),Landed 11:10,2021-06-08
47,47,11:16 AA4766,,Nashville (BNA),American Eagle E75L (N448YX),Landed 11:04,2021-06-08
48,48,11:23,B6795,New York (JFK),JetBlue Airways E190 (N294JB),Landed 11:00,2021-06-08
49,49,11:25 WN2652,,San Diego (SAN),Southwest Airlines B738 (N8645A),Landed 10:54,2021-06-08
50,50,11:34,UA4765,Denver (DEN),United Express E75L (N154SY),Landed 11:20,2021-06-08
51,51,11:37 NK598,,Los Angeles (LAX),Spirit Airlines A20N (N935NK),Landed 11:17,2021-06-08
52,52,11:39,DL1036,Atlanta (ATL),Delta Air Lines A321 (N102DN),Landed 11:35,2021-06-08
53,53,11:41,AA1065,Dallas (DFW),American Airlines A321 (N128AN),Canceled,2021-06-08
54,54,11:49,UA509,Chicago (ORD),United Airlines A319 (N813UA),Landed 11:43,2021-06-08
55,55,11:50 WN4082,,Dallas (DAL),Southwest Airlines B737 (N7853B),Landed 12:51,2021-06-08
56,56,12:03,F9190,Denver (DEN),Frontier (Cali the Mountain Lion Livery) A321 (N718FR),Landed 11:30,2021-06-08
57,57,12:05 WN2731,,Fort Lauderdale (FLL),Southwest Airlines B738 (N8600F),Landed 11:34,2021-06-08
58,58,12:05 WN4768,,San Jose (SJC),Southwest Airlines B737 (N497WN),Landed 11:37,2021-06-08
59,59,12:09,,Lubbock (LBB),- SF50 (N619DH),Landed 11:56,2021-06-08
60,60,12:10 WN5222,,Kansas City (MCI),Southwest Airlines B737 (N7851A),Landed 11:59,2021-06-08
61,61,12:15 WN2400,,Panama City (ECP),Southwest Airlines B738 (N8615E),Landed 11:59,2021-06-08
62,62,12:15 WN4951,,Las Vegas (LAS),Southwest Airlines B737 (N937WN),Landed 12:10,2021-06-08
63,63,12:20,,McAllen (MFE),- P46T (N995S),Landed 12:41,2021-06-08
64,64,12:21 AA1018,,Las Vegas (LAS),American Airlines B738 (N954NN),Landed 11:49,2021-06-08
