,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,01:04,,Houston (IAH),- B744 (LX-GCL),Landed 01:36,2021-04-29
1,1,05:30 IB2602,,Buenos Aires (EZE),LEVEL A332 (EC-MOU),Landed 05:16,2021-04-29
2,2,06:25 3V4216,,Liege (LGG),FedEx B734 (OE-IBW),Landed 06:23,2021-04-29
3,3,07:15 FR6363,,Palma de Mallorca (PMI),Ryanair B738 (EI-EBL),Landed 06:53,2021-04-29
4,4,07:55 UX6006,,Palma de Mallorca (PMI),Air Europa B738 (EC-IDA),Landed 07:36,2021-04-29
5,5,08:10 FR6397,,Seville (SVQ),Ryanair B738 (9H-QBK),Landed 07:55,2021-04-29
6,6,08:35 HC423,,Casablanca (CMN),Air Senegal A321 (6V-AMC),Landed 07:59,2021-04-29
7,7,08:40 VY2213,,Seville (SVQ),Vueling A320 (EC-MXG),Landed 08:09,2021-04-29
8,8,08:45 VY8005,,Paris (ORY),Vueling A20N (EC-NCS),Landed 08:29,2021-04-29
9,9,08:50 IB730,,Madrid (MAD),Iberia A20N (EC-NDN),Landed 08:32,2021-04-29
10,10,08:55 UX7701,,Madrid (MAD),Air Europa B788 (EC-MNS),Landed 08:41,2021-04-29
11,11,09:10 AA112,,Miami (MIA),American Airlines B788 (N871AY),Landed 08:58,2021-04-29
12,12,09:20 OS391,,Vienna (VIE),Austrian Airlines E195 (OE-LWI),Landed 09:28,2021-04-29
13,13,09:25 VY3713,,Mahon (MAH),Vueling A320 (EC-KDH),Landed 09:05,2021-04-29
14,14,09:30 VY3903,,Palma de Mallorca (PMI),Vueling A320 (EC-LLJ),Landed 09:01,2021-04-29
15,15,09:35 VY3501,,Ibiza (IBZ),Vueling A319 (EC-MIR),Landed 09:26,2021-04-29
16,16,09:50 IB830,,Madrid (MAD),Iberia A20N (EC-MXY),Landed 09:31,2021-04-29
17,17,09:55 VY1309,,Alicante (ALC),Vueling A320 (EC-KHN),Landed 09:56,2021-04-29
18,18,09:55 W5136,,Tehran (IKA),Mahan Air 346,Unknown,2021-04-29
19,19,11:00 LH1810,,Munich (MUC),Air Dolomiti E195 (I-ADJP),Landed 11:04,2021-04-29
20,20,11:05 UX6156,,Palma de Mallorca (PMI),Air Europa B738 (EC-IDA),Landed 10:46,2021-04-29
21,21,11:20 VY3213,,Tenerife (TFN),Vueling A20N (EC-NCG),Landed 10:48,2021-04-29
22,22,11:30 AF1348,,Paris (CDG),Air France A319 (F-GRHM),Landed 11:16,2021-04-29
23,23,11:45 LH1126,,Frankfurt (FRA),Lufthansa A20N (D-AIND),Landed 11:58,2021-04-29
24,24,11:45 SU2638,,Moscow (SVO),Aeroflot A320 (VQ-BHL),Landed 11:47,2021-04-29
25,25,12:15 U21075,,Basel (BSL),easyJet A320 (OE-IJV),Landed 12:10,2021-04-29
26,26,12:20 LO437,,Warsaw (WAW),LOT E195 (SP-LNG),Landed 12:12,2021-04-29
27,27,12:20 3O379,,Marrakesh (RAK),Air Arabia Maroc 320,Canceled,2021-04-29
28,28,12:30 TK6351,,Istanbul (ISL),Turkish Airlines 33F,Unknown,2021-04-29
29,29,12:35 KL1669,,Amsterdam (AMS),KLM E75L (PH-EXH),Landed 12:32,2021-04-29
30,30,12:50 IB1130,,Madrid (MAD),Iberia A20N (EC-NJU),Landed 12:28,2021-04-29
31,31,13:10 VY1427,,Bilbao (BIO),Vueling A320 (EC-MKN),Landed 12:57,2021-04-29
32,32,13:20 EY49,,Abu Dhabi (AUH),Etihad Airways B789 (A6-BNA),Landed 12:59,2021-04-29
33,33,13:25 EK185,,Dubai (DXB),Emirates B77W (A6-EPN),Landed 13:06,2021-04-29
34,34,13:40 WT4135,,Algiers (ALG),Swiftair AT75 (EC-MEC),Landed 13:48,2021-04-29
35,35,13:45 FR3064,,Tenerife (TFN),Ryanair B738 (EI-DWC),Landed 13:23,2021-04-29
36,36,14:00 3O377,,Tangier (TNG),Air Arabia Maroc 320,Canceled,2021-04-29
37,37,14:05 LX1954,,Zurich (ZRH),Swiss BCS3 (HB-JCD),Landed 14:05,2021-04-29
38,38,14:10 QR145,,Doha (DOH),Qatar Airways A359 (A7-ALQ),Landed 14:17,2021-04-29
39,39,14:10 TP1046,,Lisbon (LIS),TAP Express E195 (CS-TTZ),Landed 13:52,2021-04-29
40,40,14:10 VY2473,,Lanzarote (ACE),Vueling A319 (EC-MKV),Landed 13:43,2021-04-29
41,41,14:20,VY1293,A Coruna (LCG),Vueling A320 (EC-LVP),Landed 13:58,2021-04-29
42,42,14:20,VY1674,Santiago (SCQ),Vueling A320 (EC-MBS),Landed 14:08,2021-04-29
43,43,14:35,VY3003,Gran Canaria (LPA),Vueling A20N (EC-NDB),Landed 14:04,2021-04-29
44,44,14:45,VY2114,Malaga (AGP),Vueling A320 (EC-KHN),Landed 14:31,2021-04-29
45,45,15:15,LH1128,Frankfurt (FRA),Lufthansa (Star Alliance Livery) A319 (D-AILF),Landed 15:16,2021-04-29
46,46,15:50,IB1430,Madrid (MAD),Iberia A20N (EC-MXY),Landed 15:30,2021-04-29
47,47,16:05 PQ741,,Kyiv (KBP),SkyUp Airlines 738,Unknown,2021-04-29
48,48,16:10,BT683,Riga (RIX),Air Baltic (Latvia's 100th anniversary Livery) BCS3 (YL-CSL),Landed 16:12,2021-04-29
49,49,16:20,AZ76,Rome (FCO),Alitalia E75S (EI-RDE),Landed 16:09,2021-04-29
50,50,16:25,KL1673,Amsterdam (AMS),KLM E75L (PH-EXR),Landed 16:26,2021-04-29
51,51,16:25,VY6105,Rome (FCO),Vueling (Disneyland Paris Livery) A320 (EC-MYC),Landed 16:03,2021-04-29
52,52,16:45,VY3911,Palma de Mallorca (PMI),Vueling A320 (EC-MEA),Landed 16:22,2021-04-29
53,53,17:00,VY2120,Malaga (AGP),Vueling A320 (EC-MXP),Landed 16:29,2021-04-29
54,54,17:05,IB1546,Madrid (MAD),Iberia A320 (EC-MCS),Landed 16:42,2021-04-29
55,55,17:10,AF1548,Paris (CDG),Air France A319 (F-GRHM),Landed 16:59,2021-04-29
56,56,17:10,VY8301,Amsterdam (AMS),Vueling (We ♥ Places Livery) A20N (EC-NAJ),Landed 16:46,2021-04-29
57,57,17:20,TK1855,Istanbul (IST),Turkish Airlines A333 (TC-JNT),Landed 17:16,2021-04-29
58,58,17:30,LH1816,Munich (MUC),Air Dolomiti E195 (I-ADJO),Landed 17:34,2021-04-29
59,59,17:55,UX6072,Palma de Mallorca (PMI),Air Europa B738 (EC-IDA),Landed 17:37,2021-04-29
60,60,18:45 FR6882,,Mahon (MAH),Ryanair B738 (EI-DLD),Landed 18:28,2021-04-29
61,61,18:50,IB1730,Madrid (MAD),Iberia A20N (EC-NER),Landed 18:31,2021-04-29
62,62,19:05 FR6369,,Palma de Mallorca (PMI),Ryanair B738 (EI-DLY),Landed 18:44,2021-04-29
63,63,19:15,VY3209,Tenerife (TFN),Vueling A20N (EC-MZT),Landed 18:34,2021-04-29
64,64,19:25,TP1036,Lisbon (LIS),TAP Express E195 (CS-TTZ),Landed 19:04,2021-04-29
65,65,19:40 W63175,,Bucharest (OTP),Wizz Air A321 (HA-LTB),Landed 19:37,2021-04-29
66,66,19:55 TO3238,,Paris (ORY),Transavia B738 (F-GZHQ),Landed 19:44,2021-04-29
67,67,20:05,VY1705,Vigo (VGO),Vueling A320 (EC-LVU),Landed 19:41,2021-04-29
68,68,20:15,VY7827,London (LGW),Vueling A320 (EC-LVV),Landed 19:52,2021-04-29
69,69,20:20 W63405,,Cluj-Napoca (CLJ),Wizz Air A320 (HA-LYZ),Landed 20:08,2021-04-29
70,70,20:50,IB1930,Madrid (MAD),Iberia A20N (EC-MXY),Landed 20:31,2021-04-29
71,71,20:50 WT8169,,Palma de Mallorca (PMI),Swiftair E120 (EC-HCF),Landed 20:38,2021-04-29
72,72,21:00,VY2223,Seville (SVQ),Vueling A320 (EC-LOP),Landed 20:36,2021-04-29
73,73,21:50,VY8013,Paris (ORY),Vueling (Disneyland Paris Livery) A320 (EC-MYC),Landed 21:40,2021-04-29
74,74,21:50 3V4517,,Valencia (VLC),FedEx B734 (OE-IBW),Landed 21:31,2021-04-29
75,75,22:25,VY6337,Milan (MXP),Vueling A320 (EC-MGE),Landed 22:12,2021-04-29
76,76,22:45,KL1681,Amsterdam (AMS),KLM E190 (PH-EZF),Landed 22:34,2021-04-29
77,77,22:55,AF1448,Paris (CDG),Air France A319 (F-GRHM),Landed 22:38,2021-04-29
78,78,23:15,VY3007,Gran Canaria (LPA),Vueling A319 (EC-MKV),Landed 22:53,2021-04-29
79,79,23:15,VY3719,Mahon (MAH),Vueling A320 (EC-LVU),Landed 22:46,2021-04-29
80,80,23:25,VY3519,Ibiza (IBZ),Vueling A20N (EC-NIJ),Landed 00:48,2021-04-29
81,81,23:25 AZ94,,Rome (FCO),Alitalia 32S,Unknown,2021-04-29
82,82,23:30,VY3919,Palma de Mallorca (PMI),Vueling A320 (EC-LVV),Landed 23:19,2021-04-29
83,83,23:45 WT114,,Palma de Mallorca (PMI),Swiftair E120 (EC-JKH),Landed 23:26,2021-04-29
0,0,01:00 TP1032,,Lisbon (LIS),TAP Air Portugal A319 (CS-TTL),Landed 00:43,2021-04-30
1,1,01:02,,Houston (IAH),- B744,Canceled,2021-04-30
2,2,04:57 N8871,,Houston (IAH),National Airlines B744 (N919CA),Landed 03:41,2021-04-30
3,3,06:25 3V4216,,Liege (LGG),ASL Airlines Belgium B734 (OE-IBI),Landed 06:37,2021-04-30
