,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:37,LA3223,Sao Paulo (GRU),LATAM Airlines A320 (PR-MYJ),Landed 00:31,2021-06-08
1,1,00:45,AD4650,Fortaleza (FOR),Azul Linhas Aereas A20N (PR-YYJ),Landed 00:25,2021-06-08
2,2,00:50,AD4104,Santarem (STM),Azul Linhas Aereas E195 (PR-AXO),Landed 00:45,2021-06-08
3,3,00:50 AD4861,,Manaus (MAO),Azul Linhas Aereas E195 (PR-AYG),Unknown,2021-06-08
4,4,01:10 G31830,,Fortaleza (FOR),GOL Linhas Aereas B738 (PR-GGN),Landed 01:07,2021-06-08
5,5,01:15,AD4106,Campinas (VCP),Azul Linhas Aereas A21N (PR-YJB),Landed 01:24,2021-06-08
6,6,01:20,AD4500,Belo Horizonte (CNF),Azul Linhas Aereas A20N (PR-YRE),Landed 01:16,2021-06-08
7,7,01:35,AD4108,Recife (REC),Azul Linhas Aereas A20N (PR-YSC),Landed 01:36,2021-06-08
8,8,02:10,G31680,Sao Paulo (GRU),GOL Linhas Aereas B38M (PR-XMG),Landed 02:01,2021-06-08
9,9,05:50 AD4935,,Sao Luis (SLZ),Azul Linhas Aereas E195 (PR-AUN),Landed 05:41,2021-06-08
10,10,05:55,AD4445,Santarem (STM),Azul Linhas Aereas 320,Unknown,2021-06-08
11,11,06:00 AD4235,,Macapa (MCP),Azul Linhas Aereas A20N (PR-YSC),Landed 05:48,2021-06-08
12,12,07:30 AD4297,,Boa Vista (BVB),Azul Linhas Aereas E195 (PR-AXO),Landed 07:22,2021-06-08
13,13,07:50 AD5568,,Santarem (STM),Azul Linhas Aereas CN1,Unknown,2021-06-08
14,14,11:10 AD4544,,Manaus (MAO),Azul Linhas Aereas A20N (PR-YRK),Landed 10:53,2021-06-08
15,15,11:20,LA3358,Brasilia (BSB),LATAM Airlines A321 (PT-MXJ),Landed 11:23,2021-06-08
16,16,11:25,AD4432,Recife (REC),Azul Linhas Aereas A20N (PR-YYK),Landed 11:14,2021-06-08
17,17,11:30,AD4574,Belo Horizonte (CNF),Azul Linhas Aereas A20N (PR-YYG),Landed 11:53,2021-06-08
18,18,11:40 AD4100,,Fortaleza (FOR),Azul Linhas Aereas A20N (PR-YYJ),Landed 11:28,2021-06-08
19,19,11:40,AD4840,Campinas (VCP),Azul Linhas Aereas A21N (PR-YJA),Landed 11:35,2021-06-08
20,20,11:45,G31896,Brasilia (BSB),GOL Linhas Aereas (Voa Canarinho Livery) B738 (PR-GUK),Landed 11:42,2021-06-08
21,21,12:30 AD5322,,Almeirim (MEU),Azul Linhas Aereas CN1,Unknown,2021-06-08
22,22,14:10 AD4240,,Carajas (CKS),Azul Linhas Aereas E195 (PR-AUO),Landed 14:23,2021-06-08
23,23,15:35,LA3003,Sao Paulo (GRU),LATAM Airlines A321 (PT-MXP),Landed 15:25,2021-06-08
24,24,15:40 AD5324,,Breves (BVS),Azul Linhas Aereas CN1,Unknown,2021-06-08
25,25,15:55 AD4210,,Maraba (MAB),Azul Linhas Aereas A20N (PR-YYK),Landed 15:36,2021-06-08
26,26,15:55 AD4375,,Macapa (MCP),Azul Linhas Aereas A21N (PR-YJA),Landed 15:55,2021-06-08
27,27,16:05,AD4463,Altamira (ATM),Azul Linhas Aereas A20N (PR-YYJ),Landed 15:51,2021-06-08
28,28,16:10,AD4433,Santarem (STM),Azul Linhas Aereas A20N (PR-YYG),Landed 16:09,2021-06-08
29,29,16:15 G31966,,Macapa (MCP),GOL Linhas Aereas (Voa Canarinho Livery) B738 (PR-GUK),Landed 16:01,2021-06-08
30,30,18:08 M36578,,Sao Paulo (GRU),LATAM Cargo B763 (PR-ABB),Diverted to MAO,2021-06-08
0,0,00:45,AD4650,Fortaleza (FOR),Azul Linhas Aereas A20N (PR-YYK),Landed 00:22,2021-06-09
1,1,00:50,AD4104,Santarem (STM),Azul Linhas Aereas E195 (PR-AXO),Landed 00:37,2021-06-09
2,2,00:50 AD4861,,Manaus (MAO),Azul Linhas Aereas E195 (PR-AUN),Landed 00:47,2021-06-09
3,3,01:10,LA3223,Sao Paulo (GRU),LATAM Airlines A320 (PR-MYJ),Landed 01:11,2021-06-09
4,4,01:15,AD4106,Campinas (VCP),Azul Linhas Aereas A21N (PR-YJA),Landed 01:06,2021-06-09
5,5,01:20,AD4500,Belo Horizonte (CNF),Azul Linhas Aereas A20N (PR-YRD),Landed 01:20,2021-06-09
6,6,01:35,AD4108,Recife (REC),Azul Linhas Aereas A20N (PR-YRI),Landed 01:14,2021-06-09
7,7,05:50,AD4935,Sao Luis (SLZ),Azul Linhas Aereas A20N (PR-YRI),Landed 06:04,2021-06-09
8,8,05:55,AD4445,Santarem (STM),Azul Linhas Aereas E95,Unknown,2021-06-09
9,9,06:00 AD4235,,Macapa (MCP),Azul Linhas Aereas 320,Unknown,2021-06-09
10,10,06:30 AD5568,,Santarem (STM),Azul Linhas Aereas CN1,Unknown,2021-06-09
11,11,09:25 AD5582,,Breves (BVS),Azul Linhas Aereas CN1,Unknown,2021-06-09
12,12,11:10,AD4544,Manaus (MAO),Azul Linhas Aereas A20N (PR-YSD),Landed 11:03,2021-06-09
13,13,11:20,LA3358,Brasilia (BSB),LATAM Airlines A321 (PT-MXN),Landed 11:22,2021-06-09
14,14,11:25,AD4432,Recife (REC),Azul Linhas Aereas A20N (PR-YYB),Landed 11:15,2021-06-09
15,15,11:30,AD4574,Belo Horizonte (CNF),Azul Linhas Aereas A20N (PR-YYG),Landed 11:13,2021-06-09
16,16,11:40,AD4100,Fortaleza (FOR),Azul Linhas Aereas A20N (PR-YYK),Landed 11:27,2021-06-09
17,17,11:40,AD4840,Campinas (VCP),Azul Linhas Aereas A21N (PR-YJD),Landed 11:37,2021-06-09
18,18,11:45,G31896,Brasilia (BSB),GOL Linhas Aereas B738 (PR-GUJ),Landed 11:45,2021-06-09
19,19,13:55 AD2004,,Campinas (VCP),Azul Cargo B734 (PR-AJY),Landed 13:51,2021-06-09
20,20,14:10 AD4240,,Carajas (CKS),Azul Linhas Aereas E195 (PR-AXX),Unknown,2021-06-09
21,21,14:15 G31943,,Santarem (STM),GOL Linhas Aereas B38M (PR-XMD),Landed 13:56,2021-06-09
22,22,14:15 G31679,,Macapa (MCP),GOL Linhas Aereas B738 (PR-GGX),Landed 14:06,2021-06-09
23,23,14:50 AD5580,,-,Azul Linhas Aereas CN1,Unknown,2021-06-09
24,24,15:55 AD4210,,Maraba (MAB),Azul Linhas Aereas A20N (PR-YSD),Landed 15:46,2021-06-09
25,25,15:55 AD4375,,Macapa (MCP),Azul Linhas Aereas A21N (PR-YJD),Landed 15:56,2021-06-09
26,26,16:00 AD4231,,Imperatriz (IMP),Azul Linhas Aereas A20N (PR-YYG),Landed 15:41,2021-06-09
27,27,16:01,LA3003,Sao Paulo (GRU),LATAM Airlines A320 (PR-MYJ),Landed 15:55,2021-06-09
28,28,16:05,AD4463,Altamira (ATM),Azul Linhas Aereas A20N (PR-YYK),Landed 16:06,2021-06-09
29,29,16:10,AD4433,Santarem (STM),Azul Linhas Aereas A20N (PR-YYB),Unknown,2021-06-09
0,0,00:40,LA3223,Sao Paulo (GRU),LATAM Airlines A320 (PR-TYD),Landed 00:34,2021-06-10
1,1,00:45,AD4650,Fortaleza (FOR),Azul Linhas Aereas A20N (PR-YYK),Landed 00:27,2021-06-10
2,2,00:50,AD4104,Santarem (STM),Azul Linhas Aereas E195 (PR-AUN),Landed 01:15,2021-06-10
3,3,00:50 AD4861,,Manaus (MAO),Azul Linhas Aereas E195 (PR-AXO),Landed 00:40,2021-06-10
4,4,01:10 G31830,,Fortaleza (FOR),GOL Linhas Aereas B38M (PR-XMD),Landed 01:10,2021-06-10
5,5,01:15,AD4106,Campinas (VCP),Azul Linhas Aereas A21N (PR-YJD),Landed 01:25,2021-06-10
6,6,01:20,AD4500,Belo Horizonte (CNF),Azul Linhas Aereas A20N (PR-YRX),Landed 01:08,2021-06-10
7,7,01:35,AD4108,Recife (REC),Azul Linhas Aereas A20N (PR-YYL),Landed 01:27,2021-06-10
8,8,02:10,G31680,Sao Paulo (GRU),GOL Linhas Aereas B38M (PR-XMC),Landed 01:52,2021-06-10
9,9,05:50 AD4935,,Sao Luis (SLZ),Azul Linhas Aereas A20N (PR-YYK),Landed 05:37,2021-06-10
10,10,05:55,AD4445,Santarem (STM),Azul Linhas Aereas 320,Unknown,2021-06-10
11,11,06:00 AD4235,,Macapa (MCP),Azul Linhas Aereas 320,Unknown,2021-06-10
12,12,07:30 AD4297,,Boa Vista (BVB),Azul Linhas Aereas E195 (PR-AUN),Landed 07:23,2021-06-10
13,13,07:50 AD5568,,Santarem (STM),Azul Linhas Aereas CN1,Unknown,2021-06-10
14,14,11:10 AD4544,,Manaus (MAO),Azul Linhas Aereas A20N (PR-YSA),Landed 10:56,2021-06-10
15,15,11:21,LA3358,Brasilia (BSB),LATAM Airlines A321 (PT-MXP),Landed 11:19,2021-06-10
16,16,11:25,AD4432,Recife (REC),Azul Linhas Aereas A20N (PR-YYB),Unknown,2021-06-10
17,17,11:30,AD4574,Belo Horizonte (CNF),Azul Linhas Aereas A20N (PR-YYH),Landed 11:52,2021-06-10
18,18,11:40 AD4100,,Fortaleza (FOR),Azul Linhas Aereas A20N (PR-YYK),Landed 11:26,2021-06-10
19,19,11:40,AD4840,Campinas (VCP),Azul Linhas Aereas A21N (PR-YJC),Landed 11:33,2021-06-10
20,20,11:45,G31896,Brasilia (BSB),GOL Linhas Aereas B738 (PR-GUI),Landed 11:45,2021-06-10
21,21,12:30 AD5322,,Almeirim (MEU),Azul Linhas Aereas CN1,Unknown,2021-06-10
22,22,14:10 AD4240,,Carajas (CKS),Azul Linhas Aereas E195 (PR-AXX),Unknown,2021-06-10
23,23,15:35,LA3003,Sao Paulo (GRU),LATAM Airlines A321 (PT-MXQ),Landed 15:39,2021-06-10
24,24,15:40 AD5324,,Breves (BVS),Azul Linhas Aereas CN1,Unknown,2021-06-10
25,25,15:55 AD4210,,Maraba (MAB),Azul Linhas Aereas A20N (PR-YYB),Unknown,2021-06-10
26,26,15:55 AD4375,,Macapa (MCP),Azul Linhas Aereas A21N (PR-YJC),Landed 15:45,2021-06-10
27,27,16:00 AD4231,,Imperatriz (IMP),Azul Linhas Aereas A20N (PR-YSA),Landed 15:34,2021-06-10
28,28,16:05 AD4463,,Altamira (ATM),Azul Linhas Aereas A20N (PR-YYH),Landed 16:04,2021-06-10
29,29,16:10,AD4433,Santarem (STM),Azul Linhas Aereas A20N (PR-YYK),Landed 16:32,2021-06-10
30,30,16:15 G31966,,Macapa (MCP),GOL Linhas Aereas B738 (PR-GUI),Landed 16:02,2021-06-10
31,31,18:40 M36578,,Sao Paulo (GRU),LATAM Cargo Brasil 76V,Unknown,2021-06-10
0,0,00:45,AD4650,Fortaleza (FOR),Azul Linhas Aereas A20N (PR-YYH),Landed 00:25,2021-06-11
1,1,00:50,AD4104,Santarem (STM),Azul Linhas Aereas E195 (PR-AXO),Landed 00:40,2021-06-11
2,2,00:50 AD4861,,Manaus (MAO),Azul Linhas Aereas E195 (PR-AUN),Landed 00:45,2021-06-11
3,3,01:15,AD4106,Campinas (VCP),Azul Linhas Aereas A21N (PR-YJB),Landed 01:19,2021-06-11
4,4,01:20,AD4500,Belo Horizonte (CNF),Azul Linhas Aereas A20N (PR-YRL),Landed 01:04,2021-06-11
5,5,01:35,AD4108,Recife (REC),Azul Linhas Aereas A20N (PR-YSE),Landed 01:24,2021-06-11
6,6,05:50 AD4935,,Sao Luis (SLZ),Azul Linhas Aereas A20N (PR-YYH),Landed 05:35,2021-06-11
7,7,05:55,AD4445,Santarem (STM),Azul Linhas Aereas 320,Unknown,2021-06-11
8,8,06:00 AD4235,,Macapa (MCP),Azul Linhas Aereas 320,Unknown,2021-06-11
9,9,06:30 AD5568,,Santarem (STM),Azul Linhas Aereas CN1,Unknown,2021-06-11
10,10,09:25 AD5582,,Breves (BVS),Azul Linhas Aereas CN1,Unknown,2021-06-11
11,11,11:10,AD4544,Manaus (MAO),Azul Linhas Aereas A20N (PR-YRA),Landed 11:19,2021-06-11
12,12,11:20,LA3358,Brasilia (BSB),LATAM Airlines A321 (PT-MXN),Landed 11:25,2021-06-11
13,13,11:25,AD4432,Recife (REC),Azul Linhas Aereas A20N (PR-YYB),Unknown,2021-06-11
14,14,11:30,AD4574,Belo Horizonte (CNF),Azul Linhas Aereas A20N (PR-YYG),Landed 11:41,2021-06-11
15,15,11:40 AD4100,,Fortaleza (FOR),Azul Linhas Aereas A20N (PR-YYH),Landed 11:12,2021-06-11
16,16,11:40,AD4840,Campinas (VCP),Azul Linhas Aereas A21N (PR-YJA),Landed 11:30,2021-06-11
17,17,11:45,G31896,Brasilia (BSB),GOL Linhas Aereas B738 (PR-GUI),Landed 11:46,2021-06-11
18,18,13:55 AD2004,,Campinas (VCP),Azul Cargo B734 (PR-AJZ),Landed 13:53,2021-06-11
19,19,14:10 AD4240,,Carajas (CKS),Azul Linhas Aereas E195 (PR-AUO),Landed 14:02,2021-06-11
20,20,14:15 G31679,,Macapa (MCP),GOL Linhas Aereas B738 (PR-GGX),Landed 14:08,2021-06-11
21,21,14:15 G31943,,Santarem (STM),GOL Linhas Aereas B738 (PR-GTP),Landed 14:14,2021-06-11
22,22,14:50 AD5580,,-,Azul Linhas Aereas CN1,Unknown,2021-06-11
23,23,15:38,LA3003,Sao Paulo (GRU),LATAM Airlines A321 (PT-XPE),Landed 15:37,2021-06-11
24,24,15:55 AD4210,,Maraba (MAB),Azul Linhas Aereas A20N (PR-YRA),Landed 15:31,2021-06-11
25,25,15:55 AD4375,,Macapa (MCP),Azul Linhas Aereas A21N (PR-YJA),Landed 15:42,2021-06-11
26,26,16:00 AD4231,,Imperatriz (IMP),Azul Linhas Aereas A20N (PR-YYH),Landed 15:49,2021-06-11
27,27,16:05 AD4463,,Altamira (ATM),Azul Linhas Aereas A20N (PR-YYG),Landed 16:08,2021-06-11
28,28,16:10,AD4433,Santarem (STM),Azul Linhas Aereas A20N (PR-YYB),Unknown,2021-06-11
0,0,00:45,AD4650,Fortaleza (FOR),Azul Linhas Aereas A20N (PR-YYG),Landed 00:26,2021-06-12
1,1,00:50,AD4104,Santarem (STM),Azul Linhas Aereas E195 (PR-AUN),Landed 00:46,2021-06-12
2,2,00:50 AD4861,,Manaus (MAO),Azul Linhas Aereas E195 (PR-AXO),Landed 00:39,2021-06-12
3,3,01:10 G31830,,Fortaleza (FOR),GOL Linhas Aereas B38M (PR-XMF),Landed 00:55,2021-06-12
4,4,01:15,AD4106,Campinas (VCP),Azul Linhas Aereas A21N (PR-YJD),Landed 01:25,2021-06-12
5,5,01:20,AD4500,Belo Horizonte (CNF),Azul Linhas Aereas A20N (PR-YSG),Landed 01:18,2021-06-12
6,6,01:35,AD4108,Recife (REC),Azul Linhas Aereas A20N (PR-YRE),Landed 01:13,2021-06-12
7,7,02:10,G31680,Sao Paulo (GRU),GOL Linhas Aereas B38M (PR-XMD),Landed 02:10,2021-06-12
8,8,05:50,AD4935,Sao Luis (SLZ),Azul Linhas Aereas A20N (PR-YYG),Landed 05:26,2021-06-12
9,9,07:30 AD4297,,Boa Vista (BVB),Azul Linhas Aereas E195 (PR-AUN),Landed 07:23,2021-06-12
10,10,11:10,AD4544,Manaus (MAO),Azul Linhas Aereas A20N (PR-YRN),Landed 10:51,2021-06-12
11,11,11:20,LA3358,Brasilia (BSB),LATAM Airlines A321 (PT-XPF),Landed 11:37,2021-06-12
12,12,11:25,AD4432,Recife (REC),Azul Linhas Aereas A20N (PR-YYB),Unknown,2021-06-12
13,13,11:30,AD4574,Belo Horizonte (CNF),Azul Linhas Aereas A20N (PR-YYK),Landed 11:58,2021-06-12
14,14,11:40,AD4100,Fortaleza (FOR),Azul Linhas Aereas A20N (PR-YYG),Landed 11:33,2021-06-12
15,15,11:40,AD4840,Campinas (VCP),Azul Linhas Aereas A21N (PR-YJC),Landed 11:41,2021-06-12
16,16,11:45,G31896,Brasilia (BSB),GOL Linhas Aereas B38M (PR-XMA),Landed 11:53,2021-06-12
17,17,15:35,LA3003,Sao Paulo (GRU),LATAM Airlines A321 (PT-MXF),Landed 15:31,2021-06-12
18,18,15:40 AD5324,,Breves (BVS),Azul Linhas Aereas CN1,Unknown,2021-06-12
19,19,15:55 AD4210,,Maraba (MAB),Azul Linhas Aereas A20N (PR-YYB),Unknown,2021-06-12
20,20,15:55 AD4375,,Macapa (MCP),Azul Linhas Aereas A21N (PR-YJC),Landed 15:46,2021-06-12
21,21,16:05,AD4463,Altamira (ATM),Azul Linhas Aereas A20N (PR-YRN),Landed 15:53,2021-06-12
22,22,16:10,AD4433,Santarem (STM),Azul Linhas Aereas A20N (PR-YYG),Landed 16:04,2021-06-12
0,0,00:45,AD4650,Fortaleza (FOR),Azul Linhas Aereas A20N (PR-YYG),Landed 00:23,2021-06-13
1,1,00:50,AD4104,Santarem (STM),Azul Linhas Aereas E195 (PR-AXO),Landed 00:36,2021-06-13
2,2,01:10,AD4108,Recife (REC),Azul Linhas Aereas A20N (PR-YRK),Landed 00:40,2021-06-13
3,3,01:15,AD4106,Campinas (VCP),Azul Linhas Aereas A20N (PR-YRE),Landed 01:24,2021-06-13
4,4,01:20,AD4500,Belo Horizonte (CNF),Azul Linhas Aereas A20N (PR-YSG),Landed 01:17,2021-06-13
5,5,05:50 AD4935,,Sao Luis (SLZ),Azul Linhas Aereas E195 (PR-AXO),Landed 05:31,2021-06-13
6,6,11:10,AD4544,Manaus (MAO),Azul Linhas Aereas A20N (PR-YRU),Landed 10:50,2021-06-13
7,7,11:20,LA3358,Brasilia (BSB),LATAM Airlines A321 (PT-MXP),Landed 11:31,2021-06-13
8,8,11:25,AD4432,Recife (REC),Azul Linhas Aereas A20N (PR-YYB),Unknown,2021-06-13
9,9,11:30,AD4574,Belo Horizonte (CNF),Azul Linhas Aereas A20N (PR-YRK),Landed 11:39,2021-06-13
10,10,11:40 AD4100,,Fortaleza (FOR),Azul Linhas Aereas A20N (PR-YYG),Landed 11:26,2021-06-13
11,11,11:40,AD4840,Campinas (VCP),Azul Linhas Aereas A21N (PR-YJA),Landed 11:45,2021-06-13
12,12,12:30 AD5322,,Almeirim (MEU),Azul Linhas Aereas CN1,Unknown,2021-06-13
13,13,14:15 G31679,,Macapa (MCP),GOL Linhas Aereas B738 (PR-GUP),Landed 14:02,2021-06-13
14,14,14:15 G31943,,Santarem (STM),GOL Linhas Aereas B738 (PR-VBF),Landed 13:56,2021-06-13
15,15,15:35,LA3003,Sao Paulo (GRU),LATAM Airlines A321 (PT-XPA),Landed 15:34,2021-06-13
16,16,15:40 AD5324,,Breves (BVS),Azul Linhas Aereas CN1,Unknown,2021-06-13
17,17,15:55 AD4210,,Maraba (MAB),Azul Linhas Aereas A20N (PR-YRU),Landed 15:39,2021-06-13
18,18,15:55 AD4375,,Macapa (MCP),Azul Linhas Aereas A21N (PR-YJA),Landed 15:44,2021-06-13
19,19,16:00 AD4231,,Imperatriz (IMP),Azul Linhas Aereas A20N (PR-YYB),Unknown,2021-06-13
20,20,16:05 AD4463,,Altamira (ATM),Azul Linhas Aereas A20N (PR-YRK),Landed 15:53,2021-06-13
21,21,16:10,AD4433,Santarem (STM),Azul Linhas Aereas A20N (PR-YYG),Landed 16:03,2021-06-13
22,22,16:15 G31966,,Macapa (MCP),GOL Linhas Aereas B38M (PR-XMA),Landed 15:58,2021-06-13
0,0,00:45,AD4650,Fortaleza (FOR),Azul Linhas Aereas A20N (PR-YYB),Unknown,2021-06-14
1,1,00:50,AD4104,Santarem (STM),Azul Linhas Aereas E195 (PR-AXO),Landed 00:33,2021-06-14
2,2,00:50 AD4861,,Manaus (MAO),Azul Linhas Aereas E195 (PR-AUN),Landed 00:28,2021-06-14
3,3,01:10 G31830,,Fortaleza (FOR),GOL Linhas Aereas B738 (PR-GUG),Landed 00:48,2021-06-14
4,4,01:15,AD4106,Campinas (VCP),Azul Linhas Aereas A21N (PR-YJA),Landed 01:25,2021-06-14
5,5,01:20,AD4500,Belo Horizonte (CNF),Azul Linhas Aereas A20N (PR-YRH),Landed 01:14,2021-06-14
6,6,01:35,AD4108,Recife (REC),Azul Linhas Aereas A20N (PR-YRX),Landed 01:21,2021-06-14
7,7,02:10,G31680,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GTP),Landed 01:56,2021-06-14
8,8,05:50,AD4935,Sao Luis (SLZ),Azul Linhas Aereas A20N (PR-YYB),Unknown,2021-06-14
