,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,06:15 VCY97,,Castries (SLU),- SF3,Unknown,2021-05-09
1,1,06:25 VCY82,,Kingstown (SVD),- SF3,Unknown,2021-05-09
2,2,09:20 VCY47,,Point Salines (GND),- SF3,Unknown,2021-05-09
3,3,10:25 JY709,,Point Salines (GND),InterCaribbean Airways E120 (VQ-TEG),Landed 10:05,2021-05-09
4,4,11:10 BW205,,Point Salines (GND),Caribbean Airlines AT76 (9Y-TTD),Canceled,2021-05-09
5,5,11:25 JY701,,Castries (SLU),InterCaribbean Airways E120 (VQ-TRG),Landed 11:02,2021-05-09
6,6,11:30 SVD603,,Bequia (BQU),- DHT,Unknown,2021-05-09
7,7,11:30 SVD605,,Bequia (BQU),- DHT,Unknown,2021-05-09
8,8,12:45 JY717,,Kingstown (SVD),InterCaribbean Airways E120 (VQ-TEG),Landed 12:46,2021-05-09
9,9,13:25 BW215,,Georgetown (OGL),Caribbean Airlines AT76 (9Y-TTE),Canceled,2021-05-09
10,10,14:03,B61261,New York (JFK),JetBlue Airways A321 (N954JB),Landed 14:21,2021-05-09
11,11,14:05 AC7252,,Toronto (YYZ),Air Canada B38M (C-FSNU),Landed 13:52,2021-05-09
12,12,14:11,AA1089,Miami (MIA),American Airlines (American Heritage Livery) B738 (N921NN),Landed 13:49,2021-05-09
13,13,14:15 TGY5011,,Georgetown (OGL),Trans Guyana Airways BEH,Unknown,2021-05-09
14,14,14:20 D5322,,Port of Spain (POS),DHL Aero Expreso 75F,Unknown,2021-05-09
15,15,14:25 BW227,,Georgetown (OGL),Caribbean Airlines AT76 (9Y-TTD),Landed 14:30,2021-05-09
16,16,14:30 SVD607,,Union Island (UNI),- DHT,Unknown,2021-05-09
17,17,14:30 SVD609,,Union Island (UNI),- DHT,Unknown,2021-05-09
18,18,14:50 BW459,,Antigua (ANU),Caribbean Airlines B738 (9Y-TAB),Landed 14:23,2021-05-09
19,19,14:55 LI311,,Kingstown (SVD),LIAT AT4,Unknown,2021-05-09
20,20,16:35 BW226,,Georgetown (OGL),Caribbean Airlines AT7,Unknown,2021-05-09
0,0,09:30 LI331,,Dominica (DOM),LIAT AT46 (V2-LIF),Landed 09:19,2021-05-10
1,1,10:25 JY705,,Castries (SLU),InterCaribbean Airways E120 (VQ-TEG),Landed 09:39,2021-05-10
2,2,11:30 SVD603,,Bequia (BQU),- DHT,Unknown,2021-05-10
3,3,11:30 SVD605,,Bequia (BQU),- DHT,Unknown,2021-05-10
4,4,12:42 A88106,,Aguadilla (BQN),Ameriflight SW4 (N245DH),Unknown,2021-05-10
5,5,13:25 BW215,,Georgetown (OGL),Caribbean Airlines AT76 (9Y-TTE),Canceled,2021-05-10
6,6,14:05 JY715,,Point Salines (GND),InterCaribbean Airways E120 (VQ-TEG),Landed 13:20,2021-05-10
7,7,14:11,AA1089,Miami (MIA),American Airlines B738 (N342PM),Landed 13:51,2021-05-10
8,8,14:25 BW227,,Georgetown (OGL),Caribbean Airlines AT76 (9Y-TTD),Landed 13:56,2021-05-10
9,9,14:30 SVD607,,Union Island (UNI),- DHT,Unknown,2021-05-10
10,10,14:30 SVD609,,Union Island (UNI),- DHT,Unknown,2021-05-10
11,11,15:55 BW217,,Georgetown (OGL),Caribbean Airlines AT76 (9Y-TTD),Canceled,2021-05-10
12,12,16:35 BW226,,Georgetown (OGL),Caribbean Airlines AT7,Unknown,2021-05-10
0,0,06:15 VCY97,,Castries (SLU),- SF3,Unknown,2021-05-11
1,1,06:20 BW791,,Miami (MIA),StratAir B763 (N351CM),Landed 06:12,2021-05-11
2,2,06:25 VCY82,,Kingstown (SVD),- SF3,Unknown,2021-05-11
3,3,07:00 M6827,,Miami (MIA),Amerijet International 76F,Unknown,2021-05-11
4,4,07:00 M68233,,Miami (MIA),Titan Airways A321 (G-DHJH),Landed 07:20,2021-05-11
5,5,09:20 VCY47,,Point Salines (GND),- SF3,Unknown,2021-05-11
6,6,10:20 JY703,,Kingstown (SVD),InterCaribbean Airways E120 (VQ-TEG),Landed 09:55,2021-05-11
7,7,11:30 SVD603,,Bequia (BQU),- DHT,Unknown,2021-05-11
8,8,11:30 SVD605,,Bequia (BQU),- DHT,Unknown,2021-05-11
9,9,13:30 VS131,,London (LHR),Virgin Atlantic B789 (G-VSPY),Landed 13:05,2021-05-11
10,10,13:50 JY713,,Castries (SLU),InterCaribbean Airways E120 (VQ-TEG),Landed 13:38,2021-05-11
11,11,14:03,B61261,New York (JFK),JetBlue Airways A321 (N907JB),Landed 14:04,2021-05-11
12,12,14:20 D5322,,Port of Spain (POS),DHL Aero Expreso 75F,Unknown,2021-05-11
13,13,14:27 A88106,,Aguadilla (BQN),Ameriflight SW4 (N243DH),Landed 14:26,2021-05-11
14,14,14:30 SVD609,,Union Island (UNI),- DHT,Unknown,2021-05-11
15,15,14:30 SVD607,,Union Island (UNI),- DHT,Unknown,2021-05-11
16,16,16:35 BW225,,Georgetown (OGL),Caribbean Airlines AT76 (9Y-TTD),Landed 15:55,2021-05-11
0,0,06:15 VCY97,,Castries (SLU),- SF3,Unknown,2021-05-12
1,1,06:25 VCY82,,Kingstown (SVD),- SF3,Unknown,2021-05-12
2,2,09:20 VCY47,,Point Salines (GND),- SF3,Unknown,2021-05-12
3,3,10:25 JY705,,Castries (SLU),InterCaribbean Airways E120 (VQ-TEG),Landed 10:06,2021-05-12
4,4,11:30 SVD603,,Bequia (BQU),- DHT,Unknown,2021-05-12
5,5,11:30 SVD605,,Bequia (BQU),- DHT,Unknown,2021-05-12
6,6,12:00 BW224,,Point Salines (GND),Caribbean Airlines AT76 (9Y-TTD),Landed 11:34,2021-05-12
7,7,13:05 2Q910,,Basseterre (SKB),Air Cargo Carriers SH36 (N4498Y),Landed 13:40,2021-05-12
8,8,13:40 A86915,,Kingstown (SVD),Ameriflight B190 (N338AF),Landed 13:20,2021-05-12
9,9,13:53 A88106,,Aguadilla (BQN),Ameriflight SW4 (N245DH),Unknown,2021-05-12
10,10,14:05 JY715,,Point Salines (GND),InterCaribbean Airways E120 (VQ-TEG),Landed 13:35,2021-05-12
11,11,14:20 D5322,,Port of Spain (POS),DHL Aero Expreso 75F,Unknown,2021-05-12
12,12,14:30 SVD609,,Union Island (UNI),- DHT,Unknown,2021-05-12
13,13,14:30 SVD607,,Union Island (UNI),- DHT,Unknown,2021-05-12
14,14,17:31 2Q940,,Kingstown (SVD),Air Cargo Carriers SH36 (N4498Y),Landed 17:34,2021-05-12
0,0,06:15 VCY97,,Castries (SLU),- SF3,Unknown,2021-05-13
1,1,06:25 VCY82,,Kingstown (SVD),- SF3,Unknown,2021-05-13
2,2,09:20 VCY47,,Point Salines (GND),- SF3,Unknown,2021-05-13
3,3,10:20 JY703,,Kingstown (SVD),InterCaribbean Airways E120 (VQ-TEG),Landed 10:07,2021-05-13
4,4,10:30 BW213,,Dominica (DOM),Caribbean Airlines AT76 (9Y-TTE),Canceled,2021-05-13
5,5,11:10 BW205,,Point Salines (GND),Caribbean Airlines AT76 (9Y-TTD),Canceled,2021-05-13
6,6,11:30 SVD603,,Bequia (BQU),- DHT,Unknown,2021-05-13
7,7,11:30 SVD605,,Bequia (BQU),- DHT,Unknown,2021-05-13
8,8,12:05 BW154,,Kingston (KIN),Caribbean Airlines B738 (9Y-JMC),Canceled,2021-05-13
9,9,12:30 LI342,,Point Salines (GND),LIAT AT46 (V2-LIF),Landed 12:30,2021-05-13
10,10,13:24 A88106,,Aguadilla (BQN),Ameriflight SW4 (N243DH),Landed 13:24,2021-05-13
11,11,13:31 AC7252,,Toronto (YYZ),Air Canada B38M (C-FSNQ),Landed 13:30,2021-05-13
12,12,13:50 JY713,,Castries (SLU),InterCaribbean Airways E120 (VQ-TEG),Landed 13:42,2021-05-13
13,13,14:03 B61261,,New York (JFK),JetBlue Airways A320 (N637JB),Landed 14:22,2021-05-13
14,14,14:11,AA1089,Miami (MIA),American Airlines B738 (N818NN),Landed 13:54,2021-05-13
15,15,14:15 TGY5011,,Georgetown (OGL),Trans Guyana Airways BEH,Unknown,2021-05-13
16,16,14:20 D5322,,Port of Spain (POS),DHL Aero Expreso 75F,Unknown,2021-05-13
17,17,14:30 SVD607,,Union Island (UNI),- DHT,Unknown,2021-05-13
18,18,14:30 SVD609,,Union Island (UNI),- DHT,Unknown,2021-05-13
