,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,2:20 AM PC656,,Istanbul (SAW),Pegasus Airlines B738 (TC-AVP),Landed 1:57 AM,2020-10-03
1,1,4:00 AM QR440,,Doha (DOH),Qatar Airways A320 (A7-AHE),Landed 3:54 AM,2020-10-03
2,2,7:40 AM RJ814,,Amman (AMM),Royal Jordanian 320,Unknown,2020-10-03
3,3,9:25 AM TK6382,,Istanbul (ISL),Turkish Airlines 31F,Unknown,2020-10-03
4,4,9:50 AM 8Q771,,Istanbul (IST),Onur Air 321,Unknown,2020-10-03
5,5,10:40 AM MS637,,Cairo (CAI),EgyptAir B738 (SU-GDB),Landed 10:23 AM,2020-10-03
6,6,11:20 AM G9368,,Sharjah (SHJ),Air Arabia -,Canceled,2020-10-03
7,7,2:00 PM IA132,,Beirut (BEY),Iraqi Airways B738 (YI-ASQ),Landed 2:23 PM,2020-10-03
8,8,4:00 PM IA102,,Cairo (CAI),Iraqi Airways B744 (YI-AQQ),Unknown,2020-10-03
9,9,4:15 PM IA904,,Basra (BSR),Iraqi Airways CR9,Unknown,2020-10-03
10,10,4:15 PM IF302,,Beirut (BEY),Fly Baghdad B737 (YI-AQL),Landed 8:25 PM,2020-10-03
11,11,4:30 PM IA944,,Arbil (EBL),Iraqi Airways CR9,Unknown,2020-10-03
12,12,4:45 PM IF202,,Istanbul (SAW),Fly Baghdad 73G,Unknown,2020-10-03
13,13,6:00 PM IA224,,Istanbul (IST),Iraqi Airways 737,Landed 5:49 PM,2020-10-03
14,14,6:30 PM UD168,,Istanbul (SAW),UR Airlines 737,Unknown,2020-10-03
15,15,7:00 PM IA296,,Kyiv (KBP),Iraqi Airways 737,Unknown,2020-10-03
16,16,7:10 PM IF702,,Arbil (EBL),Fly Baghdad 73G,Unknown,2020-10-03
17,17,7:40 PM,FZ211,Dubai (DXB),flydubai B738 (A6-FEC),Landed 7:39 PM,2020-10-03
18,18,8:00 PM,QR442,Doha (DOH),Qatar Airways B788 (A7-BCD),Landed 8:02 PM,2020-10-03
19,19,9:00 PM IA908,,Arbil (EBL),Iraqi Airways 737,Unknown,2020-10-03
20,20,10:15 PM IA946,,Arbil (EBL),Iraqi Airways CRJ9 (YI-AQD),Unknown,2020-10-03
21,21,11:00 PM IA114,,Najaf (NJF),Iraqi Airways 737,Unknown,2020-10-03
22,22,11:45 PM IA210,,Antalya (AYT),Iraqi Airways B738 (YI-ASV),Landed 12:21 AM,2020-10-03
0,0,12:30 AM UD144,,Samsun (SZF),UR Airlines 737,Unknown,2020-10-04
1,1,4:00 AM QR440,,Doha (DOH),Qatar Airways A320 (A7-AHE),Landed 3:48 AM,2020-10-04
2,2,5:00 AM TK802,,Istanbul (IST),Turkish Airlines 321,Canceled,2020-10-04
3,3,5:00 AM UD162,,Istanbul (IST),UR Airlines 737,Unknown,2020-10-04
4,4,5:50 AM MS627,,Cairo (CAI),EgyptAir B738 (SU-GDB),Landed 5:49 AM,2020-10-04
5,5,9:30 AM EK941,,Dubai (DXB),Emirates B77W (A6-ENV),Landed 9:02 AM,2020-10-04
6,6,10:15 AM IA960,,Sulaimaniyah (ISU),Iraqi Airways CR9,Unknown,2020-10-04
7,7,11:20 AM G9368,,Sharjah (SHJ),Air Arabia -,Canceled,2020-10-04
8,8,1:15 PM G9366,,Sharjah (SHJ),Air Arabia A21N (A6-ATE),Landed 12:56 PM,2020-10-04
9,9,2:00 PM IA132,,Beirut (BEY),Iraqi Airways B738 (YI-ASR),Landed 2:12 PM,2020-10-04
10,10,2:30 PM IA102,,Cairo (CAI),Iraqi Airways 737,Unknown,2020-10-04
11,11,2:30 PM ZP4801,,Baku (GYD),Silk Way Airlines IL7,Unknown,2020-10-04
12,12,3:20 PM IA124,,Dubai (DXB),Iraqi Airways B738 (YI-ASV),Landed 3:22 PM,2020-10-04
13,13,4:10 PM IF242,,Ankara (ESB),Fly Baghdad 73G,Unknown,2020-10-04
14,14,4:25 PM ME322,,Beirut (BEY),MEA A320 (OD-MRR),Landed 4:31 PM,2020-10-04
15,15,5:30 PM IA242,,Moscow (VKO),Iraqi Airways 737,Unknown,2020-10-04
16,16,6:00 PM IF222,,Istanbul (IST),Fly Baghdad 73G,Unknown,2020-10-04
17,17,6:00 PM IA224,,Istanbul (IST),Iraqi Airways 737,Unknown,2020-10-04
18,18,6:40 PM UD168,,Istanbul (SAW),UR Airlines 737,Unknown,2020-10-04
19,19,7:30 PM IA1112,,Tehran (IKA),Iraqi Airways 737,Unknown,2020-10-04
20,20,7:40 PM,FZ211,Dubai (DXB),flydubai B738 (A6-FEK),Landed 7:25 PM,2020-10-04
21,21,8:00 PM,QR442,Doha (DOH),Qatar Airways A320 (A7-AHG),Landed 7:54 PM,2020-10-04
22,22,10:00 PM IA966,,Sulaimaniyah (ISU),Iraqi Airways CR9,Unknown,2020-10-04
23,23,10:00 PM IA942,,Arbil (EBL),Iraqi Airways CRJ9 (YI-AQD),Unknown,2020-10-04
24,24,10:05 PM TK6444,,Istanbul (ISL),Turkish Cargo A332 (TC-JOV),Landed 12:45 AM,2020-10-04
25,25,11:00 PM IA944,,Arbil (EBL),Iraqi Airways B738 (YI-ASQ),Landed 10:46 PM,2020-10-04
26,26,11:00 PM IA202,,Ankara (ESB),Iraqi Airways 737,Unknown,2020-10-04
27,27,11:45 PM IA904,,Basra (BSR),Iraqi Airways CR9,Unknown,2020-10-04
0,0,12:55 AM TK7694,,Istanbul (SAW),Turkish Airlines 734,Unknown,2020-10-05
1,1,4:00 AM QR440,,Doha (DOH),Qatar Airways (Oneworld Livery) A320 (A7-AHL),Landed 3:49 AM,2020-10-05
2,2,5:00 AM TK802,,Istanbul (IST),Turkish Airlines 321,Canceled,2020-10-05
3,3,7:40 AM RJ814,,Amman (AMM),Royal Jordanian A321 (JY-AYT),Landed 7:33 AM,2020-10-05
4,4,9:30 AM EK941,,Dubai (DXB),Emirates B77W (A6-ENV),Landed 9:11 AM,2020-10-05
5,5,10:00 AM R5611,,Amman (AMM),Jordan Aviation 320,Unknown,2020-10-05
6,6,11:30 AM IA1990,,Dhaka (DAC),Iraqi Airways CR9,Unknown,2020-10-05
7,7,2:20 PM G9366,,Sharjah (SHJ),Air Arabia 320,Unknown,2020-10-05
8,8,2:30 PM IA162,,Mashhad (MHD),Iraqi Airways 737,Unknown,2020-10-05
9,9,3:00 PM IA474,,Guangzhou (CAN),Iraqi Airways 777,Unknown,2020-10-05
10,10,3:00 PM UD172,,Antalya (AYT),UR Airlines 737,Unknown,2020-10-05
11,11,3:15 PM IA904,,Basra (BSR),Iraqi Airways B738 (YI-ASV),Landed 3:19 PM,2020-10-05
12,12,4:00 PM IA102,,Cairo (CAI),Iraqi Airways B738 (YI-ASR),Landed 4:30 PM,2020-10-05
13,13,4:35 PM TK7692,,Istanbul (SAW),Turkish Airlines 734,Unknown,2020-10-05
14,14,5:30 PM IA140,,Najaf (NJF),Iraqi Airways A332 (YI-AQY),Landed 6:19 PM,2020-10-05
15,15,5:45 PM IA166,,Amman (AMM),Iraqi Airways 737,Unknown,2020-10-05
16,16,6:00 PM IF222,,Istanbul (IST),Fly Baghdad 73G,Unknown,2020-10-05
17,17,6:00 PM IA224,,Istanbul (IST),Iraqi Airways 737,Unknown,2020-10-05
18,18,6:30 PM UD168,,Istanbul (SAW),UR Airlines 737,Unknown,2020-10-05
19,19,8:00 PM,QR442,Doha (DOH),Qatar Airways A320 (A7-AHJ),Landed 7:54 PM,2020-10-05
20,20,8:00 PM IA164,,Amman (AMM),Iraqi Airways 737,Unknown,2020-10-05
21,21,8:15 PM IA272,,Minsk (MSQ),Iraqi Airways B738 (YI-ASE),Landed 10:56 PM,2020-10-05
22,22,9:00 PM IA908,,Arbil (EBL),Iraqi Airways B738 (YI-ASR),Landed 8:35 PM,2020-10-05
23,23,9:30 PM UD102,,Baku (GYD),UR Airlines 737,Unknown,2020-10-05
24,24,9:40 PM IR5301,,Tehran (IKA),Iran Air AB3,Unknown,2020-10-05
25,25,11:45 PM IA964,,Sulaimaniyah (ISU),Iraqi Airways CRJ9 (YI-AQA),Unknown,2020-10-05
0,0,12:30 AM UD144,,Samsun (SZF),UR Airlines 737,Unknown,2020-10-06
1,1,4:00 AM QR440,,Doha (DOH),Qatar Airways (Oneworld Livery) A320 (A7-AHO),Landed 3:51 AM,2020-10-06
2,2,8:30 AM MS3051,,Cairo (CAI),EgyptAir B789 (SU-GES),Landed 9:21 AM,2020-10-06
3,3,8:30 AM MS3050,,Cairo (CAI),EgyptAir 789,Unknown,2020-10-06
4,4,9:20 AM TK6448,,Istanbul (ISL),Turkish Airlines 31F,Unknown,2020-10-06
5,5,11:20 AM G9368,,Sharjah (SHJ),Air Arabia -,Canceled,2020-10-06
6,6,11:30 AM IA1992,,Dhaka (DAC),Iraqi Airways CR9,Unknown,2020-10-06
7,7,1:15 PM G9366,,Sharjah (SHJ),Air Arabia A320 (A6-ANR),Landed 1:06 PM,2020-10-06
8,8,2:00 PM IA132,,Beirut (BEY),Iraqi Airways B738 (YI-ASR),Landed 2:46 PM,2020-10-06
9,9,2:00 PM IA1166,,Amman (AMM),Iraqi Airways CR9,Unknown,2020-10-06
10,10,2:30 PM IA102,,Cairo (CAI),Iraqi Airways 330,Unknown,2020-10-06
11,11,3:20 PM IA124,,Dubai (DXB),Iraqi Airways B738 (YI-ASV),Landed 3:19 PM,2020-10-06
12,12,4:00 PM IA224,,Istanbul (IST),Iraqi Airways 737,Unknown,2020-10-06
13,13,4:25 PM ME322,,Beirut (BEY),MEA A320 (OD-MRO),Landed 4:23 PM,2020-10-06
14,14,4:35 PM TK7692,,Istanbul (SAW),Turkish Airlines 734,Unknown,2020-10-06
15,15,4:40 PM IA220,,Najaf (NJF),Iraqi Airways CR9,Unknown,2020-10-06
16,16,4:45 PM IA944,,Arbil (EBL),Iraqi Airways CRJ9 (YI-AQB),Unknown,2020-10-06
17,17,4:45 PM IF202,,Istanbul (SAW),Fly Baghdad 73G,Unknown,2020-10-06
18,18,5:45 PM IA166,,Amman (AMM),Iraqi Airways 737,Unknown,2020-10-06
19,19,6:10 PM UD168,,Istanbul (SAW),UR Airlines 737,Unknown,2020-10-06
20,20,7:10 PM IF702,,Arbil (EBL),Fly Baghdad 73G,Unknown,2020-10-06
21,21,7:30 PM IA942,,Arbil (EBL),Iraqi Airways B738 (YI-ASE),Landed 7:04 PM,2020-10-06
22,22,7:30 PM IA1112,,Tehran (IKA),Iraqi Airways 737,Unknown,2020-10-06
23,23,7:40 PM,FZ211,Dubai (DXB),flydubai B738 (A6-FET),Landed 7:43 PM,2020-10-06
24,24,8:00 PM,QR442,Doha (DOH),Qatar Airways A320 (A7-AHH),Landed 8:00 PM,2020-10-06
25,25,8:00 PM IA164,,Amman (AMM),Iraqi Airways 737,Unknown,2020-10-06
26,26,9:00 PM IA908,,Arbil (EBL),Iraqi Airways CRJ9 (YI-AQB),Unknown,2020-10-06
27,27,9:30 PM IA422,,Baku (GYD),Iraqi Airways 737,Unknown,2020-10-06
28,28,10:15 PM IA946,,Arbil (EBL),Iraqi Airways CRJ9 (YI-AQD),Unknown,2020-10-06
29,29,11:00 PM IA202,,Ankara (ESB),Iraqi Airways 737,Unknown,2020-10-06
30,30,11:59 PM UD176,,Ankara (ESB),UR Airlines 737,Unknown,2020-10-06
0,0,2:20 AM PC656,,Istanbul (SAW),Pegasus Airlines 738,Unknown,2020-10-07
1,1,4:00 AM QR440,,Doha (DOH),Qatar Airways A320 (A7-AHH),Landed 3:46 AM,2020-10-07
2,2,4:50 AM TK7742,,Ankara (ESB),Turkish Airlines 738,Unknown,2020-10-07
3,3,5:00 AM TK802,,Istanbul (IST),Turkish Airlines 321,Canceled,2020-10-07
4,4,6:30 AM 7C424,,Dubai (DWC),Jeju Air ABF,Unknown,2020-10-07
5,5,7:00 AM G9366,,Sharjah (SHJ),Air Arabia -,Canceled,2020-10-07
6,6,9:30 AM EK941,,Dubai (DXB),Emirates (Expo 2020 - Opportunity Livery) B77W (A6-ENM),Landed 9:00 AM,2020-10-07
7,7,10:55 AM MS637,,Cairo (CAI),EgyptAir B738 (SU-GEA),Landed 10:45 AM,2020-10-07
8,8,11:30 AM IA1990,,Dhaka (DAC),Iraqi Airways CR9,Unknown,2020-10-07
9,9,2:30 PM ZP4801,,Baku (GYD),Silk Way Airlines IL76 (4K-AZ40),Unknown,2020-10-07
10,10,2:30 PM IA162,,Mashhad (MHD),Iraqi Airways 737,Unknown,2020-10-07
11,11,4:00 PM UD172,,Antalya (AYT),UR Airlines 737,Unknown,2020-10-07
12,12,4:10 PM IF242,,Ankara (ESB),Fly Baghdad 73G,Unknown,2020-10-07
13,13,4:35 PM TK7692,,Istanbul (SAW),Turkish Airlines 734,Unknown,2020-10-07
14,14,4:40 PM IV7906,,Tehran (IKA),Caspian Airlines M83,Unknown,2020-10-07
15,15,5:30 PM IA242,,Moscow (VKO),Iraqi Airways 737,Unknown,2020-10-07
16,16,5:30 PM IA140,,Najaf (NJF),Iraqi Airways B738 (YI-ASV),Landed 5:10 PM,2020-10-07
17,17,5:45 PM IA906,,Basra (BSR),Iraqi Airways 737,Unknown,2020-10-07
18,18,6:00 PM IF222,,Istanbul (IST),Fly Baghdad 73G,Unknown,2020-10-07
19,19,7:00 PM IA446,,Delhi (DEL),Iraqi Airways 737,Unknown,2020-10-07
20,20,7:00 PM UD168,,Istanbul (SAW),UR Airlines 737,Unknown,2020-10-07
21,21,8:00 PM IA2242,,Moscow (VKO),Iraqi Airways 737,Unknown,2020-10-07
22,22,8:00 PM,QR442,Doha (DOH),Qatar Airways A320 (A7-AHH),Landed 7:59 PM,2020-10-07
23,23,8:30 PM IA920,,Sulaimaniyah (ISU),Iraqi Airways CRJ9 (YI-AQD),Unknown,2020-10-07
24,24,9:00 PM IA908,,Arbil (EBL),Iraqi Airways B738 (YI-ASK),Landed 8:48 PM,2020-10-07
25,25,9:00 PM UD676,,Amman (AMM),UR Airlines 737,Unknown,2020-10-07
26,26,11:00 PM IA114,,Najaf (NJF),Iraqi Airways 737,Unknown,2020-10-07
0,0,4:00 AM QR440,,Doha (DOH),Qatar Airways (Oneworld Livery) A320 (A7-AHL),Landed 3:50 AM,2020-10-08
1,1,7:40 AM RJ814,,Amman (AMM),Royal Jordanian A320 (JY-AYX),Landed 7:57 AM,2020-10-08
2,2,9:05 AM TK6534,,Istanbul (ISL),Turkish Airlines 31F,Unknown,2020-10-08
3,3,10:00 AM R5611,,Amman (AMM),Jordan Aviation 320,Unknown,2020-10-08
4,4,11:30 AM IA1990,,Dhaka (DAC),Iraqi Airways CR9,Unknown,2020-10-08
5,5,2:00 PM IA132,,Beirut (BEY),Iraqi Airways B738 (YI-ASE),Landed 2:06 PM,2020-10-08
6,6,2:10 PM MS3052,,Washington (IAD),EgyptAir B789 (SU-GES),Landed 1:54 PM,2020-10-08
7,7,2:15 PM IA1920,,Muscat (MCT),Iraqi Airways CR9,Unknown,2020-10-08
8,8,2:20 PM G9366,,Sharjah (SHJ),Air Arabia A21N (A6-ATE),Landed 1:08 PM,2020-10-08
9,9,2:25 PM EK943,,Dubai (DXB),Emirates (Expo 2020 - Opportunity Livery) B77W (A6-ENM),Landed 1:58 PM,2020-10-08
10,10,3:20 PM IA124,,Dubai (DXB),Iraqi Airways B738 (YI-ASV),Landed 3:02 PM,2020-10-08
11,11,3:30 PM IA118,,Najaf (NJF),Iraqi Airways 737,Unknown,2020-10-08
12,12,4:00 PM IA102,,Cairo (CAI),Iraqi Airways B738 (YI-ASH),Landed 4:05 PM,2020-10-08
13,13,4:15 PM IF302,,Beirut (BEY),Fly Baghdad 73G,Unknown,2020-10-08
14,14,4:25 PM ME322,,Beirut (BEY),MEA A320 (OD-MRO),Landed 4:31 PM,2020-10-08
15,15,4:35 PM TK7692,,Istanbul (SAW),Turkish Airlines 734,Unknown,2020-10-08
