,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:10 FR7454,,Catania (CTA),Ryanair B738 (9H-QAO),Landed 00:02,2021-06-08
1,1,00:15 FR4887,,Bari (BRI),Ryanair B738 (9H-QCN),Landed 00:23,2021-06-08
2,2,00:25 FR5834,,Edinburgh (EDI),Ryanair B738 (9H-QAT),Landed 23:51,2021-06-08
3,3,00:45 FR5532,,Cologne (CGN),Ryanair B738 (9H-QBF),Diverted to CGN,2021-06-08
4,4,07:45 FR4036,,Pescara (PSR),Ryanair B738 (9H-QBE),Landed 07:36,2021-06-08
5,5,07:50 W63795,,Chisinau (KIV),Wizz Air A320 (HA-LYD),Landed 07:24,2021-06-08
6,6,07:55 FR4659,,Bari (BRI),Ryanair B738 (9H-QCI),Landed 07:38,2021-06-08
7,7,08:00 FR4707,,Cagliari (CAG),Ryanair B738 (9H-QCC),Landed 07:55,2021-06-08
8,8,08:35 W63135,,Bucharest (OTP),Wizz Air 32Q,Unknown,2021-06-08
9,9,09:00 W61681,,Gdansk (GDN),Wizz Air 320,Unknown,2021-06-08
10,10,09:40 FR6452,,Palermo (PMO),Ryanair B738 (9H-QBF),Landed 09:35,2021-06-08
11,11,09:50 FR8886,,Brindisi (BDS),Ryanair B738 (9H-QAT),Landed 09:37,2021-06-08
12,12,09:55 ZB2007,,Tirana (TIA),Air Albania 319,Unknown,2021-06-08
13,13,10:00 FR4709,,Alghero (AHO),Ryanair B738 (9H-QEG),Landed 09:42,2021-06-08
14,14,10:10 FR5093,,Lamezia Terme (SUF),Ryanair B738 (9H-QCN),Landed 10:08,2021-06-08
15,15,10:10 FR4112,,Naples (NAP),Ryanair B738 (9H-QEO),Landed 10:01,2021-06-08
16,16,10:45 FR5140,,Faro (FAO),Ryanair B738 (EI-EVR),Landed 10:30,2021-06-08
17,17,10:45 FR7452,,Catania (CTA),Ryanair B738 (9H-QAD),Landed 10:50,2021-06-08
18,18,10:55 FR4192,,London (STN),Ryanair B738 (9H-QBI),Landed 11:03,2021-06-08
