,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,05:39,Y4899,Los Angeles (LAX),Volaris A320 (XA-VLO),Landed 05:14,2021-06-08
1,1,05:47 Y4400,,Tijuana (TIJ),Volaris A320 (N511VL),Landed 05:29,2021-06-08
2,2,06:05 VB5028,,Tijuana (TIJ),VivaAerobus A320 (XA-VAQ),Landed 05:38,2021-06-08
3,3,07:28,AM128,Mexico City (MEX),Aeromexico Connect E190 (XA-GAI),Landed 07:41,2021-06-08
4,4,08:25 VB4180,,Monterrey (MTY),VivaAerobus A320 (XA-VAV),Landed 08:06,2021-06-08
5,5,09:50 VB2040,,Cancun (CUN),VivaAerobus A20N (XA-VII),Landed 09:36,2021-06-08
6,6,10:12,AM152,Mexico City (MEX),Aeromexico Connect E190 (XA-ACC),Landed 09:57,2021-06-08
7,7,10:41 UJ205,,Laredo (LRD),USA Jet Airlines DC93 (N205US),Landed 10:38,2021-06-08
8,8,11:07,AA1263,Dallas (DFW),American Airlines A319 (N824AW),Landed 10:53,2021-06-08
9,9,11:10 VB9065,,Ciudad Juarez (CJS),VivaAerobus A320 (XA-VAY),Landed 11:01,2021-06-08
10,10,11:53 Y4398,,Tijuana (TIJ),Volaris A320 (N510VL),Landed 11:35,2021-06-08
11,11,11:54,UA2118,Houston (IAH),United Airlines A320 (N410UA),Landed 11:39,2021-06-08
12,12,12:53 Y4402,,Tijuana (TIJ),Volaris A21N (N542VL),Landed 12:44,2021-06-08
13,13,13:15 UA4629,,Chicago (ORD),United Express E75L (N119SY),Landed 13:22,2021-06-08
14,14,14:23,AM134,Mexico City (MEX),Aeromexico Connect E190 (XA-GAH),Landed 14:19,2021-06-08
15,15,14:29,UA2183,Houston (IAH),United Airlines B737 (N27733),Landed 14:14,2021-06-08
16,16,14:40 VB215,,San Antonio (SAT),VivaAerobus A320 (XA-VAV),Landed 14:08,2021-06-08
17,17,17:39,AM158,Mexico City (MEX),Aeromexico Connect E190 (XA-FAC),Landed 18:17,2021-06-08
18,18,17:40 Y4290,,Chicago (ORD),Volaris A320 (XA-VLQ),Landed 16:52,2021-06-08
19,19,19:15,AM136,Mexico City (MEX),Aeromexico Connect E190 (XA-MAC),Landed 18:58,2021-06-08
20,20,19:16,Y4639,Cancun (CUN),Volaris A21N (N542VL),Landed 19:20,2021-06-08
21,21,20:07 Y4943,,Chicago (MDW),Volaris A320 (N511VL),Landed 19:43,2021-06-08
22,22,21:58,AM132,Mexico City (MEX),Aeromexico Connect E190 (XA-CAC),Landed 22:10,2021-06-08
23,23,22:05,UA2165,Houston (IAH),United Airlines B737 (N24729),Landed 21:53,2021-06-08
24,24,22:08,AA2262,Dallas (DFW),American Airlines A319 (N3014R),Unknown,2021-06-08
25,25,22:35 Y4404,,Tijuana (TIJ),Volaris A321 (XA-VLH),Landed 22:18,2021-06-08
26,26,22:48,Y4641,Cancun (CUN),Volaris A20N (XA-VRF),Landed 01:17,2021-06-08
0,0,2:37 AM UJ195,,Laredo (LRD),USA Jet Airlines DC91 (N195US),Landed 2:25 AM,2021-06-09
1,1,3:46 AM,Y4253,Sacramento (SMF),Volaris A320 (XA-VLQ),Landed 3:40 AM,2021-06-09
2,2,5:47 AM Y4400,,Tijuana (TIJ),Volaris A320 (XA-VOZ),Landed 5:26 AM,2021-06-09
3,3,6:05 AM VB5028,,Tijuana (TIJ),VivaAerobus A320 (XA-VAQ),Landed 5:41 AM,2021-06-09
4,4,6:18 AM Y4245,,Fresno (FAT),Volaris A320 (N511VL),Landed 5:51 AM,2021-06-09
5,5,7:28 AM,AM128,Mexico City (MEX),Aeromexico Connect E190 (XA-ACT),Landed 7:30 AM,2021-06-09
6,6,10:12 AM,AM152,Mexico City (MEX),Aeromexico Connect E190 (XA-AEE),Landed 10:11 AM,2021-06-09
7,7,10:27 AM Y4249,,San Jose del Cabo (SJD),Volaris A320 (XA-VOZ),Landed 10:09 AM,2021-06-09
8,8,11:07 AM,AA1263,Dallas (DFW),American Airlines (Retro PSA livery) A319 (N742PS),Unknown,2021-06-09
9,9,11:10 AM VB9065,,Ciudad Juarez (CJS),VivaAerobus A20N (XA-VIQ),Landed 11:10 AM,2021-06-09
10,10,11:54 AM,UA2118,Houston (IAH),United Airlines A320 (N410UA),Landed 11:43 AM,2021-06-09
11,11,12:53 PM Y4402,,Tijuana (TIJ),Volaris A321 (XA-VRC),Landed 12:35 PM,2021-06-09
12,12,1:15 PM UA4629,,Chicago (ORD),United Express E75L (N166SY),Landed 12:59 PM,2021-06-09
13,13,2:23 PM,AM134,Mexico City (MEX),Aeromexico Connect E190 (XA-AEI),Landed 2:25 PM,2021-06-09
14,14,2:29 PM,UA2183,Houston (IAH),United Airlines B737 (N27734),Landed 2:10 PM,2021-06-09
15,15,2:50 PM VB4182,,Monterrey (MTY),VivaAerobus A20N (XA-VIO),Landed 2:20 PM,2021-06-09
16,16,5:39 PM,AM158,Mexico City (MEX),Aeromexico Connect E190 (XA-ALW),Landed 6:28 PM,2021-06-09
17,17,7:15 PM,AM136,Mexico City (MEX),Aeromexico Connect E190 (XA-ACE),Landed 7:35 PM,2021-06-09
18,18,7:16 PM,Y4639,Cancun (CUN),Volaris A321 (XA-VRC),Landed 7:16 PM,2021-06-09
19,19,8:16 PM Y4943,,Chicago (MDW),Volaris A320 (XA-VOZ),Landed 7:55 PM,2021-06-09
20,20,8:27 PM Y4993,,Oakland (OAK),Volaris A320 (XA-VLQ),Landed 8:09 PM,2021-06-09
21,21,9:45 PM VB207,,Houston (IAH),VivaAerobus A20N (XA-VIO),Landed 9:24 PM,2021-06-09
22,22,9:58 PM,AM132,Mexico City (MEX),Aeromexico Connect E190 (XA-AEL),Landed 10:06 PM,2021-06-09
23,23,10:05 PM,UA2165,Houston (IAH),United Airlines B737 (N24729),Landed 9:46 PM,2021-06-09
24,24,10:08 PM,AA2262,Dallas (DFW),American Airlines A319 (N771XF),Landed 10:52 PM,2021-06-09
25,25,10:35 PM Y4404,,Tijuana (TIJ),Volaris A21N (N542VL),Landed 10:31 PM,2021-06-09
26,26,10:48 PM,Y4641,Cancun (CUN),Volaris A20N (XA-VRF),Landed 10:35 PM,2021-06-09
0,0,05:39,Y4899,Los Angeles (LAX),Volaris A320 (XA-VOZ),Landed 05:32,2021-06-10
1,1,05:47 Y4400,,Tijuana (TIJ),Volaris A20N (XA-VRR),Landed 05:42,2021-06-10
2,2,05:55 Y4255,,Mexicali (MXL),Volaris A320 (XA-VLQ),Landed 05:37,2021-06-10
3,3,06:05 VB5028,,Tijuana (TIJ),VivaAerobus A20N (XA-VIJ),Landed 05:48,2021-06-10
4,4,07:20 VB4180,,Monterrey (MTY),VivaAerobus (Tecate Pal Norte 2019 Livery) A20N (XA-VIE),Landed 07:07,2021-06-10
5,5,07:28,AM128,Mexico City (MEX),Aeromexico Connect E190 (XA-BAC),Unknown,2021-06-10
6,6,09:38 Y4247,,Puerto Vallarta (PVR),Volaris A320 (XA-VLQ),Landed 09:19,2021-06-10
7,7,10:12,AM152,Mexico City (MEX),Aeromexico Connect E190 (XA-ALY),Landed 10:00,2021-06-10
8,8,10:27 Y4249,,San Jose del Cabo (SJD),Volaris A20N (XA-VRR),Landed 10:20,2021-06-10
9,9,10:30 Y45939,,Cancun (CUN),Volaris A320 (N523VL),Landed 10:15,2021-06-10
10,10,11:07,AA1263,Dallas (DFW),American Airlines A319 (N758US),Landed 11:07,2021-06-10
11,11,11:54,UA2118,Houston (IAH),United Airlines A320 (N427UA),Landed 11:34,2021-06-10
12,12,12:53 Y4402,,Tijuana (TIJ),Volaris A321 (XA-VLZ),Landed 12:53,2021-06-10
13,13,13:15 UA4629,,Chicago (ORD),United Express E75L (N107SY),Landed 12:46,2021-06-10
14,14,14:00 VB2042,,Cancun (CUN),VivaAerobus A320 (XA-VAR),Landed 13:56,2021-06-10
15,15,14:15 VB205,,Houston (IAH),VivaAerobus (Tecate Pal Norte 2019 Livery) A20N (XA-VIE),Landed 13:30,2021-06-10
16,16,14:23,AM134,Mexico City (MEX),Aeromexico Connect E190 (XA-ACJ),Landed 14:27,2021-06-10
17,17,14:29,UA2183,Houston (IAH),United Airlines B737 (N14735),Landed 14:06,2021-06-10
18,18,17:39,AM158,Mexico City (MEX),Aeromexico Connect E190 (XA-AEL),Landed 18:09,2021-06-10
19,19,19:15,AM136,Mexico City (MEX),Aeromexico Connect E190 (XA-GAI),Landed 19:52,2021-06-10
20,20,19:15 VB9071,,Ciudad Juarez (CJS),VivaAerobus A320 (XA-VAB),Landed 19:22,2021-06-10
21,21,19:16,Y4639,Cancun (CUN),Volaris A321 (XA-VLZ),Landed 19:27,2021-06-10
22,22,20:13,Y4933,San Jose (SJC),Volaris A320 (XA-VLQ),Landed 20:01,2021-06-10
23,23,20:16 Y4943,,Chicago (MDW),Volaris A20N (XA-VRR),Landed 19:49,2021-06-10
24,24,21:58,AM132,Mexico City (MEX),Aeromexico Connect E190 (XA-FAC),Landed 22:07,2021-06-10
25,25,22:05,UA2165,Houston (IAH),United Airlines B737 (N27722),Landed 22:13,2021-06-10
26,26,22:08,AA2262,Dallas (DFW),American Airlines A319 (N804AW),Landed 23:16,2021-06-10
27,27,22:35 Y4404,,Tijuana (TIJ),Volaris A21N (N542VL),Landed 22:35,2021-06-10
28,28,22:48,Y4641,Cancun (CUN),Volaris A20N (XA-VRL),Landed 22:44,2021-06-10
0,0,05:47 Y4400,,Tijuana (TIJ),Volaris A320 (XA-VRA),Landed 05:34,2021-06-11
1,1,06:05 VB5028,,Tijuana (TIJ),VivaAerobus A320 (XA-VAQ),Landed 05:49,2021-06-11
2,2,06:45,Y4253,Sacramento (SMF),Volaris A320 (XA-VLQ),Landed 06:54,2021-06-11
3,3,07:28,AM128,Mexico City (MEX),Aeromexico Connect E190 (XA-ACS),Landed 07:18,2021-06-11
4,4,09:38 Y4247,,Puerto Vallarta (PVR),Volaris A320 (XA-VRA),Landed 09:23,2021-06-11
5,5,10:12,AM152,Mexico City (MEX),Aeromexico Connect E190 (XA-GAR),Landed 10:05,2021-06-11
6,6,10:30 VB9065,,Ciudad Juarez (CJS),VivaAerobus A20N (XA-VIW),Landed 10:37,2021-06-11
7,7,11:07,AA1263,Dallas (DFW),American Airlines A319 (N773XF),Landed 10:41,2021-06-11
8,8,11:54,UA2118,Houston (IAH),United Airlines A319 (N836UA),Landed 11:26,2021-06-11
9,9,12:45 VB4182,,Monterrey (MTY),VivaAerobus A320,Landed 12:30,2021-06-11
10,10,12:53 Y4402,,Tijuana (TIJ),Volaris A21N (N542VL),Landed 12:53,2021-06-11
11,11,13:15 UA4629,,Chicago (ORD),United Express E75L (N146SY),Landed 12:38,2021-06-11
12,12,14:23,AM134,Mexico City (MEX),Aeromexico Connect E190 (XA-FAC),Landed 14:04,2021-06-11
13,13,14:29,UA2183,Houston (IAH),United Airlines B737 (N24729),Landed 14:12,2021-06-11
14,14,17:39,AM158,Mexico City (MEX),Aeromexico Connect E190 (XA-JAC),Landed 17:41,2021-06-11
15,15,19:15,AM136,Mexico City (MEX),Aeromexico Connect E190 (XA-GAD),Landed 19:06,2021-06-11
16,16,19:16,Y4639,Cancun (CUN),Volaris A21N (N542VL),Landed 19:16,2021-06-11
17,17,19:32 Y4943,,Chicago (MDW),Volaris A20N (XA-VRR),Landed 19:22,2021-06-11
18,18,20:27 Y4993,,Oakland (OAK),Volaris A320 (XA-VRA),Landed 19:55,2021-06-11
19,19,21:53 Y4498,,Tijuana (TIJ),Volaris A21N (N537VL),Landed 21:51,2021-06-11
20,20,21:58,AM132,Mexico City (MEX),Aeromexico Connect E190 (XA-AEL),Landed 22:29,2021-06-11
21,21,22:05,UA2165,Houston (IAH),United Airlines A319 (N878UA),Landed 21:47,2021-06-11
22,22,22:08,AA2262,Dallas (DFW),American Airlines A319 (N774XF),Landed 22:59,2021-06-11
23,23,22:20 VB4188,,Monterrey (MTY),VivaAerobus A320 (EI-EUA),Landed 22:19,2021-06-11
24,24,22:35 Y4404,,Tijuana (TIJ),Volaris A321 (XA-VLZ),Landed 22:24,2021-06-11
25,25,22:48,Y4641,Cancun (CUN),Volaris A20N (N530VL),Landed 22:57,2021-06-11
0,0,5:47 AM Y4400,,Tijuana (TIJ),Volaris A20N (XA-VRS),Landed 5:35 AM,2021-06-12
1,1,6:05 AM VB5028,,Tijuana (TIJ),VivaAerobus A20N (XA-VIJ),Landed 6:03 AM,2021-06-12
2,2,6:18 AM Y4245,,Fresno (FAT),Volaris A20N (XA-VRR),Landed 6:00 AM,2021-06-12
3,3,8:25 AM VB4180,,Monterrey (MTY),VivaAerobus A320 (EI-EUA),Landed 8:02 AM,2021-06-12
4,4,9:10 AM,AM152,Mexico City (MEX),Aeromexico Connect E190 (XA-IAC),Landed 9:02 AM,2021-06-12
5,5,9:38 AM Y4247,,Puerto Vallarta (PVR),Volaris A20N (XA-VRS),Landed 9:32 AM,2021-06-12
6,6,11:07 AM,AA1263,Dallas (DFW),American Airlines A319 (N823AW),Landed 12:22 PM,2021-06-12
7,7,11:10 AM VB9065,,Ciudad Juarez (CJS),VivaAerobus A320 (XA-VAN),Landed 10:55 AM,2021-06-12
8,8,11:54 AM,UA2118,Houston (IAH),United Airlines A319 (N848UA),Landed 11:36 AM,2021-06-12
9,9,12:53 PM Y4402,,Tijuana (TIJ),Volaris A321 (XA-VLH),Landed 12:44 PM,2021-06-12
10,10,1:08 PM,AM134,Mexico City (MEX),Aeromexico Connect E190 (XA-GAI),Landed 1:26 PM,2021-06-12
11,11,1:15 PM UA4629,,Chicago (ORD),United Express E75L (N108SY),Landed 1:09 PM,2021-06-12
12,12,2:05 PM,,Houston (HOU),- CL60 (N818AC),Canceled,2021-06-12
13,13,2:29 PM,UA2183,Houston (IAH),United Airlines B737 (N24715),Landed 2:14 PM,2021-06-12
