,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:05 I51130,,Cochin (COK),AirAsia India 320,Unknown,2021-06-08
1,1,00:10 6E178,,Patna (PAT),IndiGo 320,Canceled,2021-06-08
2,2,00:20 SG406,,Kolkata (CCU),SpiceJet 737,Canceled,2021-06-08
3,3,00:25 I5335,,Mumbai (BOM),AirAsia India 320,Unknown,2021-06-08
4,4,00:25 I52991,,Kolkata (CCU),AirAsia India 320,Unknown,2021-06-08
5,5,00:45 AI574,,Patna (PAT),Air India A20N (VT-EXI),Landed 00:08,2021-06-08
6,6,00:55 I51459,,Visakhapatnam (VTZ),AirAsia India 32N,Unknown,2021-06-08
7,7,01:00 I5974,,Hyderabad (HYD),AirAsia India 320,Unknown,2021-06-08
8,8,01:05 6E6177,,Delhi (DEL),IndiGo A320 (VT-IHX),Landed 00:49,2021-06-08
9,9,03:50 G9496,,Sharjah (SHJ),Air Arabia 320,Canceled,2021-06-08
10,10,04:15 SG7085,,Delhi (DEL),SpiceXpress B737 (VT-SFE),Landed 04:11,2021-06-08
11,11,04:55 SG7445,,Mumbai (BOM),SpiceJet DH8D (VT-SUB),Canceled,2021-06-08
12,12,05:10 QR8048,,Doha (DOH),Qatar Airways B77W (A7-BAO),Landed 05:00,2021-06-08
13,13,06:30 BZ305,,Delhi (DEL),Blue Dart Aviation 75C,Unknown,2021-06-08
14,14,06:30 BZ403,,Delhi (DEL),Blue Dart Aviation B752 (VT-BDA),Landed 06:43,2021-06-08
15,15,06:35 6E6897,,Chennai (MAA),IndiGo AT76 (VT-IYM),Landed 06:11,2021-06-08
16,16,06:45 LH8474,,Frankfurt (FRA),Lufthansa Cargo B77L (D-ALFA),Landed 06:22,2021-06-08
17,17,06:45 BZ201,,Mumbai (BOM),Blue Dart Aviation B752 (VT-BDB),Landed 06:36,2021-06-08
18,18,06:45 SG7675,,Delhi (DEL),SpiceJet B739 (VT-SZL),Landed 06:33,2021-06-08
19,19,07:45 G8317,,Mumbai (BOM),Go Air 32A,Canceled,2021-06-08
20,20,07:45 6E199,,Mumbai (BOM),IndiGo A20N (VT-ISN),Landed 07:13,2021-06-08
21,21,08:05 SG937,,Ahmedabad (AMD),SpiceJet 737,Unknown,2021-06-08
22,22,08:25 G8113,,Delhi (DEL),Go Air 32A,Canceled,2021-06-08
23,23,08:40 I51325,,Goa (GOI),AirAsia India 320,Unknown,2021-06-08
24,24,08:40 I51452,,Cochin (COK),AirAsia A20N (VT-ATE),Canceled,2021-06-08
25,25,08:50 SG8191,,Delhi (DEL),SpiceJet 737,Canceled,2021-06-08
26,26,08:50 6E9024,,Singapore (SIN),IndiGo A320 (VT-IFK),Landed 12:30,2021-06-08
27,27,08:55,AI803,Delhi (DEL),Air India A20N (VT-EXK),Landed 08:40,2021-06-08
28,28,08:55 EK564,,Dubai (DXB),Emirates B77W (A6-EBU),Landed 08:18,2021-06-08
29,29,09:05 SG3011,,Chennai (MAA),SpiceJet DH8D (VT-SUT),Unknown,2021-06-08
30,30,09:10 SG3418,,Vijayawada (VGA),SpiceJet DH8,Canceled,2021-06-08
31,31,09:30 6E7203,,Vijayawada (VGA),IndiGo AT76 (VT-IYU),Landed 09:06,2021-06-08
32,32,09:50 AI1978,,Kannur (CNN),Air India (Mahatma Gandhi Livery) A20N (VT-CIO),Landed 10:07,2021-06-08
33,33,09:55 6E447,,Chennai (MAA),IndiGo AT76 (VT-IYH),Landed 09:47,2021-06-08
34,34,10:05 6E772,,Delhi (DEL),IndiGo 320,Canceled,2021-06-08
35,35,10:40 G8273,,Patna (PAT),Go Air 32A,Canceled,2021-06-08
36,36,10:40 G8802,,Ahmedabad (AMD),Go Air 32A,Canceled,2021-06-08
37,37,10:45 I5740,,Delhi (DEL),AirAsia India 320,Canceled,2021-06-08
38,38,10:45 2T622,,Vijaynagar (VDY),Trujet AT7,Unknown,2021-06-08
39,39,10:45 6E6566,,Kozhikode (CCJ),IndiGo AT76 (VT-IYQ),Landed 10:46,2021-06-08
40,40,10:50,UK815,Delhi (DEL),Vistara A20N (VT-TNS),Landed 10:19,2021-06-08
41,41,11:00 6E406,,Raipur (RPR),IndiGo A20N (VT-IVW),Landed 10:24,2021-06-08
42,42,11:05 6E6066,,Hyderabad (HYD),IndiGo AT76 (VT-IYC),Landed 10:53,2021-06-08
43,43,11:10 I5926,,Delhi (DEL),AirAsia India 320,Unknown,2021-06-08
44,44,11:10 6E823,,Ahmedabad (AMD),IndiGo A21N (VT-IUP),Landed 10:40,2021-06-08
45,45,11:15,CX44,Chennai (MAA),Cathay Pacific 74Y,Unknown,2021-06-08
46,46,11:15 6E345,,Kolkata (CCU),IndiGo A320 (VT-IKE),Landed 10:37,2021-06-08
47,47,11:20 I52473,,Kolkata (CCU),AirAsia A320 (VT-BOM),Canceled,2021-06-08
48,48,11:30 SG516,,Kolkata (CCU),SpiceJet B738 (VT-SLH),Unknown,2021-06-08
49,49,11:30,9I510,Gulbarga (GBI),Alliance Air AT76 (VT-AIW),Landed 10:50,2021-06-08
