,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,3:25 AM QF7353,,Melbourne (MEL),Qantas Freight B733 (VH-XMB),Landed 3:32 AM,2021-06-11
1,1,3:25 AM QF7412,,Sydney (SYD),Qantas SFF,Unknown,2021-06-11
2,2,4:30 AM VA9583,,Sydney (SYD),Virgin Australia 14Y,Unknown,2021-06-11
3,3,4:50 AM QF7303,,Melbourne (MEL),Nauru Airlines B733 (VH-ONU),Landed 4:43 AM,2021-06-11
4,4,5:15 AM QF942,,Perth (PER),Qantas B738 (VH-VZP),Landed 5:19 AM,2021-06-11
5,5,5:40 AM VA473,,Perth (PER),Virgin Australia B738 (VH-YIJ),Landed 5:32 AM,2021-06-11
6,6,6:10 AM QF16,,Los Angeles (LAX),Qantas B789 (VH-ZNK),Landed 6:03 AM,2021-06-11
7,7,7:20 AM FC882,,Armidale (ARM),- SWM,Unknown,2021-06-11
8,8,7:30 AM JQ810,,Sydney (SYD),Jetstar Airways A320 (VH-VFL),Landed 7:25 AM,2021-06-11
9,9,7:35 AM QF500,,Sydney (SYD),Qantas B738 (VH-VZE),Landed 7:32 AM,2021-06-11
10,10,7:35 AM QF751,,Townsville (TSV),Qantas B738 (VH-VXU),Landed 7:48 AM,2021-06-11
11,11,7:40 AM QF2319,,Bundaberg (BDB),QantasLink DH8D (VH-QON),Landed 7:26 AM,2021-06-11
12,12,7:50 AM QF2559,,Tamworth (TMW),Qantas DH4,Unknown,2021-06-11
13,13,7:55 AM QF946,,Canberra (CBR),Qantas B738 (VH-VXM),Landed 8:04 AM,2021-06-11
14,14,7:55 AM QF2331,,Gladstone (GLT),QantasLink DH8D (VH-QOR),Landed 7:33 AM,2021-06-11
15,15,7:55 AM QF2349,,Rockhampton (ROK),QantasLink DH8D (VH-QOW),Landed 7:44 AM,2021-06-11
16,16,7:55 AM VA362,,Townsville (TSV),Virgin Australia B738 (VH-YIE),Landed 7:38 AM,2021-06-11
17,17,7:55 AM VA1207,,Canberra (CBR),Virgin Australia B738 (VH-YFL),Landed 7:47 AM,2021-06-11
18,18,8:00 AM VA600,,Mackay (MKY),Virgin Australia B738 (VH-YFF),Landed 7:41 AM,2021-06-11
19,19,8:00 AM FC552,,Coffs Harbour (CFS),- SWM,Unknown,2021-06-11
20,20,8:00 AM QF707,,Cairns (CNS),Qantas B738 (VH-VXP),Landed 8:04 AM,2021-06-11
21,21,8:00 AM VA905,,Sydney (SYD),Virgin Australia B738 (VH-VUZ),Landed 7:58 AM,2021-06-11
22,22,8:05 AM VA1101,,Newcastle (NTL),Virgin Australia B737 (VH-VBZ),Landed 8:00 AM,2021-06-11
23,23,8:05 AM JQ929,,Cairns (CNS),Jetstar Airways A320 (VH-VQM),Landed 7:53 AM,2021-06-11
24,24,8:05 AM QF502,,Sydney (SYD),Qantas B738 (VH-VZQ),Landed 8:07 AM,2021-06-11
25,25,8:10 AM VA303,,Melbourne (MEL),Virgin Australia 73H,Canceled,2021-06-11
26,26,8:10 AM VA1232,,Rockhampton (ROK),Virgin Australia B737 (VH-VBY),Landed 7:57 AM,2021-06-11
27,27,8:10 AM QF600,,Melbourne (MEL),Qantas 73H,Unknown,2021-06-11
28,28,8:10 AM QF983,,Mackay (MKY),Qantas B738 (VH-VZF),Landed 8:09 AM,2021-06-11
29,29,8:15 AM VA770,,Cairns (CNS),Virgin Australia B738 (VH-YFK),Landed 8:02 AM,2021-06-11
30,30,8:30 AM QF602,,Melbourne (MEL),Qantas B738 (VH-VZW),Landed 8:14 AM,2021-06-11
31,31,8:30 AM VA909,,Sydney (SYD),Virgin Australia B738 (VH-YFV),Landed 8:44 AM,2021-06-11
32,32,8:30 AM QF2420,,Newcastle (NTL),QantasLink DH8D (VH-QOI),Landed 8:10 AM,2021-06-11
33,33,8:35 AM QF504,,Sydney (SYD),Qantas B738 (VH-VYD),Landed 8:27 AM,2021-06-11
34,34,8:55 AM QF1793,,Rockhampton (ROK),QantasLink B712 (VH-NXM),Landed 9:05 AM,2021-06-11
35,35,9:00 AM VA913,,Sydney (SYD),Virgin Australia B738 (VH-YIV),Landed 9:07 AM,2021-06-11
36,36,9:00 AM VA2900,,Gladstone (GLT),Alliance Airlines F70 (VH-JFB),Landed 8:55 AM,2021-06-11
37,37,9:05 AM JQ480,,Newcastle (NTL),Jetstar Airways A320 (VH-VGI),Landed 8:59 AM,2021-06-11
38,38,9:05 AM QF660,,Adelaide (ADL),Qantas B738 (VH-VZC),Landed 8:52 AM,2021-06-11
39,39,9:05 AM VA1385,,Adelaide (ADL),Virgin Australia B738 (VH-YFX),Landed 8:48 AM,2021-06-11
40,40,9:10 AM JQ560,,Melbourne (MEL),Jetstar Airways 320,Canceled,2021-06-11
41,41,9:15 AM QF2333,,Gladstone (GLT),QantasLink DH8D (VH-QOM),Landed 9:02 AM,2021-06-11
42,42,9:20 AM VA309,,Melbourne (MEL),Virgin Australia B738 (VH-YWD),Landed 9:17 AM,2021-06-11
43,43,9:30 AM QF604,,Melbourne (MEL),Qantas 73H,Unknown,2021-06-11
44,44,9:30 AM QF989,,Mackay (MKY),Qantas B738 (VH-XZE),Landed 9:10 AM,2021-06-11
45,45,9:30 AM VA917,,Sydney (SYD),Virgin Australia B738 (VH-YIG),Landed 9:19 AM,2021-06-11
46,46,9:35 AM QF508,,Sydney (SYD),Qantas B738 (VH-VZG),Landed 9:40 AM,2021-06-11
47,47,10:05 AM QF510,,Sydney (SYD),Qantas B738 (VH-VZP),Landed 10:13 AM,2021-06-11
48,48,10:20 AM QF2403,,Emerald (EMD),QantasLink DH8D (VH-LQF),Landed 9:55 AM,2021-06-11
49,49,10:20 AM SQ255,,Singapore (SIN),Singapore Airlines A359 (9V-SHG),Landed 10:06 AM,2021-06-11
50,50,10:20 AM VA313,,Melbourne (MEL),Virgin Australia B738 (VH-YFT),Canceled,2021-06-11
51,51,10:25 AM JQ816,,Sydney (SYD),Jetstar Airways A320 (VH-VFJ),Landed 10:26 AM,2021-06-11
52,52,10:25 AM QF1777,,Newcastle (NTL),QantasLink B712 (VH-NXO),Landed 10:11 AM,2021-06-11
