,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:10 TK6372,,Dubai (DWC),Turkish Cargo A332 (TC-JDO),Unknown,2021-06-08
1,1,00:35,KL877,Amsterdam (AMS),KLM (KLM 100 Years Livery) B78X (PH-BKA),Landed 00:28,2021-06-08
2,2,00:50 SG1612,,Chennai (MAA),SpiceJet B737 (VT-SLP),Unknown,2021-06-08
3,3,01:20,LH756,Frankfurt (FRA),Lufthansa (Star Alliance Livery) A343 (D-AIFE),Landed 01:04,2021-06-08
4,4,01:35 BZ154,,Hyderabad (HYD),Blue Dart Aviation B752 (VT-BDM),Landed 01:23,2021-06-08
5,5,01:40 SG1366,,Kolkata (CCU),SpiceJet 737,Unknown,2021-06-08
6,6,02:05 BZ102,,Bengaluru (BLR),Blue Dart Aviation B752 (VT-BDN),Landed 02:10,2021-06-08
7,7,02:10 TK6236,,Istanbul (ISL),Turkish Cargo B77L (TC-LJN),Landed 09:53,2021-06-08
8,8,02:10 UL141,,Colombo (CMB),SriLankan Airlines A333 (4R-ALN),Landed 01:46,2021-06-08
9,9,02:25 QR556,,Doha (DOH),Qatar Airways A359 (A7-ALM),Landed 02:20,2021-06-08
10,10,02:25 QR8378,,Doha (DOH),Qatar Airways (Oneworld Livery) B77W (A7-BAB),Landed 02:17,2021-06-08
11,11,02:30 EK500,,Dubai (DXB),Emirates B77W (A6-ENJ),Landed 02:08,2021-06-08
12,12,02:30 QR8372,,Doha (DOH),Qatar Airways A35K (A7-ANH),Landed 02:07,2021-06-08
13,13,02:40 AI130,,London (LHR),Air India B788 (VT-ANJ),Landed 02:18,2021-06-08
14,14,04:05 AI934,,Cochin (COK),Air India B788 (VT-ANH),Landed 04:12,2021-06-08
15,15,04:10 BZ201,,Delhi (DEL),Blue Dart Aviation B752 (VT-BDB),Landed 04:04,2021-06-08
16,16,04:15 G9406,,Sharjah (SHJ),Air Arabia -,Canceled,2021-06-08
17,17,04:20 CX38,,Milan (MXP),Cathay Pacific 74Y,Unknown,2021-06-08
18,18,04:35 AI276,,Colombo (CMB),Air India 321,Unknown,2021-06-08
19,19,04:35 BZ481,,Ahmedabad (AMD),Blue Dart Aviation B752 (VT-BDO),Landed 04:21,2021-06-08
20,20,04:40 G8368,,Kannur (CNN),GoAir A20N (VT-WGQ),Diverted to COK,2021-06-08
21,21,05:00 QR8606,,Doha (DOH),Qatar Cargo B77L (A7-BFC),Landed 04:44,2021-06-08
22,22,05:15 SG7401,,Delhi (DEL),SpiceJet DH8D (VT-SUD),Canceled,2021-06-08
23,23,05:45 SV740,,Riyadh (RUH),Saudia 773,Canceled,2021-06-08
24,24,06:20 I5941,,Bengaluru (BLR),AirAsia India 320,Unknown,2021-06-08
25,25,06:50 G8302,,Chennai (MAA),Go Air 32A,Canceled,2021-06-08
26,26,07:15 EK9216,,Dubai (DXB),Emirates SkyCargo B77L (A6-EFS),Landed 10:26,2021-06-08
27,27,07:15 6E1708,,Doha (DOH),IndiGo A20N (VT-IJB),Landed 06:46,2021-06-08
28,28,07:30 AI990,,Kuwait City (KWI),Air India 32B,Unknown,2021-06-08
29,29,07:40 6E5372,,Hyderabad (HYD),IndiGo A20N (VT-IZX),Landed 07:17,2021-06-08
30,30,07:55 G82620,,Lucknow (LKO),Go Air 32A,Canceled,2021-06-08
31,31,07:55 I5314,,Delhi (DEL),AirAsia A320 (VT-AMD),Canceled,2021-06-08
32,32,08:05 EK9889,,Shanghai (PVG),Emirates SkyCargo B77L (A6-EFF),Landed 08:10,2021-06-08
33,33,08:10 EK504,,Dubai (DXB),Emirates (Expo 2020 - Mobility Livery) B77W (A6-EPB),Landed 07:33,2021-06-08
34,34,08:15 SG7446,,Bengaluru (BLR),SpiceJet DH8D (VT-SUB),Canceled,2021-06-08
35,35,08:20 SG678,,Chennai (MAA),SpiceJet 737,Unknown,2021-06-08
36,36,08:20 6E2055,,Delhi (DEL),IndiGo A320 (VT-IFL),Landed 07:50,2021-06-08
37,37,08:50 6E5318,,Ahmedabad (AMD),IndiGo A20N (VT-IZL),Landed 08:35,2021-06-08
38,38,08:55 G8530,,Delhi (DEL),Go Air 32A,Canceled,2021-06-08
