,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:49 FX257,,Memphis (MEM),FedEx B763 (N118FE),Landed 00:53,2021-05-09
1,1,00:58 FX43,,Campinas (VCP),FedEx B763 (N126FE),Landed 00:57,2021-05-09
2,2,01:05 NK164,,Orlando (MCO),Spirit Airlines A320 (N622NK),Landed 01:01,2021-05-09
3,3,01:59 NK371,,Fort Lauderdale (FLL),Spirit Airlines A20N (N902NK),Landed 02:23,2021-05-09
4,4,09:25,B6839,New York (JFK),JetBlue Airways A21N (N2038J),Unknown,2021-05-09
5,5,11:42 B6729,,Orlando (MCO),JetBlue Airways A320 (N517JB),Landed 11:24,2021-05-09
6,6,15:23 B6429,,Orlando (MCO),JetBlue Airways A320 (N519JB),Landed 15:30,2021-05-09
7,7,17:20 EK9916,,Quito (UIO),Emirates SkyCargo B77L (A6-EFJ),Landed 17:03,2021-05-09
8,8,21:38 FX57,,Memphis (MEM),FedEx B763 (N120FE),Landed 23:45,2021-05-09
9,9,23:54,UA569,New York (EWR),United Airlines B738 (N27213),Landed 00:45,2021-05-09
0,0,01:05 NK164,,Orlando (MCO),Spirit Airlines A20N (N905NK),Landed 01:01,2021-05-10
1,1,01:59 NK371,,Fort Lauderdale (FLL),Spirit Airlines A320 (N697NK),Landed 01:55,2021-05-10
2,2,04:06 FX42,,Memphis (MEM),FedEx B763 (N132FE),Landed 04:16,2021-05-10
3,3,08:03,,San Juan (SIG),- BE36 (N59VK),Landed 08:08,2021-05-10
4,4,09:25,B6839,New York (JFK),JetBlue Airways A21N (N2048J),Landed 09:12,2021-05-10
5,5,11:34,,La Romana (LRM),- C414 (N9NC),Unknown,2021-05-10
6,6,11:42 B6729,,Orlando (MCO),JetBlue Airways A320 (N621JB),Landed 11:35,2021-05-10
7,7,15:23 B6429,,Orlando (MCO),JetBlue Airways A320 (N529JB),Landed 15:44,2021-05-10
8,8,17:26 F49161,,San Juan (SJU),Air Flamenco SH36 (N916GD),Landed 17:24,2021-05-10
9,9,17:38 A87120,,Willemstad (CUR),Ameriflight E120 (N566SW),Landed 16:38,2021-05-10
10,10,17:57 A86910,,San Juan (SJU),Ameriflight B190,Canceled,2021-05-10
11,11,18:48 A87116,,Fort-de-France (FDF),Ameriflight BE99 (N228BH),Landed 18:28,2021-05-10
12,12,19:14 2Q7114,,Santiago de los Caballeros (STI),Air Cargo Carriers SH36 (N383MQ),Landed 18:37,2021-05-10
13,13,19:38 A87110,,Castries (SLU),Ameriflight E120 (N560SW),Landed 19:14,2021-05-10
14,14,19:53 A87106,,Bridgetown (BGI),Ameriflight SW4 (N248DH),Landed 20:14,2021-05-10
15,15,19:56 C27129,,Port of Spain (POS),FedEx AT73 (N806FX),Landed 19:40,2021-05-10
16,16,20:35 IF7108,,Santo Domingo (SDQ),IFL Group CVLT (N151FL),Landed 19:52,2021-05-10
17,17,21:09 IF9912,,Santo Domingo (SDQ),IFL Group CVLT (N991FL),Landed 21:08,2021-05-10
18,18,23:54,UA569,New York (EWR),United Airlines B738 (N73275),Delayed 11:57,2021-05-10
0,0,01:05 NK164,,Orlando (MCO),Spirit Airlines A20N (N936NK),Landed 01:27,2021-05-11
1,1,01:59 NK371,,Fort Lauderdale (FLL),Spirit Airlines A320 (N639NK),Landed 01:51,2021-05-11
2,2,08:34 FX57,,Memphis (MEM),FedEx B763 (N170FE),Landed 09:32,2021-05-11
3,3,09:25,B6839,New York (JFK),JetBlue Airways A321 (N950JT),Unknown,2021-05-11
4,4,11:42 B6729,,Orlando (MCO),JetBlue Airways A320 (N563JB),Landed 11:28,2021-05-11
5,5,15:23 B6429,,Orlando (MCO),JetBlue Airways A320 (N715JB),Landed 15:08,2021-05-11
6,6,17:00 NK9914,,Marana (MZJ),Spirit Airlines A319 (N514NK),Landed 16:33,2021-05-11
7,7,17:39 A87120,,Willemstad (CUR),Ameriflight E120 (N566SW),Landed 16:43,2021-05-11
8,8,17:42 A86910,,San Juan (SJU),Ameriflight B190 (N338AF),Landed 17:43,2021-05-11
9,9,17:55 EK9918,,Quito (UIO),Emirates SkyCargo B77L (A6-EFN),Landed 17:03,2021-05-11
10,10,18:49 A87116,,Fort-de-France (FDF),Ameriflight BE99 (N228BH),Landed 18:40,2021-05-11
11,11,19:10 FX257,,Memphis (MEM),FedEx B763 (N174FE),Landed 19:57,2021-05-11
12,12,19:16 EK9330,,Bogota (BOG),Emirates B77W (A6-EGO),Landed 19:15,2021-05-11
13,13,19:22 2Q7114,,Santiago de los Caballeros (STI),Air Cargo Carriers SH6,Unknown,2021-05-11
14,14,19:53 A87129,,Port of Spain (POS),Ameriflight E120 (N560SW),Landed 19:59,2021-05-11
15,15,19:56 A87106,,Bridgetown (BGI),Ameriflight SW4 (N243DH),Landed 19:48,2021-05-11
16,16,20:19 A82159,,San Juan (SJU),Ameriflight SW4 (N248DH),Landed 20:19,2021-05-11
17,17,20:32 C27110,,Castries (SLU),FedEx AT73 (N806FX),Landed 20:22,2021-05-11
18,18,20:35 IF7108,,Santo Domingo (SDQ),IFL Group CVLT (N151FL),Landed 19:46,2021-05-11
19,19,23:54,UA569,New York (EWR),United Airlines B738 (N76514),Landed 23:27,2021-05-11
0,0,01:05 NK164,,Orlando (MCO),Spirit Airlines A320 (N690NK),Landed 00:54,2021-05-12
1,1,01:59 NK371,,Fort Lauderdale (FLL),Spirit Airlines A320 (N654NK),Landed 01:42,2021-05-12
2,2,08:25 FX57,,Memphis (MEM),FedEx B763 (N297FE),Landed 09:21,2021-05-12
3,3,09:25,B6839,New York (JFK),JetBlue Airways A21N (N2002J),Unknown,2021-05-12
4,4,10:33 2Q101,,San Juan (SJU),Air Cargo Carriers SH36 (N383MQ),Unknown,2021-05-12
5,5,11:42 B6729,,Orlando (MCO),JetBlue Airways A320 (N563JB),Landed 11:18,2021-05-12
6,6,15:16,,Santo Domingo (SDQ),- C414 (N9NC),Unknown,2021-05-12
7,7,15:23 B6429,,Orlando (MCO),JetBlue Airways A320 (N509JB),Landed 15:10,2021-05-12
8,8,17:40 A87120,,Willemstad (CUR),Ameriflight E120 (N566SW),Landed 16:42,2021-05-12
9,9,18:22 A86910,,San Juan (SJU),Ameriflight SW4 (N249DH),Landed 18:20,2021-05-12
10,10,18:55 A87116,,Fort-de-France (FDF),Ameriflight BE99 (N228BH),Landed 19:00,2021-05-12
11,11,19:06 EK9330,,Bogota (BOG),Emirates B77W (A6-EGU),Landed 18:56,2021-05-12
12,12,19:12 FX257,,Memphis (MEM),FedEx B763 (N185FE),Landed 21:09,2021-05-12
13,13,19:22 2Q7114,,Santiago de los Caballeros (STI),Air Cargo Carriers SH6,Unknown,2021-05-12
14,14,19:26 A87110,,Castries (SLU),Ameriflight E120 (N560SW),Landed 19:07,2021-05-12
15,15,19:58 A87106,,Bridgetown (BGI),Ameriflight SW4 (N248DH),Landed 19:40,2021-05-12
16,16,20:41 IF9912,,Santo Domingo (SDQ),Gulf and Caribbean Cargo CVLT,Unknown,2021-05-12
17,17,23:54,UA569,New York (EWR),United Airlines B738 (N77518),Landed 23:29,2021-05-12
0,0,01:05 NK164,,Orlando (MCO),Spirit Airlines A320 (N626NK),Landed 01:12,2021-05-13
1,1,01:59 NK371,,Fort Lauderdale (FLL),Spirit Airlines A320 (N693NK),Landed 02:20,2021-05-13
2,2,07:51 FX57,,Memphis (MEM),FedEx B763 (N179FE),Unknown,2021-05-13
3,3,09:25,B6839,New York (JFK),JetBlue Airways A21N (N2048J),Landed 09:05,2021-05-13
4,4,10:55,,Kissimmee (ISM),- BE20 (N200BY),Landed 11:27,2021-05-13
5,5,11:42 B6729,,Orlando (MCO),JetBlue Airways (JetBlue for Good Livery) A320 (N809JB),Landed 11:30,2021-05-13
6,6,14:45 C27912,,Castries (SLU),FedEx AT73 (N806FX),Landed 14:44,2021-05-13
7,7,15:23 B6429,,Orlando (MCO),JetBlue Airways A320 (N821JB),Landed 15:08,2021-05-13
8,8,16:13 IF9912,,Santo Domingo (SDQ),IFL Group CVLT (N991FL),Landed 16:13,2021-05-13
9,9,17:30 EK9920,,Quito (UIO),Emirates SkyCargo B77L (A6-EFI),Landed 16:58,2021-05-13
10,10,18:35 FX257,,Memphis (MEM),FedEx B763 (N192FE),Diverted to MEM,2021-05-13
11,11,18:55 A87116,,Fort-de-France (FDF),Ameriflight BE99 (N228BH),Unknown,2021-05-13
12,12,19:03 A86910,,San Juan (SJU),Ameriflight B190 (N338AF),Landed 19:03,2021-05-13
13,13,19:19 2Q7114,,Santiago de los Caballeros (STI),Air Cargo Carriers SH36 (N383MQ),Landed 19:19,2021-05-13
14,14,19:26 A87110,,Castries (SLU),Ameriflight E120 (N566SW),Landed 19:14,2021-05-13
15,15,19:58 A87106,,Bridgetown (BGI),Ameriflight SW4 (N243DH),Landed 19:46,2021-05-13
16,16,20:19 IF7108,,Santo Domingo (SDQ),IFL Group CVLT (N151FL),Landed 20:21,2021-05-13
17,17,22:00 G49503,,St. Petersburg (PIE),Allegiant Air A319 (N314NV),Landed 21:47,2021-05-13
18,18,23:54,UA569,New York (EWR),United Airlines B738 (N73251),Landed 23:44,2021-05-13
0,0,01:05 NK164,,Orlando (MCO),Spirit Airlines A320 (N656NK),Landed 02:11,2021-05-14
1,1,01:59 NK371,,Fort Lauderdale (FLL),Spirit Airlines A320 (N694NK),Landed 01:58,2021-05-14
2,2,08:13 FX57,,Memphis (MEM),FedEx B763 (N157FE),Landed 08:56,2021-05-14
3,3,09:25,B6839,New York (JFK),JetBlue Airways A21N (N2048J),Unknown,2021-05-14
4,4,11:42 B6729,,Orlando (MCO),JetBlue Airways (NYPD Livery) A320 (N531JL),Unknown,2021-05-14
5,5,15:23 B6429,,Orlando (MCO),JetBlue Airways A320 (N652JB),Landed 15:06,2021-05-14
6,6,15:35 IF7908,,Santo Domingo (SDQ),IFL Group CVLT (N151FL),Landed 14:18,2021-05-14
7,7,17:20 EK9914,,Quito (UIO),Emirates SkyCargo B77L (A6-EFG),Landed 16:43,2021-05-14
8,8,17:41 A87120,,Willemstad (CUR),Ameriflight E120 (N566SW),Landed 18:37,2021-05-14
9,9,17:57 A86910,,San Juan (SJU),Ameriflight B190 (N338AF),Landed 17:56,2021-05-14
10,10,18:53 A87116,,Fort-de-France (FDF),Ameriflight BE99 (N228BH),Landed 18:27,2021-05-14
11,11,19:24 2Q7114,,Santiago de los Caballeros (STI),Air Cargo Carriers SH36 (N383MQ),Unknown,2021-05-14
12,12,19:26 A87110,,Castries (SLU),Ameriflight E120 (N560SW),Landed 19:25,2021-05-14
13,13,19:58 A87106,,Bridgetown (BGI),Ameriflight SW4 (N245DH),Unknown,2021-05-14
14,14,20:17 IF7108,,Santo Domingo (SDQ),IFL Group CVLT (N151FL),Landed 20:16,2021-05-14
15,15,21:08 C27129,,Port of Spain (POS),FedEx AT73 (N806FX),Landed 20:57,2021-05-14
16,16,23:31 FX45,,Campinas (VCP),FedEx B763 (N118FE),Landed 23:30,2021-05-14
17,17,23:54,UA569,New York (EWR),United Airlines B738 (N78509),Landed 23:41,2021-05-14
0,0,1:05 AM NK164,,Orlando (MCO),Spirit Airlines A320 (N647NK),Landed 1:04 AM,2021-05-15
1,1,1:59 AM NK371,,Fort Lauderdale (FLL),Spirit Airlines A320 (N607NK),Landed 1:52 AM,2021-05-15
2,2,9:25 AM,B6839,New York (JFK),JetBlue Airways A21N (N2060J),Landed 9:16 AM,2021-05-15
3,3,11:30 AM G49500,,Orlando (SFB),Allegiant Air A319 (N310NV),Landed 11:20 AM,2021-05-15
4,4,11:42 AM B6729,,Orlando (MCO),JetBlue Airways A320 (N646JB),Unknown,2021-05-15
5,5,3:23 PM B6429,,Orlando (MCO),JetBlue Airways A320 (N526JL),Unknown,2021-05-15
