,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,11:15 AM AR1872,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-14
1,1,11:40 AM AR2690,,Mendoza (MDZ),Aerolineas Argentinas E90,Canceled,2020-10-14
2,2,12:15 PM AR1694,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-14
3,3,12:35 PM AR1666,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-14
4,4,1:30 PM AR1873,,El Calafate (FTE),Aerolineas Argentinas 738,Canceled,2020-10-14
5,5,1:55 PM AR1682,,Buenos Aires (EZE),Aerolineas Argentinas 738,Unknown,2020-10-14
6,6,2:50 PM AR1698,,Buenos Aires (EZE),Aerolineas Argentinas 738,Canceled,2020-10-14
7,7,6:00 PM AR1692,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-14
8,8,6:25 PM AR1680,,Buenos Aires (EZE),Aerolineas Argentinas 738,Unknown,2020-10-14
0,0,9:24 AM WJ3182,,El Palomar (EPA),JetSMART Argentina 320,Unknown,2020-10-15
1,1,11:15 AM AR1872,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-15
2,2,12:15 PM AR1694,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-15
3,3,12:35 PM AR1666,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-15
4,4,1:30 PM AR1873,,El Calafate (FTE),Aerolineas Argentinas 738,Canceled,2020-10-15
5,5,1:50 PM AR2802,,Cordoba (COR),Aerolineas Argentinas E90,Canceled,2020-10-15
6,6,2:50 PM AR1698,,Buenos Aires (EZE),Aerolineas Argentinas 738,Canceled,2020-10-15
7,7,4:10 PM AR2806,,Rosario (ROS),Aerolineas Argentinas E90,Canceled,2020-10-15
8,8,6:25 PM AR1680,,Buenos Aires (EZE),Aerolineas Argentinas 738,Unknown,2020-10-15
9,9,8:35 PM AR1692,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-15
0,0,11:15 AM AR1872,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-16
1,1,12:15 PM AR1694,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-16
2,2,1:10 PM AR1666,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-16
3,3,1:30 PM AR1873,,El Calafate (FTE),Aerolineas Argentinas 738,Canceled,2020-10-16
4,4,1:50 PM AR2802,,Cordoba (COR),Aerolineas Argentinas E90,Canceled,2020-10-16
5,5,1:55 PM AR1682,,Buenos Aires (EZE),Aerolineas Argentinas 738,Unknown,2020-10-16
6,6,2:50 PM AR1698,,Buenos Aires (EZE),Aerolineas Argentinas 738,Canceled,2020-10-16
