,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,1:10 AM TB1564,,Funchal (FNC),TUI B738 (OO-JAX),Landed 12:47 AM,2020-10-03
1,1,5:00 AM QY923,,Miami (MIA),DHL A332 (D-ALMA),Landed 6:14 AM,2020-10-03
2,2,5:35 AM SN1358,,Kinshasa (FIH),Eurowings A333 (OO-SFB),Landed 4:59 AM,2020-10-03
3,3,5:45 AM,SN1282,Accra (ACC),Brussels Airlines A333 (OO-SFF),Landed 5:38 AM,2020-10-03
4,4,5:50 AM SN1372,,Douala (DLA),Brussels Airlines A333 (OO-SFD),Landed 6:39 AM,2020-10-03
5,5,6:40 AM,SN213,Dakar (DSS),Brussels Airlines A333 (OO-SFH),Landed 6:58 AM,2020-10-03
6,6,7:15 AM,UA950,Washington (IAD),United Airlines B78X (N12010),Landed 6:53 AM,2020-10-03
7,7,7:45 AM,UA999,New York (EWR),United Airlines B78X (N91007),Landed 7:43 AM,2020-10-03
8,8,8:00 AM ET3725,,Lagos (LOS),Ethiopian Airlines 77X,Unknown,2020-10-03
9,9,8:10 AM,LH2282,Munich (MUC),Lufthansa CRJ9 (D-ACNB),Landed 7:51 AM,2020-10-03
10,10,8:15 AM ET724,,Vienna (VIE),Ethiopian Airlines B77L (ET-AQL),Landed 8:52 AM,2020-10-03
11,11,8:25 AM,SN305,Abidjan (ABJ),Brussels Airlines A333 (OO-SFE),Landed 8:03 AM,2020-10-03
12,12,8:30 AM FR2918,,Barcelona (BCN),Ryanair B738 (EI-ENI),Landed 8:08 AM,2020-10-03
13,13,8:35 AM,AC832,Montreal (YUL),Air Canada B788 (C-GHPY),Landed 8:22 AM,2020-10-03
14,14,9:10 AM DL140,,New York (JFK),Delta Air Lines -,Canceled,2020-10-03
15,15,9:30 AM,LO235,Warsaw (WAW),LOT (Star Alliance Livery) E170 (SP-LDK),Landed 9:14 AM,2020-10-03
16,16,9:30 AM WB700,,Kigali (KGL),RwandAir A333 (9XR-WP),Landed 9:34 AM,2020-10-03
17,17,9:45 AM 0B123,,Bucharest (OTP),Blue Air 73H,Unknown,2020-10-03
18,18,9:50 AM,KL1723,Amsterdam (AMS),KLM E75L (PH-EXT),Landed 9:51 AM,2020-10-03
19,19,9:55 AM FR2934,,Alicante (ALC),Ryanair B738 (EI-DPI),Landed 9:35 AM,2020-10-03
20,20,10:00 AM SQ7957,,Los Angeles (LAX),Singapore Airlines B744,Unknown,2020-10-03
21,21,10:00 AM XC3521,,Izmir (ADB),Corendon Airlines 738,Unknown,2020-10-03
22,22,10:25 AM,A3620,Athens (ATH),Aegean Airlines A320 (SX-DNA),Landed 9:56 AM,2020-10-03
23,23,10:35 AM ME215,,Beirut (BEY),MEA A320 (OD-MRN),Landed 10:10 AM,2020-10-03
24,24,11:00 AM ET3712,,Addis Ababa (ADD),Ethiopian Cargo B77L (ET-ARJ),Landed 7:32 PM,2020-10-03
25,25,11:10 AM 3O111,,Casablanca (CMN),Air Arabia A320 (CN-NMN),Landed 7:34 PM,2020-10-03
26,26,11:10 AM,IB3206,Madrid (MAD),Iberia A20N (EC-NER),Landed 10:56 AM,2020-10-03
27,27,11:25 AM QB2107,,Tehran (IKA),Qeshm Airlines 319,Unknown,2020-10-03
28,28,11:50 AM TK7720,,Istanbul (SAW),AnadoluJet B738 (TC-JZK),Landed 11:24 AM,2020-10-03
29,29,12:00 PM,BA392,London (LHR),British Airways A320 (G-EUYO),Landed 12:06 PM,2020-10-03
30,30,12:00 PM TB1118,,Alicante (ALC),TUI E190 (OO-JEM),Landed 11:45 AM,2020-10-03
31,31,12:05 PM,TB3512,Brindisi (BDS),TUI B738 (OO-JEF),Landed 12:28 PM,2020-10-03
32,32,12:05 PM FR2986,,Valencia (VLC),Ryanair B738 (EI-DWV),Landed 11:44 AM,2020-10-03
33,33,12:10 PM 0B6823,,Iasi (IAS),Blue Air 73H,Unknown,2020-10-03
34,34,12:25 PM QR8191,,Chicago (ORD),Qatar Cargo B77L (A7-BFN),Diverted to IAH,2020-10-03
35,35,12:30 PM,SN3734,Malaga (AGP),Brussels Airlines A320 (OO-SNK),Landed 12:22 PM,2020-10-03
36,36,12:35 PM,TB3562,Catania (CTA),TUI B738 (OO-TUX),Landed 12:30 PM,2020-10-03
37,37,12:45 PM M68521,,Miami (MIA),Amerijet International B762,Unknown,2020-10-03
38,38,12:45 PM,LH2286,Munich (MUC),Lufthansa CRJ9 (D-ACKD),Landed 12:27 PM,2020-10-03
39,39,12:50 PM,SN2714,Geneva (GVA),Brussels Airlines A319 (OO-SSF),Landed 12:43 PM,2020-10-03
40,40,12:55 PM SN3634,,Paris (CDG),Brussels Airlines A320 (OO-SNM),Landed 1:13 PM,2020-10-03
41,41,1:10 PM,LH1014,Frankfurt (FRA),Lufthansa E190 (D-AECD),Landed 1:41 PM,2020-10-03
42,42,1:15 PM,SN2094,London (LHR),Brussels Airlines A320 (OO-SNL),Landed 1:22 PM,2020-10-03
43,43,1:25 PM,EK183,Dubai (DXB),Emirates B77W (A6-EQN),Landed 1:00 PM,2020-10-03
44,44,1:30 PM,SN3158,Milan (MXP),Brussels Airlines A319 (OO-SSV),Landed 1:40 PM,2020-10-03
45,45,1:30 PM TB3542,,Lamezia Terme (SUF),TUI E190 (OO-JVA),Landed 1:10 PM,2020-10-03
46,46,1:35 PM,SN3802,Faro (FAO),Brussels Airlines A320 (OO-TCH),Landed 1:29 PM,2020-10-03
47,47,1:40 PM,SN3668,Toulouse (TLS),Brussels Airlines A319 (OO-SSW),Landed 1:27 PM,2020-10-03
48,48,1:45 PM AT2832,,Casablanca (CMN),Royal Air Maroc B738 (CN-ROH),Landed 1:43 PM,2020-10-03
49,49,1:50 PM SN3202,,Venice (VCE),Brussels Airlines A319 (OO-SSA),Landed 1:34 PM,2020-10-03
50,50,1:55 PM SN3256,,Heraklion (HER),Brussels Airlines A320 (OO-SNN),Landed 1:53 PM,2020-10-03
51,51,2:00 PM WB701,,London (LHR),RwandAir A333 (9XR-WP),Landed 2:34 PM,2020-10-03
52,52,2:40 PM VY8992,,Barcelona (BCN),Vueling -,Canceled,2020-10-03
53,53,2:45 PM,MS725,Cairo (CAI),EgyptAir A20N (SU-GFO),Landed 2:22 PM,2020-10-03
54,54,3:00 PM XC627,,Antalya (AYT),Corendon Airlines 738,Unknown,2020-10-03
55,55,3:05 PM SN3618,,Nice (NCE),Brussels Airlines A319 (OO-SSJ),Landed 2:40 PM,2020-10-03
56,56,3:05 PM,TP646,Lisbon (LIS),TAP Air Portugal A320 (CS-TNX),Landed 3:05 PM,2020-10-03
57,57,3:45 PM QR8194,,Doha (DOH),Qatar Airways (Oneworld Livery) B77W (A7-BAA),Landed 3:17 PM,2020-10-03
58,58,3:45 PM EK9961,,Dubai (DWC),Emirates 77X,Unknown,2020-10-03
59,59,4:05 PM TB2252,,Rhodes (RHO),TUI B738 (OO-TUK),Landed 3:36 PM,2020-10-03
60,60,4:25 PM,SN3804,Faro (FAO),Brussels Airlines A320 (OO-SNJ),Landed 4:17 PM,2020-10-03
61,61,4:30 PM ET3907,,Lome (LFW),Ethiopian Airlines 77X,Unknown,2020-10-03
62,62,4:35 PM OZ587,,New York (JFK),Asiana Cargo B744 (HL7436),Landed 3:21 PM,2020-10-03
63,63,5:30 PM,AZ160,Rome (FCO),Alitalia A319 (EI-IMW),Landed 5:08 PM,2020-10-03
64,64,5:30 PM ET3904,,Lagos (LOS),Ethiopian Airlines 77X,Unknown,2020-10-03
65,65,5:55 PM,TK1939,Istanbul (IST),Turkish Airlines B738 (TC-JVT),Landed 5:49 PM,2020-10-03
66,66,6:05 PM FR2916,,Palma de Mallorca (PMI),Ryanair B738 (EI-DWV),Landed 6:01 PM,2020-10-03
67,67,6:20 PM,SN1529,Athens (ATH),Brussels Airlines A320 (OO-TCV),Landed 6:35 PM,2020-10-03
68,68,6:55 PM TK6337,,Istanbul (ISL),ULS Airlines Cargo A310 (TC-VEL),Unknown,2020-10-03
69,69,7:25 PM,LH2290,Munich (MUC),Lufthansa CRJ9 (D-ACNT),Landed 7:04 PM,2020-10-03
70,70,7:35 PM 3O113,,Tangier (TNG),Air Arabia Maroc 320,Canceled,2020-10-03
71,71,7:35 PM 3O115,,Nador (NDR),Air Arabia A320 (CN-NMO),Landed 7:38 PM,2020-10-03
72,72,8:05 PM SN3170,,Naples (NAP),Brussels Airlines A320 (OO-SNK),Landed 8:16 PM,2020-10-03
73,73,8:55 PM W62241,,Budapest (BUD),Wizz Air 32Q,Unknown,2020-10-03
74,74,9:15 PM FR2932,,Lisbon (LIS),Ryanair B738 (EI-EMN),Landed 8:55 PM,2020-10-03
75,75,9:35 PM SN1184,,Palermo (PMO),Brussels Airlines A319 (OO-SSM),Landed 9:11 PM,2020-10-03
76,76,9:55 PM TB1018,,Malaga (AGP),TUI E190 (OO-JEM),Landed 9:46 PM,2020-10-03
77,77,10:15 PM,KL1733,Amsterdam (AMS),KLM E75L (PH-EXW),Landed 10:04 PM,2020-10-03
