,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:40 WD5802,,Campinas (VCP),Modern Logistics 737,Unknown,2021-06-08
1,1,00:50 AD4646,,Recife (REC),Azul Linhas Aereas A20N (PR-YSB),Landed 01:18,2021-06-08
2,2,00:50,LA3137,Sao Paulo (GRU),LATAM Airlines A321 (PT-MXL),Landed 00:31,2021-06-08
3,3,07:00 G31835,,Porto Velho (PVH),GOL Linhas Aereas B38M (PR-XMD),Landed 06:37,2021-06-08
4,4,07:10,LA3001,Teresina (THE),LATAM Airlines A319 (PT-TMG),Landed 07:02,2021-06-08
5,5,07:23,LA3286,Campo Grande (CGR),LATAM Airlines A320 (PR-MHP),Landed 07:14,2021-06-08
6,6,07:25 G31713,,Cuiaba (CGB),GOL Linhas Aereas B738 (PR-GYA),Landed 07:31,2021-06-08
7,7,07:32 LA3289,,Belo Horizonte (CNF),LATAM Airlines A320 (PR-MHF),Landed 07:30,2021-06-08
8,8,07:42,LA3284,Curitiba (CWB),LATAM Airlines A320 (PR-MYK),Landed 07:35,2021-06-08
9,9,07:43,LA3290,Goiania (GYN),LATAM Airlines A321 (PT-XPG),Landed 07:37,2021-06-08
10,10,07:45 AD4047,,Campinas (VCP),Azul Linhas Aereas (Company Values Livery) E295 (PR-PJN),Landed 07:29,2021-06-08
11,11,07:45 G31439,,Boa Vista (BVB),GOL Linhas Aereas B738 (PR-GZI),Landed 07:34,2021-06-08
12,12,07:45,LA3278,Florianopolis (FLN),LATAM Airlines A320 (PR-MHR),Landed 07:27,2021-06-08
13,13,07:53 LA4580,,Rio de Janeiro (SDU),LATAM Airlines A319 (PT-TMD),Landed 07:42,2021-06-08
14,14,07:55,G31707,Fortaleza (FOR),GOL Linhas Aereas B738 (PR-GXW),Landed 07:47,2021-06-08
15,15,07:55,LA3283,Vitoria (VIX),LATAM Airlines A320 (PT-MZY),Unknown,2021-06-08
16,16,07:56,LA3277,Porto Alegre (POA),LATAM Airlines A321 (PT-MXB),Landed 07:51,2021-06-08
17,17,07:56,LA3282,Rio de Janeiro (GIG),LATAM Airlines A320 (PR-MYZ),Landed 07:48,2021-06-08
18,18,07:58,LA3420,Sao Paulo (CGH),LATAM Airlines A320 (PR-TYD),Landed 07:52,2021-06-08
19,19,08:00,G31745,Recife (REC),GOL Linhas Aereas B38M (PR-XMM),Landed 07:43,2021-06-08
20,20,08:00 2Z2279,,Sao Jose Do Rio Preto (SJP),VoePass Linhas Aereas AT76 (PR-PDO),Landed 07:49,2021-06-08
21,21,08:00 2Z2251,,Uberlandia (UDI),Passaredo Linhas Aereas AT7,Unknown,2021-06-08
22,22,08:05 G31771,,Campinas (VCP),GOL Linhas Aereas B738 (PR-GUL),Landed 07:45,2021-06-08
23,23,08:05,G32036,Rio de Janeiro (GIG),GOL Linhas Aereas B738 (PR-GUH),Landed 07:55,2021-06-08
24,24,08:10 G31152,,Rio de Janeiro (SDU),GOL Linhas Aereas B738 (PR-GXT),Landed 07:59,2021-06-08
25,25,08:10,G31408,Sao Paulo (GRU),GOL Linhas Aereas (Voa Canarinho Livery) B738 (PR-GUK),Landed 07:56,2021-06-08
26,26,08:10 G31845,,Florianopolis (FLN),GOL Linhas Aereas B738 (PR-GUI),Landed 08:04,2021-06-08
27,27,08:14,LA3619,Fortaleza (FOR),LATAM Airlines A321 (PT-MXC),Landed 08:06,2021-06-08
28,28,08:15 G31442,,Sao Paulo (CGH),GOL Linhas Aereas B738 (PR-GUD),Landed 08:01,2021-06-08
29,29,08:20 G31703,,Belo Horizonte (CNF),GOL Linhas Aereas B738 (PR-GUF),Landed 08:14,2021-06-08
30,30,08:20,G31971,Salvador (SSA),GOL Linhas Aereas B738 (PR-GUV),Landed 08:12,2021-06-08
31,31,08:25 G31179,,Goiania (GYN),GOL Linhas Aereas B738 (PR-GZS),Landed 08:06,2021-06-08
32,32,08:25,G31785,Curitiba (CWB),GOL Linhas Aereas B738 (PR-GZK),Landed 08:09,2021-06-08
33,33,08:25,G31922,Porto Alegre (POA),GOL Linhas Aereas B737 (PR-GOW),Landed 08:05,2021-06-08
34,34,08:31,LA4609,Sao Paulo (GRU),LATAM Airlines A320 (PR-MYQ),Landed 08:20,2021-06-08
35,35,08:35 AD4800,,Rio de Janeiro (SDU),Azul Linhas Aereas A20N (PR-YYD),Landed 08:24,2021-06-08
36,36,08:47,LA3422,Sao Paulo (CGH),LATAM Airlines A319 (PT-TMC),Landed 08:37,2021-06-08
37,37,09:10 WD5803,,Manaus (MAO),Modern Logistics 737,Unknown,2021-06-08
38,38,09:35 AD4673,,Belo Horizonte (CNF),Azul Linhas Aereas E195 (PR-AYJ),Unknown,2021-06-08
39,39,09:44,LA3142,Sao Paulo (GRU),LATAM Airlines A320 (PR-MYV),Unknown,2021-06-08
40,40,09:55 AD4702,,Campinas (VCP),Azul Linhas Aereas E295 (PS-AEE),Landed 09:56,2021-06-08
41,41,10:40,G31572,Sao Paulo (GRU),GOL Linhas Aereas B737 (PR-VBN),Landed 10:41,2021-06-08
42,42,12:15,G31664,Sao Paulo (CGH),GOL Linhas Aereas B738 (PR-GXH),Landed 11:55,2021-06-08
43,43,12:52,LA3033,Porto Alegre (POA),LATAM Airlines A320 (PR-MYP),Landed 12:39,2021-06-08
44,44,12:55 AD4054,,Campinas (VCP),Azul Linhas Aereas 295,Unknown,2021-06-08
45,45,13:16 LA3312,,Rio de Janeiro (SDU),LATAM Airlines A319 (PT-TMG),Landed 13:08,2021-06-08
46,46,13:20 LA3027,,Belo Horizonte (CNF),LATAM Airlines A320 (PR-TYD),Landed 13:12,2021-06-08
47,47,13:45,LA3157,Maceio (MCZ),LATAM Airlines A320 (PT-MZZ),Unknown,2021-06-08
48,48,13:50 AD4793,,Rio de Janeiro (SDU),Azul Linhas Aereas A20N (PR-YYD),Landed 13:52,2021-06-08
49,49,13:50,LA4603,Sao Paulo (GRU),LATAM Airlines A320 (PR-MYI),Landed 13:43,2021-06-08
50,50,14:25,LA3125,Sao Paulo (CGH),LATAM Airlines A320 (PR-MHZ),Landed 14:00,2021-06-08
51,51,14:30 AD4706,,Belo Horizonte (CNF),Azul Linhas Aereas E95,Unknown,2021-06-08
52,52,14:40 AD4745,,Campinas (VCP),Azul Linhas Aereas 295,Unknown,2021-06-08
53,53,16:26 LA3331,,Rio de Janeiro (SDU),LATAM Airlines A319 (PT-TMD),Landed 16:19,2021-06-08
54,54,16:45,LA3316,Santarem (STM),LATAM Airlines A320 (PR-TYL),Landed 16:27,2021-06-08
55,55,17:05 AD4224,,Belo Horizonte (CNF),Azul Linhas Aereas 320,Unknown,2021-06-08
56,56,17:30,LA3374,Maraba (MAB),LATAM Airlines A319 (PT-TMC),Landed 17:15,2021-06-08
57,57,17:45 AD4704,,Campinas (VCP),Azul Linhas Aereas E295 (PS-AEH),Landed 17:46,2021-06-08
58,58,17:55,LA4607,Sao Paulo (GRU),LATAM Airlines A320 (PR-MYJ),Landed 17:40,2021-06-08
59,59,18:20 AD4532,,Belo Horizonte (CNF),Azul Linhas Aereas E195 (PR-AUP),Landed 18:16,2021-06-08
60,60,18:50 G31472,,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GUJ),Landed 18:31,2021-06-08
61,61,18:50,LA3366,Maceio (MCZ),LATAM Airlines A320 (PT-MZW),Unknown,2021-06-08
62,62,18:55,LA3378,Teresina (THE),LATAM Airlines A320 (PR-MHW),Landed 18:36,2021-06-08
63,63,19:02 LA3336,,Cuiaba (CGB),LATAM Airlines A320 (PR-MYY),Landed 18:57,2021-06-08
64,64,19:05,LA3355,Aracaju (AJU),LATAM Airlines A320 (PR-MYX),Landed 19:06,2021-06-08
