,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,3:00 AM D5323,,Port of Spain (POS),DHL Aero Expreso 75F,Unknown,2020-10-31
1,1,6:10 AM V02303,,Los Roques (LRV),Conviasa CNF,Unknown,2020-10-31
2,2,7:00 AM V01172,,Caracas (CCS),Conviasa E90,Unknown,2020-10-31
3,3,7:40 AM V01015,,Porlamar (PMV),Conviasa E90,Unknown,2020-10-31
4,4,9:12 AM P57006,,Bogota (BOG),Wingo 73G,Unknown,2020-10-31
5,5,9:20 AM V02305,,Los Roques (LRV),Conviasa CNF,Unknown,2020-10-31
6,6,9:30 AM QL1991,,Puerto Ordaz (PZO),Laser Airlines M80,Unknown,2020-10-31
7,7,10:00 AM QL941,,Maracaibo (MAR),Laser Airlines M80,Unknown,2020-10-31
8,8,10:30 AM IB9701,,Bogota (BOG),Iberia B721,Unknown,2020-10-31
9,9,10:30 AM QL903,,Porlamar (PMV),Laser Airlines M80,Unknown,2020-10-31
10,10,12:20 PM V023,,Maturin (MUN),Conviasa E90,Unknown,2020-10-31
11,11,12:40 PM QL2981,,Bogota (BOG),Laser Airlines M80,Unknown,2020-10-31
12,12,1:10 PM V02307,,Los Roques (LRV),Conviasa CNF,Unknown,2020-10-31
13,13,1:50 PM V01173,,Santo Domingo (SDQ),Conviasa E90,Unknown,2020-10-31
14,14,2:30 PM QL2951,,Panama City (PTY),Laser Airlines M80,Unknown,2020-10-31
15,15,2:40 PM QL2967,,Santo Domingo (SDQ),Laser Airlines M80,Unknown,2020-10-31
16,16,4:20 PM M38498,,Campinas (VCP),LATAM Cargo Brasil 76V,Unknown,2020-10-31
17,17,7:05 PM QL907,,Porlamar (PMV),Laser Airlines M80,Unknown,2020-10-31
0,0,6:10 AM V02303,,Los Roques (LRV),Conviasa CNF,Unknown,2020-11-01
1,1,7:30 AM V01121,,El Vigia (VIG),Conviasa E90,Unknown,2020-11-01
2,2,7:35 AM 9V61,,Puerto Ordaz (PZO),Avior Airlines 732,Unknown,2020-11-01
3,3,7:50 AM 9V43,,Barcelona (BLA),Avior Airlines 732,Unknown,2020-11-01
4,4,9:20 AM V0381,,Puerto Ordaz (PZO),Conviasa E90,Unknown,2020-11-01
5,5,9:20 AM V02305,,Los Roques (LRV),Conviasa CNF,Unknown,2020-11-01
6,6,9:20 AM V05707,,Santa Cruz (VVI),Conviasa E90,Unknown,2020-11-01
7,7,9:58 AM D5317,,Panama City (PTY),DHL Aero Expreso 75F,Unknown,2020-11-01
