,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:35 I5592,,Bengaluru (BLR),AirAsia India 320,Unknown,2021-06-08
1,1,01:20 I5992,,Bengaluru (BLR),AirAsia A320 (VT-AMD),Canceled,2021-06-08
2,2,02:30 QR540,,Doha (DOH),Qatar Airways A320 (A7-AHT),Landed 02:41,2021-06-08
3,3,05:50 6E7301,,Guangzhou (CAN),IndiGo A320 (VT-IFM),Unknown,2021-06-08
4,4,05:50 SG7009,,Hong Kong (HKG),SpiceJet 738,Canceled,2021-06-08
5,5,05:55 SG7068,,Guangzhou (CAN),SpiceXpress B737 (VT-SFD),Landed 06:36,2021-06-08
6,6,06:55 SG7070,,Guangzhou (CAN),SpiceXpress B738 (VT-SFG),Landed 07:01,2021-06-08
7,7,07:10 I5548,,Delhi (DEL),AirAsia India 320,Canceled,2021-06-08
8,8,07:25 BG91,,Dhaka (DAC),Biman Bangladesh Airlines DH8,Unknown,2021-06-08
9,9,07:30 G8101,,Delhi (DEL),Go Air 32A,Canceled,2021-06-08
10,10,07:40 SG7788,,Wuhan (WUH),SpiceXpress B738 (VT-SFF),Landed 08:06,2021-06-08
11,11,07:45 B3701,,Bangkok (BKK),Bhutan Airlines 319,Unknown,2021-06-08
12,12,07:45 G87532,,Ahmedabad (AMD),Go Air 32A,Unknown,2021-06-08
13,13,08:00 SG401,,Bengaluru (BLR),SpiceJet B738 (VT-SLH),Canceled,2021-06-08
14,14,08:05 AI525,,Hyderabad (HYD),Air India A20N (VT-EXN),Landed 07:59,2021-06-08
15,15,08:05 SG263,,Delhi (DEL),SpiceJet 737,Unknown,2021-06-08
16,16,08:10 I52472,,Bengaluru (BLR),AirAsia A320 (VT-BOM),Canceled,2021-06-08
17,17,08:20 AI776,,Bengaluru (BLR),Air India A20N (VT-EXI),Landed 08:13,2021-06-08
18,18,08:25 BZ102,,Delhi (DEL),Blue Dart Aviation B752 (VT-BDN),Landed 08:18,2021-06-08
19,19,08:30 6E353,,Hyderabad (HYD),IndiGo A20N (VT-ITM),Landed 08:14,2021-06-08
20,20,08:40 G87511,,Mumbai (BOM),Go Air 32A,Unknown,2021-06-08
21,21,08:40 I5542,,Guwahati (GAU),AirAsia India 320,Unknown,2021-06-08
22,22,09:00,AI401,Delhi (DEL),Air India A320 (VT-EDF),Landed 09:06,2021-06-08
23,23,09:05 G88010,,Bengaluru (BLR),Go Air 32A,Canceled,2021-06-08
24,24,09:10 G8281,,Lucknow (LKO),Go Air 32A,Canceled,2021-06-08
25,25,09:30 6E6339,,Bengaluru (BLR),IndiGo A21N (VT-IUF),Landed 09:25,2021-06-08
26,26,09:35 UK705,,Delhi (DEL),Vistara A20N (VT-TNU),Landed 09:25,2021-06-08
27,27,09:35 6E2238,,Delhi (DEL),IndiGo A20N (VT-ITQ),Landed 09:11,2021-06-08
28,28,09:40 G8156,,Varanasi (VNS),Go Air 32A,Canceled,2021-06-08
29,29,09:45 6E573,,Jaipur (JAI),IndiGo A20N (VT-IVF),Landed 09:09,2021-06-08
30,30,10:00 SG3219,,Silchar (IXS),SpiceJet DH8,Unknown,2021-06-08
31,31,10:05 6E833,,Agartala (IXA),IndiGo AT76 (VT-IYL),Landed 10:29,2021-06-08
32,32,10:10 6E9917,,Yangon (RGN),IndiGo A320 (VT-IFM),Landed 09:33,2021-06-08
33,33,10:25 SG7089,,Chennai (MAA),SpiceXpress B737 (VT-SFB),Landed 10:35,2021-06-08
34,34,10:40 SG3282,,Jharsuguda (JRG),SpiceJet DH8,Unknown,2021-06-08
35,35,11:00 G8703,,Jaipur (JAI),Go Air 32A,Canceled,2021-06-08
36,36,11:05 BG191,,Dhaka (DAC),Biman Bangladesh Airlines DH8,Unknown,2021-06-08
37,37,11:15 B3700,,Paro (PBH),Bhutan Airlines 319,Unknown,2021-06-08
38,38,11:20 G88013,,Delhi (DEL),Go Air 32A,Canceled,2021-06-08
39,39,11:40 SG650,,Siliguri (IXB),SpiceJet 737,Unknown,2021-06-08
40,40,11:50 6E6038,,Visakhapatnam (VTZ),IndiGo AT76 (VT-IYJ),Landed 12:43,2021-06-08
41,41,12:00 I5583,,Siliguri (IXB),AirAsia India 320,Unknown,2021-06-08
42,42,12:25 AI744,,Agartala (IXA),Air India 319,Unknown,2021-06-08
43,43,12:30,UK747,Delhi (DEL),Vistara A20N (VT-TNQ),Landed 12:17,2021-06-08
44,44,12:35 G8102,,Port Blair (IXZ),Go Air 32A,Canceled,2021-06-08
45,45,12:35 6E6358,,Hyderabad (HYD),IndiGo A20N (VT-ISE),Landed 12:18,2021-06-08
46,46,12:50 SG7712,,Imphal (IMF),SpiceJet DH4,Canceled,2021-06-08
47,47,12:55 G8546,,Guwahati (GAU),Go Air 32A,Canceled,2021-06-08
48,48,12:55 I5517,,Hyderabad (HYD),AirAsia India 320,Canceled,2021-06-08
49,49,13:00 9I875,,Hyderabad (HYD),Alliance Air ATR,Unknown,2021-06-08
50,50,13:25 AI714,,Imphal (IMF),Air India 319,Unknown,2021-06-08
51,51,13:35 AI239,,Dhaka (DAC),Air India 32B,Unknown,2021-06-08
52,52,13:35 6E394,,Guwahati (GAU),IndiGo AT76 (VT-IYE),Landed 13:50,2021-06-08
53,53,13:50 SG9092,,Lucknow (LKO),SpiceJet DH8D (VT-SUX),Unknown,2021-06-08
54,54,13:55 SG3223,,Pakyong (PYG),SpiceJet DH8,Unknown,2021-06-08
55,55,14:05 AI743,,Imphal (IMF),Air India A319 (VT-SCB),Landed 14:12,2021-06-08
56,56,14:05 SG7734,,Imphal (IMF),SpiceJet DH4,Canceled,2021-06-08
57,57,14:20 6E775,,Patna (PAT),IndiGo A20N (VT-IZF),Landed 14:11,2021-06-08
58,58,14:40 6E6085,,Dibrugarh (DIB),IndiGo A20N (VT-ITQ),Landed 14:18,2021-06-08
59,59,14:40 6E7115,,Bhubaneswar (BBI),IndiGo AT76 (VT-IYD),Landed 14:21,2021-06-08
60,60,14:45,9I742,Guwahati (GAU),Alliance Air AT76 (VT-RKC),Landed 16:44,2021-06-08
61,61,14:55 I5578,,Delhi (DEL),AirAsia India 320,Unknown,2021-06-08
62,62,15:00 SG680,,Goa (GOI),SpiceJet 737,Unknown,2021-06-08
63,63,15:10 6E5411,,Silchar (IXS),IndiGo A20N (VT-ITT),Landed 14:41,2021-06-08
64,64,15:15 I5991,,Imphal (IMF),AirAsia India 320,Unknown,2021-06-08
65,65,15:25 6E6826,,Port Blair (IXZ),IndiGo A20N (VT-IVJ),Landed 15:09,2021-06-08
66,66,15:25 6E7179,,Agartala (IXA),IndiGo AT76 (VT-IYJ),Landed 15:55,2021-06-08
67,67,15:30 6E172,,Bengaluru (BLR),IndiGo A20N (VT-IVR),Landed 15:16,2021-06-08
68,68,15:30 6E6132,,Siliguri (IXB),IndiGo A21N (VT-IUU),Landed 15:22,2021-06-08
69,69,15:35 6E875,,Dimapur (DMU),IndiGo A20N (VT-IJT),Landed 14:52,2021-06-08
70,70,15:45 I5320,,Bhubaneswar (BBI),AirAsia India 320,Unknown,2021-06-08
71,71,15:55 AI712,,Aizawl (AJL),Air India A20N (VT-EXN),Landed 15:53,2021-06-08
72,72,16:00 AI780,,Bhubaneswar (BBI),Air India A20N (VT-EXI),Landed 16:07,2021-06-08
73,73,16:05 6E1862,,Dhaka (DAC),IndiGo 320,Unknown,2021-06-08
74,74,16:10 G8537,,Siliguri (IXB),Go Air 32A,Canceled,2021-06-08
75,75,16:30 G87394,,Pune (PNQ),Go Air 32A,Unknown,2021-06-08
76,76,16:35 G88015,,Delhi (DEL),Go Air 32A,Canceled,2021-06-08
77,77,16:40,9I746,Jharsuguda (JRG),Alliance Air ATR,Canceled,2021-06-08
78,78,16:45 6E6087,,Imphal (IMF),IndiGo A20N (VT-ISE),Landed 16:28,2021-06-08
79,79,16:45 6E9149,,Hong Kong (HKG),IndiGo 321,Canceled,2021-06-08
80,80,16:50 G8677,,Guwahati (GAU),Go Air 32A,Canceled,2021-06-08
81,81,17:10 6E755,,Delhi (DEL),IndiGo A20N (VT-IJA),Landed 16:35,2021-06-08
82,82,17:15 SG254,,Port Blair (IXZ),SpiceJet 737,Unknown,2021-06-08
83,83,17:50 6E997,,Bengaluru (BLR),IndiGo 321,Canceled,2021-06-08
