,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:30 AD4340,,Campinas (VCP),Azul Linhas Aereas A21N (PR-YJD),Landed 00:37,2021-06-08
1,1,00:30 G39420,,Sao Paulo (GRU),GOL Linhas Aereas B38M (PR-XME),Landed 00:31,2021-06-08
2,2,00:55,AD4528,Sao Paulo (GRU),Azul Linhas Aereas E195 (PR-AUP),Landed 00:49,2021-06-08
3,3,09:50 AD4342,,Campo Grande (CGR),Azul Linhas Aereas E195 (PR-AXN),Landed 09:20,2021-06-08
4,4,10:00 AD4336,,Campinas (VCP),Azul Linhas Aereas A21N (PR-YJB),Landed 09:49,2021-06-08
5,5,10:05,AD4418,Belo Horizonte (CNF),Azul Linhas Aereas E195 (PR-AUE),Landed 09:58,2021-06-08
6,6,10:10 AD4829,,Goiania (GYN),Azul Linhas Aereas E195 (PR-AXG),Unknown,2021-06-08
7,7,10:20,AD4769,Sao Paulo (GRU),Azul Linhas Aereas A20N (PR-YRO),Landed 10:10,2021-06-08
8,8,10:20 AD4838,,Brasilia (BSB),Azul Linhas Aereas E195 (PR-AXZ),Unknown,2021-06-08
9,9,10:25,AD4513,Rio de Janeiro (SDU),Azul Linhas Aereas A20N (PR-YRN),Landed 10:15,2021-06-08
10,10,10:44 LA3335,,Brasilia (BSB),LATAM Airlines A320 (PR-MYQ),Landed 10:36,2021-06-08
11,11,15:05 AD4338,,Campinas (VCP),Azul Linhas Aereas A20N (PR-YSE),Landed 15:00,2021-06-08
12,12,15:15 AD4423,,Sinop (OPS),Azul Linhas Aereas A20N (PR-YRO),Landed 15:15,2021-06-08
13,13,15:35,LA3007,Sao Paulo (GRU),LATAM Airlines A320 (PR-MYY),Landed 15:25,2021-06-08
14,14,15:50 AD4339,,Porto Velho (PVH),Azul Linhas Aereas A21N (PR-YJB),Landed 15:38,2021-06-08
15,15,16:35 AD5514,,Agua Boa (GGB),Azul Linhas Aereas CN1,Unknown,2021-06-08
16,16,18:30 AD4239,,Campinas (VCP),Azul Linhas Aereas A20N (PR-YRT),Landed 18:30,2021-06-08
17,17,22:10,G31716,Brasilia (BSB),GOL Linhas Aereas B738 (PR-GGX),Landed 21:49,2021-06-08
18,18,23:55,LA3009,Sao Paulo (GRU),LATAM Airlines A320 (PR-TYA),Landed 23:56,2021-06-08
0,0,00:30 AD4340,,Campinas (VCP),Azul Linhas Aereas A21N (PR-YJD),Landed 00:28,2021-06-09
1,1,00:30 G39420,,Sao Paulo (GRU),GOL Linhas Aereas B737 (PR-GEA),Landed 00:33,2021-06-09
2,2,00:55,AD4528,Sao Paulo (GRU),Azul Linhas Aereas A20N (PR-YSA),Landed 00:53,2021-06-09
3,3,09:50 AD4342,,Campo Grande (CGR),Azul Linhas Aereas E195 (PR-AUE),Landed 09:33,2021-06-09
4,4,10:00 AD4336,,Campinas (VCP),Azul Linhas Aereas A21N (PR-YJC),Landed 10:15,2021-06-09
5,5,10:05,AD4418,Belo Horizonte (CNF),Azul Linhas Aereas E195 (PR-AXN),Landed 10:03,2021-06-09
6,6,10:10 AD4829,,Goiania (GYN),Azul Linhas Aereas E195 (PR-AXG),Unknown,2021-06-09
7,7,10:20,AD4769,Sao Paulo (GRU),Azul Linhas Aereas A20N (PR-YRU),Landed 10:21,2021-06-09
8,8,10:20 AD4838,,Brasilia (BSB),Azul Linhas Aereas E195 (PR-AYG),Unknown,2021-06-09
9,9,10:25,AD4513,Rio de Janeiro (SDU),Azul Linhas Aereas A20N (PR-YYF),Landed 10:29,2021-06-09
10,10,10:53 LA3335,,Brasilia (BSB),LATAM Airlines A321 (PT-MXD),Landed 10:44,2021-06-09
11,11,15:00 AD4535,,Alta Floresta (AFL),Azul Linhas Aereas E195 (PR-AXG),Unknown,2021-06-09
12,12,15:05 AD4338,,Campinas (VCP),Azul Linhas Aereas (Pink Ribbon Livery) A20N (PR-YRS),Landed 14:59,2021-06-09
13,13,15:10 AD4809,,Vilhena (BVH),Azul Linhas Aereas E195 (PR-AYG),Unknown,2021-06-09
