,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,06:55 AD4664,,Recife (REC),Azul Linhas Aereas A20N (PR-YRF),Landed 06:46,2021-06-08
1,1,06:56 LA3753,,Salvador (SSA),LATAM Airlines A319 (PT-TMB),Landed 06:53,2021-06-08
2,2,07:25,AD4130,Belo Horizonte (CNF),Azul Linhas Aereas 320,Unknown,2021-06-08
3,3,07:30 AD4903,,Salvador (SSA),Azul Linhas Aereas A20N (PR-YSG),Landed 07:23,2021-06-08
4,4,07:45 AD4001,,Rio de Janeiro (SDU),Azul Linhas Aereas E195 (PR-AYW),Landed 07:33,2021-06-08
5,5,08:20,G31553,Recife (REC),GOL Linhas Aereas B738 (PR-GGW),Landed 08:14,2021-06-08
6,6,08:28,LA3473,Curitiba (CWB),LATAM Airlines A319 (PT-TMA),Landed 08:26,2021-06-08
7,7,08:40 G31207,,Porto Alegre (POA),GOL Linhas Aereas B738 (PR-GXH),Landed 08:16,2021-06-08
8,8,09:00,LA3719,Navegantes (NVT),LATAM Airlines A319 (PR-MYC),Landed 08:48,2021-06-08
9,9,09:06 LA3598,,Rio de Janeiro (SDU),LATAM Airlines A319 (PR-MYL),Landed 08:59,2021-06-08
10,10,09:45 AD4003,,Rio de Janeiro (SDU),Azul Linhas Aereas E195 (PR-AYN),Landed 09:33,2021-06-08
11,11,09:50 G31009,,Rio de Janeiro (SDU),GOL Linhas Aereas B738 (PR-GXB),Landed 09:33,2021-06-08
12,12,09:50 G31259,,Florianopolis (FLN),GOL Linhas Aereas B738 (PR-GGD),Landed 09:26,2021-06-08
13,13,09:55 AD4050,,Belo Horizonte (CNF),Azul Linhas Aereas E195 (PR-AYZ),Landed 09:47,2021-06-08
14,14,10:10,LA4761,Florianopolis (FLN),LATAM Airlines A319 (PR-MBV),Landed 09:53,2021-06-08
15,15,10:10,2Z2335,Ribeirao Preto (RAO),VoePass Linhas Aereas AT76 (PR-PDN),Landed 11:39,2021-06-08
16,16,10:15 G31673,,Fortaleza (FOR),GOL Linhas Aereas B738 (PR-GXI),Landed 10:00,2021-06-08
17,17,10:23 LA3453,,Belo Horizonte (CNF),LATAM Airlines A320 (PR-MHG),Landed 10:14,2021-06-08
18,18,10:45,LA3410,Brasilia (BSB),LATAM Airlines A320 (PR-MHZ),Landed 10:28,2021-06-08
19,19,10:48 LA3124,,Rio de Janeiro (SDU),LATAM Airlines A319 (PR-MYM),Landed 10:47,2021-06-08
20,20,10:50 G31459,,Brasilia (BSB),GOL Linhas Aereas B738 (PR-GUL),Landed 10:44,2021-06-08
21,21,11:00 G31013,,Rio de Janeiro (SDU),GOL Linhas Aereas B738 (PR-GXR),Landed 10:55,2021-06-08
22,22,11:05,LA4665,Porto Alegre (POA),LATAM Airlines A320 (PR-MAG),Landed 11:00,2021-06-08
23,23,11:27 LA3761,,Salvador (SSA),LATAM Airlines A320 (PR-MHK),Landed 11:23,2021-06-08
24,24,12:00 AD4005,,Rio de Janeiro (SDU),Azul Linhas Aereas E95,Unknown,2021-06-08
