,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:10 7A102,,Tunis (TUN),Express Air Cargo 73Y,Unknown,2021-06-08
1,1,00:15 MB6121,,Istanbul (IST),MNG Airlines A306 (TC-MNV),Landed 23:54,2021-06-08
2,2,00:25 WT1985,,Wroclaw (WRO),Swiftair AT72 (EC-KJA),Landed 00:12,2021-06-08
3,3,00:25 WT1907,,Ostrava (OSR),Swiftair AT43 (EC-JAD),Landed 23:46,2021-06-08
4,4,00:30 PC1013,,Istanbul (SAW),Pegasus A21N (TC-RBA),Landed 23:56,2021-06-08
5,5,00:35 V8631,,Moscow (VKO),ATRAN B734 (VQ-BVF),Landed 01:00,2021-06-08
6,6,00:35 WT1811,,Vitoria (VIT),Swiftair B752 (EC-NIV),Landed 00:01,2021-06-08
7,7,00:55 FR8669,,Palma de Mallorca (PMI),Ryanair B738 (9H-QEI),Landed 00:46,2021-06-08
8,8,00:55 WT6991,,Tirana (TIA),Swiftair AT75 (EC-MKE),Landed 00:29,2021-06-08
9,9,02:45 XC1903,,Antalya (AYT),Corendon Airlines 738,Unknown,2021-06-08
10,10,04:05 MB151,,East Midlands (EMA),MNG Airlines A332 (TC-MCZ),Landed 03:52,2021-06-08
11,11,04:05 DE7198,,Leipzig (LEJ),Condor B763 (D-ABUO),Unknown,2021-06-08
12,12,04:15 MB224,,Leipzig (LEJ),MNG Airlines A306 (TC-MCC),Diverted to CDG,2021-06-08
13,13,07:50 W61671,,Gdansk (GDN),Wizz Air 320,Unknown,2021-06-08
14,14,08:30 FR2256,,Valencia (VLC),Ryanair B738 (EI-EMA),Landed 08:07,2021-06-08
15,15,09:50 EW33,,Hamburg (HAM),Eurowings B738 (D-ABKJ),Landed 09:34,2021-06-08
16,16,10:05,EW91,Munich (MUC),Eurowings B738 (D-ABMQ),Landed 09:45,2021-06-08
17,17,10:15 EW25,,Berlin (BER),Eurowings A319 (D-AGWM),Landed 10:03,2021-06-08
18,18,10:30 FR8805,,Malaga (AGP),Ryanair B738 (EI-DWM),Landed 10:14,2021-06-08
19,19,10:30 3O223,,Nador (NDR),Air Arabia Maroc 320,Canceled,2021-06-08
20,20,10:50 XR1013,,Heraklion (HER),Corendon Airlines Europe 738,Unknown,2021-06-08
21,21,11:10 FR8665,,Palma de Mallorca (PMI),Ryanair B738 (9H-QAQ),Landed 11:01,2021-06-08
22,22,11:20 FR5277,,Palermo (PMO),Ryanair B738 (9H-QEI),Landed 11:12,2021-06-08
23,23,12:50,LH1976,Munich (MUC),Lufthansa CRJ9 (D-ACNT),Landed 12:44,2021-06-08
24,24,14:30 MS536,,Cairo (CAI),EgyptAir ABF,Unknown,2021-06-08
25,25,15:30 EW8070,,Berlin (BER),Eurowings A320 (D-AEWN),Landed 15:16,2021-06-08
26,26,16:15 EW581,,Palma de Mallorca (PMI),Eurowings B738 (D-ABMQ),Landed 16:04,2021-06-08
27,27,16:45 FR8669,,Palma de Mallorca (PMI),Ryanair B738 (9H-QAQ),Landed 16:47,2021-06-08
28,28,17:33 5X223,,Louisville (SDF),UPS B748 (N622UP),Landed 18:06,2021-06-08
29,29,17:50 EW545,,Ibiza (IBZ),Eurowings A320 (D-ABHF),Landed 17:33,2021-06-08
30,30,18:15 EW593,,Palma de Mallorca (PMI),Eurowings B738 (D-ABKJ),Landed 17:53,2021-06-08
31,31,18:45 5X213,,Louisville (SDF),UPS B748 (N615UP),Landed 19:27,2021-06-08
32,32,19:10 EW8054,,Berlin (BER),Eurowings A320 (D-AEWN),Landed 19:00,2021-06-08
33,33,19:10 FX4,,Memphis (MEM),FedEx B77L (N865FD),Landed 20:29,2021-06-08
34,34,19:13 N8502,,Indianapolis (IND),National Airlines B744 (N702CA),Landed 18:56,2021-06-08
35,35,19:25 EW599,,Palma de Mallorca (PMI),Eurowings A319 (D-AGWZ),Landed 19:10,2021-06-08
36,36,20:00 XR1025,,Kos (KGS),Corendon Airlines Europe 738,Unknown,2021-06-08
37,37,20:55 EW31,,Hamburg (HAM),Eurowings (Das beste Team der Welt Livery) A320 (D-AIZS),Landed 20:49,2021-06-08
38,38,22:23 5X203,,Philadelphia (PHL),UPS B744 (N574UP),Landed 23:16,2021-06-08
39,39,22:35 TK7760,,Ankara (ESB),Turkish Airlines B738 (TC-JHA),Landed 21:58,2021-06-08
40,40,23:15 FR2507,,Barcelona (BCN),Ryanair B738 (9H-QEI),Landed 23:06,2021-06-08
41,41,23:35 V8633,,Moscow (VKO),ATRAN B734 (VQ-BVF),Landed 01:24,2021-06-08
42,42,23:35 WT6991,,Sofia (SOF),Swiftair AT75 (EC-MKE),Landed 22:49,2021-06-08
