,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,5:25 AM QF7523,,Auckland (AKL),Qantas Freight B763 (VH-EFR),Landed 5:58 AM,2021-06-11
1,1,7:05 AM,NZ5740,Dunedin (DUD),Air New Zealand AT76 (ZK-MVJ),Landed 8:34 AM,2021-06-11
2,2,7:10 AM,NZ5331,Wellington (WLG),Air New Zealand AT76 (ZK-MVF),Landed 7:01 AM,2021-06-11
3,3,7:25 AM,NZ515,Auckland (AKL),Air New Zealand A320 (ZK-OXL),Landed 7:19 AM,2021-06-11
4,4,7:25 AM NZ5700,,Invercargill (IVC),Air New Zealand AT76 (ZK-MVH),Landed 10:55 AM,2021-06-11
5,5,7:25 AM NZ8841,,Nelson (NSN),Air New Zealand DH8C (ZK-NEF),Unknown,2021-06-11
6,6,7:55 AM,NZ642,Queenstown (ZQN),Air New Zealand A320 (ZK-OXD),Landed 7:45 AM,2021-06-11
7,7,7:55 AM S8651,,Blenheim (BHE),Sounds Air PC12 (ZK-PLS),Landed 7:47 AM,2021-06-11
8,8,8:00 AM NZ8761,,New Plymouth (NPL),Air New Zealand DH8C (ZK-NEU),Landed 7:50 AM,2021-06-11
9,9,8:00 AM NZ5807,,Tauranga (TRG),Air New Zealand AT76 (ZK-MZA),Landed 7:57 AM,2021-06-11
10,10,8:00 AM,JQ225,Auckland (AKL),Jetstar Airways A320 (VH-VFF),Landed 7:54 AM,2021-06-11
11,11,8:05 AM NZ5189,,Palmerston North (PMR),Air New Zealand AT76 (ZK-MVG),Landed 8:07 AM,2021-06-11
12,12,8:05 AM NZ5771,,Napier (NPE),Air New Zealand AT76 (ZK-MVZ),Landed 8:00 AM,2021-06-11
13,13,8:05 AM NZ5629,,Hamilton (HLZ),Air New Zealand AT76 (ZK-MVQ),Landed 8:02 AM,2021-06-11
14,14,8:10 AM,NZ5333,Wellington (WLG),Air New Zealand AT76 (ZK-MVA),Landed 8:05 AM,2021-06-11
15,15,8:25 AM,NZ519,Auckland (AKL),Air New Zealand A320 (ZK-OXB),Landed 8:19 AM,2021-06-11
16,16,8:50 AM S8710,,Wanaka (WKA),Sounds Air PC12 (ZK-PLZ),Landed 8:40 AM,2021-06-11
17,17,9:05 AM NZ5843,,Nelson (NSN),Air New Zealand AT76 (ZK-MVD),Landed 8:52 AM,2021-06-11
18,18,9:10 AM,NZ337,Wellington (WLG),Air New Zealand A320 (ZK-OXF),Landed 9:05 AM,2021-06-11
19,19,9:15 AM,NZ5742,Dunedin (DUD),Air New Zealand AT76 (ZK-MZB),Canceled,2021-06-11
20,20,9:25 AM,NZ523,Auckland (AKL),Air New Zealand A320 (ZK-OXI),Landed 9:19 AM,2021-06-11
21,21,9:40 AM,NZ5704,Invercargill (IVC),Air New Zealand AT76 (ZK-MZC),Canceled,2021-06-11
22,22,10:10 AM NZ8831,,Hokitika (HKK),Air New Zealand DH8C (ZK-NEJ),Landed 10:07 AM,2021-06-11
23,23,10:25 AM,NZ527,Auckland (AKL),Air New Zealand A320 (ZK-OJQ),Landed 10:47 AM,2021-06-11
24,24,10:30 AM,NZ8845,Nelson (NSN),Air New Zealand DH8C (ZK-NET),Landed 10:21 AM,2021-06-11
25,25,11:00 AM,JQ287,Wellington (WLG),Jetstar Airways A320 (VH-VFF),Landed 10:51 AM,2021-06-11
26,26,11:10 AM,NZ5345,Wellington (WLG),Air New Zealand AT76 (ZK-MVO),Landed 11:03 AM,2021-06-11
27,27,11:10 AM,NZ5644,Queenstown (ZQN),Air New Zealand AT7,Canceled,2021-06-11
28,28,11:10 AM,NZ5746,Dunedin (DUD),Air New Zealand AT76 (ZK-MVG),Canceled,2021-06-11
29,29,11:30 AM S8718,,Wanaka (WKA),Sounds Air PL2,Unknown,2021-06-11
30,30,11:40 AM,NZ5181,Palmerston North (PMR),Air New Zealand AT76 (ZK-MVE),Landed 11:35 AM,2021-06-11
31,31,11:55 AM NZ5706,,Invercargill (IVC),Air New Zealand AT76 (ZK-MVZ),Landed 12:54 PM,2021-06-11
32,32,12:10 PM,NZ349,Wellington (WLG),Air New Zealand A320 (ZK-OXF),Landed 12:00 PM,2021-06-11
33,33,12:25 PM NZ535,,Auckland (AKL),Air New Zealand A21N (ZK-NNA),Landed 12:27 PM,2021-06-11
34,34,12:25 PM NZ1933,,Auckland (AKL),Air New Zealand A320 (ZK-OXH),Landed 12:13 PM,2021-06-11
35,35,12:30 PM NZ5765,,New Plymouth (NPL),Air New Zealand AT76 (ZK-MZE),Landed 12:43 PM,2021-06-11
36,36,12:35 PM S8673,,Blenheim (BHE),Sounds Air PC12 (ZK-PLS),Landed 12:30 PM,2021-06-11
37,37,12:45 PM NZ5625,,Hamilton (HLZ),Air New Zealand AT76 (ZK-MVQ),Landed 12:39 PM,2021-06-11
38,38,1:00 PM NZ5803,,Tauranga (TRG),Air New Zealand AT76 (ZK-MZA),Landed 12:52 PM,2021-06-11
39,39,1:10 PM SQ297,,Singapore (SIN),Singapore Airlines A359 (9V-SMS),Landed 1:01 PM,2021-06-11
