,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,06:45 VB4146,,Monterrey (MTY),VivaAerobus A320 (XA-VAK),Landed 06:39,2021-06-08
1,1,07:35 VB3328,,Guadalajara (GDL),VivaAerobus A320 (XA-VAY),Landed 07:26,2021-06-08
2,2,07:53,,Chihuahua (CUU),- B734,Canceled,2021-06-08
3,3,08:10 E7338,,Chihuahua (CUU),Estafeta Carga Aerea B733 (XA-ECA),Landed 07:51,2021-06-08
4,4,08:15 VB1000,,Mexico City (MEX),VivaAerobus A320 (XA-VAR),Landed 08:10,2021-06-08
5,5,08:34 Y4280,,Mexico City (MEX),Volaris A320 (N527VL),Landed 08:32,2021-06-08
6,6,09:21,AM113,Mexico City (MEX),Aeromexico B737 (XA-DRD),Landed 09:03,2021-06-08
7,7,09:51 Y45949,,Cancun (CUN),Volaris A20N (N538VL),Landed 09:29,2021-06-08
8,8,10:15 YQ820,,Chihuahua (CUU),TAR Aerolineas ERJ,Unknown,2021-06-08
9,9,12:45 VB9066,,Silao (BJX),VivaAerobus A320 (XA-VAY),Landed 12:35,2021-06-08
10,10,13:30 Y4278,,Mexico City (MEX),Volaris A320 (N507VL),Landed 13:49,2021-06-08
11,11,14:15 VB2218,,Cancun (CUN),VivaAerobus A20N (XA-VIN),Landed 14:01,2021-06-08
12,12,16:29 Y45644,,Guadalajara (GDL),Volaris A320 (N525VL),Landed 16:24,2021-06-08
13,13,17:05 Y4476,,Tijuana (TIJ),Volaris A320 (XA-VOY),Landed 16:54,2021-06-08
14,14,17:12,AM117,Mexico City (MEX),Aeromexico B737 (XA-DRD),Landed 17:10,2021-06-08
15,15,17:25 YQ811,,Durango (DGO),TAR Aerolineas ERJ,Canceled,2021-06-08
16,16,22:41,AM119,Mexico City (MEX),Aeromexico B738 (XA-AME),Landed 23:21,2021-06-08
0,0,6:45 AM VB4146,,Monterrey (MTY),Viva Aerobus A320 (XA-VAC),Landed 6:41 AM,2021-06-09
1,1,7:15 AM Y4626,,Guadalajara (GDL),Volaris A320 (XA-VLX),Landed 7:14 AM,2021-06-09
