,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:15,LA3144,Sao Paulo (GRU),LATAM Airlines A319 (PT-TML),Landed 00:03,2021-06-08
1,1,00:30 G32024,,Rio de Janeiro (GIG),GOL Linhas Aereas 7M8,Canceled,2021-06-08
2,2,05:10 AD4247,,Fortaleza (FOR),Azul Linhas Aereas A20N (PR-YYG),Landed 04:58,2021-06-08
3,3,05:10 AD4501,,Belem (BEL),Azul Linhas Aereas A21N (PR-YJB),Landed 05:13,2021-06-08
4,4,05:20 AD4088,,Maraba (MAB),Azul Linhas Aereas E195 (PR-AXI),Unknown,2021-06-08
5,5,05:25 AD4553,,Salvador (SSA),Azul Linhas Aereas E195 (PR-AYJ),Landed 05:13,2021-06-08
6,6,07:00 AD4605,,Recife (REC),Azul Linhas Aereas A20N (PR-YRC),Landed 06:50,2021-06-08
7,7,07:05 AD4377,,Uberlandia (UDI),Azul Linhas Aereas AT76 (PR-ATW),Landed 06:44,2021-06-08
8,8,07:05,AD4421,Montes Claros (MOC),Azul Linhas Aereas AT76 (PR-TKM),Landed 06:56,2021-06-08
9,9,07:10 AD4617,,Goiania (GYN),Azul Linhas Aereas A20N (PR-YSF),Landed 06:46,2021-06-08
10,10,07:15,AD4217,Uberaba (UBA),Azul Linhas Aereas AT76 (PR-TKK),Landed 07:04,2021-06-08
11,11,07:15,AD4522,Sao Paulo (GRU),Azul Linhas Aereas E195 (PR-AUP),Landed 07:00,2021-06-08
12,12,07:20,AD4413,Vitoria (VIX),Azul Linhas Aereas E195 (PR-AUE),Landed 07:11,2021-06-08
13,13,07:20,AD4475,Sao Luis (SLZ),Azul Linhas Aereas E195 (PR-AYG),Landed 07:26,2021-06-08
14,14,07:25,AD4043,Campinas (VCP),Azul Linhas Aereas A20N (PR-YRA),Landed 07:13,2021-06-08
15,15,07:25 AD4051,,Sao Paulo (CGH),Azul Linhas Aereas E195 (PR-AYZ),Landed 07:11,2021-06-08
16,16,07:30,AD4060,Curitiba (CWB),Azul Linhas Aereas E195 (PR-AXY),Landed 07:19,2021-06-08
17,17,07:30,AD4574,Porto Alegre (POA),Azul Linhas Aereas A20N (PR-YSA),Landed 07:20,2021-06-08
18,18,07:32 LA3442,,Sao Paulo (CGH),LATAM Airlines A320 (PR-MHG),Landed 07:30,2021-06-08
19,19,07:35 AD4417,,Rio de Janeiro (SDU),Azul Linhas Aereas (Sustentabilidade Livery) E195 (PR-AYX),Landed 07:31,2021-06-08
20,20,07:35 AD4689,,Brasilia (BSB),Azul Linhas Aereas (Azul Viagens Livery) E195 (PR-AYY),Unknown,2021-06-08
21,21,08:30 AD5616,,Jundiai (QDV),Azul Linhas Aereas CNF,Unknown,2021-06-08
