,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,6:15 AM,JQ979,Perth (PER),Jetstar Airways A320 (VH-VGT),Landed 7:21 AM,2021-06-11
1,1,7:20 AM QF7321,,Townsville (TSV),Qantas Freight B733 (VH-XMB),Landed 8:07 AM,2021-06-11
2,2,8:20 AM,QF706,Brisbane (BNE),Qantas B738 (VH-VYJ),Landed 8:27 AM,2021-06-11
3,3,8:25 AM VA9587,,Townsville (TSV),Virgin Australia 14Y,Unknown,2021-06-11
4,4,8:30 AM,JQ928,Brisbane (BNE),Jetstar Airways A320 (VH-VGY),Landed 8:23 AM,2021-06-11
5,5,8:45 AM,JQ966,Gold Coast (OOL),Jetstar Airways A320 (VH-VFN),Landed 8:59 AM,2021-06-11
6,6,8:45 AM OI152,,Cooktown (CTN),Hinterland Aviation C208 (VH-LZK),Unknown,2021-06-11
7,7,9:10 AM,JQ952,Sydney (SYD),Jetstar Airways A320 (VH-VFH),Landed 9:23 AM,2021-06-11
8,8,9:20 AM,JQ944,Melbourne (MEL),Jetstar Airways 320,Canceled,2021-06-11
9,9,9:40 AM ZL5418,,Townsville (TSV),REX Regional Express SF34 (VH-ZLV),Landed 9:36 AM,2021-06-11
10,10,10:01 AM,TL160,Gove (GOV),Airnorth E170 (VH-ANT),Landed 9:46 AM,2021-06-11
11,11,10:25 AM QF2481,,Weipa (WEI),Qantas DH4,Unknown,2021-06-11
12,12,10:45 AM,JQ960,Adelaide (ADL),Jetstar Airways A320 (VH-VGH),Landed 10:37 AM,2021-06-11
13,13,11:15 AM,JQ930,Brisbane (BNE),Jetstar Airways A320 (VH-VQM),Landed 11:14 AM,2021-06-11
14,14,11:20 AM,VA775,Brisbane (BNE),Virgin Australia B738 (VH-YFK),Landed 11:34 AM,2021-06-11
15,15,11:25 AM,QF708,Brisbane (BNE),Qantas B738 (VH-VXE),Landed 11:41 AM,2021-06-11
16,16,11:30 AM OI154,,Cooktown (CTN),Hinterland Aviation C208 (VH-LZK),Landed 11:22 AM,2021-06-11
17,17,11:30 AM ZL5517,,Bamaga (ABM),REX Regional Express SF34 (VH-ZLQ),Landed 10:57 AM,2021-06-11
18,18,11:45 AM QN53,,Lockhart River (IRG),Skytrans DH8A (VH-QQF),Landed 11:09 AM,2021-06-11
19,19,11:45 AM,VA1413,Sydney (SYD),Virgin Australia B738 (VH-VUS),Landed 11:44 AM,2021-06-11
20,20,11:45 AM W22353,,Lockhart River (IRG),Flexflight DH1,Unknown,2021-06-11
21,21,12:15 PM,VA1291,Melbourne (MEL),Virgin Australia B738 (VH-YVA),Landed 12:02 PM,2021-06-11
22,22,12:30 PM,QF2356,Townsville (TSV),QantasLink DH8D (VH-LQG),Landed 12:32 PM,2021-06-11
23,23,12:35 PM,QF922,Sydney (SYD),Qantas A332 (VH-EBJ),Landed 12:43 PM,2021-06-11
24,24,12:35 PM QF2489,,Horn Island (HID),QantasLink DH8D (VH-QOA),Landed 12:40 PM,2021-06-11
25,25,1:05 PM,QF702,Melbourne (MEL),Qantas A333 (VH-QPF),Landed 12:56 PM,2021-06-11
26,26,1:20 PM,VA781,Brisbane (BNE),Virgin Australia B738 (VH-YFX),Landed 1:25 PM,2021-06-11
27,27,1:45 PM,QF2354,Townsville (TSV),QantasLink DH8D (VH-QOX),Landed 1:37 PM,2021-06-11
28,28,1:50 PM,JQ946,Melbourne (MEL),Jetstar Airways 320,Canceled,2021-06-11
29,29,2:10 PM,JQ954,Sydney (SYD),Jetstar Airways A320 (VH-VFK),Landed 2:01 PM,2021-06-11
30,30,2:20 PM,QF710,Brisbane (BNE),Qantas B738 (VH-VXG),Landed 2:32 PM,2021-06-11
31,31,2:20 PM QF2479,,Weipa (WEI),Qantas DH4,Unknown,2021-06-11
32,32,2:35 PM,QF926,Sydney (SYD),Qantas A332 (VH-EBL),Landed 2:35 PM,2021-06-11
33,33,2:55 PM QF700,,Melbourne (MEL),Qantas 333,Unknown,2021-06-11
34,34,3:10 PM ZL5464,,Normanton (NTN),REX Regional Express SF34 (VH-ZRE),Landed 2:27 PM,2021-06-11
35,35,3:15 PM VA9007,,Adelaide (ADL),Virgin Australia B738 (VH-YIO),Landed 1:32 PM,2021-06-11
36,36,4:00 PM OI156,,Cooktown (CTN),Hinterland Aviation C208 (VH-LZK),Landed 4:00 PM,2021-06-11
37,37,4:35 PM,QF924,Sydney (SYD),Qantas B738 (VH-VXJ),Landed 4:28 PM,2021-06-11
38,38,4:50 PM,VA789,Brisbane (BNE),Virgin Australia B738 (VH-VUZ),Landed 4:45 PM,2021-06-11
39,39,5:15 PM OI174,,Coen (CUQ),Hinterland Aviation C402 (VH-TFK),Unknown,2021-06-11
40,40,5:15 PM QF2497,,Horn Island (HID),QantasLink DH8D (VH-LQG),Landed 5:14 PM,2021-06-11
41,41,5:25 PM,QF714,Brisbane (BNE),Qantas B738 (VH-VXS),Landed 5:28 PM,2021-06-11
42,42,5:40 PM,QF704,Melbourne (MEL),Qantas 73H,Unknown,2021-06-11
43,43,5:50 PM,JQ958,Sydney (SYD),Jetstar Airways A320 (VH-VFL),Landed 5:50 PM,2021-06-11
44,44,5:55 PM,VA1421,Sydney (SYD),Virgin Australia B738 (VH-YIA),Landed 5:42 PM,2021-06-11
45,45,6:15 PM QN78,,Kowanyama (KWM),Skytrans DH8A (VH-QQF),Landed 5:53 PM,2021-06-11
46,46,6:15 PM W22328,,Kowanyama (KWM),Flexflight DH1,Unknown,2021-06-11
47,47,6:20 PM,JQ921,Darwin (DRW),Jetstar Airways A320 (VH-VQM),Landed 6:32 PM,2021-06-11
48,48,6:20 PM,JQ950,Melbourne (MEL),Jetstar Airways A321 (VH-VWQ),Landed 6:08 PM,2021-06-11
49,49,6:30 PM OI158,,Cooktown (CTN),Hinterland Aviation C208 (VH-LZK),Landed 6:42 PM,2021-06-11
50,50,6:30 PM ZL5539,,Bamaga (ABM),REX Regional Express SF34 (VH-ZLQ),Landed 6:17 PM,2021-06-11
