,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:10 AI934,,Dubai (DXB),Air India B788 (VT-ANH),Landed 00:21,2021-06-08
1,1,01:20 SG9555,,Bengaluru (BLR),SpiceJet (With All Our Heart Livery) B738 (VT-SZK),Landed 00:30,2021-06-08
2,2,02:20 QR516,,Doha (DOH),Qatar Airways B788 (A7-BCK),Landed 02:09,2021-06-08
3,3,02:45 J91405,,Kuwait City (KWI),Jazeera Airways A20N (9K-CBE),Landed 02:14,2021-06-08
4,4,03:00 EK532,,Dubai (DXB),Emirates B77W (A6-ECH),Landed 02:43,2021-06-08
5,5,03:15 G9425,,Sharjah (SHJ),Air Arabia A320 (A6-AOT),Landed 02:51,2021-06-08
6,6,05:00 G84051,,Sharjah (SHJ),Go Air 32A,Unknown,2021-06-08
7,7,05:35 6E1704,,Doha (DOH),IndiGo A20N (VT-IJN),Landed 05:17,2021-06-08
8,8,07:10 G8347,,Mumbai (BOM),Go Air 32A,Canceled,2021-06-08
9,9,07:10 I51451,,Bengaluru (BLR),AirAsia A20N (VT-ATE),Canceled,2021-06-08
10,10,07:45 IX452,,Abu Dhabi (AUH),Air India Express (Red Fort-Gwalior Fort Livery) B738 (VT-AXJ),Landed 08:15,2021-06-08
11,11,08:05 I5791,,Delhi (DEL),AirAsia India 320,Unknown,2021-06-08
12,12,09:10 AI509,,Chennai (MAA),Air India 32B,Unknown,2021-06-08
13,13,09:30 6E309,,Hyderabad (HYD),IndiGo A20N (VT-ITU),Landed 08:53,2021-06-08
14,14,09:35,9I505,Mysore (MYQ),Alliance Air AT76 (VT-RKF),Landed 08:38,2021-06-08
15,15,10:55 6E113,,Bengaluru (BLR),IndiGo AT76 (VT-IYY),Landed 10:18,2021-06-08
16,16,12:40 6E6492,,Mumbai (BOM),IndiGo A20N (VT-IVU),Landed 12:18,2021-06-08
17,17,12:55 6E137,,Chennai (MAA),IndiGo AT76 (VT-IYN),Landed 13:01,2021-06-08
18,18,13:20 I51622,,Bengaluru (BLR),AirAsia India 320,Canceled,2021-06-08
19,19,13:20,9I506,Agatti (AGX),Alliance Air AT76 (VT-RKF),Unknown,2021-06-08
20,20,13:25 6E283,,Hyderabad (HYD),IndiGo A20N (VT-IJG),Landed 12:56,2021-06-08
21,21,17:35 6E514,,Chennai (MAA),IndiGo ATR,Unknown,2021-06-08
22,22,17:40 6E68,,Dubai (DXB),IndiGo 320,Unknown,2021-06-08
23,23,17:50 IX614,,Sharjah (SHJ),Air India Express (Elephant-Camel Livery) B738 (VT-GHA),Landed 17:54,2021-06-08
24,24,18:10 6E7975,,Kannur (CNN),IndiGo AT76 (VT-IYH),Landed 17:30,2021-06-08
25,25,18:10,9I531,Mysore (MYQ),Alliance Air ATR,Unknown,2021-06-08
26,26,18:35 I51332,,Bengaluru (BLR),AirAsia India 320,Unknown,2021-06-08
27,27,18:40 G9427,,Sharjah (SHJ),Air Arabia -,Canceled,2021-06-08
28,28,18:50,UK885,Delhi (DEL),Vistara A20N (VT-TNE),Landed 18:31,2021-06-08
29,29,19:00 IX485,,Bengaluru (BLR),Air India Express (Hans Damayanti Music Livery) B738 (VT-AXP),Landed 18:43,2021-06-08
30,30,19:00 I5325,,Mumbai (BOM),AirAsia India 320,Unknown,2021-06-08
31,31,19:15,AI681,Mumbai (BOM),Air India 32B,Unknown,2021-06-08
32,32,19:25 G8336,,Mumbai (BOM),Go Air 32A,Canceled,2021-06-08
33,33,19:50 AI1106,,Delhi (DEL),Air India A321 (VT-PPX),Landed 19:24,2021-06-08
34,34,20:00 6E5315,,Mumbai (BOM),IndiGo A20N (VT-ISN),Landed 19:32,2021-06-08
35,35,20:10 6E281,,Bengaluru (BLR),IndiGo A20N (VT-IZD),Landed 19:49,2021-06-08
36,36,20:50 I5991,,Bengaluru (BLR),AirAsia A320 (VT-GWH),Landed 20:24,2021-06-08
37,37,22:00 SG282,,Mumbai (BOM),SpiceJet 737,Canceled,2021-06-08
38,38,22:20 I51427,,Bengaluru (BLR),AirAsia India 320,Unknown,2021-06-08
39,39,22:55 I5771,,Delhi (DEL),AirAsia India 320,Unknown,2021-06-08
0,0,01:05 KU1351,,Kuwait City (KWI),Kuwait Airways 77W,Canceled,2021-06-09
1,1,01:45,EY280,Abu Dhabi (AUH),Etihad (Greenliner Livery) B78X (A6-BMH),Landed 01:25,2021-06-09
2,2,02:20 QR516,,Doha (DOH),Qatar Airways A321 (A7-AIA),Landed 02:17,2021-06-09
3,3,03:00 EK532,,Dubai (DXB),Emirates 77W,Canceled,2021-06-09
4,4,03:15 G9425,,Sharjah (SHJ),Air Arabia 320,Canceled,2021-06-09
5,5,07:05 I51451,,Bengaluru (BLR),AirAsia A320 (VT-RED),Canceled,2021-06-09
6,6,07:10 G8347,,Mumbai (BOM),Go Air 32A,Canceled,2021-06-09
7,7,07:15 WY225,,Muscat (MCT),Oman Air B789 (A4O-SD),Landed 07:04,2021-06-09
8,8,08:05 I5791,,Delhi (DEL),AirAsia India 320,Canceled,2021-06-09
9,9,08:10 SV784,,Jeddah (JED),Saudia 333,Canceled,2021-06-09
10,10,08:55,9I531,Mysore (MYQ),Alliance Air ATR,Unknown,2021-06-09
11,11,10:55 6E113,,Bengaluru (BLR),IndiGo AT76 (VT-IYT),Landed 10:31,2021-06-09
12,12,11:25,9I505,Mysore (MYQ),Alliance Air AT76 (VT-RKF),Landed 10:43,2021-06-09
13,13,12:55 6E137,,Chennai (MAA),IndiGo AT76 (VT-IYW),Landed 12:51,2021-06-09
14,14,13:25 6E283,,Hyderabad (HYD),IndiGo A20N (VT-IJD),Landed 13:05,2021-06-09
15,15,13:45 I51622,,Bengaluru (BLR),AirAsia India 320,Canceled,2021-06-09
16,16,13:55 6E1704,,Doha (DOH),IndiGo A20N (VT-IJT),Landed 13:53,2021-06-09
17,17,14:30 6E5313,,Mumbai (BOM),IndiGo A20N (VT-IJW),Landed 14:11,2021-06-09
18,18,15:00,9I506,Agatti (AGX),Alliance Air AT76 (VT-RKF),Landed 15:02,2021-06-09
19,19,17:20 AI512,,Delhi (DEL),Air India A20N (VT-EXP),Landed 17:16,2021-06-09
20,20,17:35 6E514,,Chennai (MAA),IndiGo ATR,Unknown,2021-06-09
21,21,18:10 6E7975,,Kannur (CNN),IndiGo AT76 (VT-IYO),Landed 17:09,2021-06-09
22,22,18:50 I51332,,Bengaluru (BLR),AirAsia India 320,Unknown,2021-06-09
23,23,18:50,UK885,Delhi (DEL),Vistara A20N (VT-TNH),Landed 18:34,2021-06-09
24,24,18:55 IX474,,Bahrain (BAH),Air India Express (Himalayan Peaks-Desert Livery) B738 (VT-AXZ),Landed 18:59,2021-06-09
25,25,19:15,AI681,Mumbai (BOM),Air India A20N (VT-CIF),Landed 19:03,2021-06-09
26,26,19:15 AI1106,,Delhi (DEL),Air India A20N (VT-EXK),Landed 19:08,2021-06-09
27,27,19:25 G8336,,Mumbai (BOM),Go Air 32A,Canceled,2021-06-09
28,28,19:30 IX421,,Bengaluru (BLR),Air India Express 738,Unknown,2021-06-09
29,29,20:00 6E5315,,Mumbai (BOM),IndiGo A320 (VT-IEN),Landed 19:36,2021-06-09
30,30,20:10 6E281,,Bengaluru (BLR),IndiGo A20N (VT-IVL),Landed 19:51,2021-06-09
