,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,8:35 AM AR2510,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-04
1,1,8:45 AM AR1500,,Buenos Aires (EZE),Aerolineas Argentinas 738,Canceled,2020-10-04
2,2,9:55 AM AR2433,,Jujuy (JUJ),Aerolineas Argentinas E90,Canceled,2020-10-04
3,3,10:15 AM AR2560,,Resistencia (RES),Aerolineas Argentinas E90,Canceled,2020-10-04
4,4,10:25 AM AR2586,,Tucuman (TUC),Aerolineas Argentinas E90,Canceled,2020-10-04
5,5,10:35 AM AR2595,,Mendoza (MDZ),Aerolineas Argentinas E90,Canceled,2020-10-04
6,6,10:50 AM,AR2707,Puerto Iguazu (IGR),Aerolineas Argentinas E90,Canceled,2020-10-04
7,7,10:55 AM AR1818,,Salta (SLA),Aerolineas Argentinas 738,Canceled,2020-10-04
8,8,11:20 AM AR2522,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-04
9,9,1:45 PM AR1524,,Buenos Aires (EZE),Aerolineas Argentinas 73R,Canceled,2020-10-04
10,10,1:55 PM,AR2528,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-04
11,11,2:10 PM AR2546,,Trelew (REL),Aerolineas Argentinas E90,Canceled,2020-10-04
12,12,2:25 PM,AR2861,Ushuaia (USH),Aerolineas Argentinas E90,Canceled,2020-10-04
13,13,4:05 PM AR1585,,Neuquen (NQN),Aerolineas Argentinas 738,Canceled,2020-10-04
14,14,4:10 PM,AR2563,Mendoza (MDZ),Aerolineas Argentinas E90,Canceled,2020-10-04
15,15,4:15 PM AR2555,,Comodoro Rivadavia (CRD),Aerolineas Argentinas E90,Canceled,2020-10-04
16,16,4:40 PM AR2803,,San Carlos de Bariloche (BRC),Aerolineas Argentinas E90,Canceled,2020-10-04
17,17,6:30 PM AR2508,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-04
18,18,7:50 PM AR1570,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-04
19,19,10:15 PM AR1538,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-04
20,20,11:00 PM AR1590,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-04
21,21,11:05 PM AR2518,,Buenos Aires (EZE),Aerolineas Argentinas E90,Canceled,2020-10-04
0,0,8:30 AM AR1510,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-04
1,1,8:45 AM AR1500,,Buenos Aires (EZE),Aerolineas Argentinas 738,Canceled,2020-10-04
2,2,9:30 AM AR1502,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-04
3,3,10:25 AM AR2586,,Tucuman (TUC),Aerolineas Argentinas E90,Canceled,2020-10-04
4,4,10:35 AM AR2595,,Mendoza (MDZ),Aerolineas Argentinas E90,Canceled,2020-10-04
5,5,10:55 AM AR1818,,Salta (SLA),Aerolineas Argentinas 738,Canceled,2020-10-04
6,6,11:00 AM AR2504,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-04
7,7,11:05 AM,AR2707,Puerto Iguazu (IGR),Aerolineas Argentinas E90,Canceled,2020-10-04
8,8,1:45 PM AR1524,,Buenos Aires (EZE),Aerolineas Argentinas 73R,Canceled,2020-10-04
9,9,3:30 PM AR2563,,Mendoza (MDZ),Aerolineas Argentinas E90,Canceled,2020-10-04
10,10,4:05 PM AR1585,,Neuquen (NQN),Aerolineas Argentinas 738,Canceled,2020-10-04
11,11,4:15 PM AR2555,,Comodoro Rivadavia (CRD),Aerolineas Argentinas E90,Canceled,2020-10-04
12,12,4:20 PM AR2827,,El Calafate (FTE),Aerolineas Argentinas E90,Canceled,2020-10-04
13,13,4:40 PM AR2803,,San Carlos de Bariloche (BRC),Aerolineas Argentinas E90,Canceled,2020-10-04
14,14,6:30 PM AR2508,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-04
15,15,8:55 PM AR1538,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-04
16,16,11:05 PM AR2518,,Buenos Aires (EZE),Aerolineas Argentinas E90,Canceled,2020-10-04
0,0,7:30 AM AR1512,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-05
1,1,8:28 AM WJ3266,,El Palomar (EPA),JetSMART Argentina 320,Unknown,2020-10-05
2,2,8:30 AM AR1510,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-05
3,3,8:45 AM AR1500,,Buenos Aires (EZE),Aerolineas Argentinas 738,Canceled,2020-10-05
4,4,9:30 AM AR1502,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-05
5,5,9:55 AM AR2433,,Jujuy (JUJ),Aerolineas Argentinas E90,Canceled,2020-10-05
6,6,10:15 AM AR2560,,Resistencia (RES),Aerolineas Argentinas E90,Canceled,2020-10-05
7,7,10:25 AM AR2586,,Tucuman (TUC),Aerolineas Argentinas E90,Canceled,2020-10-05
8,8,10:35 AM AR2595,,Mendoza (MDZ),Aerolineas Argentinas E90,Canceled,2020-10-05
9,9,10:55 AM AR1818,,Salta (SLA),Aerolineas Argentinas 738,Canceled,2020-10-05
10,10,1:45 PM AR1524,,Buenos Aires (EZE),Aerolineas Argentinas 73R,Canceled,2020-10-05
11,11,1:55 PM,AR2528,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-05
12,12,3:55 PM AR2635,,Mar del Plata (MDQ),Aerolineas Argentinas E90,Canceled,2020-10-05
13,13,4:05 PM AR1585,,Neuquen (NQN),Aerolineas Argentinas 738,Canceled,2020-10-05
14,14,4:15 PM AR2555,,Comodoro Rivadavia (CRD),Aerolineas Argentinas E90,Canceled,2020-10-05
15,15,4:30 PM,AR2563,Mendoza (MDZ),Aerolineas Argentinas E90,Canceled,2020-10-05
16,16,4:40 PM AR2803,,San Carlos de Bariloche (BRC),Aerolineas Argentinas E90,Canceled,2020-10-05
17,17,5:45 PM AR1514,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-05
18,18,6:30 PM AR2508,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-05
19,19,7:35 PM AR1570,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-05
20,20,11:00 PM AR1590,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-05
21,21,11:05 PM AR2518,,Buenos Aires (EZE),Aerolineas Argentinas E90,Canceled,2020-10-05
0,0,7:30 AM AR1512,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-06
