,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,12:35 AM DY3646,,Pisa (PSA),Norwegian B738 (SE-RPU),Landed 1:19 AM,2020-10-03
1,1,5:55 AM OE9120,,Dusseldorf (DUS),Laudamotion 320,Unknown,2020-10-03
2,2,6:50 AM,QR161,Doha (DOH),Qatar Airways A359 (A7-ALP),Landed 6:41 AM,2020-10-03
3,3,7:10 AM SK1415,,Stockholm (ARN),SAS A20N (SE-ROY),Landed 7:04 AM,2020-10-03
4,4,7:15 AM SK910,,New York (EWR),SAS A359 (SE-RSA),Landed 6:09 AM,2020-10-03
5,5,7:15 AM SK944,,Chicago (ORD),SAS A333 (LN-RKR),Landed 6:30 AM,2020-10-03
6,6,7:15 AM SK1461,,Oslo (OSL),SAS A20N (SE-ROI),Landed 7:10 AM,2020-10-03
7,7,7:20 AM SK1242,,Aarhus (AAR),SAS AT76 (ES-ATE),Landed 7:07 AM,2020-10-03
8,8,7:25 AM SK648,,Hamburg (HAM),SAS AT76 (ES-ATD),Landed 7:16 AM,2020-10-03
9,9,7:25 AM SK2762,,Warsaw (WAW),SAS 73G,Canceled,2020-10-03
10,10,7:50 AM SK1202,,Aalborg (AAL),SAS A20N (SE-ROP),Landed 7:32 AM,2020-10-03
11,11,8:10 AM DY3081,,Aalborg (AAL),Norwegian B738 (SE-RRH),Landed 7:57 AM,2020-10-03
12,12,8:15 AM BT131,,Riga (RIX),Air Baltic BCS3 (YL-CSN),Landed 8:00 AM,2020-10-03
13,13,8:40 AM KL1125,,Amsterdam (AMS),KLM E190 (PH-EZG),Landed 8:46 AM,2020-10-03
14,14,8:50 AM DX33,,Ronne (RNN),Danish Air Transport AT43 (OY-CIU),Landed 8:33 AM,2020-10-03
15,15,9:05 AM LX1266,,Zurich (ZRH),Swiss BCS1 (HB-JBA),Landed 8:59 AM,2020-10-03
16,16,9:15 AM OS301,,Vienna (VIE),Austrian Airlines E195 (OE-LWC),Landed 8:55 AM,2020-10-03
17,17,9:40 AM LO463,,Warsaw (WAW),LOT E75S (SP-LII),Landed 9:26 AM,2020-10-03
18,18,9:45 AM FR3565,,Thessaloniki (SKG),Ryanair B738 (EI-EBK),Landed 9:33 AM,2020-10-03
19,19,9:55 AM BA812,,London (LHR),British Airways A320 (G-EUYM),Landed 9:42 AM,2020-10-03
20,20,10:05 AM TK1783,,Istanbul (IST),Turkish Airlines B738 (TC-JVR),Landed 10:12 AM,2020-10-03
21,21,10:30 AM OU480,,Zagreb (ZAG),Croatia Airlines DH8D (9A-CQE),Landed 10:09 AM,2020-10-03
22,22,10:30 AM,SK443,Gothenburg (GOT),SAS AT76 (ES-ATE),Landed 10:34 AM,2020-10-03
23,23,10:40 AM A3750,,Athens (ATH),Aegean Airlines A320 (SX-DVI),Landed 10:36 AM,2020-10-03
24,24,10:40 AM DY3085,,Aalborg (AAL),Norwegian B738 (SE-RRH),Landed 10:30 AM,2020-10-03
25,25,10:40 AM,SK646,Hamburg (HAM),SAS AT76 (ES-ATD),Landed 10:26 AM,2020-10-03
26,26,11:00 AM,SK1875,Stavanger (SVG),SAS CRJ9 (EI-FPS),Landed 10:45 AM,2020-10-03
27,27,11:00 AM SK670,,Hannover (HAJ),SAS 73G,Canceled,2020-10-03
28,28,11:05 AM,KL1127,Amsterdam (AMS),KLM B738 (PH-BXW),Landed 10:51 AM,2020-10-03
29,29,11:05 AM,SK1208,Aalborg (AAL),SAS CRJ9 (EI-FPX),Landed 10:58 AM,2020-10-03
30,30,11:10 AM,SK1419,Stockholm (ARN),SAS A20N (SE-ROY),Landed 11:10 AM,2020-10-03
31,31,11:10 AM,SK1455,Oslo (OSL),SAS A20N (SE-ROJ),Landed 11:05 AM,2020-10-03
32,32,11:10 AM,SK1674,Berlin (TXL),SAS CRJ9 (EI-FPU),Landed 10:54 AM,2020-10-03
33,33,11:15 AM SK1630,,Dusseldorf (DUS),SAS CR9,Canceled,2020-10-03
34,34,11:20 AM,SK2865,Bergen (BGO),SAS CRJ9 (EI-FPV),Landed 11:03 AM,2020-10-03
35,35,11:25 AM,AF1150,Paris (CDG),Air France A319 (F-GRHL),Landed 11:16 AM,2020-10-03
36,36,11:25 AM,RC450,Vagar (FAE),Atlantic Airways A320 (OY-RCJ),Landed 11:08 AM,2020-10-03
37,37,11:30 AM DX37,,Ronne (RNN),Danish Air Transport AT4,Unknown,2020-10-03
38,38,11:30 AM DX41,,Ronne (RNN),Danish Air Transport AT43 (OY-CIU),Landed 11:19 AM,2020-10-03
39,39,11:50 AM SK936,,San Francisco (SFO),SAS A333 (SE-REH),Landed 11:47 AM,2020-10-03
40,40,12:05 PM,LH2440,Munich (MUC),Lufthansa A319 (D-AILP),Landed 11:43 AM,2020-10-03
41,41,12:10 PM AY953,,Helsinki (HEL),Finnair 320,Canceled,2020-10-03
42,42,12:40 PM FR632,,Dublin (DUB),Ryanair B738 (EI-DPN),Landed 12:12 PM,2020-10-03
43,43,1:00 PM,FI204,Reykjavik (KEF),Icelandair B752 (TF-LLX),Canceled,2020-10-03
44,44,1:15 PM,EK151,Dubai (DXB),Emirates B77W (A6-ENC),Landed 12:49 PM,2020-10-03
45,45,1:30 PM FR407,,Rome (CIA),Ryanair B738 (9H-QCJ),Landed 12:59 PM,2020-10-03
46,46,1:40 PM DY3661,,Alicante (ALC),Norwegian B738 (SE-RRI),Landed 1:08 PM,2020-10-03
47,47,1:40 PM,SK1467,Oslo (OSL),SAS A20N (SE-ROK),Landed 1:38 PM,2020-10-03
48,48,1:50 PM,SK1248,Aarhus (AAR),SAS AT76 (ES-ATE),Landed 1:33 PM,2020-10-03
49,49,1:55 PM DY940,,Oslo (OSL),Norwegian B738 (SE-RPD),Landed 2:29 PM,2020-10-03
50,50,1:55 PM,KL1129,Amsterdam (AMS),KLM E190 (PH-EZK),Landed 1:43 PM,2020-10-03
51,51,1:55 PM SK7746,,Samos (SMI),SAS A20N (LN-RGM),Landed 1:25 PM,2020-10-03
52,52,2:00 PM,SK1686,Milan (MXP),SAS CRJ9 (EI-FPW),Landed 1:35 PM,2020-10-03
53,53,2:05 PM DY3351,,Chania (CHQ),Norwegian B738 (SE-RPU),Landed 2:01 PM,2020-10-03
54,54,2:10 PM DX77,,Karup (KRP),Danish Air Transport AT4,Unknown,2020-10-03
55,55,2:10 PM DX163,,Aalborg (AAL),Danish Air Transport AT43 (OY-CIU),Landed 2:25 PM,2020-10-03
56,56,2:15 PM SK2832,,Split (SPU),SAS A20N (SE-DOY),Landed 1:47 PM,2020-10-03
57,57,2:20 PM SK794,,Nice (NCE),SAS CRJ9 (EI-FPR),Landed 2:18 PM,2020-10-03
58,58,2:20 PM SK752,,Warsaw (WAW),SAS 73G,Canceled,2020-10-03
59,59,2:25 PM,LX1270,Zurich (ZRH),Swiss 221,Unknown,2020-10-03
60,60,2:25 PM SK2824,,Faro (FAO),SAS A20N (SE-ROX),Landed 2:22 PM,2020-10-03
61,61,2:35 PM SK7726,,Chania (CHQ),SAS A20N (SE-ROL),Landed 2:12 PM,2020-10-03
62,62,2:45 PM,MS759,Cairo (CAI),EgyptAir A20N (SU-GFQ),Landed 2:37 PM,2020-10-03
63,63,2:50 PM,TP754,Lisbon (LIS),TAP Air Portugal A20N (CS-TVB),Landed 2:42 PM,2020-10-03
64,64,3:05 PM YM830,,Podgorica (TGD),Montenegro Airlines F100 (4O-AOM),Landed 2:45 PM,2020-10-03
65,65,3:30 PM DK1175,,Rhodes (RHO),Sunclass Airlines A321 (OY-TCG),Landed 3:11 PM,2020-10-03
66,66,3:35 PM W64377,,Sofia (SOF),Wizz Air A320 (HA-LWG),Landed 4:22 PM,2020-10-03
67,67,3:40 PM SK7790,,Larnaca (LCA),SAS -,Canceled,2020-10-03
68,68,3:40 PM,SK2889,Trondheim (TRD),SAS CRJ9 (EI-FPN),Landed 3:29 PM,2020-10-03
69,69,3:50 PM,SK778,Athens (ATH),SAS A20N (SE-ROP),Landed 3:52 PM,2020-10-03
70,70,4:15 PM SK1743,,Vilnius (VNO),SAS 73G,Canceled,2020-10-03
71,71,5:20 PM SK1622,,Dusseldorf (DUS),SAS 73G,Canceled,2020-10-03
72,72,5:30 PM DX49,,Ronne (RNN),Danish Air Transport AT43 (OY-CIU),Landed 5:23 PM,2020-10-03
73,73,5:35 PM,RC456,Vagar (FAE),Atlantic Airways A20N (OY-RCK),Landed 5:30 PM,2020-10-03
74,74,5:40 PM SK407,,Stockholm (ARN),SAS A20N (SE-ROK),Landed 5:36 PM,2020-10-03
75,75,5:45 PM,BA820,London (LHR),British Airways A319 (G-EUPS),Landed 5:27 PM,2020-10-03
76,76,5:50 PM SK650,,Hamburg (HAM),SAS 73G,Canceled,2020-10-03
77,77,6:00 PM 0B153,,Bucharest (OTP),Blue Air B738 (YR-BMN),Landed 6:09 PM,2020-10-03
78,78,6:10 PM OE1320,,Vienna (VIE),Laudamotion 320,Unknown,2020-10-03
79,79,6:20 PM,KL1133,Amsterdam (AMS),KLM B737 (PH-BGO),Landed 5:53 PM,2020-10-03
80,80,7:05 PM,FI212,Reykjavik (KEF),Icelandair (80 years of Aviation Livery) B752 (TF-FIR),Canceled,2020-10-03
81,81,7:20 PM,OS305,Vienna (VIE),Austrian Airlines E195 (OE-LWD),Landed 7:05 PM,2020-10-03
82,82,7:55 PM,SK506,London (LHR),SAS A20N (EI-SIH),Landed 7:29 PM,2020-10-03
83,83,7:55 PM SK2658,,Munich (MUC),SAS 73G,Canceled,2020-10-03
84,84,8:05 PM AY959,,Helsinki (HEL),Finnair 319,Canceled,2020-10-03
85,85,8:20 PM W66843,,Lviv (LWO),Wizz Air 320,Unknown,2020-10-03
86,86,8:35 PM SK796,,Nice (NCE),SAS CRJ9 (EI-FPU),Landed 8:14 PM,2020-10-03
87,87,8:45 PM W67713,,Skopje (SKP),Wizz Air 320,Unknown,2020-10-03
88,88,9:15 PM FR9838,,Manchester (MAN),Ryanair B738 (EI-EKL),Landed 9:03 PM,2020-10-03
89,89,9:25 PM W64571,,Larnaca (LCA),Wizz Air A320 (HA-LWX),Landed 9:18 PM,2020-10-03
90,90,9:35 PM,LH2446,Munich (MUC),Lufthansa A319 (D-AILW),Landed 9:16 PM,2020-10-03
91,91,10:00 PM DY3667,,Palma de Mallorca (PMI),Norwegian B738 (SE-RRI),Landed 9:32 PM,2020-10-03
92,92,10:20 PM SK2820,,Chania (CHQ),SAS A20N (SE-ROY),Landed 10:08 PM,2020-10-03
93,93,10:30 PM,KL1139,Amsterdam (AMS),KLM B738 (PH-BGC),Landed 10:06 PM,2020-10-03
94,94,10:50 PM,AF1350,Paris (CDG),Air France A319 (F-GRHN),Landed 10:36 PM,2020-10-03
95,95,10:50 PM,LH832,Frankfurt (FRA),Lufthansa (Star Alliance Livery) A319 (D-AILF),Landed 10:39 PM,2020-10-03
96,96,11:05 PM DY3691,,Gran Canaria (LPA),Norwegian B738 (SE-RRH),Landed 10:55 PM,2020-10-03
97,97,11:15 PM SK692,,Rome (FCO),SAS A20N (SE-ROP),Landed 10:49 PM,2020-10-03
98,98,11:20 PM SK2588,,Palma de Mallorca (PMI),SAS A20N (SE-ROX),Landed 10:31 PM,2020-10-03
99,99,11:25 PM DY3673,,Malaga (AGP),Norwegian B738 (SE-RPU),Landed 11:03 PM,2020-10-03
100,100,11:30 PM QR8196,,Doha (DOH),Qatar Airways B77W (A7-BER),Landed 10:44 PM,2020-10-03
101,101,11:50 PM SK588,,Malaga (AGP),SAS A20N (SE-ROB),Landed 11:35 PM,2020-10-03
0,0,1:15 AM SK7598,,Heraklion (HER),SAS A20N (SE-DOY),Landed 12:49 AM,2020-10-04
1,1,5:45 AM OE2316,,Stuttgart (STR),Laudamotion 320,Unknown,2020-10-04
2,2,6:00 AM SK5323,,Oslo (OSL),SAS -,Canceled,2020-10-04
3,3,6:44 AM AC7206,,Toronto (YYZ),Air Canada B789 (C-FPQB),Landed 6:49 AM,2020-10-04
4,4,7:10 AM,SK1415,Stockholm (ARN),SAS A20N (SE-ROK),Landed 7:12 AM,2020-10-04
5,5,7:10 AM SK1758,,Gdansk (GDN),SAS CR9,Canceled,2020-10-04
6,6,7:15 AM SK910,,New York (EWR),SAS A359 (SE-RSB),Landed 6:30 AM,2020-10-04
7,7,7:15 AM,SK1461,Oslo (OSL),SAS A20N (SE-RUA),Landed 7:16 AM,2020-10-04
8,8,7:20 AM,SK1242,Aarhus (AAR),SAS AT76 (ES-ATD),Landed 7:23 AM,2020-10-04
9,9,7:50 AM,SK1202,Aalborg (AAL),SAS A20N (LN-RGM),Landed 7:33 AM,2020-10-04
10,10,8:10 AM,BT131,Riga (RIX),Air Baltic (Lithuanian Flag Livery) BCS3 (YL-CSK),Landed 7:48 AM,2020-10-04
11,11,8:25 AM N9361,,Stockholm (ARN),Novair A21N (SE-RKB),Landed 8:18 AM,2020-10-04
12,12,8:40 AM,KL1125,Amsterdam (AMS),KLM E190 (PH-EZT),Landed 8:21 AM,2020-10-04
13,13,8:55 AM XC785,,Antalya (AYT),Corendon Airlines 738,Unknown,2020-10-04
14,14,9:05 AM,LX1266,Zurich (ZRH),Swiss 221,Unknown,2020-10-04
15,15,9:15 AM,OS301,Vienna (VIE),Austrian Airlines E195 (OE-LWL),Landed 8:55 AM,2020-10-04
16,16,9:45 AM DX35,,Ronne (RNN),Danish Air Transport AT43 (OY-CIU),Landed 9:42 AM,2020-10-04
17,17,10:00 AM DY3085,,Aalborg (AAL),Norwegian B738 (SE-RRI),Landed 9:44 AM,2020-10-04
18,18,10:05 AM DX37,,Ronne (RNN),Danish Air Transport AT7,Unknown,2020-10-04
19,19,10:05 AM,TK1783,Istanbul (IST),Turkish Airlines B738 (TC-JVJ),Landed 9:46 AM,2020-10-04
20,20,10:15 AM,SK443,Gothenburg (GOT),SAS AT76 (ES-ATD),Landed 10:02 AM,2020-10-04
21,21,10:30 AM,OU480,Zagreb (ZAG),Croatia Airlines DH8D (9A-CQE),Landed 10:22 AM,2020-10-04
22,22,10:45 AM SK646,,Hamburg (HAM),SAS 73G,Canceled,2020-10-04
23,23,11:05 AM,KL1127,Amsterdam (AMS),KLM B738 (PH-BXW),Landed 10:45 AM,2020-10-04
