,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,08:30 W61381,,Warsaw (WAW),Wizz Air 32Q,Unknown,2021-06-08
1,1,10:55 FR4869,,Perugia (PEG),Ryanair B738 (EI-DHG),Landed 10:34,2021-06-08
2,2,11:10 FR4567,,Figari (FSC),Ryanair B738 (EI-EBI),Landed 11:05,2021-06-08
3,3,12:00 FR2834,,Barcelona (BCN),Ryanair B738 (EI-DYW),Landed 11:59,2021-06-08
4,4,12:30 PC921,,Istanbul (SAW),Pegasus A20N (TC-NBB),Landed 12:45,2021-06-08
5,5,12:45 FR2102,,Bucharest (OTP),Ryanair B738 (EI-DPM),Landed 13:25,2021-06-08
6,6,14:05 FR1385,,Perpignan (PGF),Ryanair B738 (EI-EVM),Landed 14:07,2021-06-08
7,7,15:10 FR2106,,Toulouse (TLS),Ryanair B738 (EI-DHG),Landed 14:45,2021-06-08
8,8,17:25 FR5332,,Biarritz (BIQ),Ryanair B738 (EI-EGC),Landed 17:24,2021-06-08
9,9,17:25 FR6465,,Zadar (ZAD),Ryanair B738 (EI-EVP),Landed 17:01,2021-06-08
10,10,17:30 FR8415,,Budapest (BUD),Ryanair B738 (SP-RSI),Landed 17:30,2021-06-08
11,11,18:15 FR1058,,Warsaw (WMI),Ryanair B738 (SP-RKG),Landed 17:58,2021-06-08
12,12,20:20 FR9338,,Palma de Mallorca (PMI),Ryanair B738 (EI-DHD),Landed 20:06,2021-06-08
13,13,20:55 FR4828,,Cagliari (CAG),Ryanair B738 (9H-QAN),Landed 20:52,2021-06-08
14,14,22:20 FR9052,,Alicante (ALC),Ryanair B738 (EI-EFY),Landed 22:12,2021-06-08
15,15,22:30 FR4443,,Comiso (CIY),Ryanair B738 (EI-DHG),Landed 22:16,2021-06-08
16,16,22:45 FR2829,,Reus (REU),Ryanair B738 (EI-EVP),Landed 22:37,2021-06-08
17,17,22:45 FR6272,,Chania (CHQ),Ryanair B738 (EI-EBI),Landed 22:49,2021-06-08
18,18,22:50 FR1919,,Valencia (VLC),Ryanair B738 (EI-EKL),Landed 23:35,2021-06-08
0,0,07:55 W63081,,Bucharest (OTP),Wizz Air A21N (HA-LVD),Scheduled,2021-06-10
1,1,08:40 FR8415,,Budapest (BUD),Ryanair 738,Scheduled,2021-06-10
2,2,08:45 FR1303,,Naples (NAP),Ryanair 73H,Scheduled,2021-06-10
3,3,08:45 FR1196,,Athens (ATH),Ryanair 73H,Scheduled,2021-06-10
4,4,09:00 W63661,,Iasi (IAS),Wizz Air 320,Scheduled,2021-06-10
5,5,09:05 W67717,,Skopje (SKP),Wizz Air 320,Scheduled,2021-06-10
6,6,09:25 FR5462,,Madrid (MAD),Ryanair 73H,Scheduled,2021-06-10
7,7,09:55 FR9052,,Alicante (ALC),Ryanair 73H,Scheduled,2021-06-10
8,8,10:05 FR6034,,Treviso (TSF),Ryanair 73H,Scheduled,2021-06-10
9,9,10:10 FR200,,Copenhagen (CPH),Ryanair 73H,Scheduled,2021-06-10
10,10,11:45 FR6457,,Ibiza (IBZ),Ryanair 73H,Scheduled,2021-06-10
11,11,11:55 FR7738,,Brindisi (BDS),Ryanair 73H,Scheduled,2021-06-10
12,12,12:00 FR1387,,Porto (OPO),Ryanair 73H,Scheduled,2021-06-10
13,13,12:15 TB1142,,Alicante (ALC),TUIfly Belgium 73H,Scheduled,2021-06-10
14,14,12:20 FR3746,,Pisa (PSA),Ryanair 73H,Scheduled,2021-06-10
15,15,12:25 FR6351,,Sofia (SOF),Ryanair 73H,Scheduled,2021-06-10
16,16,12:25 TB1272,,Murcia (RMU),TUIfly Belgium E90,Scheduled,2021-06-10
17,17,12:30 PC921,,Istanbul (SAW),Pegasus Airlines 320,Scheduled,2021-06-10
18,18,13:15 FR6313,,Faro (FAO),Ryanair 73H,Scheduled,2021-06-10
19,19,13:25 FR1259,,Almeria (LEI),Ryanair 73H,Scheduled,2021-06-10
20,20,14:20 FR8024,,Carcassonne (CCF),Ryanair 73H,Scheduled,2021-06-10
21,21,14:50 TB2622,,Nador (NDR),TUIfly Belgium 73H,Scheduled,2021-06-10
22,22,15:10 W62281,,Budapest (BUD),Wizz Air 320,Scheduled,2021-06-10
23,23,15:15 FR6901,,Girona (GRO),Ryanair 73H,Scheduled,2021-06-10
24,24,16:00 FR1389,,Bordeaux (BOD),Ryanair 73H,Scheduled,2021-06-10
25,25,16:20 FR1301,,Lisbon (LIS),Ryanair 73H,Scheduled,2021-06-10
26,26,16:50 FR2104,,Bucharest (OTP),Ryanair 73H,Scheduled,2021-06-10
27,27,17:30 FR8049,,Nimes (FNI),Ryanair 73H,Scheduled,2021-06-10
28,28,17:50 FR5015,,Pescara (PSR),Ryanair 73H,Scheduled,2021-06-10
29,29,17:55 FR4863,,Bologna (BLQ),Ryanair 73H,Scheduled,2021-06-10
30,30,18:00 FR6317,,Marseille (MRS),Ryanair 73H,Scheduled,2021-06-10
31,31,18:20 FR1219,,Bergerac (EGC),Ryanair 73H,Scheduled,2021-06-10
32,32,18:50 FR8078,,Beziers (BZR),Ryanair 73H,Scheduled,2021-06-10
33,33,20:30 FR6445,,Seville (SVQ),Ryanair 73H,Scheduled,2021-06-10
34,34,20:40 FR1915,,Malaga (AGP),Ryanair 73H,Scheduled,2021-06-10
35,35,20:50 FR6106,,Rome (CIA),Ryanair 73H,Scheduled,2021-06-10
36,36,21:00 W64535,,Varna (VAR),Wizz Air 320,Scheduled,2021-06-10
37,37,21:00 W64327,,Sofia (SOF),Wizz Air 32Q,Scheduled,2021-06-10
38,38,21:10 W66911,,Chisinau (KIV),Wizz Air 320,Scheduled,2021-06-10
39,39,21:25 FR2955,,Luqa (MLA),Ryanair 73H,Scheduled,2021-06-10
40,40,21:30 FR3222,,Manchester (MAN),Ryanair 73H,Scheduled,2021-06-10
41,41,22:00 FR6058,,Santander (SDR),Ryanair 73H,Scheduled,2021-06-10
42,42,22:25 FR2043,,Pula (PUY),Ryanair 73H,Scheduled,2021-06-10
43,43,22:35 FR6447,,Thessaloniki (SKG),Ryanair 73H,Scheduled,2021-06-10
44,44,22:40 FR8082,,Fes (FEZ),Ryanair 73H,Canceled,2021-06-10
45,45,22:45 FR8179,,Tenerife (TFS),Ryanair 73H,Scheduled,2021-06-10
46,46,22:45 FR9141,,Palermo (PMO),Ryanair 73H,Scheduled,2021-06-10
47,47,22:55 FR8043,,Ancona (AOI),Ryanair 73H,Scheduled,2021-06-10
48,48,22:55 TB1772,,Tenerife (TFS),TUIfly Belgium 73H,Scheduled,2021-06-10
49,49,22:55 TB2672,,Tangier (TNG),TUIfly Belgium 73H,Scheduled,2021-06-10
50,50,22:55 TB3672,,Toulon (TLN),TUIfly Belgium E90,Scheduled,2021-06-10
0,0,7:55 AM W63081,,Bucharest (OTP),Wizz Air A21N (HA-LVD),Landed 7:37 AM,2021-06-11
1,1,8:40 AM FR8415,,Budapest (BUD),Ryanair B738 (SP-RKW),Landed 8:21 AM,2021-06-11
2,2,8:45 AM FR1303,,Naples (NAP),Ryanair B738 (9H-QAZ),Landed 8:35 AM,2021-06-11
3,3,8:45 AM FR1196,,Athens (ATH),Ryanair B738 (EI-EVC),Landed 8:32 AM,2021-06-11
4,4,9:00 AM W63661,,Iasi (IAS),Wizz Air A320 (HA-LPN),Landed 8:38 AM,2021-06-11
5,5,9:05 AM W67717,,Skopje (SKP),Wizz Air A320 (HA-LYE),Landed 8:50 AM,2021-06-11
6,6,9:25 AM FR5462,,Madrid (MAD),Ryanair B738 (EI-DWY),Landed 9:26 AM,2021-06-11
7,7,9:55 AM FR9052,,Alicante (ALC),Ryanair B738 (EI-DWX),Landed 9:34 AM,2021-06-11
8,8,10:05 AM FR6034,,Treviso (TSF),Ryanair B738 (EI-DCN),Landed 9:48 AM,2021-06-11
9,9,10:10 AM FR200,,Copenhagen (CPH),Ryanair B738 (EI-EKL),Landed 10:07 AM,2021-06-11
10,10,11:45 AM FR6457,,Ibiza (IBZ),Ryanair B738 (EI-DHG),Landed 11:31 AM,2021-06-11
11,11,11:55 AM FR7738,,Brindisi (BDS),Ryanair B738 (EI-EVP),Landed 12:02 PM,2021-06-11
12,12,12:00 PM FR1387,,Porto (OPO),Ryanair B738 (EI-DPM),Landed 12:08 PM,2021-06-11
13,13,12:15 PM TB1142,,Alicante (ALC),TUI B738 (OO-TUK),Landed 12:05 PM,2021-06-11
14,14,12:20 PM FR3746,,Pisa (PSA),Ryanair B738 (9H-QDA),Landed 12:32 PM,2021-06-11
15,15,12:25 PM FR6351,,Sofia (SOF),Ryanair B738 (EI-EKK),Landed 12:04 PM,2021-06-11
16,16,12:25 PM TB1272,,Murcia (RMU),TUI E190 (OO-JEB),Landed 11:58 AM,2021-06-11
17,17,12:30 PM PC921,,Istanbul (SAW),Pegasus A20N (TC-NBH),Landed 12:29 PM,2021-06-11
18,18,1:15 PM FR6313,,Faro (FAO),Ryanair B738 (EI-GXN),Landed 1:21 PM,2021-06-11
19,19,1:25 PM FR1259,,Almeria (LEI),Ryanair B738 (EI-DWV),Landed 3:55 PM,2021-06-11
20,20,2:20 PM FR8024,,Carcassonne (CCF),Ryanair B738 (EI-DCN),Landed 2:06 PM,2021-06-11
21,21,2:50 PM TB2622,,Nador (NDR),TUIfly Belgium 73H,Unknown,2021-06-11
22,22,3:10 PM W62281,,Budapest (BUD),Wizz Air A320 (HA-LWE),Landed 2:52 PM,2021-06-11
23,23,3:15 PM FR6901,,Girona (GRO),Ryanair B738 (EI-EFY),Landed 3:06 PM,2021-06-11
24,24,4:00 PM FR1389,,Bordeaux (BOD),Ryanair B738 (EI-DHG),Landed 3:59 PM,2021-06-11
25,25,4:20 PM FR1301,,Lisbon (LIS),Ryanair B738 (EI-EKL),Landed 4:37 PM,2021-06-11
