,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,06:16,,San Luis Potosi (SLP),- B734,Canceled,2021-06-08
1,1,06:25 E7322,,San Luis Potosi (SLP),Estafeta Carga Aerea B733 (XA-GGB),Landed 06:17,2021-06-08
2,2,06:25 Y4792,,Mexico City (MEX),Volaris A21N (N543VL),Landed 06:02,2021-06-08
3,3,06:55 VB1312,,Mexico City (MEX),VivaAerobus A320 (XA-VAO),Landed 07:04,2021-06-08
4,4,07:44,AM160,Mexico City (MEX),Aeromexico B738 (XA-AMW),Landed 07:44,2021-06-08
5,5,07:54,,La Paz (LAP),- E145,Canceled,2021-06-08
6,6,08:00 A7171,,La Paz (LAP),Calafia Airlines ER4,Unknown,2021-06-08
7,7,09:05 VB5002,,Tijuana (TIJ),VivaAerobus A20N (XA-VIS),Landed 08:43,2021-06-08
8,8,10:45 YQ840,,Chihuahua (CUU),TAR Aerolineas ERJ,Landed 19:09,2021-06-08
9,9,10:47 Y4410,,Tijuana (TIJ),Volaris A321 (XA-VRC),Landed 10:34,2021-06-08
10,10,11:17,AM164,Mexico City (MEX),Aeromexico Connect E190 (XA-AEH),Landed 10:58,2021-06-08
11,11,12:00 VB4272,,Monterrey (MTY),VivaAerobus A320 (XA-VAE),Landed 11:38,2021-06-08
12,12,12:43 Y4416,,Tijuana (TIJ),Volaris A321 (XA-VLY),Landed 12:37,2021-06-08
13,13,13:40 Y4690,,Guadalajara (GDL),Volaris A20N (XA-VRJ),Landed 13:38,2021-06-08
14,14,15:58,AM156,Mexico City (MEX),Aeromexico Connect E190 (XA-ACN),Landed 15:58,2021-06-08
15,15,16:08 Y4412,,Tijuana (TIJ),Volaris A321 (XA-VRC),Landed 15:52,2021-06-08
16,16,17:25 YQ839,,Hermosillo (HMO),TAR Aerolineas ERJ,Unknown,2021-06-08
17,17,18:28 Y4165,,Mexicali (MXL),Volaris A20N (XA-VRJ),Landed 18:14,2021-06-08
18,18,18:41 Y4790,,Mexico City (MEX),Volaris A21N (N543VL),Landed 18:25,2021-06-08
19,19,20:30 Y4414,,Tijuana (TIJ),Volaris A20N (N530VL),Landed 20:12,2021-06-08
20,20,21:34 Y4418,,Tijuana (TIJ),Volaris A321 (XA-VRC),Landed 21:30,2021-06-08
21,21,21:40 VB5010,,Tijuana (TIJ),VivaAerobus A20N (XA-VIS),Landed 21:19,2021-06-08
22,22,22:10 E7321,,Hermosillo (HMO),Estafeta Carga Aerea B733 (XA-GGB),Landed 21:57,2021-06-08
23,23,22:10 Y4670,,Guadalajara (GDL),Volaris A20N (XA-VRJ),Landed 22:21,2021-06-08
24,24,23:04,,Hermosillo (HMO),- B734,Canceled,2021-06-08
0,0,6:15 AM,,San Luis Potosi (SLP),- B734,Canceled,2021-06-09
1,1,6:25 AM E7322,,San Luis Potosi (SLP),Estafeta Carga Aerea B733 (XA-GGB),Landed 6:18 AM,2021-06-09
2,2,6:25 AM Y4792,,Mexico City (MEX),Volaris A21N (N534VL),Landed 6:12 AM,2021-06-09
3,3,6:45 AM VB1312,,Mexico City (MEX),VivaAerobus A320 (XA-VAP),Landed 6:36 AM,2021-06-09
4,4,7:44 AM,AM160,Mexico City (MEX),Aeromexico B738 (XA-AMS),Landed 7:48 AM,2021-06-09
5,5,7:54 AM,,La Paz (LAP),- E145,Canceled,2021-06-09
6,6,8:00 AM A7171,,La Paz (LAP),Calafia Airlines ER4,Unknown,2021-06-09
7,7,9:05 AM VB5002,,Tijuana (TIJ),VivaAerobus A20N (XA-VIJ),Landed 8:49 AM,2021-06-09
8,8,10:45 AM YQ840,,Chihuahua (CUU),TAR Aerolineas ERJ,Landed 10:39 AM,2021-06-09
9,9,10:47 AM Y4410,,Tijuana (TIJ),Volaris A321 (XA-VLH),Landed 10:43 AM,2021-06-09
10,10,11:17 AM,AM164,Mexico City (MEX),Aeromexico Connect E190 (XA-AEF),Landed 11:09 AM,2021-06-09
11,11,12:00 PM VB4272,,Monterrey (MTY),Viva Aerobus A320 (XA-VAC),Landed 11:43 AM,2021-06-09
12,12,12:43 PM Y4416,,Tijuana (TIJ),Volaris A21N (N537VL),Landed 12:42 PM,2021-06-09
13,13,1:40 PM Y4690,,Guadalajara (GDL),Volaris A20N (XA-VRT),Landed 1:47 PM,2021-06-09
14,14,2:30 PM Y4438,,Tijuana (TIJ),Volaris A21N (N542VL),Landed 2:06 PM,2021-06-09
15,15,3:58 PM,AM156,Mexico City (MEX),Aeromexico Connect E190 (XA-GAX),Landed 3:45 PM,2021-06-09
16,16,4:08 PM Y4412,,Tijuana (TIJ),Volaris A321 (XA-VLH),Landed 4:11 PM,2021-06-09
17,17,5:25 PM YQ839,,Hermosillo (HMO),TAR Aerolineas ERJ,Landed 5:44 PM,2021-06-09
