,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,12:11 AM CM355,,Panama City (PTY),Copa Airlines B738 (HP-1718CMP),Landed 11:36 PM,2021-06-09
1,1,12:15 AM VB2259,,Tuxtla Gutierrez (TGZ),VivaAerobus A20N (XA-VII),Landed 11:45 PM,2021-06-09
2,2,2:00 AM VB1042,,Mexico City (MEX),VivaAerobus A20N (XA-VIN),Landed 1:51 AM,2021-06-09
3,3,5:27 AM,Y4470,Tijuana (TIJ),Volaris A20N (N530VL),Landed 5:05 AM,2021-06-09
4,4,5:55 AM VB2195,,Monterrey (MTY),VivaAerobus A20N (XA-VIT),Landed 5:14 AM,2021-06-09
5,5,6:00 AM,DL623,Los Angeles (LAX),Delta Air Lines B739 (N872DN),Landed 5:40 AM,2021-06-09
6,6,7:09 AM DCM6007,,Fort Lauderdale (FXE),Fltplan GLF4,Unknown,2021-06-09
7,7,7:51 AM,Y4640,Silao (BJX),Volaris A20N (XA-VRF),Landed 7:41 AM,2021-06-09
8,8,8:11 AM NK697,,Fort Lauderdale (FLL),Spirit Airlines A319 (N525NK),Landed 7:38 AM,2021-06-09
9,9,8:15 AM VB1014,,Mexico City (MEX),VivaAerobus A321 (XA-VBI),Landed 7:56 AM,2021-06-09
10,10,8:15 AM VB2163,,Monterrey (MTY),VivaAerobus A321 (XA-VBJ),Landed 7:59 AM,2021-06-09
11,11,8:17 AM,Y4206,Mexico City (MEX),Volaris A321 (XA-VLW),Landed 8:03 AM,2021-06-09
12,12,8:20 AM,AM500,Mexico City (MEX),Aeromexico B789 (XA-ADH),Landed 8:12 AM,2021-06-09
13,13,8:20 AM 7M26,,Cozumel (CZM),Map Linhas Aereas D28,Unknown,2021-06-09
14,14,8:30 AM 7M28,,Merida (MID),Map Linhas Aereas D28,Unknown,2021-06-09
15,15,8:30 AM ZF111,,Moscow (VKO),Azur Air B77W (VQ-BZA),Landed 9:03 AM,2021-06-09
16,16,8:45 AM SY513,,Dallas (DFW),Sun Country Airlines B738 (N822SY),Landed 8:33 AM,2021-06-09
17,17,9:03 AM,Y4190,Monterrey (MTY),Volaris A320 (N523VL),Landed 8:38 AM,2021-06-09
18,18,9:16 AM,Y4634,Guadalajara (GDL),Volaris A20N (XA-VRD),Landed 9:33 AM,2021-06-09
19,19,9:18 AM,AM504,Mexico City (MEX),Aeromexico B789 (XA-MFG),Landed 9:05 AM,2021-06-09
20,20,9:23 AM,Y4714,Mexico City (MEX),Volaris A21N (N536VL),Landed 8:58 AM,2021-06-09
21,21,9:37 AM NK104,,Chicago (ORD),Spirit Airlines A319 (N523NK),Landed 9:19 AM,2021-06-09
22,22,9:45 AM AA881,,Charlotte (CLT),American Airlines A321 (N183UW),Landed 9:47 AM,2021-06-09
23,23,9:48 AM,F991,Philadelphia (PHL),Frontier (Parish&Daisy the Burrowing Owls Livery) A20N (N371FR),Landed 9:21 AM,2021-06-09
24,24,9:50 AM AA1343,,Dallas (DFW),American Airlines A321 (N159AN),Landed 9:26 AM,2021-06-09
25,25,9:52 AM,DL1964,Atlanta (ATL),Delta Air Lines A321 (N347DN),Landed 9:30 AM,2021-06-09
26,26,9:52 AM NK285,,Detroit (DTW),Spirit Airlines A321 (N663NK),Landed 9:29 AM,2021-06-09
