,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,09:30 3R263,,Oranjestad (AUA),Divi Divi Air DHT,Unknown,2021-05-09
1,1,09:40 3R213,,Bonaire (BON),Divi Divi Air DHT,Unknown,2021-05-09
2,2,10:40 3R15,,Bonaire (BON),Divi Divi Air BNI,Unknown,2021-05-09
3,3,11:10 3R217,,Bonaire (BON),Divi Divi Air DHT,Unknown,2021-05-09
4,4,11:15 PY729,,Port of Spain (POS),Surinam Airways 737,Unknown,2021-05-09
5,5,11:35 3R269,,Oranjestad (AUA),Divi Divi Air DHC6 (PJ-DVD),Unknown,2021-05-09
6,6,12:10 3R17,,Bonaire (BON),Divi Divi Air BNI,Unknown,2021-05-09
7,7,12:50 4J521,,Santo Domingo (SDQ),FlyDamas F70,Unknown,2021-05-09
8,8,13:03,,San Juan (SIG),- (N406WT),Landed 13:51,2021-05-09
9,9,13:10 3R219,,Bonaire (BON),Divi Divi Air DHT,Unknown,2021-05-09
10,10,13:40 3R19,,Bonaire (BON),Divi Divi Air BNI,Unknown,2021-05-09
11,11,13:41,AA2739,Miami (MIA),American Airlines A319 (N4005X),Landed 13:40,2021-05-09
12,12,13:50 TK6438,,Bogota (BOG),Turkish Cargo B77L (TC-LJT),Diverted to MIA,2021-05-09
13,13,15:15 AG509,,Bonaire (BON),Aruba Airlines DH8,Unknown,2021-05-09
14,14,15:15 3R279,,Oranjestad (AUA),Divi Divi Air DHC6 (PJ-DVD),Landed 16:10,2021-05-09
15,15,15:45 OR365,,Amsterdam (AMS),TUI B788 (PH-TFK),Landed 16:02,2021-05-09
16,16,16:30 7Z680,,Bonaire (BON),Ameristar Jet Charter BEH,Unknown,2021-05-09
17,17,16:40 3R23,,Bonaire (BON),Divi Divi Air BNI,Unknown,2021-05-09
18,18,16:55 3R227,,Bonaire (BON),Divi Divi Air DHT,Unknown,2021-05-09
19,19,18:10 3R229,,Bonaire (BON),Divi Divi Air DHT,Unknown,2021-05-09
20,20,18:10 3R25,,Bonaire (BON),Divi Divi Air BNI,Unknown,2021-05-09
21,21,18:20 4J523,,Sint Maarten (SXM),FlyDamas F70,Unknown,2021-05-09
22,22,18:25 AV78,,Bogota (BOG),Avianca A319 (N730AV),Landed 18:05,2021-05-09
23,23,18:30 3R281,,Oranjestad (AUA),Divi Divi Air DHC6 (PJ-DVF),Landed 18:16,2021-05-09
24,24,18:30 7Z683,,Oranjestad (AUA),Ameristar Jet Charter BEH,Unknown,2021-05-09
25,25,18:45 AG511,,Oranjestad (AUA),Aruba Airlines CRJ,Unknown,2021-05-09
26,26,19:00 3R283,,Oranjestad (AUA),Divi Divi Air DHC6 (PJ-DVD),Unknown,2021-05-09
27,27,19:05 KL735,,Amsterdam (AMS),KLM B772 (PH-BQA),Landed 18:57,2021-05-09
28,28,19:40 3R231,,Bonaire (BON),Divi Divi Air DHC6 (PJ-DVF),Landed 19:52,2021-05-09
