,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,06:26,,Mexico City (MEX),- B734,Canceled,2021-06-08
1,1,06:40 E7338,,Mexico City (MEX),Estafeta Carga Aerea B733 (XA-ECA),Landed 06:30,2021-06-08
2,2,07:11 Y4724,,Mexico City (MEX),Volaris A321 (XA-VLV),Landed 06:56,2021-06-08
3,3,08:14 Y4678,,Guadalajara (GDL),Volaris A20N (XA-VRT),Landed 08:05,2021-06-08
4,4,08:45 YQ820,,Queretaro (QRO),TAR Aerolineas E145 (XA-NFP),Unknown,2021-06-08
5,5,09:20 YQ838,,Hermosillo (HMO),TAR Aerolineas ERJ,Landed 09:09,2021-06-08
6,6,09:38,AM140,Mexico City (MEX),Aeromexico Connect E190 (XA-GAW),Landed 09:23,2021-06-08
7,7,11:42 BYA651,,Del Rio (DRT),Berry Aviation E120 (N651CT),Landed 11:54,2021-06-08
8,8,11:51 IF3810,,El Paso (ELP),IFL Group CVLT (N351FL),Landed 11:48,2021-06-08
9,9,11:55,AA4227,Dallas (DFW),American Eagle E145 (N684JW),Landed 12:14,2021-06-08
10,10,13:33,Y4117,Cancun (CUN),Volaris A320 (N513VL),Landed 13:23,2021-06-08
11,11,14:50,AM142,Mexico City (MEX),Aeromexico Connect E190 (XA-AEC),Landed 14:42,2021-06-08
12,12,15:50 VB1050,,Mexico City (MEX),VivaAerobus A320 (XA-VAP),Landed 15:48,2021-06-08
13,13,16:05 VB4316,,Monterrey (MTY),VivaAerobus A21N (XA-VBA),Landed 15:49,2021-06-08
14,14,17:39,AM146,Mexico City (MEX),Aeromexico Connect E190 (XA-AEF),Landed 17:40,2021-06-08
15,15,18:40 YQ821,,Ciudad Juarez (CJS),TAR Aerolineas ERJ,Unknown,2021-06-08
16,16,18:50 YQ839,,Culiacan (CUL),TAR Aerolineas ERJ,Unknown,2021-06-08
17,17,20:03 Y4472,,Tijuana (TIJ),Volaris A20N (XA-VRS),Landed 19:43,2021-06-08
18,18,20:30 E7337,,Ciudad Juarez (CJS),Estafeta Carga Aerea B733 (XA-ECA),Landed 20:21,2021-06-08
19,19,20:40,AA4326,Dallas (DFW),American Eagle E145 (N694AE),Landed 20:28,2021-06-08
20,20,21:14,,Ciudad Juarez (CJS),- B734,Canceled,2021-06-08
21,21,22:14,AM148,Mexico City (MEX),Aeromexico Connect E190 (XA-ACM),Landed 00:03,2021-06-08
0,0,6:26 AM,,Mexico City (MEX),- B734,Canceled,2021-06-09
1,1,6:40 AM E7338,,Mexico City (MEX),Estafeta Carga Aerea B733 (XA-ECA),Landed 7:07 AM,2021-06-09
2,2,7:11 AM Y4724,,Mexico City (MEX),Volaris A20N (XA-VRP),Landed 7:05 AM,2021-06-09
3,3,8:13 AM,,La Paz (LAP),- E145,Canceled,2021-06-09
4,4,8:14 AM Y4678,,Guadalajara (GDL),Volaris A320 (XA-VLO),Landed 8:16 AM,2021-06-09
5,5,9:02 AM,,Los Mochis (LMM),- E145,Canceled,2021-06-09
6,6,9:05 AM A7276,,Los Mochis (LMM),Calafia Airlines ER4,Unknown,2021-06-09
7,7,9:05 AM A7278,,La Paz (LAP),Calafia Airlines ER4,Unknown,2021-06-09
8,8,9:20 AM YQ838,,Hermosillo (HMO),TAR Aerolineas ERJ,Landed 8:57 AM,2021-06-09
9,9,9:38 AM,AM140,Mexico City (MEX),Aeromexico Connect E190 (XA-GAX),Landed 9:25 AM,2021-06-09
10,10,10:02 AM Y45117,,Cancun (CUN),Volaris A20N (N530VL),Landed 9:41 AM,2021-06-09
11,11,11:44 AM IF3810,,El Paso (ELP),IFL Group CVLT (N351FL),Landed 11:47 AM,2021-06-09
12,12,11:55 AM,AA4227,Dallas (DFW),American Eagle E145 (N612AE),Landed 11:56 AM,2021-06-09
13,13,12:05 PM UJ208,,Laredo (LRD),USA Jet Airlines DC93 (N208US),Landed 12:05 PM,2021-06-09
14,14,2:25 PM VB2186,,Cancun (CUN),VivaAerobus A20N (XA-VIN),Landed 2:02 PM,2021-06-09
15,15,2:50 PM,AM142,Mexico City (MEX),Aeromexico Connect E190 (XA-GAK),Landed 2:38 PM,2021-06-09
16,16,4:05 PM VB4316,,Monterrey (MTY),VivaAerobus A21N (XA-VBH),Landed 3:43 PM,2021-06-09
17,17,4:25 PM VB1050,,Mexico City (MEX),VivaAerobus A320 (XA-VAO),Landed 4:08 PM,2021-06-09
18,18,5:39 PM,AM146,Mexico City (MEX),Aeromexico Connect E190 (XA-ACM),Landed 6:45 PM,2021-06-09
19,19,5:47 PM Y4694,,Guadalajara (GDL),Volaris A320 (XA-VLF),Landed 6:37 PM,2021-06-09
20,20,6:50 PM YQ839,,Culiacan (CUL),TAR Aerolineas ERJ,Landed 7:10 PM,2021-06-09
21,21,7:21 PM Y4726,,Mexico City (MEX),Volaris A20N (N531VL),Landed 8:37 PM,2021-06-09
22,22,7:39 PM,,El Paso (ELP),- PC12 (N528PM),Landed 7:59 PM,2021-06-09
23,23,8:03 PM Y4472,,Tijuana (TIJ),Volaris A320 (N522VL),Landed 8:08 PM,2021-06-09
24,24,8:30 PM E7337,,Ciudad Juarez (CJS),Estafeta Carga Aerea B733 (XA-ECA),Landed 8:28 PM,2021-06-09
25,25,8:40 PM,AA4326,Dallas (DFW),American Eagle E145 (N905JH),Landed 8:23 PM,2021-06-09
26,26,9:14 PM,,Ciudad Juarez (CJS),- B734,Canceled,2021-06-09
27,27,10:14 PM,AM148,Mexico City (MEX),Aeromexico Connect E190 (XA-ALU),Landed 10:09 PM,2021-06-09
0,0,06:27,,Mexico City (MEX),- B734,Canceled,2021-06-10
1,1,06:40 E7338,,Mexico City (MEX),Estafeta Carga Aerea B733 (XA-GGB),Landed 06:09,2021-06-10
2,2,07:11 Y4724,,Mexico City (MEX),Volaris A320 (N524VL),Landed 07:28,2021-06-10
3,3,08:14 Y4678,,Guadalajara (GDL),Volaris A320 (N527VL),Landed 08:33,2021-06-10
4,4,09:38,AM140,Mexico City (MEX),Aeromexico Connect E190 (XA-ALW),Landed 09:20,2021-06-10
5,5,10:10 YQ820,,Queretaro (QRO),TAR Aerolineas ERJ,Unknown,2021-06-10
6,6,11:46 IF3810,,El Paso (ELP),IFL Group CVLT (N351FL),Landed 11:45,2021-06-10
7,7,11:55,AA4227,Dallas (DFW),American Eagle E145 (N905JH),Landed 11:26,2021-06-10
8,8,14:50,AM142,Mexico City (MEX),Aeromexico Connect E190 (XA-AEH),Landed 15:00,2021-06-10
9,9,16:05 VB4316,,Monterrey (MTY),VivaAerobus A320 (XA-VAE),Landed 16:09,2021-06-10
10,10,16:25 VB1050,,Mexico City (MEX),VivaAerobus A320 (XA-VAO),Landed 16:16,2021-06-10
11,11,17:49,AM146,Mexico City (MEX),Aeromexico Connect E190 (XA-AEI),Landed 17:42,2021-06-10
12,12,17:59 IFL531,,Laredo (LRD),IFL Group FA20 (N531FL),Diverted to FDY,2021-06-10
13,13,19:40 YQ414,,Puerto Vallarta (PVR),TAR Aerolineas ERJ,Unknown,2021-06-10
14,14,19:40 VB9108,,Mazatlan (MZT),VivaAerobus A20N (XA-VIS),Landed 19:19,2021-06-10
15,15,20:30 E7337,,Ciudad Juarez (CJS),Estafeta Carga Aerea B733 (XA-GGB),Landed 20:15,2021-06-10
16,16,20:40,AA4326,Dallas (DFW),American Eagle E145 (N942LL),Landed 20:24,2021-06-10
