,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,06:52,LA3461,Sao Paulo (CGH),LATAM Airlines A319 (PT-TMA),Landed 06:54,2021-06-08
1,1,08:25 AD4193,,Rio de Janeiro (SDU),Azul Linhas Aereas 320,Unknown,2021-06-08
2,2,08:25,LA4787,Sao Paulo (GRU),LATAM Airlines A321 (PT-MXN),Landed 08:33,2021-06-08
3,3,09:00 AD4024,,Porto Alegre (POA),Azul Linhas Aereas AT76 (PR-AQE),Landed 08:54,2021-06-08
4,4,09:10,AD4826,Sao Paulo (GRU),Azul Linhas Aereas 320,Unknown,2021-06-08
5,5,09:45,AD4064,Campinas (VCP),Azul Linhas Aereas E295 (PS-AEH),Landed 09:33,2021-06-08
6,6,10:05,G31120,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GGZ),Landed 09:50,2021-06-08
7,7,10:30,LA3094,Sao Paulo (CGH),LATAM Airlines A319 (PT-TMB),Landed 10:05,2021-06-08
8,8,12:50 AD4067,,Foz do Iguacu (IGU),Azul Linhas Aereas E195 (PR-AXD),Unknown,2021-06-08
9,9,13:00,AD4189,Maringa (MGF),Azul Linhas Aereas AT76 (PR-AQE),Landed 12:40,2021-06-08
10,10,13:20,LA4791,Sao Paulo (GRU),LATAM Airlines A321 (PT-MXO),Landed 13:17,2021-06-08
11,11,13:25,AD4786,Campinas (VCP),Azul Linhas Aereas 295,Unknown,2021-06-08
12,12,13:35 AD4679,,Rio de Janeiro (SDU),Azul Linhas Aereas 320,Unknown,2021-06-08
13,13,13:35,AD4830,Sao Paulo (GRU),Azul Linhas Aereas A20N (PR-YYA),Landed 13:21,2021-06-08
14,14,13:45 AD4738,,Porto Alegre (POA),Azul Linhas Aereas E195 (PR-AXB),Unknown,2021-06-08
15,15,14:05,LA3465,Sao Paulo (CGH),LATAM Airlines A319 (PT-TMB),Landed 13:43,2021-06-08
16,16,14:30,G31114,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GXX),Landed 14:15,2021-06-08
17,17,14:35,AD4684,Campinas (VCP),Azul Linhas Aereas (Tropical Spix's Macaw Livery) E295 (PS-AEF),Landed 14:18,2021-06-08
18,18,17:25 AD4757,,Londrina (LDB),Azul Linhas Aereas E195 (PR-AXB),Unknown,2021-06-08
19,19,17:45,AD4076,Cascavel (CAC),Azul Linhas Aereas AT76 (PR-AQE),Landed 17:22,2021-06-08
20,20,18:00 AD4576,,Porto Alegre (POA),Azul Linhas Aereas E95,Unknown,2021-06-08
21,21,18:10 G31507,,Sao Paulo (CGH),GOL Linhas Aereas B738 (PR-GGD),Landed 17:40,2021-06-08
22,22,18:45,AD4312,Campinas (VCP),Azul Linhas Aereas (Tropical Spix's Macaw Livery) E295 (PS-AEF),Landed 18:34,2021-06-08
23,23,19:05,LA4793,Sao Paulo (GRU),LATAM Airlines A320 (PR-MBG),Unknown,2021-06-08
24,24,19:10 CV7602,,Campinas (VCP),Cargolux 74Y,Unknown,2021-06-08
25,25,19:20,G31124,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GGZ),Landed 19:08,2021-06-08
26,26,20:10 AD4078,,Rio de Janeiro (SDU),Azul Linhas Aereas A20N (PR-YRQ),Landed 20:07,2021-06-08
27,27,20:15,AD4314,Campinas (VCP),Azul Linhas Aereas AT76 (PR-AQR),Landed 20:16,2021-06-08
28,28,20:40,LA3469,Sao Paulo (CGH),LATAM Airlines A319 (PR-MYM),Landed 20:20,2021-06-08
29,29,21:30 AD4018,,Foz do Iguacu (IGU),Azul Linhas Aereas E195 (PR-AXB),Unknown,2021-06-08
30,30,21:45 AD4759,,Londrina (LDB),Azul Linhas Aereas AT7,Unknown,2021-06-08
31,31,22:10 AD4821,,Porto Alegre (POA),Azul Linhas Aereas E95,Canceled,2021-06-08
32,32,22:15,AD4832,Sao Paulo (GRU),Azul Linhas Aereas A20N (PR-YYA),Landed 22:07,2021-06-08
33,33,23:10,AD4061,Belo Horizonte (CNF),Azul Linhas Aereas E195 (PR-AXA),Unknown,2021-06-08
34,34,23:13,LA3346,Brasilia (BSB),LATAM Airlines A320 (PR-MYV),Landed 23:13,2021-06-08
35,35,23:15,G31784,Brasilia (BSB),GOL Linhas Aereas B738 (PR-GXA),Landed 23:07,2021-06-08
36,36,23:20,G31128,Sao Paulo (GRU),GOL Linhas Aereas B38M (PR-XMG),Landed 23:09,2021-06-08
37,37,23:35 AD4208,,Rio de Janeiro (SDU),Azul Linhas Aereas A20N (PR-YRO),Landed 23:30,2021-06-08
