,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:25 LBQ611,,San Antonio (SAT),Quest Diagnostics PL2,Unknown,2021-06-08
1,1,01:00 LBQ640,,Houston (HOU),Quest Diagnostics EP1,Unknown,2021-06-08
2,2,01:20 LBQ641,,Houston (HOU),Private owner PC12 (N399SA),Landed 01:11,2021-06-08
3,3,01:30 LBQ611,,San Antonio (SAT),Quest Diagnostics PC12 (N432CV),Landed 01:20,2021-06-08
4,4,03:07 CTL9,,Kansas City (MKC),Private owner AC50 (N324RR),Landed 02:56,2021-06-08
5,5,06:05 LBQ645,,Kansas City (MKC),Quest Diagnostics PC12,Unknown,2021-06-08
6,6,06:36 LBQ611,,Kansas City (MKC),Quest Diagnostics PC12 (N74AX),Landed 06:25,2021-06-08
7,7,07:00 WN3190,,San Antonio (SAT),Southwest Airlines B38M (N8713M),Landed 06:46,2021-06-08
8,8,07:05 WN5101,,Little Rock (LIT),Southwest Airlines B737 (N439WN),Landed 07:29,2021-06-08
9,9,07:15 WN2127,,Tulsa (TUL),Southwest Airlines B737 (N910WN),Landed 07:22,2021-06-08
10,10,07:15 WN4607,,Houston (IAH),Southwest Airlines B738 (N8679A),Landed 06:50,2021-06-08
11,11,07:20 WN2504,,Atlanta (ATL),Southwest Airlines B738 (N8629A),Landed 08:12,2021-06-08
12,12,07:20 WN5015,,Lubbock (LBB),Southwest Airlines B737 (N451WN),Landed 06:58,2021-06-08
13,13,07:25 LXJ540,,Houston (IAH),Flexjet CL30,Canceled,2021-06-08
14,14,07:30 WN2697,,Amarillo (AMA),Southwest Airlines B737 (N220WN),Landed 07:38,2021-06-08
15,15,07:30 WN5130,,Kansas City (MCI),Southwest Airlines B737 (N239WN),Landed 07:43,2021-06-08
16,16,07:35 WN4,,Houston (HOU),Southwest Airlines B738 (N8554X),Landed 08:03,2021-06-08
17,17,07:40 WN436,,Chicago (MDW),Southwest Airlines B738 (N8655D),Landed 07:32,2021-06-08
18,18,07:40 WN2424,,New Orleans (MSY),Southwest Airlines B737 (N799SW),Diverted to HOU,2021-06-08
