,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,1:20 AM,QF1952,Adelaide (ADL),Alliance Airlines E190 (VH-UYW),Landed 1:04 AM,2021-06-11
1,1,10:00 AM TL405,,Groote Eylandt (GTE),Airnorth E120 (VH-DIL),Landed 10:05 AM,2021-06-11
2,2,10:20 AM,JQ692,Adelaide (ADL),Jetstar Airways A320 (VH-VFQ),Landed 10:02 AM,2021-06-11
3,3,10:45 AM TL271,,Alice Springs (ASP),Airnorth E170 (VH-ANO),Landed 11:42 AM,2021-06-11
4,4,10:55 AM,QF850,Perth (PER),Qantas B738 (VH-VXF),Landed 10:45 AM,2021-06-11
5,5,11:15 AM QF1959,,Alice Springs (ASP),Alliance Airlines E190 (VH-UYZ),Landed 12:01 PM,2021-06-11
6,6,11:50 AM TL213,,Elcho Island (ELC),Airnorth E120 (VH-ANN),Landed 11:37 AM,2021-06-11
7,7,12:00 PM,QF824,Brisbane (BNE),Qantas A333 (VH-QPB),Landed 12:25 PM,2021-06-11
8,8,12:15 PM,QF836,Melbourne (MEL),Qantas B738 (VH-VXC),Landed 11:49 AM,2021-06-11
9,9,12:50 PM TL901,,Katherine (KTR),Airnorth E70,Unknown,2021-06-11
10,10,1:00 PM QF7531,,Sydney (SYD),Qantas Freight B763 (VH-EFR),Landed 1:44 PM,2021-06-11
11,11,1:30 PM,QF840,Sydney (SYD),Qantas A333 (VH-QPJ),Landed 1:29 PM,2021-06-11
12,12,1:30 PM,TL161,Gove (GOV),Airnorth E170 (VH-ANT),Landed 2:01 PM,2021-06-11
13,13,1:50 PM,VA449,Brisbane (BNE),Virgin Australia B738 (VH-YIV),Landed 2:03 PM,2021-06-11
14,14,2:45 PM,JQ920,Cairns (CNS),Jetstar Airways A320 (VH-VQM),Landed 2:46 PM,2021-06-11
15,15,3:15 PM,QF1950,Adelaide (ADL),Alliance Airlines E190 (VH-UYW),Landed 3:09 PM,2021-06-11
16,16,4:30 PM,VA1435,Perth (PER),Virgin Australia A320 (VH-VNF),Landed 4:12 PM,2021-06-11
17,17,4:45 PM TL341,,Perth (PER),Alliance Airlines F100 (VH-UQF),Landed 3:55 PM,2021-06-11
18,18,5:20 PM TL251,,Katherine (KTR),Airnorth E120 (VH-ANZ),Landed 4:55 PM,2021-06-11
19,19,5:30 PM QF1961,,Alice Springs (ASP),Alliance Airlines E190 (VH-UYO),Landed 6:16 PM,2021-06-11
20,20,5:35 PM TL219,,Maningrida (MNG),Airnorth E120 (VH-ANN),Landed 5:05 PM,2021-06-11
21,21,6:10 PM,TL333,Kununurra (KNX),Airnorth E170 (VH-SWO),Landed 6:42 PM,2021-06-11
22,22,6:15 PM TL407,,Groote Eylandt (GTE),Airnorth E120 (VH-ANK),Landed 6:31 PM,2021-06-11
23,23,7:10 PM,JQ674,Brisbane (BNE),Jetstar Airways A320 (VH-VFJ),Landed 7:23 PM,2021-06-11
24,24,11:45 PM,VA1465,Melbourne (MEL),Virgin Australia B738 (VH-YFY),Canceled,2021-06-11
0,0,00:50,QF842,Sydney (SYD),Qantas B738 (VH-VXB),Landed 00:36,2021-06-12
1,1,01:20,QF1952,Adelaide (ADL),Alliance Airlines E190 (VH-UYB),Landed 02:13,2021-06-12
