,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,12:20 AM FR7355,,Chania (CHQ),Ryanair B738 (EI-EVT),Landed 12:17 AM,2020-10-03
1,1,12:55 AM FR7243,,Luqa (MLA),Ryanair B738 (EI-DHZ),Landed 12:34 AM,2020-10-03
2,2,1:20 AM FR1927,,Wroclaw (WRO),Ryanair B738 (EI-EXE),Landed 1:23 AM,2020-10-03
3,3,1:40 AM FR1991,,Santorini (JTR),Ryanair B738 (EI-EFN),Landed 1:08 AM,2020-10-03
4,4,5:00 AM,ET500,Addis Ababa (ADD),Ethiopian Airlines B789 (ET-AXS),Landed 4:51 AM,2020-10-03
5,5,5:10 AM,ET552,Addis Ababa (ADD),Ethiopian Airlines B789 (ET-AUO),Landed 5:11 AM,2020-10-03
6,6,5:45 AM,EI136,Boston (BOS),Aer Lingus A21N (EI-LRB),Landed 4:24 AM,2020-10-03
7,7,6:00 AM,EI104,New York (JFK),Aer Lingus A333 (EI-GAJ),Landed 4:38 AM,2020-10-03
8,8,6:00 AM,EI122,Chicago (ORD),Aer Lingus A333 (EI-EAV),Landed 5:57 AM,2020-10-03
9,9,6:40 AM,UA23,New York (EWR),United Airlines B789 (N15969),Landed 5:47 AM,2020-10-03
10,10,7:10 AM,DL44,New York (JFK),Delta Air Lines A333 (N806NW),Landed 6:05 AM,2020-10-03
11,11,7:35 AM,AA132,Dallas (DFW),American Airlines B789 (N823AN),Landed 6:36 AM,2020-10-03
12,12,7:50 AM FR331,,London (LTN),Ryanair B738 (EI-DWM),Landed 7:26 AM,2020-10-03
13,13,8:15 AM,AC842,Toronto (YYZ),Air Canada B789 (C-FVLX),Landed 7:16 AM,2020-10-03
14,14,8:20 AM,LH976,Frankfurt (FRA),Lufthansa A319 (D-AILE),Landed 8:08 AM,2020-10-03
15,15,8:35 AM,EI3201,Kerry (KIR),Stobart Air AT76 (EI-FSK),Landed 8:04 AM,2020-10-03
16,16,8:50 AM,EI3401,Donegal (CFN),Aer Lingus Regional AT46 (EI-GEV),Landed 8:28 AM,2020-10-03
17,17,9:00 AM FR553,,Manchester (MAN),Ryanair B738 (EI-DPN),Landed 8:35 AM,2020-10-03
