,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,05:35 3V4125,,Liege (LGG),ASL Airlines France B734 (F-GIXN),Landed 05:24,2021-06-08
1,1,08:20 U2421,,Bristol (BRS),easyJet A320 (G-EZUF),Landed 07:55,2021-06-08
2,2,09:20,BA1434,London (LHR),British Airways A319 (G-EUPP),Landed 09:00,2021-06-08
3,3,09:45 FR2885,,Kaunas (KUN),Ryanair B738 (SP-RSG),Unknown,2021-06-08
4,4,10:15,KL1279,Amsterdam (AMS),KLM E75L (PH-EXN),Landed 10:07,2021-06-08
5,5,10:40 U2803,,London (LGW),easyJet A319 (G-EZDI),Landed 10:10,2021-06-08
6,6,11:40,LM351,Sumburgh (LSI),Loganair SF34 (G-LGNK),Canceled,2021-06-08
7,7,12:45 FR6267,,Barcelona (BCN),Ryanair B738 (EI-DPI),Landed 12:38,2021-06-08
8,8,13:05,BA1442,London (LHR),British Airways A319 (G-EUPN),Landed 12:54,2021-06-08
9,9,14:25 FR6460,,Lisbon (LIS),Ryanair B738 (EI-EST),Landed 14:12,2021-06-08
10,10,14:35 U2231,,London (STN),easyJet A319 (G-EZDI),Landed 14:06,2021-06-08
11,11,16:00 FR7845,,Corfu (CFU),Ryanair B738 (EI-EGA),Landed 15:40,2021-06-08
12,12,16:30 EI3656,,Belfast (BHD),Stobart Air AT76 (EI-FMJ),Landed 16:20,2021-06-08
13,13,16:50,BA1448,London (LHR),British Airways A20N (G-TTNI),Landed 16:40,2021-06-08
14,14,18:15 FR6653,,Malaga (AGP),Ryanair B738 (EI-DLX),Landed 18:02,2021-06-08
15,15,18:40 BA8712,,London (LCY),British Airways E190 (G-LCYJ),Landed 18:23,2021-06-08
16,16,18:45,BA1454,London (LHR),British Airways A319 (G-DBCH),Landed 18:38,2021-06-08
17,17,19:10 U2489,,Belfast (BFS),easyJet A319 (G-EZDI),Landed 18:57,2021-06-08
18,18,19:45 FR1018,,Budapest (BUD),Ryanair B738 (SP-RSR),Landed 19:31,2021-06-08
19,19,20:00,LM397,Kirkwall (KOI),Loganair SF34 (G-LGNK),Landed 19:17,2021-06-08
20,20,20:25 FR6827,,Faro (FAO),Ryanair B738 (EI-DWF),Landed 20:21,2021-06-08
21,21,20:30 U219,,London (LTN),easyJet A320 (G-EZWZ),Landed 20:24,2021-06-08
22,22,20:45 FR7922,,Gdansk (GDN),Ryanair B738 (SP-RSB),Landed 20:27,2021-06-08
23,23,21:20,LM328,Southampton (SOU),Loganair E145 (G-SAJJ),Landed 20:59,2021-06-08
24,24,21:35,KL1293,Amsterdam (AMS),KLM E75L (PH-EXZ),Landed 21:25,2021-06-08
25,25,22:45 U2504,,Birmingham (BHX),easyJet A319 (G-EZDI),Landed 22:11,2021-06-08
26,26,23:25 FR6606,,Porto (OPO),Ryanair B738 (EI-DHZ),Landed 23:23,2021-06-08
0,0,05:35 3V4125,,Liege (LGG),ASL Airlines France B734 (F-GIXN),Landed 05:29,2021-06-10
1,1,07:45 W61407,,Warsaw (WAW),Wizz Air 32Q,Unknown,2021-06-10
2,2,07:55,EI3250,Dublin (DUB),Aer Lingus Regional AT76 (EI-FAV),Landed 07:53,2021-06-10
3,3,08:05 EI3650,,Belfast (BHD),Stobart Air AT76 (EI-FSK),Landed 08:14,2021-06-10
