,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,1:16 AM K4539,,Miami (MIA),Kalitta Air B744 (N712CK),Landed 1:17 AM,2020-10-04
1,1,2:18 AM LA1961,,Miami (MIA),LATAM Airlines B788 (CC-BBB),Landed 2:18 AM,2020-10-04
2,2,2:45 AM CM279,,Panama City (PTY),Copa Airlines B738 (HP-1843CMP),Landed 2:46 AM,2020-10-04
3,3,4:30 AM,AR1301,New York (JFK),Aerolineas Argentinas A332 (LV-GKP),Landed 3:50 AM,2020-10-04
4,4,5:00 AM,AR1365,Lima (LIM),Aerolineas Argentinas 738,Canceled,2020-10-04
5,5,6:20 AM AR1361,,Bogota (BOG),Aerolineas Argentinas 73R,Canceled,2020-10-04
6,6,6:40 AM,KL701,Amsterdam (AMS),KLM B789 (PH-BHD),Landed 5:55 AM,2020-10-04
7,7,8:10 AM,AF228,Paris (CDG),Air France B789 (F-HRBB),Landed 7:26 AM,2020-10-04
8,8,9:05 AM,AM28,Mexico City (MEX),Aeromexico B789 (N438AM),Landed 8:40 AM,2020-10-04
9,9,9:50 AM,LA8012,Sao Paulo (GRU),LATAM Airlines 320,Unknown,2020-10-04
10,10,10:00 AM IB2601,,Barcelona (BCN),LEVEL A332 (EC-MOU),Landed 9:20 AM,2020-10-04
11,11,10:35 AM AR2541,,Mendoza (MDZ),Aerolineas Argentinas E90,Canceled,2020-10-04
12,12,10:45 AM AR1501,,Cordoba (COR),Aerolineas Argentinas 738,Canceled,2020-10-04
13,13,11:38 AM LA475,,Santiago (SCL),LATAM Airlines 320,Unknown,2020-10-04
14,14,11:55 AM AR1787,,Ushuaia (USH),Aerolineas Argentinas 738,Canceled,2020-10-04
15,15,1:30 PM AR1281,,Santiago (SCL),Aerolineas Argentinas 738,Canceled,2020-10-04
16,16,2:30 PM AR2381,,Montevideo (MVD),Aerolineas Argentinas E90,Canceled,2020-10-04
17,17,2:30 PM DL7618,,Montevideo (MVD),Delta Air Lines -,Canceled,2020-10-04
18,18,3:20 PM,AR1241,Sao Paulo (GRU),Aerolineas Argentinas B738 (LV-CTC),Landed 3:36 PM,2020-10-04
19,19,3:45 PM AR1529,,Cordoba (COR),Aerolineas Argentinas 73R,Canceled,2020-10-04
20,20,3:52 PM LA2429,,Lima (LIM),LATAM Airlines 320,Unknown,2020-10-04
21,21,3:55 PM DL7604,,Cordoba (COR),Delta Air Lines -,Canceled,2020-10-04
22,22,4:15 PM AR2413,,Mendoza (MDZ),Aerolineas Argentinas E90,Canceled,2020-10-04
23,23,4:15 PM AR1873,,San Carlos de Bariloche (BRC),Aerolineas Argentinas 738,Canceled,2020-10-04
24,24,4:20 PM AR1871,,El Calafate (FTE),Aerolineas Argentinas 738,Canceled,2020-10-04
25,25,5:05 PM AR1261,,Rio de Janeiro (GIG),Aerolineas Argentinas 738,Canceled,2020-10-04
26,26,5:30 PM DL7621,,Rosario (ROS),Delta Air Lines -,Canceled,2020-10-04
27,27,5:40 PM DL7607,,Mendoza (MDZ),Delta Air Lines -,Canceled,2020-10-04
28,28,5:55 PM LA477,,Santiago (SCL),LATAM Airlines 320,Unknown,2020-10-04
29,29,7:10 PM,AR1371,Cancun (CUN),Aerolineas Argentinas 330,Canceled,2020-10-04
30,30,7:20 PM AR2351,,Punta del Este (PDP),Aerolineas Argentinas E90,Unknown,2020-10-04
31,31,7:30 PM QCL100,,Montevideo (MVD),- 72Y,Unknown,2020-10-04
32,32,7:45 PM 5Y33,,Miami (MIA),Atlas Air B744 (N476MC),Landed 9:25 PM,2020-10-04
33,33,8:00 PM,AR2709,Rosario (ROS),Aerolineas Argentinas E90,Canceled,2020-10-04
34,34,8:20 PM AR2509,,Cordoba (COR),Aerolineas Argentinas E90,Canceled,2020-10-04
35,35,8:25 PM,AR2739,Puerto Iguazu (IGR),Aerolineas Argentinas E90,Canceled,2020-10-04
36,36,8:40 PM,AR2601,Mar del Plata (MDQ),Aerolineas Argentinas E90,Canceled,2020-10-04
37,37,8:45 PM AR2463,,Mendoza (MDZ),Aerolineas Argentinas E90,Canceled,2020-10-04
38,38,9:25 PM AR2465,,Tucuman (TUC),Aerolineas Argentinas E90,Canceled,2020-10-04
39,39,9:25 PM AR1429,,Salta (SLA),Aerolineas Argentinas 738,Canceled,2020-10-04
40,40,10:10 PM CU360,,Havana (HAV),Cubana IL9,Unknown,2020-10-04
0,0,2:45 AM CM279,,Panama City (PTY),Copa Airlines B738 (HP-1835CMP),Landed 2:30 AM,2020-10-04
1,1,5:15 AM LX2698,,Zurich (ZRH),Swiss B77W (HB-JNJ),Landed 4:51 AM,2020-10-04
2,2,6:10 AM AV87,,Bogota (BOG),Avianca 330,Unknown,2020-10-04
3,3,6:40 AM,KL701,Amsterdam (AMS),KLM B789 (PH-BHM),Landed 5:58 AM,2020-10-04
4,4,6:52 AM LA2465,,Lima (LIM),LATAM Airlines 320,Unknown,2020-10-04
5,5,7:20 AM DL101,,Atlanta (ATL),Delta Air Lines -,Canceled,2020-10-04
6,6,7:25 AM AA907,,Miami (MIA),American Airlines B772 (N779AN),Landed 7:20 AM,2020-10-04
7,7,7:25 AM,IB6841,Madrid (MAD),Iberia A359 (EC-NJM),Landed 7:26 AM,2020-10-04
8,8,7:35 AM UX341,,Madrid (MAD),Air Europa 789,Unknown,2020-10-04
9,9,8:20 AM,BA245,London (LHR),British Airways B788 (G-ZBJF),Landed 5:54 AM,2020-10-04
10,10,8:55 AM UX341,,Madrid (MAD),Air Europa B789 (EC-NFM),Landed 8:03 AM,2020-10-04
11,11,9:49 AM UA920,,Houston (IAH),United Airlines B789,Canceled,2020-10-04
12,12,10:35 AM AR2541,,Mendoza (MDZ),Aerolineas Argentinas E90,Canceled,2020-10-04
13,13,10:45 AM,AR1501,Cordoba (COR),Aerolineas Argentinas 738,Canceled,2020-10-04
14,14,1:30 PM AR1281,,Santiago (SCL),Aerolineas Argentinas 738,Canceled,2020-10-04
15,15,2:30 PM AR2381,,Montevideo (MVD),Aerolineas Argentinas E90,Canceled,2020-10-04
16,16,3:20 PM AR1241,,Sao Paulo (GRU),Aerolineas Argentinas 738,Unknown,2020-10-04
17,17,3:45 PM AR1529,,Cordoba (COR),Aerolineas Argentinas 73R,Canceled,2020-10-04
18,18,4:15 PM AR1873,,San Carlos de Bariloche (BRC),Aerolineas Argentinas 738,Canceled,2020-10-04
19,19,4:15 PM AR2413,,Mendoza (MDZ),Aerolineas Argentinas E90,Canceled,2020-10-04
20,20,4:20 PM AR1871,,El Calafate (FTE),Aerolineas Argentinas 738,Canceled,2020-10-04
21,21,5:00 PM LA8003,,Sao Paulo (GRU),LATAM Airlines 320,Unknown,2020-10-04
22,22,5:05 PM AR1261,,Rio de Janeiro (GIG),Aerolineas Argentinas 738,Canceled,2020-10-04
23,23,5:55 PM LA477,,Santiago (SCL),LATAM Airlines 320,Unknown,2020-10-04
24,24,8:20 PM AR2509,,Cordoba (COR),Aerolineas Argentinas E90,Canceled,2020-10-04
25,25,8:25 PM,AR2739,Puerto Iguazu (IGR),Aerolineas Argentinas E90,Canceled,2020-10-04
26,26,8:40 PM,AR2709,Rosario (ROS),Aerolineas Argentinas E90,Canceled,2020-10-04
27,27,8:40 PM AR2601,,Mar del Plata (MDQ),Aerolineas Argentinas E90,Canceled,2020-10-04
28,28,8:45 PM AR2463,,Mendoza (MDZ),Aerolineas Argentinas E90,Canceled,2020-10-04
29,29,9:25 PM AR1429,,Salta (SLA),Aerolineas Argentinas 738,Canceled,2020-10-04
30,30,9:25 PM AR2465,,Tucuman (TUC),Aerolineas Argentinas E90,Canceled,2020-10-04
0,0,12:05 AM AR1891,,Ushuaia (USH),Aerolineas Argentinas 738,Canceled,2020-10-05
1,1,1:30 AM QCL111,,Asuncion (ASU),- 72Y,Unknown,2020-10-05
2,2,1:30 AM QCL111,,Asuncion (ASU),- 72Y,Unknown,2020-10-05
3,3,3:59 AM LA1963,,Miami (MIA),LATAM Airlines B788 (CC-BBA),Landed 3:57 AM,2020-10-05
4,4,4:20 AM,AR1133,Madrid (MAD),Aerolineas Argentinas A332 (LV-GHQ),Landed 3:44 AM,2020-10-05
5,5,5:20 AM,AR1303,Miami (MIA),Aerolineas Argentinas A332 (LV-FNK),Landed 4:46 AM,2020-10-05
6,6,6:40 AM KL701,,Amsterdam (AMS),KLM B789 (PH-BHM),Landed 6:07 AM,2020-10-05
7,7,6:52 AM LA2465,,Lima (LIM),LATAM Airlines 320,Unknown,2020-10-05
8,8,7:20 AM DL101,,Atlanta (ATL),Delta Air Lines -,Canceled,2020-10-05
9,9,7:25 AM,IB6841,Madrid (MAD),Iberia A359 (EC-MYX),Landed 8:19 AM,2020-10-05
10,10,7:55 AM,IB6841,Madrid (MAD),Iberia A359 (EC-NBE),Delayed 7:25 AM,2020-10-05
11,11,8:20 AM,BA245,London (LHR),British Airways B789 (G-ZBKD),Landed 7:49 AM,2020-10-05
12,12,8:30 AM,LH8264,Montevideo (MVD),Lufthansa Cargo MD11 (D-ALCI),Landed 7:54 AM,2020-10-05
13,13,9:50 AM LA8012,,Sao Paulo (GRU),LATAM Airlines 320,Unknown,2020-10-05
14,14,10:35 AM AR2541,,Mendoza (MDZ),Aerolineas Argentinas E90,Canceled,2020-10-05
15,15,10:45 AM AR1501,,Cordoba (COR),Aerolineas Argentinas 738,Canceled,2020-10-05
16,16,11:00 AM,AR1971,Madrid (MAD),Aerolineas Argentinas A332 (LV-FVI),Landed 12:48 PM,2020-10-05
