,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,3:50 AM ET702,,Addis Ababa (ADD),Ethiopian Airlines B788 (ET-ASI),Landed 3:52 AM,2020-10-31
1,1,6:25 AM AZ861,,Tunis (TUN),Alitalia E75S (EI-RDE),Landed 5:54 AM,2020-10-31
2,2,7:10 AM AZ895,,Cairo (CAI),Alitalia A320 (EI-EID),Landed 6:28 AM,2020-10-31
3,3,7:25 AM W68175,,Catania (CTA),Wizz Air A20N (HA-LJF),Landed 7:20 AM,2020-10-31
4,4,7:30 AM AZ1490,,Verona (VRN),Alitalia E75S (EI-RDH),Landed 7:13 AM,2020-10-31
5,5,7:35 AM FR7093,,Bari (BRI),Ryanair B738 (9H-QDU),Landed 7:11 AM,2020-10-31
6,6,7:45 AM AZ1312,,Bologna (BLQ),Alitalia A320 (EI-IKG),Landed 7:20 AM,2020-10-31
7,7,7:45 AM AZ1380,,Genoa (GOA),Alitalia A319 (EI-IMS),Landed 7:31 AM,2020-10-31
8,8,7:45 AM AZ1590,,Cagliari (CAG),Alitalia A320 (I-BIKO),Landed 7:28 AM,2020-10-31
9,9,7:45 AM AZ1722,,Catania (CTA),Alitalia A320 (EI-DSG),Landed 7:34 AM,2020-10-31
10,10,7:45 AM AZ1900,,Olbia (OLB),Alitalia A319 (EI-IMX),Landed 7:14 AM,2020-10-31
11,11,7:45 AM FR4851,,Catania (CTA),Ryanair B738 (9H-QDH),Landed 7:23 AM,2020-10-31
12,12,7:45 AM W62817,,Vienna (VIE),Wizz Air 321,Unknown,2020-10-31
13,13,7:50 AM AZ1154,,Reggio Calabria (REG),Alitalia A319 (EI-IMO),Landed 7:24 AM,2020-10-31
14,14,7:50 AM AZ1162,,Lamezia Terme (SUF),Alitalia A319 (EI-IMW),Landed 7:29 AM,2020-10-31
15,15,7:50 AM AZ1572,,Alghero (AHO),Alitalia A319 (EI-IMF),Landed 7:38 AM,2020-10-31
16,16,7:50 AM AZ1774,,Palermo (PMO),Alitalia A320 (EI-EIE),Landed 7:29 AM,2020-10-31
17,17,7:55 AM AZ1460,,Venice (VCE),Alitalia E190 (EI-RNB),Landed 7:32 AM,2020-10-31
18,18,7:55 AM FR4901,,Palermo (PMO),Ryanair B738 (9H-QDW),Landed 7:25 AM,2020-10-31
19,19,7:55 AM FR7104,,Brindisi (BDS),Ryanair B738 (9H-QCJ),Landed 7:30 AM,2020-10-31
20,20,8:00 AM AZ507,,Tirana (TIA),Alitalia E190 (EI-RNA),Landed 7:41 AM,2020-10-31
21,21,8:00 AM AZ1356,,Trieste (TRS),Alitalia E75S (EI-RDF),Landed 7:40 AM,2020-10-31
22,22,8:00 AM AZ1432,,Turin (TRN),Alitalia A319 (I-BIMA),Landed 7:36 AM,2020-10-31
23,23,8:10 AM AZ2013,,Milan (LIN),Alitalia E75,Canceled,2020-10-31
24,24,8:10 AM BV2133,,Turin (TRN),Blue Panorama Airlines 737,Unknown,2020-10-31
25,25,8:20 AM W61441,,Warsaw (WAW),Wizz Air 321,Unknown,2020-10-31
26,26,8:25 AM FR7344,,Vienna (VIE),Lauda Europe A320 (9H-LOZ),Landed 8:04 AM,2020-10-31
27,27,8:30 AM FR6341,,Barcelona (BCN),Ryanair B738 (EI-EBK),Landed 7:54 AM,2020-10-31
28,28,8:35 AM FB449,,Sofia (SOF),Bulgaria Air A319 (LZ-FBB),Landed 8:34 AM,2020-10-31
29,29,8:40 AM W62815,,Vienna (VIE),Wizz Air A21N (HA-LVN),Landed 8:10 AM,2020-10-31
