,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:30,LA3160,Sao Paulo (GRU),LATAM Airlines A320 (PR-MYX),Landed 00:17,2021-06-08
1,1,08:00 G31256,,Sao Paulo (CGH),GOL Linhas Aereas B738 (PR-GGD),Landed 07:42,2021-06-08
2,2,08:00,LA4760,Sao Paulo (CGH),LATAM Airlines A319 (PR-MBV),Landed 07:51,2021-06-08
3,3,08:18,LA4558,Sao Paulo (GRU),LATAM Airlines A320 (PR-MHX),Landed 08:18,2021-06-08
4,4,08:35 AD4181,,Porto Alegre (POA),Azul Linhas Aereas E195 (PR-AXB),Unknown,2021-06-08
5,5,09:40 AD4028,,Campinas (VCP),Azul Linhas Aereas E295 (PS-AEC),Landed 09:26,2021-06-08
6,6,10:15,G31242,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GUC),Landed 10:03,2021-06-08
7,7,12:50 AD4390,,Chapeco (XAP),Azul Linhas Aereas E195 (PR-AXL),Unknown,2021-06-08
8,8,13:48,LA4566,Sao Paulo (GRU),LATAM Airlines A320 (PR-MBG),Unknown,2021-06-08
9,9,14:05 G31479,,Sao Paulo (CGH),GOL Linhas Aereas B738 (PR-GGD),Landed 13:45,2021-06-08
10,10,14:30 AD4849,,Campinas (VCP),Azul Linhas Aereas A20N (PR-YRJ),Landed 14:22,2021-06-08
11,11,14:30,G31248,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GGK),Landed 14:15,2021-06-08
12,12,15:05,LA4752,Sao Paulo (CGH),LATAM Airlines A319 (PR-MYL),Landed 14:36,2021-06-08
13,13,18:55,G31250,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GZW),Landed 18:41,2021-06-08
14,14,19:00 AD4918,,Campinas (VCP),Azul Linhas Aereas E295 (PS-AEB),Landed 18:53,2021-06-08
15,15,19:05,LA4569,Sao Paulo (GRU),LATAM Airlines A320 (PR-TYF),Landed 18:50,2021-06-08
16,16,23:30,G31252,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GOP),Landed 23:31,2021-06-08
17,17,23:30,LA3868,Brasilia (BSB),LATAM Airlines A320 (PR-MHW),Landed 23:22,2021-06-08
18,18,23:55 AD4368,,Campinas (VCP),Azul Linhas Aereas E195 (PR-AXY),Unknown,2021-06-08
0,0,00:30,LA3160,Sao Paulo (GRU),LATAM Airlines A320 (PR-MYK),Landed 00:23,2021-06-09
1,1,08:00 G31256,,Sao Paulo (CGH),GOL Linhas Aereas B738 (PR-GUL),Landed 07:33,2021-06-09
2,2,08:25,LA4558,Sao Paulo (GRU),LATAM Airlines A320 (PR-MYJ),Landed 08:20,2021-06-09
3,3,08:35 AD4181,,Porto Alegre (POA),Azul Linhas Aereas E95,Canceled,2021-06-09
4,4,09:40 AD4028,,Campinas (VCP),Azul Linhas Aereas E295 (PS-AEE),Landed 09:37,2021-06-09
5,5,10:15,G31242,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GXE),Landed 10:03,2021-06-09
6,6,11:05,LA4760,Sao Paulo (CGH),LATAM Airlines A319 (PR-MBV),Diverted to CGH,2021-06-09
7,7,11:24,LA4760,Sao Paulo (CGH),LATAM Airlines A319 (PR-MBV),Landed 11:19,2021-06-09
8,8,12:50 AD4390,,Chapeco (XAP),Azul Linhas Aereas E195 (PR-AUM),Landed 12:22,2021-06-09
9,9,13:55,LA4566,Sao Paulo (GRU),LATAM Airlines A320 (PR-TYO),Landed 13:39,2021-06-09
10,10,14:30 AD4849,,Campinas (VCP),Azul Linhas Aereas E295 (PS-AEG),Landed 14:21,2021-06-09
11,11,14:30,G31248,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GYA),Landed 14:29,2021-06-09
12,12,15:05,LA4752,Sao Paulo (CGH),LATAM Airlines A319 (PT-TMG),Landed 14:38,2021-06-09
13,13,18:55,G31250,Sao Paulo (GRU),GOL Linhas Aereas (TV ao vivo a bordo Livery) B738 (PR-GTM),Landed 18:41,2021-06-09
14,14,19:00 AD4918,,Campinas (VCP),Azul Linhas Aereas E295 (PS-AEB),Landed 19:00,2021-06-09
15,15,19:05,LA4569,Sao Paulo (GRU),LATAM Airlines A320 (PR-MYV),Landed 18:44,2021-06-09
16,16,23:20 G31844,,Brasilia (BSB),GOL Linhas Aereas B738 (PR-GUR),Landed 23:19,2021-06-09
17,17,23:20,G32032,Rio de Janeiro (GIG),GOL Linhas Aereas B738 (PR-GGP),Landed 23:44,2021-06-09
18,18,23:30,G31252,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GTQ),Landed 23:29,2021-06-09
19,19,23:30,LA3868,Brasilia (BSB),LATAM Airlines A320 (PR-MHG),Landed 23:49,2021-06-09
20,20,23:55 AD4368,,Campinas (VCP),Azul Linhas Aereas E195 (PR-AXJ),Landed 23:46,2021-06-09
0,0,00:30,LA3160,Sao Paulo (GRU),LATAM Airlines A320 (PR-MHF),Landed 00:22,2021-06-10
1,1,08:00 G31256,,Sao Paulo (CGH),GOL Linhas Aereas B738 (PR-GXJ),Landed 07:41,2021-06-10
2,2,08:15,LA4760,Sao Paulo (CGH),LATAM Airlines A319 (PR-MYL),Landed 07:58,2021-06-10
3,3,08:25,LA4558,Sao Paulo (GRU),LATAM Airlines A320 (PR-MYA),Landed 08:08,2021-06-10
4,4,08:35 AD4181,,Porto Alegre (POA),Azul Linhas Aereas E195 (PR-AUE),Landed 08:17,2021-06-10
5,5,09:40 AD4028,,Campinas (VCP),Azul Linhas Aereas (Tropical Spix's Macaw Livery) E295 (PS-AEF),Landed 09:31,2021-06-10
6,6,10:15,G31242,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GUL),Landed 10:00,2021-06-10
7,7,12:50 AD4390,,Chapeco (XAP),Azul Linhas Aereas E195 (PR-AYL),Unknown,2021-06-10
8,8,13:55,LA4566,Sao Paulo (GRU),LATAM Airlines A320 (PR-MHE),Landed 13:40,2021-06-10
9,9,14:05 G31479,,Sao Paulo (CGH),GOL Linhas Aereas B738 (PR-GXR),Landed 13:46,2021-06-10
10,10,14:30 AD4849,,Campinas (VCP),Azul Linhas Aereas E295 (PS-AEB),Landed 14:41,2021-06-10
11,11,14:30,G31248,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GXI),Landed 14:18,2021-06-10
12,12,14:52,LA4752,Sao Paulo (CGH),LATAM Airlines (LATAM Travel Livery) A319 (PT-TME),Landed 14:35,2021-06-10
13,13,18:55,G31250,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GXI),Landed 19:00,2021-06-10
14,14,19:00 AD4918,,Campinas (VCP),Azul Linhas Aereas (Tropical Spix's Macaw Livery) E295 (PS-AEF),Landed 18:53,2021-06-10
