,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:05 VR667,,Espargos (SID),Cabo Verde Airlines 752,Unknown,2021-06-08
1,1,01:15,AD4246,Belo Horizonte (CNF),Azul Linhas Aereas A20N (PR-YYG),Landed 00:59,2021-06-08
2,2,01:35,G31528,Sao Paulo (GRU),GOL Linhas Aereas B38M (PR-XMA),Landed 01:08,2021-06-08
3,3,02:25,AD4398,Campinas (VCP),Azul Linhas Aereas A20N (PR-YSE),Landed 02:26,2021-06-08
4,4,02:25,LA3127,Sao Paulo (GRU),LATAM Airlines A320 (PT-MZU),Unknown,2021-06-08
5,5,05:55 G31531,,Sao Luis (SLZ),GOL Linhas Aereas B738 (PR-GOP),Landed 05:34,2021-06-08
6,6,06:00,G31801,Belem (BEL),GOL Linhas Aereas B38M (PR-XMG),Landed 05:46,2021-06-08
7,7,06:00 G31888,,Salvador (SSA),GOL Linhas Aereas B738 (PR-GXI),Landed 05:49,2021-06-08
8,8,06:05,G31890,Recife (REC),GOL Linhas Aereas B738 (PR-GZZ),Landed 05:38,2021-06-08
9,9,06:20 G31842,,Manaus (MAO),GOL Linhas Aereas B738 (PR-GTO),Landed 06:07,2021-06-08
10,10,08:40,AD4651,Belem (BEL),Azul Linhas Aereas A20N (PR-YYJ),Landed 08:28,2021-06-08
11,11,09:50,AD4150,Recife (REC),Azul Linhas Aereas E195 (PR-AUF),Landed 09:35,2021-06-08
12,12,10:30,LA3013,Sao Paulo (GRU),LATAM Airlines A321 (PT-XPC),Landed 10:42,2021-06-08
13,13,11:30,LA3694,Brasilia (BSB),LATAM Airlines A321 (PT-XPG),Landed 11:31,2021-06-08
14,14,11:40,G31708,Brasilia (BSB),GOL Linhas Aereas B38M (PR-XMD),Landed 11:27,2021-06-08
15,15,11:50,G31520,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GXE),Landed 11:37,2021-06-08
16,16,12:10,AD4712,Campinas (VCP),Azul Linhas Aereas A21N (PR-YJC),Landed 12:00,2021-06-08
17,17,13:15 AD2005,,Recife (REC),Azul Cargo B734 (PR-AJY),Landed 13:04,2021-06-08
18,18,14:05 AD4345,,Recife (REC),Azul Linhas Aereas E195 (PR-AUH),Landed 14:09,2021-06-08
19,19,15:40,LA3015,Sao Paulo (GRU),LATAM Airlines A321 (PT-XPD),Unknown,2021-06-08
20,20,16:10,LA4584,Brasilia (BSB),LATAM Airlines A320 (PR-MYP),Landed 16:09,2021-06-08
21,21,16:45,G31524,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GTO),Landed 17:23,2021-06-08
22,22,16:45,LA4645,Sao Paulo (GRU),LATAM Airlines A320 (PR-MBH),Landed 16:40,2021-06-08
23,23,18:15,AD4035,Recife (REC),Azul Linhas Aereas E195 (PR-AXF),Unknown,2021-06-08
24,24,18:40,LA3383,Rio de Janeiro (GIG),LATAM Airlines A321 (PT-MXQ),Landed 18:15,2021-06-08
25,25,19:55,AD4101,Belem (BEL),Azul Linhas Aereas A20N (PR-YYK),Landed 19:37,2021-06-08
26,26,21:40 G31560,,Sao Paulo (GRU),GOL Linhas Aereas B38M (PR-XMB),Landed 21:13,2021-06-08
27,27,21:55,LA4643,Sao Paulo (GRU),LATAM Airlines A321 (PT-MXO),Landed 21:36,2021-06-08
28,28,23:05,LA3601,Brasilia (BSB),LATAM Airlines A321 (PT-MXF),Landed 22:44,2021-06-08
29,29,23:25 AD4254,,Recife (REC),Azul Linhas Aereas E195 (PR-AUF),Landed 23:28,2021-06-08
0,0,00:05 VR667,,Espargos (SID),Cabo Verde Airlines 752,Unknown,2021-06-09
1,1,00:35 VR6671,,Espargos (SID),Cabo Verde Airlines 752,Unknown,2021-06-09
2,2,01:15,AD4246,Belo Horizonte (CNF),Azul Linhas Aereas A20N (PR-YYG),Landed 01:00,2021-06-09
3,3,01:35,G31528,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GGK),Landed 01:47,2021-06-09
4,4,02:25,AD4398,Campinas (VCP),Azul Linhas Aereas A20N (PR-YRW),Landed 02:19,2021-06-09
5,5,02:25,LA3127,Sao Paulo (GRU),LATAM Airlines A321 (PT-MXD),Landed 02:13,2021-06-09
6,6,05:55 G31531,,Sao Luis (SLZ),GOL Linhas Aereas 7M8,Unknown,2021-06-09
7,7,06:20 G31842,,Manaus (MAO),GOL Linhas Aereas B38M (PR-XMB),Landed 07:42,2021-06-09
8,8,08:40 AD4651,,Belem (BEL),Azul Linhas Aereas A20N (PR-YYK),Landed 08:30,2021-06-09
9,9,09:35,AD4150,Recife (REC),Azul Linhas Aereas E195 (PR-AUH),Landed 09:22,2021-06-09
10,10,10:30,LA3013,Sao Paulo (GRU),LATAM Airlines A321 (PT-XPF),Landed 10:24,2021-06-09
11,11,11:30,LA3694,Brasilia (BSB),LATAM Airlines A321 (PT-MXI),Landed 11:13,2021-06-09
12,12,11:40,G31708,Brasilia (BSB),GOL Linhas Aereas B738 (PR-GXW),Landed 11:39,2021-06-09
13,13,11:50,G31520,Sao Paulo (GRU),GOL Linhas Aereas B38M (PR-XMA),Landed 11:25,2021-06-09
14,14,11:55,G32176,Rio de Janeiro (GIG),GOL Linhas Aereas B738 (PR-GTQ),Landed 11:32,2021-06-09
15,15,12:10,AD4712,Campinas (VCP),Azul Linhas Aereas A21N (PR-YJA),Landed 11:56,2021-06-09
16,16,14:05 AD4345,,Recife (REC),Azul Linhas Aereas A20N (PR-YRZ),Landed 13:51,2021-06-09
17,17,15:40,LA3015,Sao Paulo (GRU),LATAM Airlines A321 (PT-MXF),Landed 15:44,2021-06-09
18,18,16:40,G31887,Salvador (SSA),GOL Linhas Aereas B38M (PR-XMM),Landed 16:42,2021-06-09
19,19,16:45,G31524,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GGK),Landed 16:21,2021-06-09
20,20,16:45,LA4645,Sao Paulo (GRU),LATAM Airlines A320 (PR-MBG),Unknown,2021-06-09
21,21,18:15,AD4035,Recife (REC),Azul Linhas Aereas E195 (PR-AUF),Landed 18:24,2021-06-09
22,22,18:40,LA3383,Rio de Janeiro (GIG),LATAM Airlines A321 (PT-MXE),Landed 18:21,2021-06-09
23,23,19:55,AD4101,Belem (BEL),Azul Linhas Aereas A20N (PR-YYK),Landed 19:50,2021-06-09
24,24,20:40,TP35,Lisbon (LIS),TAP Air Portugal A21N (CS-TXF),Landed 20:26,2021-06-09
25,25,21:40 G31560,,Sao Paulo (GRU),GOL Linhas Aereas B38M (PR-XMG),Landed 21:14,2021-06-09
26,26,21:55,LA4643,Sao Paulo (GRU),LATAM Airlines A321 (PT-MXA),Landed 21:29,2021-06-09
27,27,22:10 G31798,,Sao Paulo (CGH),GOL Linhas Aereas B737 (PR-VBH),Landed 21:47,2021-06-09
28,28,22:15,G31856,Recife (REC),GOL Linhas Aereas (Brazil Football Livery) B738 (PR-GUM),Landed 22:27,2021-06-09
29,29,22:25 G31913,,Manaus (MAO),GOL Linhas Aereas B38M (PR-XMD),Landed 22:12,2021-06-09
30,30,23:25 AD4254,,Recife (REC),Azul Linhas Aereas E195 (PR-AUH),Landed 23:34,2021-06-09
31,31,23:35,G31710,Brasilia (BSB),GOL Linhas Aereas B738 (PR-GGW),Landed 23:26,2021-06-09
0,0,01:15,AD4246,Belo Horizonte (CNF),Azul Linhas Aereas A20N (PR-YYH),Landed 01:06,2021-06-10
1,1,01:35,G31528,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GGN),Landed 01:29,2021-06-10
2,2,02:25,AD4398,Campinas (VCP),Azul Linhas Aereas A20N (PR-YRJ),Landed 02:10,2021-06-10
3,3,02:25,LA3127,Sao Paulo (GRU),LATAM Airlines A321 (PT-MXQ),Landed 02:06,2021-06-10
4,4,05:55 G31531,,Sao Luis (SLZ),GOL Linhas Aereas B38M (PR-XMG),Landed 05:34,2021-06-10
5,5,06:00 G31888,,Salvador (SSA),GOL Linhas Aereas B737 (PR-VBH),Landed 05:42,2021-06-10
6,6,06:00,G31801,Belem (BEL),GOL Linhas Aereas B38M (PR-XMC),Landed 05:45,2021-06-10
7,7,06:05,G31890,Recife (REC),GOL Linhas Aereas B738 (PR-GGX),Landed 05:36,2021-06-10
8,8,06:20 G31842,,Manaus (MAO),GOL Linhas Aereas B738 (PR-GGK),Landed 06:11,2021-06-10
9,9,08:40,AD4651,Belem (BEL),Azul Linhas Aereas A20N (PR-YYK),Landed 08:18,2021-06-10
10,10,09:50,AD4150,Recife (REC),Azul Linhas Aereas E195 (PR-AUF),Landed 09:34,2021-06-10
11,11,10:30,LA3013,Sao Paulo (GRU),LATAM Airlines A321 (PT-MXO),Landed 10:15,2021-06-10
12,12,11:30,LA3694,Brasilia (BSB),LATAM Airlines A320 (PR-TYA),Landed 13:31,2021-06-10
13,13,11:40,G31708,Brasilia (BSB),GOL Linhas Aereas B738 (PR-GTP),Landed 11:53,2021-06-10
14,14,11:50,G31520,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GZW),Landed 11:25,2021-06-10
15,15,11:55,G32176,Rio de Janeiro (GIG),GOL Linhas Aereas B738 (PR-VBK),Landed 11:40,2021-06-10
16,16,12:10,AD4712,Campinas (VCP),Azul Linhas Aereas A21N (PR-YJD),Landed 11:57,2021-06-10
17,17,13:15 AD2005,,Recife (REC),Azul Cargo B734 (PR-AJZ),Landed 12:55,2021-06-10
18,18,14:05 AD4345,,Recife (REC),Azul Linhas Aereas E195 (PR-AXN),Landed 14:05,2021-06-10
19,19,15:40,LA3015,Sao Paulo (GRU),LATAM Airlines A321 (PT-MXN),Landed 15:46,2021-06-10
20,20,16:10,LA4584,Brasilia (BSB),LATAM Airlines A320 (PR-MYQ),Landed 15:55,2021-06-10
21,21,16:45,G31524,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GGK),Landed 16:11,2021-06-10
22,22,16:45,LA4645,Sao Paulo (GRU),LATAM Airlines A320 (PT-MZW),Unknown,2021-06-10
23,23,18:15,AD4035,Recife (REC),Azul Linhas Aereas E195 (PR-AUH),Landed 18:22,2021-06-10
24,24,18:40,LA3383,Rio de Janeiro (GIG),LATAM Airlines A321 (PT-XPF),Landed 18:20,2021-06-10
25,25,19:55,AD4101,Belem (BEL),Azul Linhas Aereas A20N (PR-YYH),Landed 19:44,2021-06-10
26,26,21:25,G32148,Rio de Janeiro (GIG),GOL Linhas Aereas B38M (PR-XMG),Landed 21:11,2021-06-10
27,27,21:40 G31560,,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GTO),Landed 21:24,2021-06-10
28,28,21:55,LA4643,Sao Paulo (GRU),LATAM Airlines A321 (PT-MXG),Landed 21:50,2021-06-10
29,29,23:05,LA3601,Brasilia (BSB),LATAM Airlines A321 (PT-MXE),Landed 22:52,2021-06-10
30,30,23:25 AD4254,,Recife (REC),Azul Linhas Aereas E195 (PR-AUF),Landed 23:21,2021-06-10
0,0,00:05 VR667,,Espargos (SID),Cabo Verde Airlines 752,Unknown,2021-06-11
1,1,01:15,AD4246,Belo Horizonte (CNF),Azul Linhas Aereas A20N (PR-YYL),Landed 00:58,2021-06-11
2,2,01:35,G31528,Sao Paulo (GRU),GOL Linhas Aereas B38M (PR-XMM),Landed 01:16,2021-06-11
3,3,02:25,AD4398,Campinas (VCP),Azul Linhas Aereas A20N (PR-YSB),Landed 03:05,2021-06-11
4,4,05:55 G31531,,Sao Luis (SLZ),GOL Linhas Aereas B738 (PR-GTO),Landed 05:42,2021-06-11
5,5,06:20 G31842,,Manaus (MAO),GOL Linhas Aereas B38M (PR-XMG),Landed 06:12,2021-06-11
6,6,08:40 AD4651,,Belem (BEL),Azul Linhas Aereas A20N (PR-YYH),Landed 08:34,2021-06-11
7,7,09:35,AD4150,Recife (REC),Azul Linhas Aereas E195 (PR-AXN),Landed 09:20,2021-06-11
8,8,10:30,LA3013,Sao Paulo (GRU),LATAM Airlines A321 (PT-MXE),Landed 10:36,2021-06-11
9,9,11:30,LA3694,Brasilia (BSB),LATAM Airlines A321 (PT-MXC),Landed 11:24,2021-06-11
10,10,11:40,G31708,Brasilia (BSB),GOL Linhas Aereas (Voa Canarinho Livery) B738 (PR-GUK),Landed 11:44,2021-06-11
11,11,11:50,G31520,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GXI),Landed 11:43,2021-06-11
12,12,11:55,G32176,Rio de Janeiro (GIG),GOL Linhas Aereas B38M (PR-XMB),Unknown,2021-06-11
13,13,12:10,AD4712,Campinas (VCP),Azul Linhas Aereas A21N (PR-YJB),Landed 12:18,2021-06-11
14,14,14:05 AD4345,,Recife (REC),Azul Linhas Aereas A20N (PR-YRL),Landed 13:51,2021-06-11
15,15,15:40,LA3015,Sao Paulo (GRU),LATAM Airlines A321 (PT-XPF),Landed 15:45,2021-06-11
16,16,16:40,G31887,Salvador (SSA),GOL Linhas Aereas B738 (PR-GUA),Landed 16:48,2021-06-11
