,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,06:40 I5541,,Kolkata (CCU),AirAsia India 320,Unknown,2021-06-08
1,1,07:35,9I741,Kolkata (CCU),Alliance Air AT76 (VT-RKC),Landed 09:33,2021-06-08
2,2,07:50 6E2251,,Delhi (DEL),IndiGo A20N (VT-IJA),Landed 07:19,2021-06-08
3,3,08:15 I51982,,Bengaluru (BLR),AirAsia A20N (VT-ATG),Landed 09:27,2021-06-08
4,4,08:20 G8135,,Delhi (DEL),Go Air 32A,Canceled,2021-06-08
5,5,09:10 SG3782,,Andal (RDP),SpiceJet DH8,Unknown,2021-06-08
6,6,09:30 6E2939,,Delhi (DEL),IndiGo A20N (VT-ITL),Landed 09:02,2021-06-08
7,7,09:45 I5783,,Delhi (DEL),AirAsia A20N (VT-ATH),Landed 08:53,2021-06-08
8,8,10:40 6E2614,,Imphal (IMF),IndiGo A20N (VT-IJA),Landed 10:15,2021-06-08
9,9,10:50 SG695,,Chennai (MAA),SpiceJet 737,Unknown,2021-06-08
10,10,11:15 G8532,,Kolkata (CCU),Go Air 32A,Canceled,2021-06-08
11,11,11:25,9I737,Kolkata (CCU),Alliance Air AT76 (VT-AIY),Landed 11:35,2021-06-08
12,12,11:45 6E207,,Kolkata (CCU),IndiGo AT76 (VT-IYE),Landed 11:50,2021-06-08
13,13,12:05 SG3784,,Pakyong (PYG),SpiceJet DH8,Unknown,2021-06-08
14,14,12:05,UK741,Delhi (DEL),Vistara (Retro Livery) A20N (VT-ATV),Landed 11:39,2021-06-08
15,15,12:10 AI889,,Delhi (DEL),Air India A321 (VT-PPF),Landed 11:44,2021-06-08
16,16,12:20 I5784,,Imphal (IMF),AirAsia A20N (VT-ATH),Landed 11:55,2021-06-08
17,17,12:25 6E186,,Hyderabad (HYD),IndiGo A20N (VT-ITD),Landed 12:03,2021-06-08
18,18,12:45 SG8152,,Delhi (DEL),SpiceJet B738 (VT-SLJ),Landed 12:30,2021-06-08
19,19,14:55 G8151,,Delhi (DEL),Go Air 32A,Canceled,2021-06-08
20,20,15:05,9I742,Dimapur (DMU),Alliance Air AT76 (VT-RKC),Landed 14:36,2021-06-08
21,21,15:10 G8676,,Kolkata (CCU),Go Air 32A,Canceled,2021-06-08
22,22,15:15 AI890,,Imphal (IMF),Air India A321 (VT-PPF),Landed 14:50,2021-06-08
23,23,15:20 I5792,,Delhi (DEL),AirAsia India 320,Unknown,2021-06-08
24,24,15:25 SG8169,,Silchar (IXS),SpiceJet 737,Unknown,2021-06-08
25,25,15:35 6E187,,Agartala (IXA),IndiGo A20N (VT-ITD),Landed 15:01,2021-06-08
26,26,16:00,9I738,(TEZ),Alliance Air AT76 (VT-AIY),Landed 15:47,2021-06-08
27,27,16:40 SG7713,,Kolkata (CCU),SpiceJet DH4,Canceled,2021-06-08
28,28,16:55 G8758,,Siliguri (IXB),GoAir A20N (VT-WGT),Landed 15:07,2021-06-08
29,29,17:10 G88017,,Kolkata (CCU),Go Air 32A,Canceled,2021-06-08
30,30,17:35 6E568,,Kolkata (CCU),IndiGo AT76 (VT-IYD),Landed 18:07,2021-06-08
31,31,17:45 6E2001,,Delhi (DEL),IndiGo A20N (VT-IZN),Landed 17:38,2021-06-08
32,32,18:20 SG549,,Mumbai (BOM),SpiceJet 737,Unknown,2021-06-08
33,33,18:25 I52461,,Bengaluru (BLR),AirAsia India 320,Canceled,2021-06-08
34,34,18:45 AI891,,Delhi (DEL),Air India 32B,Unknown,2021-06-08
35,35,19:25 SG696,,Jaipur (JAI),SpiceJet 737,Unknown,2021-06-08
36,36,19:40 G88019,,Kolkata (CCU),Go Air 32A,Canceled,2021-06-08
37,37,19:50 I52469,,Bengaluru (BLR),AirAsia A20N (VT-ATE),Canceled,2021-06-08
38,38,20:25 SG3725,,Patna (PAT),SpiceJet DH8D (VT-SUS),Unknown,2021-06-08
39,39,20:35 6E7234,,Kolkata (CCU),IndiGo AT76 (VT-IYJ),Landed 20:19,2021-06-08
40,40,20:55 I5776,,Delhi (DEL),AirAsia A320 (VT-AMD),Canceled,2021-06-08
41,41,21:00 SG3791,,Varanasi (VNS),SpiceJet DH8,Unknown,2021-06-08
42,42,21:00 6E6282,,Chennai (MAA),IndiGo A20N (VT-ISQ),Landed 20:43,2021-06-08
0,0,06:40 I5541,,Kolkata (CCU),AirAsia India 320,Unknown,2021-06-09
1,1,07:35,9I741,Kolkata (CCU),Alliance Air AT76 (VT-AII),Landed 09:24,2021-06-09
2,2,07:50 6E2251,,Delhi (DEL),IndiGo A320 (VT-IFW),Landed 07:43,2021-06-09
3,3,08:20 G8135,,Delhi (DEL),Go Air 32A,Canceled,2021-06-09
4,4,09:10 SG3782,,Andal (RDP),SpiceJet DH8,Unknown,2021-06-09
5,5,09:30 6E2939,,Delhi (DEL),IndiGo A20N (VT-IJR),Landed 09:18,2021-06-09
6,6,09:45 I5783,,Delhi (DEL),AirAsia A20N (VT-ATH),Landed 09:03,2021-06-09
7,7,10:15 I51982,,Bengaluru (BLR),AirAsia A20N (VT-ATG),Landed 09:40,2021-06-09
8,8,10:25 6E457,,Bengaluru (BLR),IndiGo A20N (VT-IJV),Landed 09:52,2021-06-09
9,9,10:50 SG695,,Chennai (MAA),SpiceJet B738 (VT-SLM),Landed 10:56,2021-06-09
10,10,11:15 G8532,,Kolkata (CCU),Go Air 32A,Canceled,2021-06-09
11,11,11:45 6E207,,Kolkata (CCU),IndiGo AT76 (VT-IYJ),Landed 11:53,2021-06-09
12,12,12:05 SG3784,,Pakyong (PYG),SpiceJet DH8,Unknown,2021-06-09
13,13,12:05,UK741,Delhi (DEL),Vistara A20N (VT-TNY),Landed 11:46,2021-06-09
14,14,12:10 AI889,,Delhi (DEL),Air India A321 (VT-PPQ),Landed 11:39,2021-06-09
15,15,12:15 6E2906,,Jorhat (JRH),IndiGo A20N (VT-IJR),Landed 12:05,2021-06-09
16,16,12:20 I5784,,Imphal (IMF),AirAsia A20N (VT-ATH),Landed 11:58,2021-06-09
17,17,12:25 6E186,,Hyderabad (HYD),IndiGo 320,Canceled,2021-06-09
18,18,12:45 SG8152,,Delhi (DEL),SpiceJet 737,Unknown,2021-06-09
19,19,13:25 SG9999,,Kolkata (CCU),SpiceJet DH8D (VT-SUX),Unknown,2021-06-09
20,20,14:55 G8151,,Delhi (DEL),Go Air 32A,Canceled,2021-06-09
21,21,15:05,9I742,Dimapur (DMU),Alliance Air ATR,Unknown,2021-06-09
22,22,15:10 G8676,,Kolkata (CCU),Go Air 32A,Canceled,2021-06-09
23,23,15:15 AI890,,Imphal (IMF),Air India A321 (VT-PPQ),Unknown,2021-06-09
24,24,15:20 I5792,,Delhi (DEL),AirAsia India 320,Unknown,2021-06-09
