,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,06:40 KX4002,,Cayman Brac (CYB),Cayman Airways DHT,Unknown,2021-05-09
1,1,07:00 KX4510,,Cayman Brac (CYB),Cayman Airways DHC,Unknown,2021-05-09
2,2,09:15 KX4004,,Cayman Brac (CYB),Cayman Airways SF3,Unknown,2021-05-09
3,3,09:20 KX4521,,Little Cayman (LYB),Cayman Airways DHC,Unknown,2021-05-09
4,4,11:20 KX103,,Miami (MIA),Cayman Airways B732,Unknown,2021-05-09
5,5,11:28,,Miami (MIA),- BE40 (N127EJ),Landed 11:26,2021-05-09
6,6,11:35 KX4006,,Cayman Brac (CYB),Cayman Airways SF3,Unknown,2021-05-09
7,7,12:10 KX4722,,Little Cayman (LYB),Cayman Airways DHC,Unknown,2021-05-09
8,8,12:30 KX793,,New York (JFK),Cayman Airways B732,Unknown,2021-05-09
9,9,12:48,,Chicago (DPA),- GLF4 (N999GC),Landed 12:48,2021-05-09
10,10,15:55 KX833,,Havana (HAV),Cayman Airways 733,Unknown,2021-05-09
11,11,16:35 KX4424,,Little Cayman (LYB),Cayman Airways DHC,Unknown,2021-05-09
12,12,16:35 KX4008,,Cayman Brac (CYB),Cayman Airways SF3,Unknown,2021-05-09
13,13,16:40 KX201,,Tampa (TPA),Cayman Airways B732,Unknown,2021-05-09
14,14,18:30 KX4725,,Little Cayman (LYB),Cayman Airways DHT,Unknown,2021-05-09
15,15,19:25 KX4010,,Cayman Brac (CYB),Cayman Airways SF3,Unknown,2021-05-09
16,16,20:55 KX607,,Kingston (KIN),Cayman Airways 733,Unknown,2021-05-09
17,17,21:20 KX107,,Miami (MIA),Cayman Airways B732,Unknown,2021-05-09
0,0,06:40 KX4002,,Cayman Brac (CYB),Cayman Airways DHT,Unknown,2021-05-10
1,1,06:40 KX4510,,Cayman Brac (CYB),Cayman Airways DHC,Unknown,2021-05-10
2,2,09:15 KX4004,,Cayman Brac (CYB),Cayman Airways SF3,Unknown,2021-05-10
3,3,10:55 KX4722,,Little Cayman (LYB),Cayman Airways DHC,Unknown,2021-05-10
4,4,11:10 KX621,,Montego Bay (MBJ),Cayman Airways 733,Unknown,2021-05-10
5,5,11:20 KX103,,Miami (MIA),Cayman Airways B732,Unknown,2021-05-10
6,6,11:30 KX793,,New York (JFK),Cayman Airways B732,Unknown,2021-05-10
7,7,11:35 KX4006,,Cayman Brac (CYB),Cayman Airways SF3,Unknown,2021-05-10
8,8,12:05 II725,,Miami (MIA),IBC Airways SF34 (N901BC),Landed 11:49,2021-05-10
9,9,16:10 KX883,,La Ceiba (LCE),Cayman Airways B732,Unknown,2021-05-10
10,10,16:35 KX4424,,Little Cayman (LYB),Cayman Airways DHT,Unknown,2021-05-10
11,11,16:35 KX4008,,Cayman Brac (CYB),Cayman Airways SF3,Unknown,2021-05-10
12,12,16:37 II211,,Miami (MIA),IBC Airways SF34 (N681BC),Landed 16:26,2021-05-10
13,13,16:40 KX201,,Tampa (TPA),Cayman Airways B732,Unknown,2021-05-10
14,14,18:30 KX4725,,Little Cayman (LYB),Cayman Airways DHC,Unknown,2021-05-10
15,15,19:20 KX4010,,Cayman Brac (CYB),Cayman Airways SF3,Unknown,2021-05-10
16,16,21:20 KX107,,Miami (MIA),Cayman Airways B732,Unknown,2021-05-10
0,0,09:15 KX4004,,Cayman Brac (CYB),Cayman Airways SF3,Unknown,2021-05-11
1,1,10:10 KX601,,Kingston (KIN),Cayman Airways 733,Unknown,2021-05-11
2,2,11:25 KX4422,,Cayman Brac (CYB),Cayman Airways DHC,Unknown,2021-05-11
3,3,11:50 KX908,,Miami (MIA),Cayman Airways CVY,Unknown,2021-05-11
4,4,12:45 KX909,,Miami (MIA),IFL Group CVLT (N361FL),Landed 12:29,2021-05-11
5,5,15:24 II725,,Miami (MIA),IBC Airways SF34 (N921BC),Landed 15:13,2021-05-11
6,6,16:35 KX4424,,Little Cayman (LYB),Cayman Airways DHT,Unknown,2021-05-11
7,7,17:50 KX105,,Miami (MIA),Cayman Airways B732,Unknown,2021-05-11
8,8,18:30 KX4725,,Little Cayman (LYB),Cayman Airways DHC,Unknown,2021-05-11
9,9,19:20 KX4010,,Cayman Brac (CYB),Cayman Airways SF3,Unknown,2021-05-11
0,0,09:15 KX4004,,Cayman Brac (CYB),Cayman Airways SF3,Unknown,2021-05-12
1,1,10:10 KX601,,Kingston (KIN),Cayman Airways 733,Unknown,2021-05-12
2,2,10:55 KX4722,,Little Cayman (LYB),Cayman Airways DHC,Unknown,2021-05-12
3,3,11:20 KX103,,Miami (MIA),Cayman Airways B732,Unknown,2021-05-12
4,4,11:35 KX4006,,Cayman Brac (CYB),Cayman Airways SF3,Unknown,2021-05-12
5,5,13:28 VJT878,,Farnborough (FAB),VistaJet Malta GLEX (9H-VJO),Landed 13:38,2021-05-12
6,6,13:29 KX2909,,Miami (MIA),IFL Group CVLT (N361FL),Landed 13:14,2021-05-12
7,7,14:54 KX3103,,Miami (MIA),Cayman Airways B38M (VP-CIW),Landed 14:43,2021-05-12
8,8,15:55 KX833,,Havana (HAV),Cayman Airways 733,Unknown,2021-05-12
9,9,16:35 KX4008,,Cayman Brac (CYB),Cayman Airways SF3,Unknown,2021-05-12
10,10,16:35 KX4424,,Little Cayman (LYB),Cayman Airways DHT,Unknown,2021-05-12
11,11,16:39 II725,,Miami (MIA),IBC Airways SF34 (N901BC),Diverted to MIA,2021-05-12
12,12,17:47 II211,,Miami (MIA),IBC Airways SF34 (N691BC),Landed 17:35,2021-05-12
13,13,18:30 KX4725,,Little Cayman (LYB),Cayman Airways DHC,Unknown,2021-05-12
14,14,18:49 II725,,Miami (MIA),IBC Airways SF34 (N901BC),Landed 16:38,2021-05-12
15,15,19:20 KX4010,,Cayman Brac (CYB),Cayman Airways SF3,Unknown,2021-05-12
16,16,21:20 KX107,,Miami (MIA),Cayman Airways B732,Unknown,2021-05-12
