,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:14 Y4683,,Hermosillo (HMO),Volaris A320 (N525VL),Landed 00:00,2021-06-08
1,1,00:15,,San Diego (SDM),- C650,Canceled,2021-06-08
2,2,00:19 Y4420,,Tijuana (TIJ),Volaris A20N (XA-VRT),Landed 00:12,2021-06-08
3,3,00:30 VB3111,,Tijuana (TIJ),VivaAerobus A320 (XA-VAT),Landed 00:02,2021-06-08
4,4,03:07 Y45647,,Tijuana (TIJ),Volaris A20N (XA-VRR),Landed 03:17,2021-06-08
5,5,03:15 M71821,,Los Angeles (LAX),MasAir Cargo B762 (N773AX),Landed 03:10,2021-06-08
6,6,03:39 Y45426,,Tijuana (TIJ),Volaris A320 (N512VL),Landed 03:25,2021-06-08
7,7,03:56 5Y8692,,Anchorage (ANC),Atlas Air B744 (N419MC),Landed 03:56,2021-06-08
8,8,04:10,Y4919,Los Angeles (LAX),Volaris A20N (XA-VRO),Landed 06:05,2021-06-08
9,9,04:13,Y4897,Seattle (SEA),Volaris A320 (XA-VLS),Landed 04:08,2021-06-08
10,10,04:27 Y4623,,Mexicali (MXL),Volaris A21N (N535VL),Landed 04:18,2021-06-08
11,11,04:40 6R301,,Los Angeles (LAX),AeroUnion B762 (XA-EFR),Landed 05:24,2021-06-08
12,12,04:48 Y4903,,Oakland (OAK),Volaris A320 (XA-VRA),Landed 04:44,2021-06-08
13,13,05:05,Y4973,Chicago (ORD),Volaris A320 (N526VL),Landed 04:39,2021-06-08
14,14,05:07,AM789,Sacramento (SMF),Aeromexico B738 (XA-ADU),Landed 04:33,2021-06-08
15,15,05:14,,San Luis Potosi (SLP),- B734,Canceled,2021-06-08
16,16,05:20,Y4939,Portland (PDX),Volaris A320 (XA-VLX),Landed 05:12,2021-06-08
17,17,05:20 VB519,,Los Angeles (LAX),VivaAerobus A20N (XA-VIV),Landed 05:10,2021-06-08
18,18,05:30 E7314,,San Luis Potosi (SLP),Estafeta Carga Aerea B734 (XA-EME),Landed 05:16,2021-06-08
19,19,05:30 VB3113,,Tijuana (TIJ),VivaAerobus A20N (XA-VIJ),Landed 05:04,2021-06-08
20,20,05:31,Y4937,Ontario (ONT),Volaris A320 (XA-VLB),Landed 05:19,2021-06-08
21,21,05:44,Y4971,Sacramento (SMF),Volaris A20N (XA-VRE),Landed 05:28,2021-06-08
22,22,05:58,AM609,San Francisco (SFO),Aeromexico B738 (XA-DRA),Landed 05:35,2021-06-08
23,23,06:05 VB3115,,Tijuana (TIJ),VivaAerobus A20N (XA-VIQ),Landed 05:51,2021-06-08
24,24,06:10,Y4913,Los Angeles (LAX),Volaris A320 (N521VL),Unknown,2021-06-08
25,25,06:53 Y4428,,Tijuana (TIJ),Volaris A321 (XA-VLY),Landed 06:37,2021-06-08
26,26,07:04 Y4736,,Mexico City (MEX),Volaris A319 (N503VL),Landed 06:41,2021-06-08
27,27,07:09 Y4432,,Tijuana (TIJ),Volaris A321 (XA-VLW),Landed 06:56,2021-06-08
28,28,07:19 AM9488,,Mexico City (MEX),Aeromexico B738 (N377AR),Landed 07:42,2021-06-08
29,29,07:37 Y4677,,Monterrey (MTY),Volaris A319 (XA-VOE),Landed 07:14,2021-06-08
30,30,07:38,Y4951,Fresno (FAT),Volaris A20N (XA-VRQ),Landed 07:28,2021-06-08
31,31,08:11 FX65,,Memphis (MEM),FedEx DC10 (N303FE),Landed 08:17,2021-06-08
32,32,08:15 Y4744,,Mexico City (MEX),Volaris A320,Canceled,2021-06-08
33,33,08:20 W8925,,Cincinnati (CVG),Cargojet Airways B763 (C-GUAJ),Landed 08:14,2021-06-08
34,34,08:30 VB3191,,Monterrey (MTY),VivaAerobus A320 (XA-VAE),Landed 08:05,2021-06-08
35,35,08:30 5X312,,San Antonio (SAT),UPS A306 (N169UP),Landed 08:56,2021-06-08
36,36,08:33,AM204,Mexico City (MEX),Aeromexico B738 (XA-AMU),Landed 08:08,2021-06-08
37,37,09:15 Y4738,,Mexico City (MEX),Volaris A320 (XA-VLF),Landed 08:46,2021-06-08
38,38,09:22,AM208,Mexico City (MEX),Aeromexico B38M (XA-SSR),Landed 09:05,2021-06-08
39,39,09:24,,La Paz (LAP),- E145,Canceled,2021-06-08
40,40,10:06,,San Jose del Cabo (SJD),- GLF4 (N771L),Landed 10:32,2021-06-08
41,41,10:10 VB3045,,Veracruz (VER),VivaAerobus A320 (XA-VAB),Landed 09:43,2021-06-08
