,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:35,CM873,Panama City (PTY),Copa Airlines B738 (HP-1843CMP),Landed 23:58,2021-06-08
1,1,00:45 AD4449,,Campinas (VCP),Azul Linhas Aereas E195 (PR-AXL),Unknown,2021-06-08
2,2,07:25 G32025,,Belo Horizonte (CNF),GOL Linhas Aereas 738,Canceled,2021-06-08
3,3,07:30 G32019,,Navegantes (NVT),GOL Linhas Aereas B738 (PR-GXA),Landed 07:17,2021-06-08
4,4,07:30 G32033,,Florianopolis (FLN),GOL Linhas Aereas B738 (PR-GGP),Landed 07:07,2021-06-08
5,5,07:40 G32021,,Foz do Iguacu (IGU),GOL Linhas Aereas B738 (PR-GGK),Landed 07:03,2021-06-08
6,6,07:40 G32029,,Curitiba (CWB),GOL Linhas Aereas 738,Unknown,2021-06-08
7,7,08:56,LA3172,Sao Paulo (GRU),LATAM Airlines A320 (PR-MHW),Landed 08:54,2021-06-08
8,8,10:05 AD4540,,Campinas (VCP),Azul Linhas Aereas E195 (PR-AXX),Unknown,2021-06-08
9,9,10:10,G31092,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GTP),Landed 09:49,2021-06-08
10,10,14:41,LA3382,Fortaleza (FOR),LATAM Airlines A321 (PT-XPC),Landed 14:42,2021-06-08
11,11,15:10,G31094,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GUP),Landed 14:44,2021-06-08
12,12,15:10 G32081,,Recife (REC),GOL Linhas Aereas B738 (PR-VBK),Landed 14:53,2021-06-08
13,13,18:40,LA4745,Sao Paulo (GRU),LATAM Airlines A320 (PR-MYT),Landed 18:36,2021-06-08
14,14,19:25,AD4440,Campinas (VCP),Azul Linhas Aereas AT76 (PR-AQQ),Landed 19:26,2021-06-08
15,15,20:00,G32099,Natal (NAT),GOL Linhas Aereas B738 (PR-GTQ),Landed 21:40,2021-06-08
16,16,22:20,LA3339,Brasilia (BSB),LATAM Airlines A320 (PR-MYP),Landed 22:02,2021-06-08
17,17,22:45,G32041,Brasilia (BSB),GOL Linhas Aereas B38M (PR-XMM),Landed 22:28,2021-06-08
18,18,22:55,TP73,Lisbon (LIS),TAP Air Portugal A339 (CS-TUE),Landed 22:49,2021-06-08
19,19,23:15,G31690,Sao Paulo (GRU),GOL Linhas Aereas 7M8,Unknown,2021-06-08
20,20,23:55,LA4747,Sao Paulo (GRU),LATAM Airlines A320 (PR-MYQ),Landed 23:36,2021-06-08
0,0,00:45 AD4449,,Campinas (VCP),Azul Linhas Aereas A20N (PR-YRT),Landed 00:34,2021-06-09
1,1,05:50,AF442,Paris (CDG),Air France B789 (F-HRBI),Landed 05:37,2021-06-09
2,2,06:19 L71819,,Miami (MIA),LATAM Cargo B763 (N538LA),Landed 06:08,2021-06-09
3,3,08:15,AA905,Miami (MIA),American Airlines B772 (N779AN),Landed 07:42,2021-06-09
4,4,08:50,LA3172,Sao Paulo (GRU),LATAM Airlines A320 (PR-MYK),Landed 08:30,2021-06-09
5,5,10:05 AD4540,,Campinas (VCP),Azul Linhas Aereas E295 (PS-AEG),Landed 09:55,2021-06-09
6,6,10:10,G31092,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-VBK),Landed 09:49,2021-06-09
7,7,10:55,G32175,Fortaleza (FOR),GOL Linhas Aereas B38M (PR-XMB),Landed 11:35,2021-06-09
8,8,14:35,LA3382,Fortaleza (FOR),LATAM Airlines A321 (PT-XPF),Landed 14:32,2021-06-09
9,9,15:00 AR1996,,Buenos Aires (EZE),Aerolineas Argentinas E90,Unknown,2021-06-09
10,10,15:10,G31094,Sao Paulo (GRU),GOL Linhas Aereas B38M (PR-XME),Landed 14:47,2021-06-09
11,11,17:15,G32040,Salvador (SSA),GOL Linhas Aereas B738 (PR-GUF),Landed 17:25,2021-06-09
12,12,18:55,LA4745,Sao Paulo (GRU),LATAM Airlines A320 (PR-MHF),Landed 18:39,2021-06-09
13,13,19:05,AD4440,Campinas (VCP),Azul Linhas Aereas (Pink Ribbon Livery) E295 (PS-AEA),Landed 18:59,2021-06-09
14,14,19:35,KL705,Amsterdam (AMS),KLM B789 (PH-BHD),Landed 19:18,2021-06-09
15,15,20:55,G31569,Joao Pessoa (JPA),GOL Linhas Aereas B738 (PR-GGP),Landed 20:47,2021-06-09
16,16,21:00,G32011,Maceio (MCZ),GOL Linhas Aereas B738 (PR-VBK),Unknown,2021-06-09
17,17,22:20,LA3339,Brasilia (BSB),LATAM Airlines A320 (PR-MHR),Landed 22:06,2021-06-09
18,18,22:40,G32085,Recife (REC),GOL Linhas Aereas B38M (PR-XME),Landed 22:28,2021-06-09
19,19,22:45,G32041,Brasilia (BSB),GOL Linhas Aereas B738 (PR-GZK),Landed 22:40,2021-06-09
20,20,23:15,G31690,Sao Paulo (GRU),GOL Linhas Aereas (TV ao vivo a bordo Livery) B738 (PR-GTM),Landed 22:54,2021-06-09
21,21,23:55,LA4747,Sao Paulo (GRU),LATAM Airlines A320 (PR-MYV),Landed 23:43,2021-06-09
0,0,00:35,CM873,Panama City (PTY),Copa Airlines B39M (HP-9911CMP),Landed 00:19,2021-06-10
1,1,00:45 AD4449,,Campinas (VCP),Azul Linhas Aereas E195 (PR-AXL),Unknown,2021-06-10
2,2,07:25 G32025,,Belo Horizonte (CNF),GOL Linhas Aereas B38M (PR-XME),Landed 07:06,2021-06-10
3,3,07:30 G32019,,Navegantes (NVT),GOL Linhas Aereas B738 (PR-VBK),Landed 07:22,2021-06-10
4,4,07:30 G32033,,Florianopolis (FLN),GOL Linhas Aereas B738 (PR-GGP),Landed 07:15,2021-06-10
5,5,07:40 G32029,,Curitiba (CWB),GOL Linhas Aereas B738 (PR-GXA),Landed 07:23,2021-06-10
6,6,07:40 G32021,,Foz do Iguacu (IGU),GOL Linhas Aereas B738 (PR-GUF),Landed 07:13,2021-06-10
7,7,08:50,LA3172,Sao Paulo (GRU),LATAM Airlines A320 (PR-MHG),Landed 08:32,2021-06-10
8,8,10:05 AD4540,,Campinas (VCP),Azul Linhas Aereas E195 (PR-AXL),Unknown,2021-06-10
9,9,10:10,G31092,Sao Paulo (GRU),GOL Linhas Aereas B737 (PR-GEA),Landed 09:52,2021-06-10
10,10,10:55,G32175,Fortaleza (FOR),GOL Linhas Aereas B38M (PR-XMG),Landed 10:46,2021-06-10
11,11,13:05,G32117,Porto Alegre (POA),GOL Linhas Aereas B738 (PR-GUN),Landed 12:55,2021-06-10
12,12,13:45,G32015,Aracaju (AJU),GOL Linhas Aereas B738 (PR-GGP),Landed 13:38,2021-06-10
13,13,14:25,LA3382,Fortaleza (FOR),LATAM Airlines A321 (PT-MXO),Landed 14:25,2021-06-10
14,14,15:10,G31094,Sao Paulo (GRU),GOL Linhas Aereas B737 (PR-GEA),Landed 14:49,2021-06-10
15,15,15:10 G32081,,Recife (REC),GOL Linhas Aereas B38M (PR-XMB),Landed 15:05,2021-06-10
