,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,07:00 I51324,,Bengaluru (BLR),AirAsia India 320,Unknown,2021-06-08
1,1,07:05 G9492,,Sharjah (SHJ),Air Arabia -,Canceled,2021-06-08
2,2,07:50 I5779,,Delhi (DEL),AirAsia India 32N,Unknown,2021-06-08
3,3,08:45 6E7995,,Hubli (HBX),IndiGo AT76 (VT-IYO),Landed 08:20,2021-06-08
4,4,10:25 G8194,,Delhi (DEL),Go Air 32A,Canceled,2021-06-08
5,5,11:05 G8384,,Mumbai (BOM),Go Air 32A,Canceled,2021-06-08
6,6,11:05 SG3233,,Bengaluru (BLR),SpiceJet DH8,Unknown,2021-06-08
7,7,11:35 SG679,,Kolkata (CCU),SpiceJet 737,Unknown,2021-06-08
8,8,12:30 2T121,,Hyderabad (HYD),Trujet AT7,Unknown,2021-06-08
9,9,12:30 6E667,,Bengaluru (BLR),IndiGo AT76 (VT-IYA),Landed 12:35,2021-06-08
10,10,12:40 6E831,,Mumbai (BOM),IndiGo A20N (VT-IVT),Landed 12:21,2021-06-08
11,11,12:45 G8331,,Mumbai (BOM),Go Air 32A,Canceled,2021-06-08
12,12,13:00 SG488,,Mumbai (BOM),SpiceJet 737,Unknown,2021-06-08
13,13,13:10 G8286,,Delhi (DEL),Go Air 32A,Canceled,2021-06-08
14,14,13:50,UK847,Delhi (DEL),Vistara A20N (VT-TNB),Landed 13:23,2021-06-08
15,15,13:55 6E581,,Hyderabad (HYD),IndiGo AT76 (VT-IYZ),Landed 13:43,2021-06-08
16,16,14:25 I51517,,Hyderabad (HYD),AirAsia India 32N,Canceled,2021-06-08
17,17,14:40 I5775,,Delhi (DEL),AirAsia India 32N,Unknown,2021-06-08
18,18,14:40 AI885,,Delhi (DEL),Air India A321 (VT-PPQ),Unknown,2021-06-08
19,19,14:45 AI663,,Mumbai (BOM),Air India A320 (VT-EXC),Landed 14:54,2021-06-08
20,20,14:50 G8915,,Ahmedabad (AMD),Go Air 32A,Canceled,2021-06-08
21,21,14:50 SG520,,Chennai (MAA),SpiceJet 737,Unknown,2021-06-08
22,22,14:50 SG3718,,Hyderabad (HYD),SpiceJet DH8,Unknown,2021-06-08
23,23,14:50 6E2044,,Delhi (DEL),IndiGo A20N (VT-ISP),Landed 14:57,2021-06-08
24,24,15:25 I5798,,Delhi (DEL),AirAsia India 320,Unknown,2021-06-08
25,25,15:55 G8507,,Hyderabad (HYD),Go Air 32A,Canceled,2021-06-08
26,26,16:35 G8382,,Mumbai (BOM),Go Air 32A,Canceled,2021-06-08
27,27,16:35 I51322,,Bengaluru (BLR),AirAsia India 320,Canceled,2021-06-08
28,28,16:50 G8285,,Bengaluru (BLR),Go Air 32A,Canceled,2021-06-08
29,29,17:05 SG455,,Mumbai (BOM),SpiceJet 737,Unknown,2021-06-08
30,30,17:30 SG2973,,Ahmedabad (AMD),SpiceJet DH8,Unknown,2021-06-08
31,31,17:35 G8371,,Mumbai (BOM),Go Air 32A,Canceled,2021-06-08
32,32,17:35 SG8171,,Delhi (DEL),SpiceJet 737,Unknown,2021-06-08
33,33,18:00 6E793,,Mumbai (BOM),IndiGo A20N (VT-ITX),Landed 17:42,2021-06-08
34,34,18:10 AI993,,Bengaluru (BLR),Air India 319,Unknown,2021-06-08
35,35,18:45,9I881,Mysore (MYQ),Alliance Air ATR,Unknown,2021-06-08
36,36,20:30,9I657,Mumbai (BOM),Alliance Air ATR,Unknown,2021-06-08
0,0,03:40 AI994,,Dubai (DXB),Air India 319,Unknown,2021-06-09
1,1,07:00 I51324,,Bengaluru (BLR),AirAsia India 320,Unknown,2021-06-09
2,2,07:50 I5779,,Delhi (DEL),AirAsia India 32N,Unknown,2021-06-09
3,3,10:25 G8194,,Delhi (DEL),Go Air 32A,Canceled,2021-06-09
4,4,10:25 6E7984,,Kannur (CNN),IndiGo AT76 (VT-IYA),Unknown,2021-06-09
5,5,10:50,9I881,Mysore (MYQ),Alliance Air AT76 (VT-RKE),Landed 10:25,2021-06-09
6,6,11:05 G8384,,Mumbai (BOM),Go Air 32A,Canceled,2021-06-09
7,7,11:05 SG3233,,Bengaluru (BLR),SpiceJet DH8,Unknown,2021-06-09
8,8,12:30 2T121,,Hyderabad (HYD),Trujet AT7,Unknown,2021-06-09
9,9,12:30 6E667,,Bengaluru (BLR),IndiGo AT76 (VT-IYU),Landed 12:25,2021-06-09
10,10,12:40 6E831,,Mumbai (BOM),IndiGo A20N (VT-ITJ),Unknown,2021-06-09
11,11,12:45 G8331,,Mumbai (BOM),GoAir A20N (VT-WGY),Canceled,2021-06-09
12,12,13:00 SG488,,Mumbai (BOM),SpiceJet 737,Unknown,2021-06-09
13,13,13:10 G8286,,Delhi (DEL),Go Air 32A,Canceled,2021-06-09
14,14,13:55 6E581,,Hyderabad (HYD),IndiGo AT76 (VT-IYX),Landed 13:43,2021-06-09
15,15,14:40 AI885,,Delhi (DEL),Air India 321,Canceled,2021-06-09
16,16,14:40 I5775,,Delhi (DEL),AirAsia India 32N,Unknown,2021-06-09
17,17,14:45 AI663,,Mumbai (BOM),Air India A321 (VT-PPB),Landed 14:30,2021-06-09
18,18,14:50 G8915,,Ahmedabad (AMD),Go Air 32A,Canceled,2021-06-09
19,19,14:50 SG520,,Chennai (MAA),SpiceJet 737,Unknown,2021-06-09
20,20,14:50 6E2044,,Delhi (DEL),IndiGo A20N (VT-ITS),Landed 14:26,2021-06-09
21,21,14:50 SG3718,,Hyderabad (HYD),SpiceJet DH8,Unknown,2021-06-09
22,22,15:25 I5798,,Delhi (DEL),AirAsia India 320,Unknown,2021-06-09
23,23,15:55 G8507,,Hyderabad (HYD),Go Air 32A,Canceled,2021-06-09
24,24,16:35 G8382,,Mumbai (BOM),Go Air 32A,Canceled,2021-06-09
25,25,16:35 I51322,,Bengaluru (BLR),AirAsia India 320,Unknown,2021-06-09
26,26,16:50 G8285,,Bengaluru (BLR),Go Air 32A,Canceled,2021-06-09
27,27,17:05 SG455,,Mumbai (BOM),SpiceJet 737,Unknown,2021-06-09
28,28,17:25 I51517,,Hyderabad (HYD),AirAsia India 32N,Unknown,2021-06-09
29,29,17:30 SG2973,,Ahmedabad (AMD),SpiceJet DH8,Unknown,2021-06-09
30,30,17:35 SG8171,,Delhi (DEL),SpiceJet 737,Unknown,2021-06-09
31,31,18:00 6E793,,Mumbai (BOM),IndiGo A20N (VT-IJE),Landed 17:50,2021-06-09
32,32,20:30,9I657,Mumbai (BOM),Alliance Air ATR,Unknown,2021-06-09
33,33,21:10 6E2222,,Bengaluru (BLR),IndiGo A20N (VT-IZX),Unknown,2021-06-09
0,0,07:00 I51324,,Bengaluru (BLR),AirAsia India 320,Unknown,2021-06-10
