,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,07:20 3V4915,,Lyon (LYS),ASL Airlines Belgium B734 (OE-IAU),Landed 06:57,2021-06-08
1,1,08:00 U21378,,Nice (NCE),easyJet A319 (OE-LQL),Landed 07:36,2021-06-08
2,2,08:16 ASJ585,,Paris (LBG),Astonjet C68A (F-HSFJ),Landed 08:36,2021-06-08
3,3,08:25,LX2802,Zurich (ZRH),Swiss 223,Canceled,2021-06-08
4,4,09:20 U21432,,Malaga (AGP),easyJet A320 (OE-ICT),Landed 09:12,2021-06-08
5,5,10:05,LX1081,Frankfurt (FRA),Swiss BCS1 (HB-JBH),Landed 09:51,2021-06-08
6,6,10:10,AF1642,Paris (CDG),Air France E190 (F-HBLP),Landed 10:43,2021-06-08
7,7,10:20,AZ576,Rome (FCO),Alitalia E75S (EI-RDB),Landed 10:07,2021-06-08
8,8,10:30,A3854,Athens (ATH),Aegean Airlines A320 (SX-DVT),Landed 10:09,2021-06-08
9,9,10:40,SN2713,Brussels (BRU),Brussels Airlines A319 (OO-SSA),Landed 10:18,2021-06-08
10,10,10:45 IB8674,,Madrid (MAD),Iberia Regional (Islas Cíes Livery) CRJX (EC-MNQ),Landed 10:41,2021-06-08
11,11,10:55 U21442,,Lisbon (LIS),easyJet A320 (OE-INP),Landed 10:37,2021-06-08
12,12,11:10,KL1927,Amsterdam (AMS),KLM E75L (PH-EXZ),Landed 11:00,2021-06-08
13,13,11:35 U21484,,Pristina (PRN),easyJet A320 (HB-JXF),Landed 11:38,2021-06-08
14,14,12:45 U21578,,Mykonos (JMK),easyJet A320 (HB-JXM),Landed 12:42,2021-06-08
15,15,13:15 PC953,,Istanbul (SAW),Pegasus A20N (TC-NBH),Landed 13:08,2021-06-08
16,16,13:30,LX2806,Zurich (ZRH),Swiss BCS3 (HB-JCQ),Landed 13:30,2021-06-08
17,17,13:55,AF1442,Paris (CDG),Air France E170 (F-HBXG),Landed 13:53,2021-06-08
