,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:05,LA4771,Sao Paulo (GRU),LATAM Airlines A320 (PR-MYY),Landed 00:25,2021-06-08
1,1,00:10 AD4478,,Rio de Janeiro (SDU),Azul Linhas Aereas (Pink Ribbon Livery) A20N (PR-YRS),Landed 00:07,2021-06-08
2,2,01:05,AD4326,Campinas (VCP),Azul Linhas Aereas E295 (PS-AEG),Landed 01:01,2021-06-08
3,3,09:00,LA4773,Sao Paulo (GRU),LATAM Airlines A321 (PT-MXI),Landed 09:11,2021-06-08
4,4,09:30,AD4324,Campinas (VCP),Azul Linhas Aereas (Tropical Spix's Macaw Livery) E295 (PS-AEF),Landed 09:38,2021-06-08
5,5,09:40 AD4223,,Belo Horizonte (CNF),Azul Linhas Aereas E195 (PR-AXA),Unknown,2021-06-08
6,6,10:15,G31436,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GZW),Landed 10:07,2021-06-08
7,7,14:35,AD4714,Campinas (VCP),Azul Linhas Aereas E295 (PS-AEB),Landed 14:24,2021-06-08
8,8,15:45,LA3992,Sao Paulo (CGH),LATAM Airlines A320 (PR-MHK),Landed 15:31,2021-06-08
9,9,18:30 AD4227,,Belo Horizonte (CNF),Azul Linhas Aereas E195 (PR-AYG),Unknown,2021-06-08
10,10,19:00,AD4643,Campinas (VCP),Azul Linhas Aereas E295 (PS-AEC),Landed 18:49,2021-06-08
11,11,19:40 AD4810,,Cuiaba (CGB),Azul Linhas Aereas E195 (PR-AXG),Unknown,2021-06-08
12,12,21:30,G31829,Brasilia (BSB),GOL Linhas Aereas B738 (PR-GUJ),Landed 21:24,2021-06-08
13,13,22:00,2Z2334,Ribeirao Preto (RAO),VoePass Linhas Aereas AT76 (PR-PDN),Landed 21:39,2021-06-08
14,14,22:41 LA9517,,Sao Paulo (GRU),LATAM Airlines A319 (PT-TMO),Landed 22:34,2021-06-08
15,15,23:40,G31440,Sao Paulo (GRU),GOL Linhas Aereas B738 (PR-GGZ),Landed 23:29,2021-06-08
16,16,23:50,AD4616,Belo Horizonte (CNF),Azul Linhas Aereas E195 (PR-AXI),Unknown,2021-06-08
0,0,00:05 AD4478,,Rio de Janeiro (SDU),Azul Linhas Aereas A20N (PR-YRV),Landed 23:50,2021-06-09
1,1,00:05,LA4771,Sao Paulo (GRU),LATAM Airlines A320 (PR-MHX),Landed 23:58,2021-06-09
2,2,01:05,AD4326,Campinas (VCP),Azul Linhas Aereas E295 (PS-AED),Landed 00:55,2021-06-09
3,3,09:00,LA4773,Sao Paulo (GRU),LATAM Airlines A321 (PT-XPG),Landed 08:54,2021-06-09
4,4,09:30,AD4324,Campinas (VCP),Azul Linhas Aereas E295 (PS-AEH),Landed 09:24,2021-06-09
5,5,09:40 AD4223,,Belo Horizonte (CNF),Azul Linhas Aereas E195 (PR-AUJ),Landed 09:44,2021-06-09
6,6,10:15,G31436,Sao Paulo (GRU),GOL Linhas Aereas B38M (PR-XMC),Landed 10:12,2021-06-09
7,7,11:05 G31428,,Sao Paulo (CGH),GOL Linhas Aereas B738 (PR-GUR),Landed 10:55,2021-06-09
