,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,3:45 AM QF7367,,Launceston (LST),Qantas Freight B733 (VH-XMR),Landed 4:43 AM,2021-06-11
1,1,4:55 AM QF7357,,Melbourne (MEL),Qantas 73Y,Unknown,2021-06-11
2,2,7:30 AM,JQ701,Melbourne (MEL),Jetstar Airways 320,Canceled,2021-06-11
3,3,8:35 AM,JQ705,Melbourne (MEL),Jetstar Airways A320 (VH-VQJ),Landed 8:36 AM,2021-06-11
4,4,9:15 AM,VA1528,Sydney (SYD),Virgin Australia B738 (VH-YQM),Landed 9:13 AM,2021-06-11
5,5,9:40 AM,QF1551,Melbourne (MEL),Qantas 717,Canceled,2021-06-11
6,6,9:55 AM,VA1316,Melbourne (MEL),Virgin Australia B738 (VH-VON),Canceled,2021-06-11
7,7,10:00 AM,JQ759,Brisbane (BNE),Jetstar Airways A320 (VH-VQE),Landed 9:48 AM,2021-06-11
8,8,10:30 AM SH883,,King Island (KNS),- SWM,Unknown,2021-06-11
9,9,10:35 AM QF1561,,Canberra (CBR),QantasLink B712 (VH-YQT),Landed 10:26 AM,2021-06-11
10,10,11:05 AM SH933,,Burnie (BWT),- SWM,Unknown,2021-06-11
11,11,11:35 AM,QF1531,Sydney (SYD),QantasLink B712 (VH-YQV),Landed 12:05 PM,2021-06-11
12,12,12:05 PM,JQ707,Melbourne (MEL),Jetstar Airways A320 (VH-VGJ),Landed 12:10 PM,2021-06-11
13,13,12:15 PM FC263,,Canberra (CBR),- SF3,Unknown,2021-06-11
14,14,1:00 PM,VA704,Brisbane (BNE),Virgin Australia B738 (VH-YWD),Landed 1:17 PM,2021-06-11
15,15,1:20 PM QF1007,,Melbourne (MEL),Qantas 73H,Unknown,2021-06-11
16,16,1:45 PM,JQ721,Sydney (SYD),Jetstar Airways A321 (VH-VWW),Landed 1:35 PM,2021-06-11
17,17,1:45 PM SH862,,Flinders Island (FLS),- SWM,Unknown,2021-06-11
18,18,2:40 PM,VA1532,Sydney (SYD),Virgin Australia B738 (VH-YQM),Landed 6:33 PM,2021-06-11
19,19,2:45 PM QF1721,,Brisbane (BNE),QantasLink B712 (VH-NXK),Landed 3:03 PM,2021-06-11
20,20,3:00 PM,QF1555,Melbourne (MEL),Qantas 717,Canceled,2021-06-11
21,21,3:35 PM,JQ709,Melbourne (MEL),Jetstar Airways 320,Canceled,2021-06-11
22,22,3:40 PM,VA1324,Melbourne (MEL),Virgin Australia B738 (VH-YFW),Landed 3:32 PM,2021-06-11
23,23,4:25 PM,QF995,Sydney (SYD),Qantas B738 (VH-VZE),Landed 4:10 PM,2021-06-11
24,24,4:45 PM ATM701,,Strahan (SRN),- CN2,Unknown,2021-06-11
25,25,6:10 PM JQ696,,Gold Coast (OOL),Jetstar Airways A320 (VH-VGP),Landed 6:00 PM,2021-06-11
26,26,6:45 PM QF1002,,Perth (PER),Qantas B738 (VH-XZI),Landed 6:59 PM,2021-06-11
27,27,7:00 PM,QF1557,Melbourne (MEL),QantasLink B712 (VH-NXL),Landed 7:51 PM,2021-06-11
28,28,7:20 PM,JQ725,Sydney (SYD),Jetstar Airways A321 (VH-VWW),Landed 7:10 PM,2021-06-11
29,29,8:10 PM,JQ715,Melbourne (MEL),Jetstar Airways A320 (VH-VQP),Landed 8:42 PM,2021-06-11
30,30,8:45 PM,QF1559,Melbourne (MEL),Qantas 717,Unknown,2021-06-11
31,31,8:55 PM,QF997,Sydney (SYD),Qantas B738 (VH-XZE),Landed 8:58 PM,2021-06-11
32,32,10:10 PM,VA1334,Melbourne (MEL),Virgin Australia B738 (VH-YFR),Canceled,2021-06-11
0,0,07:30,JQ701,Melbourne (MEL),Jetstar Airways A320 (VH-VQH),Landed 07:25,2021-06-12
1,1,08:35,JQ705,Melbourne (MEL),Jetstar Airways A320 (VH-VGD),Landed 08:19,2021-06-12
2,2,09:15,VA1528,Sydney (SYD),Virgin Australia B738 (VH-YFY),Landed 09:27,2021-06-12
3,3,09:40,QF1551,Melbourne (MEL),Qantas 717,Unknown,2021-06-12
4,4,09:55,VA1316,Melbourne (MEL),Virgin Australia B738 (VH-YFT),Landed 09:48,2021-06-12
5,5,11:30 VA9004,,Melbourne (MEL),Virgin Australia B738 (VH-YQM),Canceled,2021-06-12
6,6,11:35,QF993,Sydney (SYD),Qantas B738 (VH-VXJ),Landed 11:20,2021-06-12
7,7,11:55 QF1721,,Brisbane (BNE),QantasLink B712 (VH-NXM),Landed 12:00,2021-06-12
8,8,11:55,VA1320,Melbourne (MEL),Virgin Australia B738 (VH-YVA),Canceled,2021-06-12
9,9,12:05,JQ707,Melbourne (MEL),Jetstar Airways 321,Canceled,2021-06-12
10,10,13:00,VA704,Brisbane (BNE),Virgin Australia B738 (VH-YWA),Landed 12:52,2021-06-12
11,11,13:45,JQ721,Sydney (SYD),Jetstar Airways A321 (VH-VWW),Landed 13:51,2021-06-12
12,12,14:25 VA9002,,Sydney (SYD),Virgin Australia B738 (VH-YIF),Landed 14:16,2021-06-12
13,13,14:40,VA1532,Sydney (SYD),Virgin Australia B738 (VH-YIS),Landed 14:49,2021-06-12
14,14,15:00,QF1555,Melbourne (MEL),QantasLink (Discover Tasmania Livery) B712 (VH-YQW),Landed 15:00,2021-06-12
15,15,15:40,VA1324,Melbourne (MEL),Virgin Australia B738 (VH-YQM),Canceled,2021-06-12
16,16,17:00,VA706,Brisbane (BNE),Virgin Australia B738 (VH-YWE),Landed 16:49,2021-06-12
17,17,18:10,JQ709,Melbourne (MEL),Jetstar Airways 320,Canceled,2021-06-12
18,18,18:45 QF1002,,Perth (PER),Qantas B738 (VH-XZB),Landed 18:49,2021-06-12
19,19,19:00,QF1557,Melbourne (MEL),Qantas 717,Unknown,2021-06-12
20,20,19:20,JQ725,Sydney (SYD),Jetstar Airways A321 (VH-VWW),Landed 19:30,2021-06-12
21,21,19:50,JQ681,Adelaide (ADL),Jetstar Airways A320 (VH-VGN),Landed 19:48,2021-06-12
0,0,07:30,JQ701,Melbourne (MEL),Jetstar Airways 320,Canceled,2021-06-13
1,1,08:35,JQ705,Melbourne (MEL),Jetstar Airways 320,Canceled,2021-06-13
2,2,09:40,QF1551,Melbourne (MEL),Qantas 717,Unknown,2021-06-13
3,3,09:55,VA1316,Melbourne (MEL),Virgin Australia B738 (VH-YFT),Landed 09:43,2021-06-13
4,4,10:00,JQ759,Brisbane (BNE),Jetstar Airways A320 (VH-VGI),Landed 09:48,2021-06-13
5,5,11:00 NZ197,,Auckland (AKL),Air New Zealand A320 (ZK-OJM),Landed 10:26,2021-06-13
6,6,11:30 VA9004,,Melbourne (MEL),Virgin Australia B738 (VH-YQM),Landed 11:07,2021-06-13
7,7,11:35,QF1531,Sydney (SYD),QantasLink B712 (VH-NXE),Landed 11:24,2021-06-13
8,8,12:05,JQ707,Melbourne (MEL),Jetstar Airways 321,Canceled,2021-06-13
9,9,13:00,VA704,Brisbane (BNE),Virgin Australia B738 (VH-YWA),Landed 12:52,2021-06-13
10,10,13:45,JQ721,Sydney (SYD),Jetstar Airways A321 (VH-VWW),Landed 13:40,2021-06-13
11,11,14:15 SH864,,Flinders Island (FLS),- SWM,Unknown,2021-06-13
12,12,14:40,VA1532,Sydney (SYD),Virgin Australia B738 (VH-VUP),Landed 14:33,2021-06-13
13,13,14:45 QF1011,,Brisbane (BNE),Qantas B738 (VH-VZP),Landed 14:48,2021-06-13
14,14,15:00,QF1555,Melbourne (MEL),QantasLink B712 (VH-NXD),Landed 14:51,2021-06-13
15,15,15:25,QF995,Sydney (SYD),Qantas B738 (VH-VXO),Landed 15:10,2021-06-13
16,16,15:35,JQ709,Melbourne (MEL),Jetstar Airways 320,Canceled,2021-06-13
17,17,15:40,VA1324,Melbourne (MEL),Virgin Australia 73H,Unknown,2021-06-13
18,18,18:10 JQ696,,Gold Coast (OOL),Jetstar Airways A320 (VH-VGR),Landed 18:03,2021-06-13
19,19,18:15 SH887,,King Island (KNS),- SWM,Unknown,2021-06-13
20,20,18:45 QF1002,,Perth (PER),Qantas B738 (VH-XZI),Landed 18:55,2021-06-13
21,21,19:00,QF1557,Melbourne (MEL),Qantas 717,Unknown,2021-06-13
22,22,19:20,JQ725,Sydney (SYD),Jetstar Airways A321 (VH-VWW),Landed 19:11,2021-06-13
23,23,20:10,JQ715,Melbourne (MEL),Jetstar Airways A320 (VH-VQP),Landed 20:30,2021-06-13
24,24,20:45,QF1559,Melbourne (MEL),Qantas 717,Unknown,2021-06-13
25,25,20:55,QF1535,Sydney (SYD),QantasLink B712 (VH-NXE),Landed 20:49,2021-06-13
0,0,07:30,JQ701,Melbourne (MEL),Jetstar Airways 320,Canceled,2021-06-14
1,1,08:35,JQ705,Melbourne (MEL),Jetstar Airways 320,Canceled,2021-06-14
2,2,09:15,VA1528,Sydney (SYD),Virgin Australia B738 (VH-YIV),Landed 09:02,2021-06-14
3,3,09:40,QF1551,Melbourne (MEL),Qantas 717,Unknown,2021-06-14
4,4,09:40,VA1316,Melbourne (MEL),Virgin Australia B738 (VH-YIQ),Canceled,2021-06-14
5,5,10:00,JQ759,Brisbane (BNE),Jetstar Airways A320 (VH-VFJ),Landed 09:40,2021-06-14
6,6,10:35 QF1561,,Canberra (CBR),QantasLink B712 (VH-NXJ),Landed 10:29,2021-06-14
7,7,11:35,QF993,Sydney (SYD),Qantas B738 (VH-VZW),Landed 11:34,2021-06-14
8,8,12:05,JQ707,Melbourne (MEL),Jetstar Airways 321,Canceled,2021-06-14
