,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,06:40 VB3176,,Guadalajara (GDL),VivaAerobus A320 (XA-VAU),Landed 06:25,2021-06-08
1,1,06:45 Y4760,,Mexico City (MEX),Volaris A320 (N506VL),Landed 06:27,2021-06-08
2,2,06:56,,Culiacan (CUL),- B734,Canceled,2021-06-08
3,3,07:12,AM702,Mexico City (MEX),Aeromexico B738 (XA-AMG),Landed 07:01,2021-06-08
4,4,07:25 Y4740,,Guadalajara (GDL),Volaris A320 (XA-VRA),Landed 07:17,2021-06-08
5,5,08:05 E7322,,Culiacan (CUL),Estafeta Carga Aerea B733 (XA-GGB),Landed 06:56,2021-06-08
6,6,09:29 Y4500,,Tijuana (TIJ),Volaris A320 (N509VL),Landed 09:21,2021-06-08
7,7,09:45,,La Paz (LAP),- E145,Canceled,2021-06-08
8,8,09:52,AM712,Mexico City (MEX),Aeromexico B738 (N950AM),Landed 09:33,2021-06-08
9,9,09:55 A7236,,La Paz (LAP),Calafia Airlines ER4,Unknown,2021-06-08
10,10,10:18 A8940,,Phoenix (PHX),Ameriflight E120 (N257AS),Landed 10:06,2021-06-08
11,11,11:16 AA3105,,Dallas (DFW),American Eagle CRJ7 (N760SK),Landed 11:12,2021-06-08
12,12,11:25 YQ840,,Culiacan (CUL),TAR Aerolineas ERJ,Unknown,2021-06-08
13,13,11:30 A7871,,Guerrero Negro (GUB),Calafia Airlines CN1,Unknown,2021-06-08
14,14,14:59,AM730,Mexico City (MEX),Aeromexico B738 (XA-AMM),Landed 15:43,2021-06-08
15,15,18:55 Y4762,,Mexico City (MEX),Volaris A320 (N506VL),Landed 18:27,2021-06-08
16,16,19:30 YQ837,,Chihuahua (CUU),TAR Aerolineas ERJ,Landed 22:21,2021-06-08
17,17,19:42 Y4682,,Guadalajara (GDL),Volaris A320 (XA-VLN),Landed 20:31,2021-06-08
18,18,20:05 VB4120,,Monterrey (MTY),VivaAerobus A320 (EI-EUA),Landed 21:02,2021-06-08
19,19,20:15 VB1330,,Mexico City (MEX),VivaAerobus A20N (XA-VIU),Landed 22:25,2021-06-08
20,20,20:58 Y4502,,Tijuana (TIJ),Volaris A320 (XA-VLC),Landed 21:08,2021-06-08
21,21,21:09 AA2958,,Phoenix (PHX),American Eagle CRJ7 (N708SK),Landed 20:49,2021-06-08
22,22,21:31,AM710,Mexico City (MEX),Aeromexico B738 (XA-ADT),Landed 22:49,2021-06-08
23,23,22:37 VTM9987,,Phoenix (PHX),Aeronaves TSM CVLT (XA-UTW),Landed 22:37,2021-06-08
0,0,6:40 AM VB3176,,Guadalajara (GDL),VivaAerobus A320 (XA-VAT),Landed 6:23 AM,2021-06-09
1,1,6:45 AM Y4760,,Mexico City (MEX),Volaris A20N (XA-VRH),Landed 6:31 AM,2021-06-09
2,2,6:56 AM,,Culiacan (CUL),- B734,Canceled,2021-06-09
3,3,7:12 AM,AM702,Mexico City (MEX),Aeromexico B738 (XA-AMK),Landed 7:07 AM,2021-06-09
4,4,8:05 AM E7322,,Culiacan (CUL),Estafeta Carga Aerea B733 (XA-GGB),Landed 6:51 AM,2021-06-09
5,5,9:45 AM,,La Paz (LAP),- E145,Canceled,2021-06-09
6,6,9:52 AM AM712,,Mexico City (MEX),Aeromexico B738 (XA-AMW),Landed 9:46 AM,2021-06-09
7,7,9:55 AM A7236,,La Paz (LAP),Calafia Airlines ER4,Unknown,2021-06-09
8,8,10:05 AM A8940,,Phoenix (PHX),Ameriflight E120 (N257AS),Landed 9:53 AM,2021-06-09
9,9,11:15 AM YQ804,,Ciudad Juarez (CJS),TAR Aerolineas E145 (XA-NFP),Landed 11:29 AM,2021-06-09
10,10,11:16 AM AA3105,,Dallas (DFW),SkyWest Airlines CRJ7 (N767SK),Landed 11:03 AM,2021-06-09
11,11,11:25 AM YQ840,,Culiacan (CUL),TAR Aerolineas ERJ,Landed 11:20 AM,2021-06-09
12,12,12:02 PM AA3014,,Phoenix (PHX),American Eagle CRJ7 (N708SK),Landed 11:59 AM,2021-06-09
13,13,2:25 PM YQ805,,La Paz (LAP),TAR Aerolineas E145 (XA-NFP),Landed 2:13 PM,2021-06-09
14,14,2:45 PM YQ839,,Mexicali (MXL),TAR Aerolineas ERJ,Landed 3:05 PM,2021-06-09
15,15,2:59 PM,AM730,Mexico City (MEX),Aeromexico Connect E190 (XA-BAC),Landed 3:25 PM,2021-06-09
