,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,12:19 AM KH443,,Kailua-Kona (KOA),Aloha Air Cargo B732,Unknown,2020-10-14
1,1,1:10 AM KH27,,Kahului (OGG),Aloha Air Cargo B732,Unknown,2020-10-14
2,2,1:37 AM KH2209,,Kahului (OGG),Aloha Air Cargo B732,Unknown,2020-10-14
3,3,2:01 AM KH423,,Kailua-Kona (KOA),Aloha Air Cargo B733,Canceled,2020-10-14
4,4,2:14 AM KH14,,Lihue (LIH),Aloha Air Cargo B732,Unknown,2020-10-14
5,5,2:49 AM KH45,,Kailua-Kona (KOA),Aloha Air Cargo B732,Unknown,2020-10-14
6,6,3:00 AM EM1705,,Kahului (OGG),Ohana by Hawaiian AT73 (N810HC),Landed 3:00 AM,2020-10-14
7,7,3:23 AM EM1701,,Hilo (ITO),Ohana by Hawaiian AT73 (N807HC),Landed 3:25 AM,2020-10-14
8,8,3:28 AM T4306,,Hilo (ITO),Transair B732 (N306AL),Landed 3:30 AM,2020-10-14
9,9,3:41 AM KH221,,Kahului (OGG),Northern Air Cargo B734 (N401YK),Landed 12:46 AM,2020-10-14
10,10,3:50 AM T4326,,Kahului (OGG),Rhoades Aviation B732,Landed 3:50 AM,2020-10-14
11,11,4:40 AM KH2211,,Kahului (OGG),Aloha Air Cargo B732,Unknown,2020-10-14
12,12,4:54 AM KH16,,Lihue (LIH),Northern Air Cargo B733 (N360WA),Landed 8:05 AM,2020-10-14
13,13,4:59 AM KH227,,Kahului (OGG),Northern Air Cargo B733 (N360WA),Landed 4:59 AM,2020-10-14
14,14,5:00 AM KH7001,,Los Angeles (LAX),Aloha Air Cargo B763 (N399CM),Landed 5:06 AM,2020-10-14
15,15,5:06 AM KH57,,Hilo (ITO),Northern Air Cargo B733 (N360WA),Landed 2:27 AM,2020-10-14
16,16,5:36 AM 5X56,,Ontario (ONT),UPS B748 (N609UP),Landed 5:41 AM,2020-10-14
17,17,5:42 AM FX77,,Oakland (OAK),FedEx B77L (N858FD),Landed 5:43 AM,2020-10-14
18,18,5:48 AM FX1566,,Memphis (MEM),FedEx MD11 (N593FE),Landed 5:49 AM,2020-10-14
19,19,5:49 AM ST94,,Lanai (LNY),Western Aircraft PC12,Unknown,2020-10-14
20,20,5:52 AM KH223,,Kahului (OGG),Aloha Air Cargo B732,Unknown,2020-10-14
21,21,5:53 AM P9305,,Guam (GUM),Asia Pacific Airlines B752 (N888LT),Landed 5:53 AM,2020-10-14
22,22,5:56 AM 5X2967,,Lihue (LIH),UPS B763 (N334UP),Landed 5:29 AM,2020-10-14
23,23,6:00 AM K4368,,Los Angeles (LAX),Kalitta Air B744 (N703CK),Landed 8:03 AM,2020-10-14
24,24,6:21 AM 5X32,,Louisville (SDF),UPS B744 (N574UP),Landed 6:54 AM,2020-10-14
