,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,5:14 AM JL119,,San Antonio (SAT),Jet Linx Aviation C750,Unknown,2020-10-14
1,1,8:10 AM WN1,,Dallas (DAL),Southwest Airlines B737 (N742SW),Landed 7:50 AM,2020-10-14
2,2,8:40 AM WN1473,,Nashville (BNA),Southwest Airlines B737 (N428WN),Landed 8:24 AM,2020-10-14
3,3,8:45 AM WN2453,,San Antonio (SAT),Southwest Airlines B737 (N416WN),Landed 8:23 AM,2020-10-14
4,4,8:55 AM WN1076,,Midland (MAF),Southwest Airlines B737 (N956WN),Landed 8:49 AM,2020-10-14
5,5,8:55 AM WN1148,,Oklahoma City (OKC),Southwest Airlines B737 (N7833A),Landed 8:42 AM,2020-10-14
6,6,8:55 AM WN2175,,Austin (AUS),Southwest Airlines B737 (N7841A),Landed 8:50 AM,2020-10-14
7,7,9:00 AM WN971,,Chicago (MDW),Southwest Airlines B738 (N8319F),Landed 8:46 AM,2020-10-14
8,8,9:05 AM,DL1320,Atlanta (ATL),Delta Air Lines B712 (N892AT),Landed 9:03 AM,2020-10-14
9,9,9:05 AM WN1987,,El Paso (ELP),Southwest Airlines B738 (N8632A),Landed 8:45 AM,2020-10-14
10,10,9:05 AM WN2150,,Kansas City (MCI),Southwest Airlines B738 (N8648A),Landed 8:41 AM,2020-10-14
11,11,9:05 AM WN2234,,Atlanta (ATL),Southwest Airlines B737 (N7867A),Landed 8:58 AM,2020-10-14
12,12,9:10 AM WN5,,Dallas (DAL),Southwest Airlines B737 (N464WN),Landed 8:59 AM,2020-10-14
13,13,9:11 AM AN22,,Dallas (DAL),Surf Air PC12 (N817SA),Landed 8:55 AM,2020-10-14
14,14,9:19 AM N991WW,,Baton Rouge (BTR),Private owner BE20 (N991WW),Landed 9:26 AM,2020-10-14
15,15,10:10 AM WN9,,Dallas (DAL),Southwest Airlines B738 (N8324A),Landed 9:50 AM,2020-10-14
16,16,10:19 AM N800CK,,Galveston (GLS),Private owner LJ31 (N800CK),Canceled,2020-10-14
17,17,10:25 AM WN3232,,Orlando (MCO),Southwest Airlines B737 (N7830A),Landed 10:10 AM,2020-10-14
18,18,10:35 AM WN2009,,New Orleans (MSY),Southwest Airlines B738 (N8665D),Landed 10:18 AM,2020-10-14
19,19,10:45 AM WN328,,Cancun (CUN),Southwest Airlines B738 (N8308K),Landed 10:28 AM,2020-10-14
20,20,11:00 AM WN165,,Indianapolis (IND),Southwest Airlines (Louisiana One Livery) B737 (N946WN),Landed 10:53 AM,2020-10-14
21,21,11:00 AM WN499,,Denver (DEN),Southwest Airlines B737 (N413WN),Landed 10:36 AM,2020-10-14
22,22,11:10 AM WN2030,,Tampa (TPA),Southwest Airlines B737 (N704SW),Landed 11:03 AM,2020-10-14
23,23,11:15 AM WN1993,,Nashville (BNA),Southwest Airlines B737 (N404WN),Landed 10:57 AM,2020-10-14
24,24,11:20 AM WN1687,,Baltimore (BWI),Southwest Airlines B738 (N8622A),Landed 11:04 AM,2020-10-14
25,25,11:20 AM WN2122,,Atlanta (ATL),Southwest Airlines (New Mexico One Livery) B737 (N781WN),Landed 11:15 AM,2020-10-14
26,26,11:28 AM SY8627,,Nashville (BNA),Sun Country Airlines B738 (N822SY),Landed 11:37 AM,2020-10-14
27,27,11:40 AM WN2382,,Phoenix (PHX),Southwest Airlines B737 (N434WN),Landed 11:23 AM,2020-10-14
28,28,12:00 PM,AA4034,Dallas (DFW),American Eagle E135 (N857AE),Landed 11:55 AM,2020-10-14
29,29,12:05 PM WN2590,,St. Louis (STL),Southwest Airlines B737 (N228WN),Landed 11:45 AM,2020-10-14
30,30,12:10 PM WN17,,Dallas (DAL),Southwest Airlines B738 (N8626B),Landed 12:00 PM,2020-10-14
31,31,12:14 PM N38DV,,Laredo (LRD),Private owner BE36 (N38DV),Landed 12:27 PM,2020-10-14
32,32,12:17 PM N309LT,,Houma (HUM),Private owner SF50 (N309LT),Landed 12:40 PM,2020-10-14
33,33,12:20 PM WN1597,,Chicago (MDW),Southwest Airlines B738 (N8690A),Landed 11:53 AM,2020-10-14
34,34,12:25 PM WN2091,,Las Vegas (LAS),Southwest Airlines B737 (N729SW),Landed 12:18 PM,2020-10-14
35,35,12:25 PM WN2323,,Denver (DEN),Southwest Airlines B737 (N754SW),Landed 11:58 AM,2020-10-14
36,36,12:40 PM,DL1327,Atlanta (ATL),Delta Air Lines B712 (N893AT),Landed 12:29 PM,2020-10-14
37,37,1:10 PM WN32,,San Antonio (SAT),Southwest Airlines B737 (N566WN),Landed 12:47 PM,2020-10-14
38,38,1:10 PM WN2418,,Atlanta (ATL),Southwest Airlines B737 (N769SW),Landed 1:05 PM,2020-10-14
39,39,1:15 PM WN127,,Harlingen (HRL),Southwest Airlines B737 (N428WN),Landed 12:37 PM,2020-10-14
40,40,1:15 PM WN2102,,Los Angeles (LAX),Southwest Airlines B738 (N8621A),Landed 12:56 PM,2020-10-14
41,41,1:50 PM WN1704,,Oklahoma City (OKC),Southwest Airlines (Arizona One Livery) B737 (N955WN),Landed 1:41 PM,2020-10-14
42,42,2:00 PM WN36,,New Orleans (MSY),Southwest Airlines B738 (N500WR),Landed 1:40 PM,2020-10-14
43,43,2:00 PM WN2529,,Jacksonville (JAX),Southwest Airlines B737 (N7721E),Landed 1:54 PM,2020-10-14
44,44,2:07 PM N355PC,,Monroeville (MVC),Private owner BE9L (N355PC),Landed 1:25 PM,2020-10-14
45,45,2:10 PM WN2253,,Orlando (MCO),Southwest Airlines B737 (N255WN),Landed 2:08 PM,2020-10-14
46,46,2:21 PM GAJ826,,Jackson (JAC),Wheels Up B350 (N826UP),Landed 3:04 PM,2020-10-14
47,47,2:25 PM WN1991,,Corpus Christi (CRP),Southwest Airlines B737 (N404WN),Landed 2:06 PM,2020-10-14
48,48,2:25 PM WN2426,,Austin (AUS),Southwest Airlines B737 (N728SW),Landed 2:10 PM,2020-10-14
49,49,2:30 PM WN815,,San Diego (SAN),Southwest Airlines B737 (N962WN),Landed 1:59 PM,2020-10-14
50,50,2:55 PM FTH905,,Austin (AUS),- C750 (N905VR),Landed 2:59 PM,2020-10-14
51,51,3:00 PM WN40,,Oakland (OAK),Southwest Airlines B738 (N8628A),Landed 2:46 PM,2020-10-14
52,52,3:00 PM WN2100,,Las Vegas (LAS),Southwest Airlines B737 (N7816B),Landed 2:44 PM,2020-10-14
53,53,3:05 PM WN2155,,Chicago (MDW),Southwest Airlines B738 (N8565Z),Landed 3:05 PM,2020-10-14
54,54,3:10 PM WN31,,Dallas (DAL),Southwest Airlines B738 (N8547V),Landed 2:48 PM,2020-10-14
55,55,3:10 PM WN1142,,Atlanta (ATL),Southwest Airlines B737 (N914WN),Landed 2:54 PM,2020-10-14
56,56,3:10 PM WN3301,,Denver (DEN),Southwest Airlines B738 (N8564Z),Landed 2:36 PM,2020-10-14
57,57,3:20 PM WN306,,Cancun (CUN),Southwest Airlines B738 (N8315C),Landed 3:05 PM,2020-10-14
58,58,3:45 PM WN6581,,Pensacola (PNS),Southwest Airlines B737 (N757LV),Landed 3:37 PM,2020-10-14
59,59,3:55 PM WN2454,,Fort Lauderdale (FLL),Southwest Airlines B737 (N7884G),Landed 3:38 PM,2020-10-14
60,60,3:56 PM,AA5880,Dallas (DFW),American Eagle CRJ9 (N934FJ),Landed 4:09 PM,2020-10-14
61,61,4:15 PM WN35,,Dallas (DAL),Southwest Airlines B738 (N8685B),Landed 3:51 PM,2020-10-14
62,62,4:30 PM WN1898,,Oklahoma City (OKC),Southwest Airlines B737 (N742SW),Landed 4:14 PM,2020-10-14
63,63,4:40 PM,DL1279,Atlanta (ATL),Delta Air Lines B712 (N954AT),Landed 4:35 PM,2020-10-14
64,64,4:45 PM WN109,,Puerto Vallarta (PVR),Southwest Airlines B738 (N8558Z),Landed 4:24 PM,2020-10-14
