,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:15 6E6707,,Kolkata (CCU),IndiGo A20N (VT-IJQ),Landed 00:07,2021-06-08
1,1,00:50 G88031,,Ahmedabad (AMD),Go Air 32A,Canceled,2021-06-08
2,2,01:15 G88021,,Delhi (DEL),Go Air 32A,Canceled,2021-06-08
3,3,01:50 QR500,,Doha (DOH),Qatar Airways B788 (A7-BDB),Landed 00:24,2021-06-08
4,4,04:05 G9458,,Sharjah (SHJ),Air Arabia A320 (A6-ANQ),Landed 03:48,2021-06-08
5,5,06:10 6E1714,,Doha (DOH),IndiGo A20N (VT-IJG),Landed 06:09,2021-06-08
6,6,06:15 SG7086,,Bengaluru (BLR),SpiceXpress B737 (VT-SFE),Landed 06:13,2021-06-08
7,7,06:25 BZ406,,Delhi (DEL),Blue Dart Aviation 75C,Unknown,2021-06-08
8,8,06:25 BZ486,,Delhi (DEL),Blue Dart Aviation B752 (VT-BDQ),Landed 06:18,2021-06-08
9,9,06:35 6E384,,Chennai (MAA),IndiGo A20N (VT-IVN),Landed 06:06,2021-06-08
10,10,06:40 BZ481,,Mumbai (BOM),Blue Dart Aviation B752 (VT-BDO),Landed 06:32,2021-06-08
11,11,06:45 I5510,,Kolkata (CCU),AirAsia India 320,Canceled,2021-06-08
12,12,07:05 6E266,,Cochin (COK),IndiGo A20N (VT-IVM),Landed 06:37,2021-06-08
13,13,07:30 SG731,,Chennai (MAA),SpiceJet 737,Unknown,2021-06-08
14,14,08:00 I5718,,Delhi (DEL),AirAsia India 320,Canceled,2021-06-08
15,15,08:05 I5802,,Mumbai (BOM),AirAsia India 320,Canceled,2021-06-08
16,16,08:15 6E788,,Kolkata (CCU),IndiGo A20N (VT-ISE),Landed 07:24,2021-06-08
17,17,08:25 EK526,,Dubai (DXB),Emirates B77W (A6-EGV),Landed 08:17,2021-06-08
18,18,08:40 I51576,,Bengaluru (BLR),AirAsia India 320,Canceled,2021-06-08
19,19,08:50 6E5731,,Mumbai (BOM),IndiGo A20N (VT-IZO),Landed 08:27,2021-06-08
20,20,09:00 G8423,,Delhi (DEL),Go Air 32A,Canceled,2021-06-08
21,21,09:00 2T132,,Vijayawada (VGA),Trujet AT7,Unknown,2021-06-08
22,22,09:25,UK829,Delhi (DEL),Vistara A20N (VT-TQA),Landed 08:44,2021-06-08
23,23,09:30 6E7119,,Rajahmundry (RJA),IndiGo AT76 (VT-IYZ),Landed 09:08,2021-06-08
24,24,09:35 6E2331,,Delhi (DEL),IndiGo A20N (VT-IJX),Landed 08:55,2021-06-08
25,25,09:50 SG3748,,Jabalpur (JLR),SpiceJet DH8D (VT-SQC),Unknown,2021-06-08
26,26,09:55 SG1076,,Tirupati (TIR),SpiceJet DH8,Unknown,2021-06-08
27,27,10:10,AI560,Delhi (DEL),Air India A20N (VT-CIH),Landed 09:55,2021-06-08
28,28,10:10 G88058,,Pune (PNQ),Go Air 32A,Canceled,2021-06-08
29,29,10:20 I5517,,Chennai (MAA),AirAsia India 320,Canceled,2021-06-08
30,30,10:20 2T142,,Rajahmundry (RJA),Trujet AT7,Unknown,2021-06-08
31,31,10:35 6E879,,Ahmedabad (AMD),IndiGo A21N (VT-ILO),Landed 10:02,2021-06-08
32,32,11:00 6E7272,,Indore (IDR),IndiGo AT76 (VT-IYT),Landed 10:22,2021-06-08
33,33,11:10 SV754,,Jeddah (JED),Saudia 773,Canceled,2021-06-08
34,34,11:30 2T542,,Belgaum (IXG),Trujet AT7,Unknown,2021-06-08
35,35,11:40 6E6513,,Kolkata (CCU),IndiGo A20N (VT-ITM),Landed 11:22,2021-06-08
36,36,11:45 2T178,,Indore (IDR),Trujet AT7,Unknown,2021-06-08
37,37,11:50 6E304,,Cochin (COK),IndiGo A20N (VT-ITU),Landed 11:26,2021-06-08
38,38,12:05 I5803,,Visakhapatnam (VTZ),AirAsia India 320,Canceled,2021-06-08
39,39,12:25 AI776,,Bhubaneswar (BBI),Air India A20N (VT-EXI),Landed 12:15,2021-06-08
40,40,12:25 6E867,,Lucknow (LKO),IndiGo A20N (VT-IJF),Landed 12:05,2021-06-08
41,41,12:30 6E7266,,Tirupati (TIR),IndiGo AT76 (VT-IYV),Landed 12:08,2021-06-08
42,42,12:55 SG3717,,Goa (GOI),SpiceJet DH8,Unknown,2021-06-08
43,43,13:00 6E262,,Bengaluru (BLR),IndiGo AT76 (VT-IYC),Landed 13:03,2021-06-08
44,44,13:05 I51983,,Bengaluru (BLR),AirAsia India 32N,Canceled,2021-06-08
45,45,13:40 G8506,,Jaipur (JAI),Go Air 32A,Canceled,2021-06-08
46,46,13:40 I51543,,Jaipur (JAI),AirAsia India 320,Canceled,2021-06-08
47,47,13:45 6E7206,,Vijayawada (VGA),IndiGo A20N (VT-ITA),Landed 12:52,2021-06-08
48,48,14:00 G88054,,Patna (PAT),Go Air 32A,Canceled,2021-06-08
49,49,14:05 6E6809,,Visakhapatnam (VTZ),IndiGo A20N (VT-IJZ),Landed 14:08,2021-06-08
50,50,14:20 9I562,,Pune (PNQ),Alliance Air ATR,Unknown,2021-06-08
51,51,14:35 2T122,,Goa (GOI),Trujet AT7,Unknown,2021-06-08
52,52,14:55 9I876,,Kolkata (CCU),Alliance Air ATR,Unknown,2021-06-08
53,53,15:10 6E7178,,Kannur (CNN),IndiGo AT76 (VT-IYK),Landed 14:51,2021-06-08
54,54,15:15 6E6091,,Mumbai (BOM),IndiGo A20N (VT-IZX),Landed 14:59,2021-06-08
55,55,15:15 6E7968,,Belgaum (IXG),IndiGo AT76 (VT-IYQ),Landed 14:55,2021-06-08
56,56,15:30 2T102,,Tirupati (TIR),Trujet AT7,Unknown,2021-06-08
57,57,15:50 6E786,,Goa (GOI),IndiGo AT76 (VT-IYZ),Landed 16:19,2021-06-08
58,58,15:50 6E6319,,Gorakhpur (GOP),IndiGo A21N (VT-IUI),Landed 15:31,2021-06-08
59,59,16:00 6E6205,,Delhi (DEL),IndiGo A20N (VT-ISC),Landed 15:35,2021-06-08
60,60,16:15 SG1007,,Kishangarh (KQH),SpiceJet DH8D (VT-SQF),Landed 16:08,2021-06-08
61,61,16:30 SG3734,,Belgaum (IXG),SpiceJet DH8D (VT-SQC),Landed 16:04,2021-06-08
62,62,16:40 6E432,,Ahmedabad (AMD),IndiGo A20N (VT-ITU),Landed 16:23,2021-06-08
63,63,16:45 I51518,,Goa (GOI),AirAsia India 32N,Canceled,2021-06-08
64,64,16:50 6E7922,,Mysore (MYQ),IndiGo AT76 (VT-IYT),Landed 15:47,2021-06-08
65,65,17:00,UK899,Delhi (DEL),Vistara A20N (VT-TNM),Landed 16:47,2021-06-08
66,66,17:10 6E7993,,Kolhapur (KLH),IndiGo AT76 (VT-IYV),Landed 16:42,2021-06-08
67,67,17:15 6E6006,,Chennai (MAA),IndiGo AT76 (VT-IYC),Landed 17:24,2021-06-08
68,68,17:15 6E7777,,Delhi (DEL),IndiGo A20N (VT-IJB),Unknown,2021-06-08
69,69,17:20 6E629,,Pune (PNQ),IndiGo A20N (VT-ITM),Landed 17:11,2021-06-08
70,70,17:30 G8509,,Goa (GOI),Go Air 32A,Canceled,2021-06-08
71,71,17:35 I5972,,Bengaluru (BLR),AirAsia India 320,Unknown,2021-06-08
72,72,17:35,9I886,Jagdalpur (JGB),Alliance Air AT76 (VT-AIU),Landed 16:52,2021-06-08
73,73,17:40 G88048,,Lucknow (LKO),Go Air 32A,Canceled,2021-06-08
74,74,17:55 6E466,,Bengaluru (BLR),IndiGo AT76 (VT-IYU),Landed 17:45,2021-06-08
75,75,18:00 6E783,,Visakhapatnam (VTZ),IndiGo AT76 (VT-IYX),Landed 18:27,2021-06-08
76,76,18:20 2T624,,Vijaynagar (VDY),Trujet AT7,Unknown,2021-06-08
77,77,18:25 6E519,,Chennai (MAA),IndiGo AT76 (VT-IYN),Landed 18:23,2021-06-08
78,78,18:35 2T512,,Cuddapah (CDP),Trujet AT7,Unknown,2021-06-08
79,79,18:35 6E631,,Bhubaneswar (BBI),IndiGo A20N (VT-IJF),Landed 17:52,2021-06-08
80,80,18:55 6E187,,Guwahati (GAU),IndiGo A20N (VT-ITD),Landed 18:20,2021-06-08
81,81,19:05 6E815,,Patna (PAT),IndiGo A20N (VT-ITA),Landed 18:48,2021-06-08
