,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,8:05 AM,AR2714,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-04
1,1,9:55 AM AR2724,,Buenos Aires (EZE),Aerolineas Argentinas E90,Canceled,2020-10-04
2,2,11:40 AM AR1720,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-04
3,3,1:30 PM AR1730,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-04
4,4,2:25 PM AR1734,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-04
5,5,3:10 PM AR2728,,Buenos Aires (AEP),Aerolineas Argentinas E90,Canceled,2020-10-04
6,6,3:35 PM,AR1732,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-04
7,7,4:40 PM AR1740,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-04
8,8,5:40 PM AR2738,,Salta (SLA),Aerolineas Argentinas E90,Canceled,2020-10-04
9,9,5:44 PM WJ3394,,El Palomar (EPA),JetSMART Argentina 320,Unknown,2020-10-04
10,10,7:30 PM,AR2706,Cordoba (COR),Aerolineas Argentinas E90,Canceled,2020-10-04
11,11,8:50 PM AR1736,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-04
0,0,8:35 AM,AR2724,Buenos Aires (EZE),Aerolineas Argentinas E90,Canceled,2020-10-04
1,1,10:30 AM AR2810,,Rosario (ROS),Aerolineas Argentinas E90,Canceled,2020-10-04
2,2,11:40 AM AR1720,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-04
3,3,1:30 PM AR1730,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-04
4,4,2:25 PM AR1734,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-04
5,5,4:05 PM AR1732,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-04
6,6,5:40 PM AR2738,,Salta (SLA),Aerolineas Argentinas E90,Canceled,2020-10-04
7,7,7:30 PM,AR2706,Cordoba (COR),Aerolineas Argentinas E90,Canceled,2020-10-04
8,8,8:50 PM AR1736,,Buenos Aires (AEP),Aerolineas Argentinas 738,Canceled,2020-10-04
