,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:15,G32022,Rio de Janeiro (GIG),GOL Linhas Aereas B738 (PR-GGK),Landed 00:18,2021-06-08
1,1,08:25,LA3048,Sao Paulo (GRU),LATAM Airlines A320 (PR-TYM),Landed 08:31,2021-06-08
2,2,10:15 AD4406,,Campinas (VCP),Azul Linhas Aereas A20N (PR-YYF),Landed 10:12,2021-06-08
3,3,10:15,G31170,Sao Paulo (GRU),GOL Linhas Aereas B38M (PR-XMC),Landed 10:16,2021-06-08
4,4,11:00 AD4066,,Curitiba (CWB),Azul Linhas Aereas E195 (PR-AXD),Unknown,2021-06-08
5,5,13:41,LA3050,Sao Paulo (GRU),LATAM Airlines A320 (PR-TYM),Landed 13:40,2021-06-08
6,6,18:45 AD4864,,Campinas (VCP),Azul Linhas Aereas E195 (PR-AXY),Unknown,2021-06-08
7,7,19:30,LA3052,Sao Paulo (GRU),LATAM Airlines A320 (PR-TYM),Landed 19:32,2021-06-08
8,8,19:35 AD4233,,Curitiba (CWB),Azul Linhas Aereas E195 (PR-AXB),Unknown,2021-06-08
0,0,08:25,LA3048,Sao Paulo (GRU),LATAM Airlines A320 (PR-MHR),Landed 08:22,2021-06-09
1,1,10:15 AD4406,,Campinas (VCP),Azul Linhas Aereas E195 (PR-AXY),Unknown,2021-06-09
2,2,10:15,G31170,Sao Paulo (GRU),GOL Linhas Aereas (TV ao vivo a bordo Livery) B738 (PR-GTM),Landed 10:04,2021-06-09
3,3,11:00 AD4066,,Curitiba (CWB),Azul Linhas Aereas E195 (PR-AXA),Unknown,2021-06-09
4,4,13:45,LA3050,Sao Paulo (GRU),LATAM Airlines A320 (PR-MYT),Landed 14:13,2021-06-09
5,5,18:45 AD4864,,Campinas (VCP),Azul Linhas Aereas (Company Values Livery) E295 (PR-PJN),Landed 18:47,2021-06-09
6,6,19:30,LA3052,Sao Paulo (GRU),LATAM Airlines A321 (PT-XPI),Landed 20:23,2021-06-09
7,7,19:35 AD4233,,Curitiba (CWB),Azul Linhas Aereas E195 (PR-AXA),Unknown,2021-06-09
0,0,00:15,G32022,Rio de Janeiro (GIG),GOL Linhas Aereas B738 (PR-GUF),Landed 00:03,2021-06-10
1,1,08:28,LA3048,Sao Paulo (GRU),LATAM Airlines A320 (PR-MYV),Landed 08:28,2021-06-10
