,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,03:49 KH56,,Honolulu (HNL),Aloha Air Cargo B733,Unknown,2021-06-11
1,1,06:13 KH58,,Honolulu (HNL),Aloha Air Cargo B733,Unknown,2021-06-11
2,2,06:37,HA122,Honolulu (HNL),Hawaiian Airlines B712 (N475HA),Landed 06:28,2021-06-11
3,3,07:04 9X540,,Kahului (OGG),Mokulele Airlines C208 (N859MA),Unknown,2021-06-11
4,4,07:07,,Hana (HNM),- C208 (N859MA),Landed 06:59,2021-06-11
5,5,07:44 KH556,,Kahului (OGG),Aloha Air Cargo B733 (N303KH),Landed 07:46,2021-06-11
6,6,08:15,HA132,Honolulu (HNL),Hawaiian Airlines B712 (N486HA),Landed 08:08,2021-06-11
7,7,09:15 WN1659,,Honolulu (HNL),Southwest Airlines B38M (N8723Q),Landed 09:17,2021-06-11
8,8,09:27,,Kaunakakai (MKK),- C208 (N825MA),Diverted to OGG,2021-06-11
9,9,09:40,HA192,Honolulu (HNL),Hawaiian Airlines B712 (N475HA),Landed 09:41,2021-06-11
10,10,10:09 9X542,,Kahului (OGG),Sun Air Express C208,Unknown,2021-06-11
11,11,11:11,HA232,Honolulu (HNL),Hawaiian Airlines B712 (N486HA),Landed 11:02,2021-06-11
12,12,11:51,,Kaunakakai (MKK),- C208 (N825MA),Diverted to HNL,2021-06-11
13,13,12:30,,Honolulu (HNL),- SH36 (N808KR),Landed 13:57,2021-06-11
14,14,12:44,HA252,Honolulu (HNL),Hawaiian Airlines B712 (N475HA),Landed 12:35,2021-06-11
15,15,12:48 KH40,,Kailua-Kona (KOA),Aloha Air Cargo B733 (N303KH),Unknown,2021-06-11
16,16,12:58 KH552,,Kailua-Kona (KOA),Aloha Air Cargo B733 (N303KH),Landed 13:00,2021-06-11
17,17,13:35 WN2203,,Honolulu (HNL),Southwest Airlines B38M (N8714Q),Landed 13:34,2021-06-11
18,18,14:14,HA292,Honolulu (HNL),Hawaiian Airlines B712 (N486HA),Landed 14:03,2021-06-11
19,19,14:18 KH504,,Honolulu (HNL),Aloha Air Cargo B733,Canceled,2021-06-11
20,20,14:51 KH5502,,Honolulu (HNL),Aloha Air Cargo SF34,Unknown,2021-06-11
21,21,14:59 9X544,,Kahului (OGG),Sun Air Express C208,Unknown,2021-06-11
22,22,15:41,HA342,Honolulu (HNL),Hawaiian Airlines B712 (N494HA),Landed 15:51,2021-06-11
23,23,17:11,HA372,Honolulu (HNL),Hawaiian Airlines B712 (N486HA),Landed 17:03,2021-06-11
24,24,17:19 KH52,,Honolulu (HNL),Aloha Air Cargo B732,Unknown,2021-06-11
25,25,17:24,HA510,Kahului (OGG),Hawaiian Airlines B712 (N487HA),Landed 17:06,2021-06-11
26,26,17:25 WN2205,,Honolulu (HNL),Southwest Airlines B38M (N8714Q),Landed 17:18,2021-06-11
27,27,18:39,HA502,Honolulu (HNL),Hawaiian Airlines B712 (N494HA),Landed 18:32,2021-06-11
28,28,20:04 9X546,,Kahului (OGG),Sun Air Express C208,Unknown,2021-06-11
29,29,20:11,HA542,Honolulu (HNL),Hawaiian Airlines B712 (N492HA),Landed 19:52,2021-06-11
30,30,20:40,,Kaunakakai (MKK),- C208 (N825MA),Diverted to OGG,2021-06-11
31,31,21:39 UA1004,,Los Angeles (LAX),United Airlines B739 (N66837),Landed 21:29,2021-06-11
32,32,21:45 WN1190,,Honolulu (HNL),Southwest Airlines B38M (N8729H),Landed 21:45,2021-06-11
33,33,22:00 KH550,,Honolulu (HNL),Aloha Air Cargo B733 (N303KH),Unknown,2021-06-11
0,0,2:53 AM T4326,,Honolulu (HNL),Transair B732 (N326TR),Landed 3:06 AM,2021-06-12
1,1,3:49 AM KH56,,Honolulu (HNL),Aloha Air Cargo B732,Unknown,2021-06-12
2,2,6:13 AM KH58,,Honolulu (HNL),Aloha Air Cargo B733,Unknown,2021-06-12
3,3,6:37 AM,HA122,Honolulu (HNL),Hawaiian Airlines B712 (N483HA),Landed 6:25 AM,2021-06-12
4,4,7:04 AM 9X540,,Kahului (OGG),Mokulele Airlines C208 (N825MA),Diverted to KOA,2021-06-12
5,5,7:10 AM KH444,,Kailua-Kona (KOA),Aloha Air Cargo B733 (N301KH),Landed 7:12 AM,2021-06-12
6,6,7:34 AM,,Kalaupapa (LUP),- C208 (N859MA),Diverted to HNL,2021-06-12
7,7,8:15 AM,HA132,Honolulu (HNL),Hawaiian Airlines B712 (N475HA),Landed 8:08 AM,2021-06-12
8,8,8:47 AM,,Kailua-Kona (KOA),- C208 (N825MA),Diverted to OGG,2021-06-12
9,9,9:15 AM WN1659,,Honolulu (HNL),Southwest Airlines B738 (N8314L),Landed 9:14 AM,2021-06-12
10,10,9:40 AM,HA192,Honolulu (HNL),Hawaiian Airlines B712 (N483HA),Landed 9:21 AM,2021-06-12
11,11,10:09 AM 9X542,,Kahului (OGG),Sun Air Express C208,Unknown,2021-06-12
12,12,10:24 AM,,Kalaupapa (LUP),- C208 (N859MA),Diverted to HNL,2021-06-12
13,13,11:11 AM,HA232,Honolulu (HNL),Hawaiian Airlines B712 (N475HA),Landed 11:02 AM,2021-06-12
14,14,12:44 PM,HA252,Honolulu (HNL),Hawaiian Airlines B712 (N483HA),Landed 12:31 PM,2021-06-12
15,15,1:35 PM WN2203,,Honolulu (HNL),Southwest Airlines B738 (N8309C),Landed 1:33 PM,2021-06-12
16,16,2:14 PM,HA292,Honolulu (HNL),Hawaiian Airlines B712 (N475HA),Landed 2:18 PM,2021-06-12
17,17,2:59 PM 9X544,,Kahului (OGG),Sun Air Express C208,Unknown,2021-06-12
18,18,3:41 PM,HA342,Honolulu (HNL),Hawaiian Airlines B712 (N494HA),Landed 3:42 PM,2021-06-12
19,19,4:42 PM,,Honolulu (HNL),- SH36 (N221LM),Landed 4:22 PM,2021-06-12
20,20,5:11 PM,HA372,Honolulu (HNL),Hawaiian Airlines B712 (N475HA),Landed 5:01 PM,2021-06-12
21,21,5:25 PM WN2205,,Honolulu (HNL),Southwest Airlines B738 (N8309C),Landed 6:06 PM,2021-06-12
22,22,6:13 PM,,Hana (HNM),- C208 (N859MA),Diverted to OGG,2021-06-12
23,23,6:39 PM,HA502,Honolulu (HNL),Hawaiian Airlines B712 (N494HA),Landed 6:30 PM,2021-06-12
24,24,8:04 PM 9X546,,Kahului (OGG),Sun Air Express C208,Unknown,2021-06-12
25,25,9:39 PM UA1004,,Los Angeles (LAX),United Airlines B739 (N38479),Delayed 8:44 AM,2021-06-12
26,26,9:45 PM WN1190,,Honolulu (HNL),Southwest Airlines B738 (N8313F),Canceled,2021-06-12
27,27,9:55 PM KH550,,Honolulu (HNL),Aloha Air Cargo B733,Canceled,2021-06-12
0,0,02:21 KH56,,Honolulu (HNL),Aloha Air Cargo B733,Canceled,2021-06-13
1,1,05:49 KH50,,Honolulu (HNL),Aloha Air Cargo B732,Unknown,2021-06-13
2,2,06:58 KH58,,Honolulu (HNL),Aloha Air Cargo B733,Canceled,2021-06-13
3,3,07:04 9X540,,Kahului (OGG),Mokulele Airlines C208 (N859MA),Landed 09:49,2021-06-13
4,4,08:15,HA132,Honolulu (HNL),Hawaiian Airlines B712 (N495HA),Landed 07:55,2021-06-13
5,5,08:31 KH56,,Honolulu (HNL),Aloha Air Cargo B733,Canceled,2021-06-13
6,6,08:50,,Kailua-Kona (KOA),- C208 (N825MA),Diverted to OGG,2021-06-13
7,7,09:15 WN1659,,Honolulu (HNL),Southwest Airlines B738 (N8321D),Landed 08:59,2021-06-13
8,8,09:40,HA192,Honolulu (HNL),Hawaiian Airlines B712 (N480HA),Landed 09:26,2021-06-13
9,9,10:09 9X542,,Kahului (OGG),Sun Air Express C208,Unknown,2021-06-13
10,10,11:11,HA232,Honolulu (HNL),Hawaiian Airlines B712 (N495HA),Landed 10:57,2021-06-13
11,11,12:44,HA252,Honolulu (HNL),Hawaiian Airlines B712 (N480HA),Landed 12:31,2021-06-13
12,12,13:35 WN2203,,Honolulu (HNL),Southwest Airlines B38M (N8722L),Landed 13:42,2021-06-13
13,13,14:14,HA292,Honolulu (HNL),Hawaiian Airlines B712 (N495HA),Landed 14:13,2021-06-13
14,14,14:59 9X544,,Kahului (OGG),Sun Air Express C208,Unknown,2021-06-13
15,15,15:00 9X608,,Kahului (OGG),Sun Air Express C208,Canceled,2021-06-13
16,16,15:41,HA342,Honolulu (HNL),Hawaiian Airlines B712 (N491HA),Landed 15:30,2021-06-13
17,17,17:11,HA372,Honolulu (HNL),Hawaiian Airlines B712 (N495HA),Landed 17:11,2021-06-13
18,18,17:24,HA510,Kahului (OGG),Hawaiian Airlines B712 (N493HA),Landed 17:13,2021-06-13
19,19,17:25 WN2205,,Honolulu (HNL),Southwest Airlines B38M (N8722L),Landed 17:22,2021-06-13
20,20,18:39,HA502,Honolulu (HNL),Hawaiian Airlines B712 (N491HA),Landed 18:25,2021-06-13
21,21,20:04 9X546,,Kahului (OGG),Mokulele Airlines C208 (N859MA),Unknown,2021-06-13
22,22,20:11,HA542,Honolulu (HNL),Hawaiian Airlines B712 (N492HA),Landed 20:06,2021-06-13
23,23,21:39 UA1004,,Los Angeles (LAX),United Airlines B738 (N76529),Delayed 08:01,2021-06-13
24,24,21:45 WN1190,,Honolulu (HNL),Southwest Airlines B738 (N8306H),Landed 21:42,2021-06-13
25,25,22:11 KH550,,Honolulu (HNL),Aloha Air Cargo B733 (N301KH),Landed 22:12,2021-06-13
26,26,23:39,,Honolulu (HNL),- BE9L (N13GZ),Unknown,2021-06-13
0,0,03:37 T4810,,Honolulu (HNL),Transair B732 (N810TA),Landed 03:38,2021-06-14
1,1,03:49 KH56,,Honolulu (HNL),Aloha Air Cargo B733 (N301KH),Landed 02:35,2021-06-14
2,2,04:53,,Honolulu (HNL),- BE9L (N948AM),Unknown,2021-06-14
3,3,05:10,,Honolulu (HNL),- BE9L (N13GZ),Unknown,2021-06-14
4,4,06:13 KH58,,Honolulu (HNL),Aloha Air Cargo B733,Unknown,2021-06-14
5,5,06:37,HA122,Honolulu (HNL),Hawaiian Airlines B712 (N483HA),Landed 06:31,2021-06-14
6,6,06:41 KH554,,Kahului (OGG),Aloha Air Cargo B733,Canceled,2021-06-14
7,7,07:04 9X540,,Kahului (OGG),Sun Air Express C208,Unknown,2021-06-14
8,8,07:07 KH556,,Kahului (OGG),Aloha Air Cargo B733 (N304KH),Landed 07:07,2021-06-14
9,9,08:15,HA132,Honolulu (HNL),Hawaiian Airlines B712 (N487HA),Landed 08:07,2021-06-14
10,10,08:51,,Kailua-Kona (KOA),- C208 (N825MA),Diverted to OGG,2021-06-14
11,11,09:15 WN1659,,Honolulu (HNL),Southwest Airlines B738 (N8310C),Landed 09:08,2021-06-14
12,12,09:40,HA192,Honolulu (HNL),Hawaiian Airlines B712 (N483HA),Landed 09:46,2021-06-14
13,13,10:09 9X542,,Kahului (OGG),Sun Air Express C208,Unknown,2021-06-14
14,14,11:11,HA232,Honolulu (HNL),Hawaiian Airlines B712 (N487HA),Landed 10:57,2021-06-14
15,15,12:02 KH504,,Honolulu (HNL),Aloha Air Cargo B733 (N301KH),Landed 12:03,2021-06-14
16,16,12:44,HA252,Honolulu (HNL),Hawaiian Airlines B712 (N483HA),Landed 12:35,2021-06-14
17,17,13:35 WN2203,,Honolulu (HNL),Southwest Airlines B738 (N8316H),Landed 13:31,2021-06-14
18,18,14:14,HA292,Honolulu (HNL),Hawaiian Airlines B712 (N487HA),Landed 13:58,2021-06-14
19,19,14:42,,Honolulu (HNL),- SH36 (N221LM),Landed 14:59,2021-06-14
