,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,8:15 AM W65565,,Milan (MXP),Wizz Air A21N (HA-LVN),Unknown,2020-10-03
1,1,9:05 AM W62427,,Budapest (BUD),Wizz Air 32Q,Unknown,2020-10-03
2,2,9:15 AM,BA800,London (LHR),British Airways A20N (G-TTNF),Landed 9:04 AM,2020-10-03
3,3,2:45 PM,FI319,Oslo (OSL),Icelandair B752 (TF-ISS),Canceled,2020-10-03
4,4,2:55 PM W62857,,Vienna (VIE),Wizz Air A320 (HA-LSB),Landed 2:39 PM,2020-10-03
5,5,3:05 PM GL710,,Nuuk (GOH),Air Greenland DH8B (OY-GRP),Landed 2:54 PM,2020-10-03
6,6,3:15 PM FI451,,London (LHR),Icelandair B763 (TF-ISP),Canceled,2020-10-03
7,7,3:25 PM,FI205,Copenhagen (CPH),Icelandair B752 (TF-LLX),Canceled,2020-10-03
8,8,3:40 PM FI521,,Frankfurt (FRA),Icelandair B752 (TF-ISK),Canceled,2020-10-03
9,9,3:40 PM FI543,,Paris (CDG),Icelandair B752 (TF-FIN),Canceled,2020-10-03
10,10,3:50 PM FI529,,Berlin (TXL),Icelandair B752 (TF-ISY),Canceled,2020-10-03
11,11,3:55 PM FI569,,Zurich (ZRH),Icelandair B752 (TF-ISD),Canceled,2020-10-03
12,12,4:20 PM,VY8560,Barcelona (BCN),Vueling A320 (EC-MQE),Landed 3:55 PM,2020-10-03
13,13,4:25 PM,FI501,Amsterdam (AMS),Icelandair B763 (TF-ISN),Landed 3:48 PM,2020-10-03
14,14,5:00 PM W65053,,Krakow (KRK),Wizz Air 321,Unknown,2020-10-03
15,15,7:00 PM W61897,,Wroclaw (WRO),Wizz Air A320 (HA-LWR),Landed 7:02 PM,2020-10-03
16,16,7:40 PM FI760,,Boston (BOS),Icelandair Cargo B752 (TF-FIH),Landed 11:38 PM,2020-10-03
17,17,8:10 PM W61167,,Katowice (KTW),Wizz Air 321,Unknown,2020-10-03
18,18,8:45 PM W61773,,Gdansk (GDN),Wizz Air A21N (HA-LVD),Landed 8:22 PM,2020-10-03
