,Unnamed: 0,Estimated,Number,From,Airline,Status,date
0,0,00:05,SU1274,Moscow (SVO),Aeroflot A320 (VP-BLO),Landed 23:48,2021-06-08
1,1,00:35 DP159,,Moscow (VKO),Pobeda B738 (VP-BPX),Landed 00:19,2021-06-08
2,2,00:55 UT507,,Moscow (VKO),UTair B738 (VQ-BDR),Landed 00:53,2021-06-08
3,3,01:55,SU1112,Moscow (SVO),Aeroflot B738 (VP-BSB),Landed 01:46,2021-06-08
4,4,02:10,S72079,Moscow (DME),S7 Airlines A320 (VP-BDT),Landed 01:43,2021-06-08
5,5,04:35,EO94,Nizhny Novgorod (GOJ),Pegas Fly E190 (VP-BZI),Landed 04:19,2021-06-08
6,6,05:05 SU6087,,Moscow (SVO),Rossiya SU95 (RA-89127),Landed 04:39,2021-06-08
7,7,06:20 DP563,,Yekaterinburg (SVX),Pobeda B738 (VP-BGR),Landed 05:57,2021-06-08
8,8,07:00 A4322,,Ufa (UFA),Azimuth SU95 (RA-89094),Landed 06:27,2021-06-08
9,9,07:15 UT307,,Volgograd (VOG),UTair AT75 (VQ-BLI),Unknown,2021-06-08
10,10,07:20 UT535,,Moscow (VKO),UTair B738 (VQ-BDH),Landed 07:01,2021-06-08
11,11,07:20 U6209,,Yekaterinburg (SVX),Ural Airlines A320 (VQ-BAG),Landed 07:10,2021-06-08
12,12,07:40 A4324,,Chelyabinsk (CEK),Azimuth SU95 (RA-89149),Landed 07:24,2021-06-08
13,13,08:15 UT435,,Surgut (SGC),UTair B738 (VQ-BQQ),Landed 07:58,2021-06-08
14,14,08:25,SU1284,Moscow (SVO),Aeroflot A320 (VP-BTJ),Landed 08:07,2021-06-08
15,15,08:35 N4161,,Moscow (SVO),Nordwind Airlines B738 (VP-BSQ),Landed 08:28,2021-06-08
16,16,10:35,S72071,Moscow (DME),S7 Airlines A321 (VQ-BQH),Landed 10:21,2021-06-08
17,17,10:55 DP155,,Moscow (VKO),Pobeda B738 (VQ-BTD),Landed 10:50,2021-06-08
18,18,11:05 A4340,,Astrakhan (ASF),Azimuth SU9,Unknown,2021-06-08
19,19,11:35 UT294,,Sochi (AER),UTair AT75 (VQ-BLD),Unknown,2021-06-08
20,20,11:45 U6109,,Moscow (DME),Ural Airlines A321 (VQ-BGX),Landed 12:04,2021-06-08
21,21,11:55 SU6315,,St. Petersburg (LED),Rossiya (Sports Livery) A319 (VQ-BCP),Landed 11:47,2021-06-08
22,22,12:00,SU1100,Moscow (SVO),Aeroflot SU95 (RA-89028),Landed 11:26,2021-06-08
23,23,12:05 A4302,,Moscow (VKO),Azimuth SU9,Unknown,2021-06-08
24,24,12:15,S72081,Moscow (DME),S7 Airlines A320 (VQ-BOA),Landed 11:50,2021-06-08
25,25,12:30 S75115,,Novosibirsk (OVB),S7 Airlines A321 (VP-BPO),Landed 12:04,2021-06-08
26,26,12:50 A4310,,Yerevan (EVN),Azimuth SU95 (RA-89079),Landed 12:41,2021-06-08
27,27,13:00 UT575,,Moscow (VKO),UTair B738 (VQ-BDH),Landed 12:47,2021-06-08
28,28,13:15 5N281,,Moscow (DME),Smartavia A20N (VP-BOZ),Landed 12:53,2021-06-08
29,29,13:25 YC296,,Novy Urengoy (NUX),Yamal Airlines SU95 (RA-89086),Landed 12:56,2021-06-08
30,30,13:35,SU1108,Moscow (SVO),Aeroflot A320 (VQ-BSU),Landed 13:11,2021-06-08
31,31,14:05 DP509,,St. Petersburg (LED),Pobeda B738 (VP-BQG),Landed 13:50,2021-06-08
32,32,14:20 DP157,,Moscow (VKO),Pobeda B738 (VP-BPT),Landed 14:10,2021-06-08
33,33,14:30 A4346,,Yaroslavl (IAR),Azimuth SU95 (RA-89094),Landed 14:15,2021-06-08
34,34,14:45,SU1102,Moscow (SVO),Aeroflot B738 (VP-BCF),Landed 14:25,2021-06-08
35,35,15:30 S75117,,Novosibirsk (OVB),S7 Airlines A20N (VQ-BRI),Landed 15:14,2021-06-08
36,36,15:50 SU6005,,St. Petersburg (LED),Aeroflot B738 (VQ-BVV),Landed 15:50,2021-06-08
37,37,15:55 DP161,,Moscow (VKO),Pobeda B738 (VP-BQB),Landed 15:44,2021-06-08
38,38,16:20,S72073,Moscow (DME),S7 Airlines A21N (VQ-BDI),Landed 16:56,2021-06-08
39,39,16:35 DP972,,Istanbul (SAW),Pobeda 738,Unknown,2021-06-08
40,40,16:55 S76520,,Fergana (FEG),S7 Airlines A20N (VQ-BRA),Landed 16:48,2021-06-08
41,41,17:05,SU1104,Moscow (SVO),Aeroflot B738 (VQ-BVP),Landed 16:44,2021-06-08
42,42,17:25 UT298,,Sochi (AER),UTair AT75 (VQ-BLD),Unknown,2021-06-08
43,43,17:35 Y7905,,Chelyabinsk (CEK),NordStar (Winter Universiade 2019 Livery) B738 (VQ-BDN),Landed 17:05,2021-06-08
44,44,17:40 U68128,,Gyumri (LWN),Ural Airlines A321 (VQ-BGX),Landed 17:43,2021-06-08
45,45,17:50 U6111,,Moscow (DME),Ural Airlines A320 (VP-BKB),Landed 17:47,2021-06-08
46,46,18:15 A4318,,Nizhny Novgorod (GOJ),Azimuth SU95 (RA-89149),Landed 18:03,2021-06-08
47,47,18:35 ZF616,,Cairo (CAI),Azur Air B763 (VQ-BUO),Landed 18:10,2021-06-08
48,48,18:40,UT523,Moscow (VKO),UTair B738 (VQ-BDH),Landed 19:44,2021-06-08
49,49,18:45,S72075,Moscow (DME),S7 Airlines A320 (VQ-BOA),Landed 18:25,2021-06-08
50,50,18:55 UT178,,Astrakhan (ASF),UTair AT75 (VQ-BMD),Unknown,2021-06-08
51,51,19:15 A4356,,Belgorod (EGO),Azimuth SU95 (RA-89079),Landed 19:04,2021-06-08
52,52,19:30,SU1106,Moscow (SVO),Aeroflot B738 (VP-BKA),Landed 19:10,2021-06-08
